title,author,year,key,group
"Use of Uav or Remotely Piloted Aircraft and Forward-Looking Infrared in Forest, Rural and Wildland Fire Management: Evaluation Using Simple Economic Analysis","Christensen, B. R.",2015,christensen_uavremotelypilotedaircraft_2015,1
The Sydney 2000 World Weather Research Programme Forecast Demonstration Project,"Keenan, T. and Joe, P. and Wilson, J. and Collier, C. and Golding, B. and Burgess, D. and May, P. and Pierce, C. and Bally, J. and Crook, A. and Seed, A. and Sills, D. and Berry, L. and Potts, R. and Bell, I. and Fox, N. and Ebert, E. and Eilts, M. and O'Loughlin, K. and Webb, R. and Carbone, R. and Browning, K. and Roberts, R. and Mueller, C.",2003,keenan_sydney2000worldweather_2003,1
How Much Would You Pay for a Satellite Image?: Lessons Learned from French Spatial-Data Infrastructure,"Jabbour, Chady and Hoayek, Anis and Maurel, Pierre and {Rey-Valette}, Helene and Salles, Jean-Michel",2020,jabbour_paysatelliteimagelessons_2020,1
The Value of El Nino Forecasts in the Management of Salmon: A Stochastic Dynamic Assessment,"Costello, Christopher J. and Adams, Richard M. and Polasky, Stephen",1998,costello_elniñoforecastsmanagement_2020,1
"Organisational Drivers for, Constraints on and Impacts of Decision and Information Support Tool Use in Desertification Policy and Management","Diez, Esther and McIntosh, Brian S.",2011,diez_organisationaldriversconstraintsimpacts_2011,1
The Economics Of Atmosphere Monitoring Systems: Theory And Applications,"Sassone, P. G.",1982,sassone_economicsatmospheremonitoringsystems_1982,1
The Value of Climate Information When Farm Programs Matter,"Cabrera, Victor E. and Letson, David and Podest{\'a}, Guillermo",2007,cabrera_climateinformationfarmprograms_2006,1
The Value of Weather Information in Market Equilibrium,"Babcock, Bruce A.",1990,babcock_weatherinformationmarketequilibrium_1990,1
Monitoring Canopy Quality and Improving Equitable Outcomes of Urban Tree Planting Using Lidar and Machine Learning,"Francis, John and Disney, Mathias and Law, Stephen",2023,francis_monitoringcanopyqualityimproving_2023,1
An Open Data and Citizen Science Approach to Building Resilience to Natural Hazards in a Data-Scarce Remote Mountainous Part of Nepal,"Parajuli, Binod Prasad and Khadka, Prakash and Baskota, Preshika and Shakya, Puja and Liu, Wei and Pudasaini, Uttam and Roniksh, B. C. and Paul, Jonathan D. and Buytaert, Wouter and Vij, Sumit",2020,parajuli_datacitizenscienceapproach_2020,1
