citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.392482
aaheim_lostbenefitscarbonuptake_2018,1.49997
aapro_digitalhealthoptimalsupportive_2020,1.8389434
abad_detectinglandslidedammedlakes_2022,1.5089133
abaduribarren_deeplearningassistedresolution_2022,1.4285879
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.4146776
abapour_bayesiangametheoreticbased_2020,1.6646423
abate_hydrologicalmodelingkobogolina_2023,1.3848617
abay_urbanisationimprovehouseholdwelfare_2023,1.5371501
abbafati_globalburden369diseases_2020,1.5423632
abbas_characterizingclassifyingurbantree_2021,1.3231511
abbas_monitoringscaleforestrestoration_2023,1.2296419
abbas_predictingwaterqualityvariability_2023,1.4272743
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.2934198
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.7909958
abbes_predictionnonstationarymultitemporal_2016,1.2779002
abbott_inboundarrivalsweathersurveillance_2023,1.316405
abburu_engineeringevaluationglimpsesatellite_2015,1.4306906
abcede_insarbaseddetectionmapping_2022,1.5633882
abdallah_spatialdistributionblockfalls_2010,1.4406404
abdelaal_integratedstudiesidentifysite_2021,1.6532798
abdelfattah_webbasedgisenabled_2015,1.5892005
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.5686029
abdelhaleem_applicationremotesensinggeographic_2021,1.4352854
abdelhamid_evaluationecosystemservicesresult_2022,1.3379561
abdelhamid_geospatialanalysislanddriving_2021,1.3458426
abdelhamid_impactassessmentlanddynamics_2023,1.418781
abdelhamid_pastfuturelandland_2022,1.3683515
abdelrahman_mappingsoilslandrelated_2022,1.2235377
abdelsamie_integrationruslemodelremote_2023,1.3955222
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.3739703
abdi_soilerosiondegradationassessment_2023,1.4517379
abdo_evolvingtotalevaluationmap_2020,1.4128865
abdo_modelingurbandynamicscarbon_2021,1.2401386
abdollahi_explainableartificialintelligencexai_2023,1.0369223
abdollahi_remotesensingcapabilitiesobservational_2023,1.1693256
abdollahnejad_predictiondominantforesttree_2017,1.101141
abdrabo_integratedmethodologyurbanflood_2020,1.394866
abdul_quantifyinglandscapestructurekelantan_2021,1.330951
abdulaziz_distributionfecalcontaminationurbanized_2023,1.5244606
abdulhammed_satelliteimagesmatchingmosaic_2023,1.2899032
abdulkadirov_satelliteimagerecognitionensemble_2024,1.5110111
abdulkalam_internationalpartnershiplunarmissions_2005,1.5271888
abdulkareem_termhydrologicimpactassessment_2018,1.3122637
abdulkareem_termrunoffdynamicsassessment_2019,1.2633228
abdullah_monitoringdrasticgrowthship_2013,1.5321383
abdullah_precisionagriculturepracticesplanting_2023,1.5155146
abdullah_urbangreenbluespace_2022,1.0696449
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.3387529
abdullahi_gisbasedsustainablecity_2015,1.6305333
