citation,dist
aahd_estimationgroundwatervolumespumped_2009,0.9711016
aaheim_lostbenefitscarbonuptake_2018,1.4731705
aapro_digitalhealthoptimalsupportive_2020,1.5811884
abad_detectinglandslidedammedlakes_2022,0.71893775
abaduribarren_deeplearningassistedresolution_2022,1.0444577
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.480719
abapour_bayesiangametheoreticbased_2020,1.30261
abate_hydrologicalmodelingkobogolina_2023,1.4072229
abay_urbanisationimprovehouseholdwelfare_2023,1.3677727
abbafati_globalburden369diseases_2020,1.526932
abbas_characterizingclassifyingurbantree_2021,0.7475789
abbas_monitoringscaleforestrestoration_2023,1.464494
abbas_predictingwaterqualityvariability_2023,1.0229254
abbasnezhad_incorporatingsocialpolicydrivers_2023,0.998076
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.8697569
abbes_predictionnonstationarymultitemporal_2016,0.67788243
abbott_inboundarrivalsweathersurveillance_2023,1.525173
abburu_engineeringevaluationglimpsesatellite_2015,0.7349965
abcede_insarbaseddetectionmapping_2022,1.1223409
abdallah_spatialdistributionblockfalls_2010,1.1692259
abdelaal_integratedstudiesidentifysite_2021,1.5517251
abdelfattah_webbasedgisenabled_2015,1.2522268
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.3888047
abdelhaleem_applicationremotesensinggeographic_2021,1.2049158
abdelhamid_evaluationecosystemservicesresult_2022,1.3423729
abdelhamid_geospatialanalysislanddriving_2021,0.59838176
abdelhamid_impactassessmentlanddynamics_2023,1.3168219
abdelhamid_pastfuturelandland_2022,1.3445895
abdelrahman_mappingsoilslandrelated_2022,0.9921577
abdelsamie_integrationruslemodelremote_2023,1.0755335
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.5015852
abdi_soilerosiondegradationassessment_2023,1.1089942
abdo_evolvingtotalevaluationmap_2020,1.2372392
abdo_modelingurbandynamicscarbon_2021,1.1240859
abdollahi_explainableartificialintelligencexai_2023,1.3516831
abdollahi_remotesensingcapabilitiesobservational_2023,0.7953545
abdollahnejad_predictiondominantforesttree_2017,1.2652633
abdrabo_integratedmethodologyurbanflood_2020,1.3215349
abdul_quantifyinglandscapestructurekelantan_2021,0.9821092
abdulaziz_distributionfecalcontaminationurbanized_2023,1.6724662
abdulhammed_satelliteimagesmatchingmosaic_2023,0.7556528
abdulkadirov_satelliteimagerecognitionensemble_2024,0.9646007
abdulkalam_internationalpartnershiplunarmissions_2005,1.5002878
abdulkareem_termhydrologicimpactassessment_2018,1.4368808
abdulkareem_termrunoffdynamicsassessment_2019,1.4683907
abdullah_monitoringdrasticgrowthship_2013,1.2373347
abdullah_precisionagriculturepracticesplanting_2023,1.2246715
abdullah_urbangreenbluespace_2022,1.3123801
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.5512922
abdullahi_gisbasedsustainablecity_2015,1.2490222
abdullahi_spatialmodellingsitesuitability_2014,1.2224314
abdulmajid_influencetechnologyadoptionfarmers_2024,1.3450248
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.281447
abebe_dynamicslandlandcover_2022,0.8921254
abebe_rurallandmanagementoptions_2020,0.98661727
abedi_mineralpotentialmappingcentral_2015,0.9927262
abedigheshlaghi_gisdevelopmodelforest_2019,1.0106702
aben_callviewshedecologyadvancing_2018,1.0103536
abera_anthropogenicthreatswetlandresources_2022,1.393568
