citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.5291783
aaheim_lostbenefitscarbonuptake_2018,1.5007799
aapro_digitalhealthoptimalsupportive_2020,1.4687612
abad_detectinglandslidedammedlakes_2022,1.8316567
abaduribarren_deeplearningassistedresolution_2022,1.545325
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.4828275
abapour_bayesiangametheoreticbased_2020,1.4397736
abate_hydrologicalmodelingkobogolina_2023,1.5174813
abay_urbanisationimprovehouseholdwelfare_2023,1.5222521
abbafati_globalburden369diseases_2020,1.430117
abbas_characterizingclassifyingurbantree_2021,1.7717596
abbas_monitoringscaleforestrestoration_2023,1.5140588
abbas_predictingwaterqualityvariability_2023,1.6786337
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.518121
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.8609824
abbes_predictionnonstationarymultitemporal_2016,1.5877581
abbott_inboundarrivalsweathersurveillance_2023,1.6447914
abburu_engineeringevaluationglimpsesatellite_2015,1.8441657
abcede_insarbaseddetectionmapping_2022,1.693452
abdallah_spatialdistributionblockfalls_2010,1.6790943
abdelaal_integratedstudiesidentifysite_2021,1.7897885
abdelfattah_webbasedgisenabled_2015,1.3077967
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.8753235
abdelhaleem_applicationremotesensinggeographic_2021,1.3045762
abdelhamid_evaluationecosystemservicesresult_2022,1.5087705
abdelhamid_geospatialanalysislanddriving_2021,1.4696336
abdelhamid_impactassessmentlanddynamics_2023,1.4058092
abdelhamid_pastfuturelandland_2022,1.5211878
abdelrahman_mappingsoilslandrelated_2022,1.6046634
abdelsamie_integrationruslemodelremote_2023,1.7260188
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.5248245
abdi_soilerosiondegradationassessment_2023,1.548061
abdo_evolvingtotalevaluationmap_2020,1.6668243
abdo_modelingurbandynamicscarbon_2021,1.427119
abdollahi_explainableartificialintelligencexai_2023,1.6434499
abdollahi_remotesensingcapabilitiesobservational_2023,1.8159823
abdollahnejad_predictiondominantforesttree_2017,1.7943044
abdrabo_integratedmethodologyurbanflood_2020,1.5323927
abdul_quantifyinglandscapestructurekelantan_2021,1.5584567
abdulaziz_distributionfecalcontaminationurbanized_2023,1.6723821
abdulhammed_satelliteimagesmatchingmosaic_2023,1.6934518
abdulkadirov_satelliteimagerecognitionensemble_2024,1.6643319
abdulkalam_internationalpartnershiplunarmissions_2005,1.6397028
abdulkareem_termhydrologicimpactassessment_2018,1.520129
abdulkareem_termrunoffdynamicsassessment_2019,1.4627889
abdullah_monitoringdrasticgrowthship_2013,1.4312831
abdullah_precisionagriculturepracticesplanting_2023,1.4581257
abdullah_urbangreenbluespace_2022,1.5109663
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.4357164
abdullahi_gisbasedsustainablecity_2015,1.1990707
abdullahi_spatialmodellingsitesuitability_2014,1.4794109
abdulmajid_influencetechnologyadoptionfarmers_2024,1.5792426
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.5462072
abebe_dynamicslandlandcover_2022,1.5147963
abebe_rurallandmanagementoptions_2020,1.4696295
abedi_mineralpotentialmappingcentral_2015,1.7618847
abedigheshlaghi_gisdevelopmodelforest_2019,1.6838669
aben_callviewshedecologyadvancing_2018,1.6517606
abera_anthropogenicthreatswetlandresources_2022,1.5655987
abera_estimatingwaterbudgetcomponents_2017,1.378433
abichou_uncertaintiesopticalremotesensing_2010,1.6850847
abidin_mangrovepotentialassessmentdetermining_2023,1.5629628
abiodun_centersspacesciencetechnology_1993,1.5815234
abiodun_remotesensinginformationage_1998,1.6740628
ablat_modisndvitimeseries_2021,1.7025266
abouelmagd_earthobservationsegyptiancoastal_2019,1.5360858
abousamra_detectionfillingphasesgrand_2021,1.4964349
abousamra_dynamicshumaninducedlakes_2022,1.46877
aboushaara_trackingeffectsclimatechange_2022,1.7034063
abouzahr_estimatesmaternalmortalityinterpret_2011,1.6187329
abraham_classificationdetectionnaturaldisasters_2023,1.5607541
abraham_trialsimplantablemonitoringdevices_2014,1.8377122
abrahms_dynamicensemblemodelspredict_2019,1.531637
abrahms_ontogeneticshiftssocialexperiential_2021,1.6950346
abreu_characterizingbraziliansanitarylandfill_2016,1.5638957
abrykosov_treatmentoceantidebackground_2022,1.7354115
abuelgasim_changedetectionadaptivefuzzy_1999,1.8090901
abuelmagd_understandingclimatechangeimpact_2024,1.5818745
abujahidandalsharif_contemporarysurveyfreespace_2022,1.7762467
abunnasr_automatedlandsurfacetemperature_2023,1.5302467
abunnasr_perviouschangesurrogatediverse_2021,1.307559
abunnasr_sebuautomatedgoogleearth_2022,1.5260882
abutaleb_estimatingurbangreennessindex_2021,1.3887677
abutaleb_mappingeucalyptstreesresolution_2021,1.3392751
abutalip_digitaltwinatmosphericenvironment_2023,1.6075789
acevedo_spaceactivitiesbolivarianrepublic_2011,1.5504808
achard_pantropicalmonitoringdeforestation_2007,1.5244673
acharya_quantificationmappingsatellitedriven_2020,1.4643813
acheampong_optimisationmodelincentivisingdevelopment_2021,1.2650611
