citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.3018544
aaheim_lostbenefitscarbonuptake_2018,1.3177252
aapro_digitalhealthoptimalsupportive_2020,1.5700269
abad_detectinglandslidedammedlakes_2022,1.5593847
abaduribarren_deeplearningassistedresolution_2022,1.3640268
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.4896325
abapour_bayesiangametheoreticbased_2020,1.7695417
abate_hydrologicalmodelingkobogolina_2023,1.4440712
abay_urbanisationimprovehouseholdwelfare_2023,1.4760659
abbafati_globalburden369diseases_2020,1.5195255
abbas_characterizingclassifyingurbantree_2021,1.5404605
abbas_monitoringscaleforestrestoration_2023,0.89985955
abbas_predictingwaterqualityvariability_2023,1.4385527
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.3788127
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.7216827
abbes_predictionnonstationarymultitemporal_2016,1.5359937
abbott_inboundarrivalsweathersurveillance_2023,1.2804277
abburu_engineeringevaluationglimpsesatellite_2015,1.6422968
abcede_insarbaseddetectionmapping_2022,1.4337654
abdallah_spatialdistributionblockfalls_2010,1.4044366
abdelaal_integratedstudiesidentifysite_2021,1.7412119
abdelfattah_webbasedgisenabled_2015,1.4082015
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.86296
abdelhaleem_applicationremotesensinggeographic_2021,1.360101
abdelhamid_evaluationecosystemservicesresult_2022,1.0670211
abdelhamid_geospatialanalysislanddriving_2021,1.3603501
abdelhamid_impactassessmentlanddynamics_2023,1.4552206
abdelhamid_pastfuturelandland_2022,1.5011125
abdelrahman_mappingsoilslandrelated_2022,1.517979
abdelsamie_integrationruslemodelremote_2023,1.2837889
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.6147369
abdi_soilerosiondegradationassessment_2023,1.5572623
abdo_evolvingtotalevaluationmap_2020,1.2893562
abdo_modelingurbandynamicscarbon_2021,1.2981354
abdollahi_explainableartificialintelligencexai_2023,1.1622653
abdollahi_remotesensingcapabilitiesobservational_2023,1.2560567
abdollahnejad_predictiondominantforesttree_2017,1.5279214
abdrabo_integratedmethodologyurbanflood_2020,1.2830555
abdul_quantifyinglandscapestructurekelantan_2021,1.3540317
abdulaziz_distributionfecalcontaminationurbanized_2023,1.4613817
abdulhammed_satelliteimagesmatchingmosaic_2023,1.5106627
abdulkadirov_satelliteimagerecognitionensemble_2024,1.851054
abdulkalam_internationalpartnershiplunarmissions_2005,1.5653098
abdulkareem_termhydrologicimpactassessment_2018,1.4658465
abdulkareem_termrunoffdynamicsassessment_2019,1.3027457
abdullah_monitoringdrasticgrowthship_2013,1.2538103
abdullah_precisionagriculturepracticesplanting_2023,1.4958974
abdullah_urbangreenbluespace_2022,1.1944572
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.0662804
abdullahi_gisbasedsustainablecity_2015,1.4211464
abdullahi_spatialmodellingsitesuitability_2014,1.5975945
abdulmajid_influencetechnologyadoptionfarmers_2024,1.6571572
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.3271613
abebe_dynamicslandlandcover_2022,1.3402627
abebe_rurallandmanagementoptions_2020,1.5283542
abedi_mineralpotentialmappingcentral_2015,1.7429115
abedigheshlaghi_gisdevelopmodelforest_2019,1.362688
aben_callviewshedecologyadvancing_2018,1.5990211
abera_anthropogenicthreatswetlandresources_2022,1.283706
abera_estimatingwaterbudgetcomponents_2017,1.2339687
abichou_uncertaintiesopticalremotesensing_2010,1.4623513
abidin_mangrovepotentialassessmentdetermining_2023,1.524226
abiodun_centersspacesciencetechnology_1993,1.180642
abiodun_remotesensinginformationage_1998,1.5035508
ablat_modisndvitimeseries_2021,1.4251198
abouelmagd_earthobservationsegyptiancoastal_2019,1.4020271
abousamra_detectionfillingphasesgrand_2021,1.2748923
abousamra_dynamicshumaninducedlakes_2022,1.3181884
aboushaara_trackingeffectsclimatechange_2022,1.0560033
abouzahr_estimatesmaternalmortalityinterpret_2011,1.5387089
abraham_classificationdetectionnaturaldisasters_2023,0.7912356
abraham_trialsimplantablemonitoringdevices_2014,1.8505039
