citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.6197039
aaheim_lostbenefitscarbonuptake_2018,1.5980544
aapro_digitalhealthoptimalsupportive_2020,1.3684658
abad_detectinglandslidedammedlakes_2022,1.3142991
abaduribarren_deeplearningassistedresolution_2022,1.4886839
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.4944457
abapour_bayesiangametheoreticbased_2020,1.641993
abate_hydrologicalmodelingkobogolina_2023,1.5995928
abay_urbanisationimprovehouseholdwelfare_2023,1.5192549
abbafati_globalburden369diseases_2020,1.5261124
abbas_characterizingclassifyingurbantree_2021,1.6587523
abbas_monitoringscaleforestrestoration_2023,1.3172148
abbas_predictingwaterqualityvariability_2023,1.5406549
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.4198709
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.7408518
abbes_predictionnonstationarymultitemporal_2016,1.6529552
abbott_inboundarrivalsweathersurveillance_2023,1.5449951
abburu_engineeringevaluationglimpsesatellite_2015,1.6958646
abcede_insarbaseddetectionmapping_2022,1.1957761
abdallah_spatialdistributionblockfalls_2010,1.4582455
abdelaal_integratedstudiesidentifysite_2021,1.641454
abdelfattah_webbasedgisenabled_2015,1.6215384
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.5675428
abdelhaleem_applicationremotesensinggeographic_2021,1.692491
abdelhamid_evaluationecosystemservicesresult_2022,1.4788315
abdelhamid_geospatialanalysislanddriving_2021,1.5796846
abdelhamid_impactassessmentlanddynamics_2023,1.4590311
abdelhamid_pastfuturelandland_2022,1.524739
abdelrahman_mappingsoilslandrelated_2022,1.5942698
abdelsamie_integrationruslemodelremote_2023,1.5166111
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.6729572
abdi_soilerosiondegradationassessment_2023,1.5787219
abdo_evolvingtotalevaluationmap_2020,1.1644647
abdo_modelingurbandynamicscarbon_2021,1.4744196
abdollahi_explainableartificialintelligencexai_2023,0.99181145
abdollahi_remotesensingcapabilitiesobservational_2023,1.5778282
abdollahnejad_predictiondominantforesttree_2017,1.765064
abdrabo_integratedmethodologyurbanflood_2020,0.98620194
abdul_quantifyinglandscapestructurekelantan_2021,1.0918972
abdulaziz_distributionfecalcontaminationurbanized_2023,1.3816
abdulhammed_satelliteimagesmatchingmosaic_2023,1.6305311
abdulkadirov_satelliteimagerecognitionensemble_2024,1.6771691
abdulkalam_internationalpartnershiplunarmissions_2005,1.5678699
abdulkareem_termhydrologicimpactassessment_2018,1.5451498
abdulkareem_termrunoffdynamicsassessment_2019,1.3739569
abdullah_monitoringdrasticgrowthship_2013,1.3950915
abdullah_precisionagriculturepracticesplanting_2023,1.606269
abdullah_urbangreenbluespace_2022,1.3855611
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.4526392
abdullahi_gisbasedsustainablecity_2015,1.5867463
abdullahi_spatialmodellingsitesuitability_2014,1.5595481
abdulmajid_influencetechnologyadoptionfarmers_2024,1.5780871
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.5709648
abebe_dynamicslandlandcover_2022,1.5327013
abebe_rurallandmanagementoptions_2020,1.6340151
abedi_mineralpotentialmappingcentral_2015,1.7413957
abedigheshlaghi_gisdevelopmodelforest_2019,1.2598773
aben_callviewshedecologyadvancing_2018,1.6451924
abera_anthropogenicthreatswetlandresources_2022,1.4935172
abera_estimatingwaterbudgetcomponents_2017,1.6097944
abichou_uncertaintiesopticalremotesensing_2010,1.5808358
abidin_mangrovepotentialassessmentdetermining_2023,1.6616044
abiodun_centersspacesciencetechnology_1993,1.5745183
abiodun_remotesensinginformationage_1998,1.6642402
ablat_modisndvitimeseries_2021,1.6749561
abouelmagd_earthobservationsegyptiancoastal_2019,1.5332243
abousamra_detectionfillingphasesgrand_2021,1.4794848
abousamra_dynamicshumaninducedlakes_2022,1.4751453
aboushaara_trackingeffectsclimatechange_2022,1.5248522
abouzahr_estimatesmaternalmortalityinterpret_2011,1.6181655
abraham_classificationdetectionnaturaldisasters_2023,0.73138136
abraham_trialsimplantablemonitoringdevices_2014,1.5268767
abrahms_dynamicensemblemodelspredict_2019,1.3718274
abrahms_ontogeneticshiftssocialexperiential_2021,1.5556368
abreu_characterizingbraziliansanitarylandfill_2016,1.5890698
abrykosov_treatmentoceantidebackground_2022,1.6848308
abuelgasim_changedetectionadaptivefuzzy_1999,1.5233023
abuelmagd_understandingclimatechangeimpact_2024,1.540575
abujahidandalsharif_contemporarysurveyfreespace_2022,1.5675445
abunnasr_automatedlandsurfacetemperature_2023,1.4496682
abunnasr_perviouschangesurrogatediverse_2021,1.2921762
abunnasr_sebuautomatedgoogleearth_2022,1.4667976
abutaleb_estimatingurbangreennessindex_2021,1.5210236
abutaleb_mappingeucalyptstreesresolution_2021,1.7071837
abutalip_digitaltwinatmosphericenvironment_2023,1.6519103
acevedo_spaceactivitiesbolivarianrepublic_2011,1.6211612
achard_pantropicalmonitoringdeforestation_2007,1.548661
acharya_quantificationmappingsatellitedriven_2020,1.7178626
acheampong_optimisationmodelincentivisingdevelopment_2021,1.6254594
achmad_impactlandlandcover_2023,1.4441981
achu_machinelearningmodellingfire_2021,1.4370108
acierto_developmenthydrologicaltelemetrysystem_2018,0.7668221
aciltasman_impactmodernspatialinformation_2008,1.749647
ackerman_economicenvironmentalbenefitsweather_1994,1.5008614
ackermann_digitalsurfacemodelsgnss_2014,1.6257578
ackman_extentintraprotocolintersitevariability_2019,1.7351003
acunaalonso_modellingevaluationlandsatellite_2022,1.1335704
ad_analyzingdepletiongroundwaterlevel_2019,1.4507054
adami_seasonalityvegetationtypessouth_2018,1.5058043
adamo_expertknowledgetranslatingland_2014,1.7259479
adamo_technologicallymediatedpracticessustainability_2022,1.2387695
