citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.4826435
aaheim_lostbenefitscarbonuptake_2018,1.3211074
aapro_digitalhealthoptimalsupportive_2020,1.4849428
abad_detectinglandslidedammedlakes_2022,1.5306871
abaduribarren_deeplearningassistedresolution_2022,1.3117636
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.448468
abapour_bayesiangametheoreticbased_2020,1.8262433
abate_hydrologicalmodelingkobogolina_2023,1.4543061
abay_urbanisationimprovehouseholdwelfare_2023,1.5816314
abbafati_globalburden369diseases_2020,1.3864491
abbas_characterizingclassifyingurbantree_2021,1.5370979
abbas_monitoringscaleforestrestoration_2023,1.1087872
abbas_predictingwaterqualityvariability_2023,1.3158412
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.2734027
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.6925058
abbes_predictionnonstationarymultitemporal_2016,1.6669817
abbott_inboundarrivalsweathersurveillance_2023,1.2532098
abburu_engineeringevaluationglimpsesatellite_2015,1.7374815
abcede_insarbaseddetectionmapping_2022,1.3803436
abdallah_spatialdistributionblockfalls_2010,1.3264177
abdelaal_integratedstudiesidentifysite_2021,1.6291757
abdelfattah_webbasedgisenabled_2015,1.3946764
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.847762
abdelhaleem_applicationremotesensinggeographic_2021,1.2957457
abdelhamid_evaluationecosystemservicesresult_2022,1.0936364
abdelhamid_geospatialanalysislanddriving_2021,1.4102751
abdelhamid_impactassessmentlanddynamics_2023,1.2902789
abdelhamid_pastfuturelandland_2022,1.4460492
abdelrahman_mappingsoilslandrelated_2022,1.5715171
abdelsamie_integrationruslemodelremote_2023,1.3049055
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.5641012
abdi_soilerosiondegradationassessment_2023,1.5018107
abdo_evolvingtotalevaluationmap_2020,1.3296263
abdo_modelingurbandynamicscarbon_2021,1.2575381
abdollahi_explainableartificialintelligencexai_2023,1.1350296
abdollahi_remotesensingcapabilitiesobservational_2023,1.4956133
abdollahnejad_predictiondominantforesttree_2017,1.6535187
abdrabo_integratedmethodologyurbanflood_2020,1.231052
abdul_quantifyinglandscapestructurekelantan_2021,1.2467089
abdulaziz_distributionfecalcontaminationurbanized_2023,1.4185615
abdulhammed_satelliteimagesmatchingmosaic_2023,1.5646064
abdulkadirov_satelliteimagerecognitionensemble_2024,1.801901
abdulkalam_internationalpartnershiplunarmissions_2005,1.5047755
abdulkareem_termhydrologicimpactassessment_2018,1.367791
abdulkareem_termrunoffdynamicsassessment_2019,1.296535
abdullah_monitoringdrasticgrowthship_2013,1.1911733
abdullah_precisionagriculturepracticesplanting_2023,1.5183632
abdullah_urbangreenbluespace_2022,1.160743
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.1817393
abdullahi_gisbasedsustainablecity_2015,1.2454689
abdullahi_spatialmodellingsitesuitability_2014,1.4428167
abdulmajid_influencetechnologyadoptionfarmers_2024,1.5485272
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.4641025
abebe_dynamicslandlandcover_2022,1.3527418
abebe_rurallandmanagementoptions_2020,1.4331692
abedi_mineralpotentialmappingcentral_2015,1.7895141
abedigheshlaghi_gisdevelopmodelforest_2019,1.2872555
aben_callviewshedecologyadvancing_2018,1.4958968
abera_anthropogenicthreatswetlandresources_2022,1.1445668
abera_estimatingwaterbudgetcomponents_2017,1.573797
abichou_uncertaintiesopticalremotesensing_2010,1.4686197
abidin_mangrovepotentialassessmentdetermining_2023,1.4638872
abiodun_centersspacesciencetechnology_1993,1.2809131
abiodun_remotesensinginformationage_1998,1.5731938
ablat_modisndvitimeseries_2021,1.4571925
abouelmagd_earthobservationsegyptiancoastal_2019,1.2615266
abousamra_detectionfillingphasesgrand_2021,1.3364214
abousamra_dynamicshumaninducedlakes_2022,1.2940092
aboushaara_trackingeffectsclimatechange_2022,1.2072798
abouzahr_estimatesmaternalmortalityinterpret_2011,1.7171608
abraham_classificationdetectionnaturaldisasters_2023,0.7935691
abraham_trialsimplantablemonitoringdevices_2014,1.7383134
abrahms_dynamicensemblemodelspredict_2019,1.2680358
abrahms_ontogeneticshiftssocialexperiential_2021,1.2373025
abreu_characterizingbraziliansanitarylandfill_2016,1.6817927
abrykosov_treatmentoceantidebackground_2022,1.8110465
abuelgasim_changedetectionadaptivefuzzy_1999,1.5065994
abuelmagd_understandingclimatechangeimpact_2024,1.3026037
abujahidandalsharif_contemporarysurveyfreespace_2022,1.4175575
abunnasr_automatedlandsurfacetemperature_2023,1.290006
abunnasr_perviouschangesurrogatediverse_2021,1.0788772
abunnasr_sebuautomatedgoogleearth_2022,1.4650787
abutaleb_estimatingurbangreennessindex_2021,1.320934
abutaleb_mappingeucalyptstreesresolution_2021,1.4251145
abutalip_digitaltwinatmosphericenvironment_2023,1.6267822
acevedo_spaceactivitiesbolivarianrepublic_2011,1.5751634
achard_pantropicalmonitoringdeforestation_2007,1.4990926
acharya_quantificationmappingsatellitedriven_2020,1.588676
acheampong_optimisationmodelincentivisingdevelopment_2021,1.5726938
achmad_impactlandlandcover_2023,1.3415482
achu_machinelearningmodellingfire_2021,1.3555745
acierto_developmenthydrologicaltelemetrysystem_2018,1.3016627
aciltasman_impactmodernspatialinformation_2008,1.5798862
ackerman_economicenvironmentalbenefitsweather_1994,1.5415764
ackermann_digitalsurfacemodelsgnss_2014,1.5193794
ackman_extentintraprotocolintersitevariability_2019,1.7857609
acunaalonso_modellingevaluationlandsatellite_2022,1.2013222
ad_analyzingdepletiongroundwaterlevel_2019,1.3846375
adami_seasonalityvegetationtypessouth_2018,1.4062009
adamo_expertknowledgetranslatingland_2014,1.5759616
adamo_technologicallymediatedpracticessustainability_2022,1.0846311
adamowicz_economicanalysisspeciesrisk_2016,1.2360716
adams_benefitsmexicanagricultureel_2002,1.4569031
adams_emergingroleremotesensing_2006,1.2056645
adams_energyoptimizationextrasolarplanetary_2021,1.9095191
adams_improvedrangeweatherinformation_1995,1.549948
adams_mappingfloristicgradientsforest_2019,1.4902658
adan_earthobservationsatellitedata_2021,1.3673363
adar_testingpasturequalityindex_2023,1.6701231
addas_proposedplanningconceptpublic_2020,1.2859973
addona_raspberrypivideocamera_2022,1.4647174
ade_genuslevelmappinginvasive_2022,1.5089988
adebola_roadmapintegratedspaceapplications_2021,1.5278636
adedeji_hybridneurofuzzyinvestigationshort_2021,1.5103536
adedeji_mappingmodelingecosystemservices_2018,1.2867055
adekunle_precisionagricultureapplicabilityopportunities_2013,1.430302
adelowo_environmentalimpactassessmentattenda_2012,1.2228465
adeluyi_estimatingphenologicaldynamicsirrigated_2021,1.7893045
adem_estimationevapotranspirationbasedmetric_2023,1.3687466
adenle_spatialestimationvisualizationco2_2017,1.1261462
adeppady_reducingmicroservicesinterferencedeployment_2023,1.8428848
adewumi_investigatinggroundwaterpotentialnortheastern_2023,1.4146885
adeyemi_evaluationlandlandcover_2022,1.176045
adeyemi_spectralindeximproveextraction_2021,1.5862544
adhikari_identificationprioritizationmappingecosystem_2018,1.0676038
adhikari_perceivedecosystemservicespanchase_2018,1.1628337
adilov_economicanalysisearthorbit_2015,1.4468796
adilov_estimateexpectedeconomiclosses_2023,1.5478125
adinarayana_approachlandplanninghilly_1995,1.2855519
adinarayana_integratedapproachprioritisationwatersheds_1995,1.5158775
adler_monitoringmountainschangingworld_2018,1.4203224
adriaensen_prioritiesnationalspacestrategies_2015,1.3429074
adrian_sentinelsaropticalfusion_2021,1.7661314
adugyamfi_reflectionssciencetechnologyinnovation_2022,1.0922648
adusei_spatialpredictionmappingwater_2021,1.6293429
aekakkararungroj_publiclygisbasedweb_2020,1.3086181
aerts_conservationethiopianchurchforests_2016,1.3919017
afan_adaptivemethodidentifyingmarine_2018,1.2424725
afandy_trendsprojectionsanalysisprecipitation_2023,1.4282858
affek_impactsmodernmechanisedskidding_2017,1.6719737
afifi_detectionimpactlandencroachment_2018,1.478652
afolabi_costeffectivenessanalysiseast_2023,1.8697493
afreen_floodsusceptibilityanalysispanjkora_2022,1.039873
afrin_influenceprescribedfirefine_2020,1.4435539
agapiou_potentialvirtualearthobservation_2019,1.5408936
agar_nocturnalhaemodialysisaustraliancost_2005,1.6322821
agarwal_predictingpovertyindexdeep_2019,1.4872706
agasha_effectequalityhealthbwindi_2019,1.5009432
agbabiaka_determinantstourismparticipationyoruba_2023,1.6371775
agbaje_cooperationearthobservationmissions_2018,1.2532461
agdas_determininglandlandcover_2023,1.363054
agduma_speciesrichnessextentpotential_2023,1.4222043
aggestam_digitalnormcontestationfeminist_2023,1.562763
agha_multiscalestrategiesmonitoring_2012,1.4406978
aghababaei_introducingartmo'smachinelearning_2022,1.6147261
aghakouchak_impactbasedmonitoringdrought_2023,1.2614369
aghdam_landslidesusceptibilityassessmenthybrid_2017,1.521125
agnihotri_intelligentvulnerabilitypredictionsoil_2021,1.4976146
agola_globalizedpovertyenvironment21st_2014,1.1039977
agostinho_sustainabilitydynamicsbrazilianmatopiba_2023,1.3132857
agosto_vectorrasterserveranalysis_2013,1.5217395
agrawal_deepresidualconvolutionalneural_2023,1.5602243
agrillo_earthobservationbiodiversitydata_2021,1.428799
aguaron_comparisonmethodsestimatingcarbondioxide_2012,1.4101615
aguda_spatiotemporalassessmenturban_2013,0.903034
agudelohz_scenarioslandlandcover_2023,1.321023
aguiarsilva_flyingforestcanopymovement_2023,1.4196699
aguilar_comparisonspectralindicesextracted_2022,1.4565341
aguilar_performanceassessmentmod16evapotranspiration_2018,1.4911616
aguirregutierrez_pantropicalmodellingcanopyfunctional_2021,0.96832097
ahadi_evaluatingfarmirrigationefficiency_2013,1.567704
ahamed_assessingutilityremotesensing_2022,1.5191464
ahamed_modisbasedautomatedflood_2017,1.2006371
ahearn_monitoringeffectsdracunculiasisremediation_1996,1.5411258
ahmad_agroforestrysuitabilityanalysisbased_2017,1.3118595
ahmad_analysisforestfireclimate_2019,1.4824045
ahmad_assessingimpactspopulationgrowth_2018,1.391701
ahmad_diagnosingirrigationperformancewater_2009,1.3377728
ahmad_fireriskassessmentclimate_2019,1.4080815
ahmad_gismodelingenvironmentalparameters_2023,1.2746627
ahmad_hydrologicalriskassessmentmangla_2023,1.2978979
ahmad_landevaluationtermsagroforestry_2017,1.304564
ahmad_lulcanalysisurbanspaces_2017,1.4122263
ahmad_potentialtreespeciesdistribution_2023,1.5836003
ahmad_reviewmanagementpracticespotato_2023,1.5928866
ahmad_sarbasedsubsidencemonitoring_2022,1.1242666
ahmad_simulationpredictionlandsurface_2022,1.454297
ahmad_soybeanglycinemaxcropland_2023,1.5531955
ahmad_unveilingnature'sresilienceexploring_2023,0.90271527
ahmadi_intelligentblinddualcolor_2021,1.6190925
ahmadkamal_scenariobasedpollutiondischarge_2020,1.328304
ahmadybirgani_understandingsalinelakesand_2023,1.549239
ahmed_advanceddeeplearningpredictive_2024,1.4248126
ahmed_analyzingtrendsdriversland_2023,1.2552999
ahmed_applicationremotesensingestimating_2010,1.4161292
ahmed_climatechangeimpactland_2023,1.3471701
ahmed_comparisonmulticriteriadecisiontechniques_2021,1.3916398
ahmed_deeplearningforecastssoil_2021,1.7047006
ahmed_developingvehiculartrafficnoise_2021,1.4159937
ahmed_droughtmonitoringcoastalbelt_2019,1.3622389
ahmed_enhancingobjectdetectionremote_2024,1.7041918
ahmed_estimatesseasonalinfluenzamortality_2018,1.6457554
ahmed_gisbasedspatialdistribution_2022,0.9938803
ahmed_hydrologicassessmenttrmmgpm_2020,1.6658865
ahmed_integrationsentinel2derived_2021,1.4293594
ahmed_introducingremotesensingbased_2019,1.3005784
ahmed_investigationpvutilizabilityuniversity_2022,1.3824947
ahmed_landslidesusceptibilitymodellingapplying_2015,1.3442996
ahmed_preparingturbidityaquaticvegetation_2017,1.166208
ahmed_remotesensingwildlandfire_2018,1.3655069
ahmed_vehiculartrafficnoiseprediction_2019,1.7307127
ahmed_wintertimecovercrop_2023,1.4712818
ahn_assessmentutilityremotesensing_2023,1.6765106
ahrends_detectingpredictingforestdegradation_2021,1.1977193
ahuja_sodiummonitoringcommerciallyprocessed_2015,1.829263
ahulu_ghana'sexperienceestablishmentnational_2015,1.4664426
ai_ndvichangeinfluencingfactors_2023,1.2401106
ai_spatialtemporalvariationfactor_2018,1.5701115
aieb_approachprocessingclimatemissing_2019,1.7046574
ainslie_operationalevaluationwildfireair_2022,1.5612049
aires_analysisextremerainfallnatural_2022,0.91070056
airiken_assessmentspatialtemporalecological_2022,1.283936
aitali_effectslandlandcover_2022,1.2979252
aitkenhead_digitalmappingsoilecosystem_2019,1.6984472
aiyetoro_packetschedulinginternetremote_2022,1.3863676
aizizi_evaluationecologicalqualitystatus_2023,1.3550413
aja_nonparametricassessmentmangroveecosystem_2023,1.0190704
