citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.6735876
aaheim_lostbenefitscarbonuptake_2018,1.628314
aapro_digitalhealthoptimalsupportive_2020,1.7359922
abad_detectinglandslidedammedlakes_2022,1.5119231
abaduribarren_deeplearningassistedresolution_2022,1.653321
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.4367876
abapour_bayesiangametheoreticbased_2020,1.5125233
abate_hydrologicalmodelingkobogolina_2023,1.686727
abay_urbanisationimprovehouseholdwelfare_2023,1.6930623
abbafati_globalburden369diseases_2020,1.3666841
abbas_characterizingclassifyingurbantree_2021,1.5348047
abbas_monitoringscaleforestrestoration_2023,1.6760325
abbas_predictingwaterqualityvariability_2023,1.6473484
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.6014988
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.8327131
abbes_predictionnonstationarymultitemporal_2016,1.5217938
abbott_inboundarrivalsweathersurveillance_2023,1.7793236
abburu_engineeringevaluationglimpsesatellite_2015,1.6552566
abcede_insarbaseddetectionmapping_2022,1.6588709
abdallah_spatialdistributionblockfalls_2010,1.4898798
abdelaal_integratedstudiesidentifysite_2021,1.8907766
abdelfattah_webbasedgisenabled_2015,1.6942773
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.4684687
abdelhaleem_applicationremotesensinggeographic_2021,1.7701569
abdelhamid_evaluationecosystemservicesresult_2022,1.7180758
abdelhamid_geospatialanalysislanddriving_2021,1.6099397
abdelhamid_impactassessmentlanddynamics_2023,1.70023
abdelhamid_pastfuturelandland_2022,1.2957039
abdelrahman_mappingsoilslandrelated_2022,1.4853692
abdelsamie_integrationruslemodelremote_2023,1.8084172
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.6785338
abdi_soilerosiondegradationassessment_2023,1.6283922
abdo_evolvingtotalevaluationmap_2020,1.6895416
abdo_modelingurbandynamicscarbon_2021,1.4459028
abdollahi_explainableartificialintelligencexai_2023,1.4474401
abdollahi_remotesensingcapabilitiesobservational_2023,1.6067137
abdollahnejad_predictiondominantforesttree_2017,1.5716445
abdrabo_integratedmethodologyurbanflood_2020,1.4576946
abdul_quantifyinglandscapestructurekelantan_2021,1.8002195
abdulaziz_distributionfecalcontaminationurbanized_2023,1.7702804
abdulhammed_satelliteimagesmatchingmosaic_2023,1.4853047
abdulkadirov_satelliteimagerecognitionensemble_2024,1.3260047
abdulkalam_internationalpartnershiplunarmissions_2005,1.633358
abdulkareem_termhydrologicimpactassessment_2018,1.7005055
abdulkareem_termrunoffdynamicsassessment_2019,1.740253
abdullah_monitoringdrasticgrowthship_2013,1.6459358
abdullah_precisionagriculturepracticesplanting_2023,1.8026626
abdullah_urbangreenbluespace_2022,1.7466226
