citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.6016151
aaheim_lostbenefitscarbonuptake_2018,1.4889992
aapro_digitalhealthoptimalsupportive_2020,1.3784562
abad_detectinglandslidedammedlakes_2022,1.7799815
abaduribarren_deeplearningassistedresolution_2022,1.8483543
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.4590733
abapour_bayesiangametheoreticbased_2020,0.94283825
abate_hydrologicalmodelingkobogolina_2023,1.7863669
abay_urbanisationimprovehouseholdwelfare_2023,1.4055057
abbafati_globalburden369diseases_2020,1.3200402
abbas_characterizingclassifyingurbantree_2021,1.8199528
abbas_monitoringscaleforestrestoration_2023,1.6098361
abbas_predictingwaterqualityvariability_2023,1.6040826
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.4866545
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.7644806
abbes_predictionnonstationarymultitemporal_2016,1.7397878
abbott_inboundarrivalsweathersurveillance_2023,1.8375928
abburu_engineeringevaluationglimpsesatellite_2015,1.6219809
abcede_insarbaseddetectionmapping_2022,1.7052895
abdallah_spatialdistributionblockfalls_2010,1.5806277
abdelaal_integratedstudiesidentifysite_2021,1.9679357
abdelfattah_webbasedgisenabled_2015,1.6298064
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.6842909
abdelhaleem_applicationremotesensinggeographic_2021,1.5045762
abdelhamid_evaluationecosystemservicesresult_2022,1.2987714
abdelhamid_geospatialanalysislanddriving_2021,1.5021914
abdelhamid_impactassessmentlanddynamics_2023,1.463851
abdelhamid_pastfuturelandland_2022,1.4788314
abdelrahman_mappingsoilslandrelated_2022,1.6050154
abdelsamie_integrationruslemodelremote_2023,1.676851
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.1855373
abdi_soilerosiondegradationassessment_2023,1.6288222
abdo_evolvingtotalevaluationmap_2020,1.8030381
abdo_modelingurbandynamicscarbon_2021,1.5556884
abdollahi_explainableartificialintelligencexai_2023,1.6125855
abdollahi_remotesensingcapabilitiesobservational_2023,1.8235338
abdollahnejad_predictiondominantforesttree_2017,1.6037061
abdrabo_integratedmethodologyurbanflood_2020,1.5605047
abdul_quantifyinglandscapestructurekelantan_2021,1.613828
abdulaziz_distributionfecalcontaminationurbanized_2023,1.8700593
abdulhammed_satelliteimagesmatchingmosaic_2023,1.7662092
abdulkadirov_satelliteimagerecognitionensemble_2024,1.534147
abdulkalam_internationalpartnershiplunarmissions_2005,1.6834664
abdulkareem_termhydrologicimpactassessment_2018,1.6505457
abdulkareem_termrunoffdynamicsassessment_2019,1.5776606
abdullah_monitoringdrasticgrowthship_2013,1.5268699
abdullah_precisionagriculturepracticesplanting_2023,1.5910808
abdullah_urbangreenbluespace_2022,1.432369
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.3320632
abdullahi_gisbasedsustainablecity_2015,1.5966829
abdullahi_spatialmodellingsitesuitability_2014,1.3344171
abdulmajid_influencetechnologyadoptionfarmers_2024,1.2987316
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.716034
abebe_dynamicslandlandcover_2022,1.4119582
abebe_rurallandmanagementoptions_2020,1.4373453
abedi_mineralpotentialmappingcentral_2015,1.7711382
abedigheshlaghi_gisdevelopmodelforest_2019,1.4366258
aben_callviewshedecologyadvancing_2018,1.6553028
abera_anthropogenicthreatswetlandresources_2022,1.5023977
abera_estimatingwaterbudgetcomponents_2017,1.5262599
abichou_uncertaintiesopticalremotesensing_2010,1.7556127
abidin_mangrovepotentialassessmentdetermining_2023,1.5136385
abiodun_centersspacesciencetechnology_1993,1.6372181
abiodun_remotesensinginformationage_1998,1.6003736
ablat_modisndvitimeseries_2021,1.9152306
abouelmagd_earthobservationsegyptiancoastal_2019,1.7482684
abousamra_detectionfillingphasesgrand_2021,1.6375312
abousamra_dynamicshumaninducedlakes_2022,1.6363516
aboushaara_trackingeffectsclimatechange_2022,1.5796582
abouzahr_estimatesmaternalmortalityinterpret_2011,1.2346818
