citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.5313432
aaheim_lostbenefitscarbonuptake_2018,1.5252365
aapro_digitalhealthoptimalsupportive_2020,1.4013758
abad_detectinglandslidedammedlakes_2022,1.4664824
abaduribarren_deeplearningassistedresolution_2022,1.6870954
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.4095738
abapour_bayesiangametheoreticbased_2020,1.4215803
abate_hydrologicalmodelingkobogolina_2023,1.6051913
abay_urbanisationimprovehouseholdwelfare_2023,1.6873598
abbafati_globalburden369diseases_2020,1.61441
abbas_characterizingclassifyingurbantree_2021,1.5648677
abbas_monitoringscaleforestrestoration_2023,1.56339
abbas_predictingwaterqualityvariability_2023,1.5848279
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.5036335
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.7664084
abbes_predictionnonstationarymultitemporal_2016,1.5955911
abbott_inboundarrivalsweathersurveillance_2023,1.7476144
abburu_engineeringevaluationglimpsesatellite_2015,1.5442753
abcede_insarbaseddetectionmapping_2022,1.7040033
abdallah_spatialdistributionblockfalls_2010,1.4606992
abdelaal_integratedstudiesidentifysite_2021,1.8155818
abdelfattah_webbasedgisenabled_2015,1.5464873
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.4858127
abdelhaleem_applicationremotesensinggeographic_2021,1.6286488
abdelhamid_evaluationecosystemservicesresult_2022,1.4893277
abdelhamid_geospatialanalysislanddriving_2021,1.3703179
abdelhamid_impactassessmentlanddynamics_2023,1.621337
abdelhamid_pastfuturelandland_2022,1.2338295
abdelrahman_mappingsoilslandrelated_2022,1.5071781
abdelsamie_integrationruslemodelremote_2023,1.755064
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.4415128
abdi_soilerosiondegradationassessment_2023,1.5017459
abdo_evolvingtotalevaluationmap_2020,1.633033
abdo_modelingurbandynamicscarbon_2021,1.4931622
abdollahi_explainableartificialintelligencexai_2023,1.4066433
abdollahi_remotesensingcapabilitiesobservational_2023,1.5215373
abdollahnejad_predictiondominantforesttree_2017,1.4204948
abdrabo_integratedmethodologyurbanflood_2020,1.3248413
abdul_quantifyinglandscapestructurekelantan_2021,1.7335157
abdulaziz_distributionfecalcontaminationurbanized_2023,1.7684755
abdulhammed_satelliteimagesmatchingmosaic_2023,1.3679652
abdulkadirov_satelliteimagerecognitionensemble_2024,1.2549278
abdulkalam_internationalpartnershiplunarmissions_2005,1.5441914
abdulkareem_termhydrologicimpactassessment_2018,1.5980823
abdulkareem_termrunoffdynamicsassessment_2019,1.6199368
abdullah_monitoringdrasticgrowthship_2013,1.5983385
abdullah_precisionagriculturepracticesplanting_2023,1.7216651
abdullah_urbangreenbluespace_2022,1.58514
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.8111095
abdullahi_gisbasedsustainablecity_2015,1.0092158
abdullahi_spatialmodellingsitesuitability_2014,1.110456
abdulmajid_influencetechnologyadoptionfarmers_2024,1.4928724
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.6466398
abebe_dynamicslandlandcover_2022,1.6368196
abebe_rurallandmanagementoptions_2020,1.6099105
abedi_mineralpotentialmappingcentral_2015,1.384791
abedigheshlaghi_gisdevelopmodelforest_2019,1.197519
aben_callviewshedecologyadvancing_2018,1.5622447
abera_anthropogenicthreatswetlandresources_2022,1.6489824
abera_estimatingwaterbudgetcomponents_2017,1.5621159
abichou_uncertaintiesopticalremotesensing_2010,1.636814
