citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.3536808
aaheim_lostbenefitscarbonuptake_2018,1.6254505
aapro_digitalhealthoptimalsupportive_2020,1.5390022
abad_detectinglandslidedammedlakes_2022,0.9606793
abaduribarren_deeplearningassistedresolution_2022,1.3721075
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.394006
abapour_bayesiangametheoreticbased_2020,1.4846587
abate_hydrologicalmodelingkobogolina_2023,1.5002694
abay_urbanisationimprovehouseholdwelfare_2023,1.4191165
abbafati_globalburden369diseases_2020,1.6702802
abbas_characterizingclassifyingurbantree_2021,1.1934978
abbas_monitoringscaleforestrestoration_2023,1.5402255
abbas_predictingwaterqualityvariability_2023,1.3059666
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.4046844
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.8955288
abbes_predictionnonstationarymultitemporal_2016,0.9313394
abbott_inboundarrivalsweathersurveillance_2023,1.5672259
abburu_engineeringevaluationglimpsesatellite_2015,0.9557909
abcede_insarbaseddetectionmapping_2022,1.2743424
abdallah_spatialdistributionblockfalls_2010,1.193362
abdelaal_integratedstudiesidentifysite_2021,1.5016253
abdelfattah_webbasedgisenabled_2015,1.4743879
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.440171
abdelhaleem_applicationremotesensinggeographic_2021,1.4416041
abdelhamid_evaluationecosystemservicesresult_2022,1.6357325
abdelhamid_geospatialanalysislanddriving_2021,0.86759794
abdelhamid_impactassessmentlanddynamics_2023,1.3634868
abdelhamid_pastfuturelandland_2022,1.4071988
abdelrahman_mappingsoilslandrelated_2022,1.2997314
abdelsamie_integrationruslemodelremote_2023,1.2668998
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.2575586
abdi_soilerosiondegradationassessment_2023,1.2388437
abdo_evolvingtotalevaluationmap_2020,1.5351717
abdo_modelingurbandynamicscarbon_2021,1.3944592
abdollahi_explainableartificialintelligencexai_2023,1.586474
abdollahi_remotesensingcapabilitiesobservational_2023,1.0882066
abdollahnejad_predictiondominantforesttree_2017,1.4016143
