citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.31336
aaheim_lostbenefitscarbonuptake_2018,1.7100618
aapro_digitalhealthoptimalsupportive_2020,1.6336372
abad_detectinglandslidedammedlakes_2022,1.089447
abaduribarren_deeplearningassistedresolution_2022,1.3730931
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.4361179
abapour_bayesiangametheoreticbased_2020,1.55387
abate_hydrologicalmodelingkobogolina_2023,1.5668759
abay_urbanisationimprovehouseholdwelfare_2023,1.3750577
abbafati_globalburden369diseases_2020,1.1514807
abbas_characterizingclassifyingurbantree_2021,1.3962893
abbas_monitoringscaleforestrestoration_2023,1.6504297
abbas_predictingwaterqualityvariability_2023,1.2720754
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.3859606
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.6726718
abbes_predictionnonstationarymultitemporal_2016,0.85452485
abbott_inboundarrivalsweathersurveillance_2023,1.3989275
abburu_engineeringevaluationglimpsesatellite_2015,0.8469281
abcede_insarbaseddetectionmapping_2022,1.2149484
abdallah_spatialdistributionblockfalls_2010,1.0911956
abdelaal_integratedstudiesidentifysite_2021,1.6667731
abdelfattah_webbasedgisenabled_2015,1.3515487
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.1311811
abdelhaleem_applicationremotesensinggeographic_2021,1.0382154
abdelhamid_evaluationecosystemservicesresult_2022,1.6272031
abdelhamid_geospatialanalysislanddriving_2021,1.1297944
abdelhamid_impactassessmentlanddynamics_2023,1.5561254
abdelhamid_pastfuturelandland_2022,1.0521591
abdelrahman_mappingsoilslandrelated_2022,1.3306172
abdelsamie_integrationruslemodelremote_2023,1.4795814
abdhamid_investigationpotentialsolarphotovoltaic_2021,0.7808455
abdi_soilerosiondegradationassessment_2023,1.3277524
abdo_evolvingtotalevaluationmap_2020,1.4477842
abdo_modelingurbandynamicscarbon_2021,1.4828498
abdollahi_explainableartificialintelligencexai_2023,1.5746053
abdollahi_remotesensingcapabilitiesobservational_2023,1.057194
abdollahnejad_predictiondominantforesttree_2017,1.2890377
abdrabo_integratedmethodologyurbanflood_2020,1.5583966
abdul_quantifyinglandscapestructurekelantan_2021,1.4333231
abdulaziz_distributionfecalcontaminationurbanized_2023,1.6582624
abdulhammed_satelliteimagesmatchingmosaic_2023,1.0131161
abdulkadirov_satelliteimagerecognitionensemble_2024,0.98409927
abdulkalam_internationalpartnershiplunarmissions_2005,1.398216
abdulkareem_termhydrologicimpactassessment_2018,1.6168087
abdulkareem_termrunoffdynamicsassessment_2019,1.6750188
abdullah_monitoringdrasticgrowthship_2013,1.3481164
abdullah_precisionagriculturepracticesplanting_2023,1.38073
abdullah_urbangreenbluespace_2022,1.3165796
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.6412483
abdullahi_gisbasedsustainablecity_2015,1.4904006
abdullahi_spatialmodellingsitesuitability_2014,1.4536479
abdulmajid_influencetechnologyadoptionfarmers_2024,1.5404563
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.3741455
abebe_dynamicslandlandcover_2022,1.27683
abebe_rurallandmanagementoptions_2020,1.1833189
abedi_mineralpotentialmappingcentral_2015,1.2550955
abedigheshlaghi_gisdevelopmodelforest_2019,1.2872272
aben_callviewshedecologyadvancing_2018,1.4628102
abera_anthropogenicthreatswetlandresources_2022,1.4428433
abera_estimatingwaterbudgetcomponents_2017,1.436624
abichou_uncertaintiesopticalremotesensing_2010,1.6277273
abidin_mangrovepotentialassessmentdetermining_2023,1.1724072
abiodun_centersspacesciencetechnology_1993,0.6513643
abiodun_remotesensinginformationage_1998,0.88739926
ablat_modisndvitimeseries_2021,1.5099628
abouelmagd_earthobservationsegyptiancoastal_2019,1.1327902
abousamra_detectionfillingphasesgrand_2021,1.316773
abousamra_dynamicshumaninducedlakes_2022,0.88440406
aboushaara_trackingeffectsclimatechange_2022,1.5828338
abouzahr_estimatesmaternalmortalityinterpret_2011,1.4448304
abraham_classificationdetectionnaturaldisasters_2023,1.0582173
abraham_trialsimplantablemonitoringdevices_2014,1.734307
abrahms_dynamicensemblemodelspredict_2019,1.4594669
abrahms_ontogeneticshiftssocialexperiential_2021,1.4111793
abreu_characterizingbraziliansanitarylandfill_2016,1.834461
abrykosov_treatmentoceantidebackground_2022,1.4274744
abuelgasim_changedetectionadaptivefuzzy_1999,1.4627175
abuelmagd_understandingclimatechangeimpact_2024,0.9890598
abujahidandalsharif_contemporarysurveyfreespace_2022,1.1707058
abunnasr_automatedlandsurfacetemperature_2023,0.9024482
abunnasr_perviouschangesurrogatediverse_2021,0.86165786
abunnasr_sebuautomatedgoogleearth_2022,1.1598699
abutaleb_estimatingurbangreennessindex_2021,1.309766
abutaleb_mappingeucalyptstreesresolution_2021,1.1185714
abutalip_digitaltwinatmosphericenvironment_2023,1.0376747
acevedo_spaceactivitiesbolivarianrepublic_2011,1.1741576
achard_pantropicalmonitoringdeforestation_2007,0.9063153
acharya_quantificationmappingsatellitedriven_2020,1.2054096
acheampong_optimisationmodelincentivisingdevelopment_2021,1.6495426
achmad_impactlandlandcover_2023,1.1475909
achu_machinelearningmodellingfire_2021,1.3082644
acierto_developmenthydrologicaltelemetrysystem_2018,0.9657304
aciltasman_impactmodernspatialinformation_2008,1.3590944
ackerman_economicenvironmentalbenefitsweather_1994,1.2643235
ackermann_digitalsurfacemodelsgnss_2014,0.98294353
ackman_extentintraprotocolintersitevariability_2019,1.5667455
acunaalonso_modellingevaluationlandsatellite_2022,0.96679604
ad_analyzingdepletiongroundwaterlevel_2019,1.4119651
adami_seasonalityvegetationtypessouth_2018,1.4245366
adamo_expertknowledgetranslatingland_2014,1.1957537
adamo_technologicallymediatedpracticessustainability_2022,1.4414029
adamowicz_economicanalysisspeciesrisk_2016,1.7925303
adams_benefitsmexicanagricultureel_2002,1.56427
adams_emergingroleremotesensing_2006,1.224103
adams_energyoptimizationextrasolarplanetary_2021,1.5800366
adams_improvedrangeweatherinformation_1995,1.5193281
adams_mappingfloristicgradientsforest_2019,1.3950907
adan_earthobservationsatellitedata_2021,1.3682377
adar_testingpasturequalityindex_2023,0.93000686
addas_proposedplanningconceptpublic_2020,1.567143
addona_raspberrypivideocamera_2022,1.1980352
ade_genuslevelmappinginvasive_2022,1.0386391
adebola_roadmapintegratedspaceapplications_2021,1.1331074
adedeji_hybridneurofuzzyinvestigationshort_2021,1.1667078
adedeji_mappingmodelingecosystemservices_2018,1.5154666
adekunle_precisionagricultureapplicabilityopportunities_2013,1.1745298
adelowo_environmentalimpactassessmentattenda_2012,1.7838087
adeluyi_estimatingphenologicaldynamicsirrigated_2021,0.9644489
adem_estimationevapotranspirationbasedmetric_2023,1.5219085
adenle_spatialestimationvisualizationco2_2017,1.1874793
adeppady_reducingmicroservicesinterferencedeployment_2023,1.6618309
adewumi_investigatinggroundwaterpotentialnortheastern_2023,1.459194
adeyemi_evaluationlandlandcover_2022,1.2976167
adeyemi_spectralindeximproveextraction_2021,1.0455362
adhikari_identificationprioritizationmappingecosystem_2018,1.1655612
adhikari_perceivedecosystemservicespanchase_2018,1.1299354
adilov_economicanalysisearthorbit_2015,1.4249928
adilov_estimateexpectedeconomiclosses_2023,1.2776818
adinarayana_approachlandplanninghilly_1995,1.2991345
adinarayana_integratedapproachprioritisationwatersheds_1995,1.6617157
adler_monitoringmountainschangingworld_2018,1.1127131
adriaensen_prioritiesnationalspacestrategies_2015,1.3895167
adrian_sentinelsaropticalfusion_2021,1.1765
adugyamfi_reflectionssciencetechnologyinnovation_2022,1.3215
adusei_spatialpredictionmappingwater_2021,1.2453727
aekakkararungroj_publiclygisbasedweb_2020,1.2849638
aerts_conservationethiopianchurchforests_2016,1.4017253
afan_adaptivemethodidentifyingmarine_2018,1.5152335
afandy_trendsprojectionsanalysisprecipitation_2023,0.6497704
affek_impactsmodernmechanisedskidding_2017,1.4949796
afifi_detectionimpactlandencroachment_2018,0.98493534
afolabi_costeffectivenessanalysiseast_2023,1.9004316
afreen_floodsusceptibilityanalysispanjkora_2022,0.9690242
afrin_influenceprescribedfirefine_2020,1.2968131
agapiou_potentialvirtualearthobservation_2019,0.79843616
agar_nocturnalhaemodialysisaustraliancost_2005,1.5244893
agarwal_predictingpovertyindexdeep_2019,1.4854107
agasha_effectequalityhealthbwindi_2019,1.7911899
agbabiaka_determinantstourismparticipationyoruba_2023,1.0206429
agbaje_cooperationearthobservationmissions_2018,1.1346793
agdas_determininglandlandcover_2023,1.0753238
agduma_speciesrichnessextentpotential_2023,1.7979894
aggestam_digitalnormcontestationfeminist_2023,1.5012207
agha_multiscalestrategiesmonitoring_2012,1.7132025
aghababaei_introducingartmo'smachinelearning_2022,1.0411087
aghakouchak_impactbasedmonitoringdrought_2023,0.9054852
aghdam_landslidesusceptibilityassessmenthybrid_2017,1.2965121
agnihotri_intelligentvulnerabilitypredictionsoil_2021,1.4730892
agola_globalizedpovertyenvironment21st_2014,1.5501232
agostinho_sustainabilitydynamicsbrazilianmatopiba_2023,1.0989875
agosto_vectorrasterserveranalysis_2013,1.2805252
agrawal_deepresidualconvolutionalneural_2023,1.3011162
agrillo_earthobservationbiodiversitydata_2021,0.8267452
aguaron_comparisonmethodsestimatingcarbondioxide_2012,1.3749907
aguda_spatiotemporalassessmenturban_2013,1.3050008
agudelohz_scenarioslandlandcover_2023,1.3848163
aguiarsilva_flyingforestcanopymovement_2023,1.4267519
aguilar_comparisonspectralindicesextracted_2022,1.0239385
aguilar_performanceassessmentmod16evapotranspiration_2018,1.5447662
aguirregutierrez_pantropicalmodellingcanopyfunctional_2021,1.3103034
ahadi_evaluatingfarmirrigationefficiency_2013,1.5437441
ahamed_assessingutilityremotesensing_2022,1.2887926
ahamed_modisbasedautomatedflood_2017,1.1304575
ahearn_monitoringeffectsdracunculiasisremediation_1996,1.4176412
ahmad_agroforestrysuitabilityanalysisbased_2017,1.3636551
ahmad_analysisforestfireclimate_2019,0.92330724
ahmad_assessingimpactspopulationgrowth_2018,1.354563
ahmad_diagnosingirrigationperformancewater_2009,1.3675762
ahmad_fireriskassessmentclimate_2019,1.2919664
ahmad_gismodelingenvironmentalparameters_2023,1.3810802
ahmad_hydrologicalriskassessmentmangla_2023,1.3026257
ahmad_landevaluationtermsagroforestry_2017,0.960903
