citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.3594912
aaheim_lostbenefitscarbonuptake_2018,1.3931732
aapro_digitalhealthoptimalsupportive_2020,1.461751
abad_detectinglandslidedammedlakes_2022,1.116045
abaduribarren_deeplearningassistedresolution_2022,1.4408519
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.2767303
abapour_bayesiangametheoreticbased_2020,1.3994539
abate_hydrologicalmodelingkobogolina_2023,1.5405569
abay_urbanisationimprovehouseholdwelfare_2023,1.184976
abbafati_globalburden369diseases_2020,1.1710337
abbas_characterizingclassifyingurbantree_2021,1.3852746
abbas_monitoringscaleforestrestoration_2023,1.2308326
abbas_predictingwaterqualityvariability_2023,1.3059037
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.180166
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.5432185
abbes_predictionnonstationarymultitemporal_2016,0.94000244
abbott_inboundarrivalsweathersurveillance_2023,1.4822543
abburu_engineeringevaluationglimpsesatellite_2015,0.9373611
abcede_insarbaseddetectionmapping_2022,1.3048155
abdallah_spatialdistributionblockfalls_2010,1.1236259
abdelaal_integratedstudiesidentifysite_2021,1.5271847
abdelfattah_webbasedgisenabled_2015,1.4192765
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.3784981
abdelhaleem_applicationremotesensinggeographic_2021,1.1424518
abdelhamid_evaluationecosystemservicesresult_2022,1.1988394
abdelhamid_geospatialanalysislanddriving_2021,1.0830767
abdelhamid_impactassessmentlanddynamics_2023,1.3271762
abdelhamid_pastfuturelandland_2022,1.239001
abdelrahman_mappingsoilslandrelated_2022,1.3258252
abdelsamie_integrationruslemodelremote_2023,1.2880158
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.0311177
abdi_soilerosiondegradationassessment_2023,1.3629286
abdo_evolvingtotalevaluationmap_2020,1.4471573
abdo_modelingurbandynamicscarbon_2021,1.257166
abdollahi_explainableartificialintelligencexai_2023,1.4687558
abdollahi_remotesensingcapabilitiesobservational_2023,1.1124952
abdollahnejad_predictiondominantforesttree_2017,1.3444552
abdrabo_integratedmethodologyurbanflood_2020,1.289433
abdul_quantifyinglandscapestructurekelantan_2021,1.1623001
abdulaziz_distributionfecalcontaminationurbanized_2023,1.5792713
abdulhammed_satelliteimagesmatchingmosaic_2023,1.195699
abdulkadirov_satelliteimagerecognitionensemble_2024,1.229079
abdulkalam_internationalpartnershiplunarmissions_2005,1.260198
abdulkareem_termhydrologicimpactassessment_2018,1.5616275
abdulkareem_termrunoffdynamicsassessment_2019,1.487374
abdullah_monitoringdrasticgrowthship_2013,1.3456221
abdullah_precisionagriculturepracticesplanting_2023,1.2370918
abdullah_urbangreenbluespace_2022,1.1789114
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.286057
abdullahi_gisbasedsustainablecity_2015,1.4954073
abdullahi_spatialmodellingsitesuitability_2014,1.3972231
abdulmajid_influencetechnologyadoptionfarmers_2024,1.3098874
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.3649015
abebe_dynamicslandlandcover_2022,1.2465289
abebe_rurallandmanagementoptions_2020,1.1290232
abedi_mineralpotentialmappingcentral_2015,1.3971702
abedigheshlaghi_gisdevelopmodelforest_2019,1.2145488
aben_callviewshedecologyadvancing_2018,1.3205893
abera_anthropogenicthreatswetlandresources_2022,1.1197592
abera_estimatingwaterbudgetcomponents_2017,1.4316258
abichou_uncertaintiesopticalremotesensing_2010,1.5852419
abidin_mangrovepotentialassessmentdetermining_2023,1.2631861
abiodun_centersspacesciencetechnology_1993,0.56107527
abiodun_remotesensinginformationage_1998,0.57393813
ablat_modisndvitimeseries_2021,1.4491205
abouelmagd_earthobservationsegyptiancoastal_2019,1.0758897
abousamra_detectionfillingphasesgrand_2021,1.2841723
abousamra_dynamicshumaninducedlakes_2022,0.7130542
aboushaara_trackingeffectsclimatechange_2022,1.2870975
abouzahr_estimatesmaternalmortalityinterpret_2011,1.3468497
abraham_classificationdetectionnaturaldisasters_2023,1.1088462
abraham_trialsimplantablemonitoringdevices_2014,1.6451635
abrahms_dynamicensemblemodelspredict_2019,1.3527877
abrahms_ontogeneticshiftssocialexperiential_2021,1.2255003
abreu_characterizingbraziliansanitarylandfill_2016,1.7440886
abrykosov_treatmentoceantidebackground_2022,1.4906259
abuelgasim_changedetectionadaptivefuzzy_1999,1.4863114
abuelmagd_understandingclimatechangeimpact_2024,1.0728401
abujahidandalsharif_contemporarysurveyfreespace_2022,1.3602352
abunnasr_automatedlandsurfacetemperature_2023,1.154448
abunnasr_perviouschangesurrogatediverse_2021,0.9299316
abunnasr_sebuautomatedgoogleearth_2022,1.1483588
abutaleb_estimatingurbangreennessindex_2021,1.1492051
