"id","type_of_work","title","abstract","publication_year","authors","keywords","journal_name","doi","tags","date_screened_t&a","t&a_status","t&a_exclusion_reasons"
6863695,NA,"Understanding Large-Scale Deforestation In Southern Jinotega, Nicaragua From 1978 To 1999 Through The Examination Of Changes In Land Use And Land Cover","Nicaragua, home to the largest remaining extent of rainforest in Central America (total surface area) and to a significant indigenous population, has lost approximately half of its forest cover since 1950. This major and rapid loss of forest cover has been explained as the consequence of an eastward moving agricultural frontier that cuts through the region of Jinotega. If the current deforestation rate continues, the country could lose its remaining forest cover over the course of the next two decades; therefore, it is essential that the dynamics and relationships of land-use and land-cover change (LUCC) in this region are understood. To examine LUCC in Nicaragua over time, Landsat imagery from the southern portion of the region of Jinotega, taken in 1978, 1987, and 1999 was utilized. A remote-sensing method, supervised classification, which allows for the grouping of spectrally similar values for each year, followed by an image change detection analysis (postclassification comparison) was conducted. Groundtruthing (field validation) was conducted in 2006 to validate the data, which yielded increasing overall accuracy rates of 71.68% for 1978, 82.35% for 1987, and 84.38% for 1999. The classification and change detection results showed that if the agricultural cultivation overtook this region, it happened before 1978. Therefore, the possibility that either deforestation did not actually occur along an agricultural frontier or that it was located further east exists; this would be an interesting subject for future studies. There was, however, clear evidence of increased forest cover from 1987 to 1999 near the urban center, correlating with the enforced reforestation law in the city of Jinotega. © 2008 Elsevier Ltd. All rights reserved.",2009,"{""Kelly, N. M."",""Zeledon, E. B.""}","{""Agricultural frontier"",""Applied remote sensing"",""Central America"",""Forest cover"",Jinotega,Nicaragua,Postclassification,accuracy,""agricultural procedures"",article,deforestation,""environmental change"",""forest management"",""image analysis"",""image classification"",""indigenous people"",""land use"",""land use change"",""law enforcement"",""rain forest"",reforestation,""remote sensing"",""satellite imagery"",""urban area""}",NA,"10.1016/j.jenvman.2008.03.016","{calibration}",2024-07-19 19:20:16,"excluded","{""Data is not valued""}"
6862729,NA,"Comparison Of Petiole Nitrate Concentrations, Spad Chlorophyll Readings, And Quickbird Satellite Imagery In Detecting Nitrogen Status Of Potato Canopies","Nitrogen (N) management is critical in optimizing potato yield and quality and reducing environmental pollution. Six N rates from 34 to 270 kg ha(-1), and different timing of N application were used in a 3-year field experiment to contrast SPAD-502 chlorophyll meter and QuickBird satellite imagery data against the conventional petiole sampling technique for assessing canopy N status. Overall treatment variations in SPAD readings were consistent with those in petiole nitrate-nitrogen (NO3-N) concentrations. However, the ability of the SPAD meter to detect treatment differences varied with growth stage and growing season. Severe N deficiency was detected about I month after emergence with SPAD readings, but as early as 2 weeks after emergence with petiole NO3-N concentrations. Petiole NO3-N concentrations tended to differentiate more treatment variations than SPAD readings at all growth stages except at hilling. N deficiency was detected with QuickBird image-derived vegetation indices (VIs) at the hilling stage in 2002, but not in 2003. At the post-hilling stage, treatment differences in VI values were minimal and insignificant except very late in the growing season. SPAD meters could be used as an indirect method for detecting N deficiency at the hilling stage when making supplemental N applications, but they are not as sensitive as the petiole sampling method. The sensitivity of QuickBird imagery to canopy N variations needs to be further tested with more pixel data. However, cloud interference and high cost of images could limit the use of QuickBird data in making timely management decisions. (c) 2006 Elsevier B.V. All rights reserved.",2007,"{""Bauer, Marvin E."",""Rosen, Carl J."",""Wang, Dong"",""Wu, Jindong""}","{""chlorophyll meter; petiole sampling; remote sensing; vegetation index""}",NA,"10.1016/j.fcr.2006.09.014","{calibration}",2024-07-19 18:22:47,"excluded","{""Data is not valued""}"
6863523,NA,"Application Of The Metric Model For Mapping Evapotranspiration Over The Sundarban Biosphere Reserve, India","This study is an attempt to estimate the spatial distribution of daily evapotranspiration (ET) in the Indian part of the Sundarban Biosphere Reserve by utilizing the (Mapping Evapo Transpiration at high resolution with internalized Calibration (METRIC) model. Landsat 8 OLI satellite image was used to run the METRIC model and calculate ET to explain the overall surface energy balance in the area under the present climatic conditions. The result obtained shows that, the ET minimum value ranges from 6.874 mm/day in cropland to a maximum of 12.321 mm/day in the forest and water bodies. We used a (ETrF) value of 1 for forests since the forest surface temperature was lower than the air temperature, resulting in a negative sensible heat flow. The use of METRIC energy balancing procedures for validation purposes using Landsat imagery shows that the per hourly, monthly, and yearly ET estimations acquired using MODIS (Moderate Resolution Imaging Spectro radiometer) data may be effectively reproduced. The research includes a novel component that verifies the efficacy of this technique for water conservation, as well as satellite-based technology, which offers effective and efficient tools for integrated evapotranspiration estimation.",2022,"{""De, Aakash"",""De, Tarun Kumar"",""Mondal, Ismail"",""Thakur, Sandeep""}","{""SEBAL; Remote Sensing; LST; Vegetation 's model; METRIC; Evapotranspiration""}",NA,"10.1016/j.ecolind.2022.108553","{calibration}",2024-07-17 19:23:58,"excluded","{""Data is not valued""}"
6862994,NA,"Effect Of An Environmental Flow On Vegetation Growth And Health Using Ground And Remote Sensing Metrics","Understanding the effectiveness of environmental flow deliveries along rivers requires monitoring vegetation. Monitoring data are often collected at multiple spatial scales. For riparian vegetation, optical remote sensing methods can estimate growth responses at the riparian corridor scale, and field-based measures can quantify species composition; however, the extent to which these different measures are duplicative or complementary is important to understand when planning monitoring programmes with limited resources. In this study, we analysed riparian vegetation growth in the delta of the Colorado River in response to an experimental pulse flow. Our goal was to compare ground-based measurements of vegetation structure and composition with satellite-based Landsat radiometric variables, such as the normalized difference vegetation index (NDVI). We made this comparison in 21 transects following the delivery of 131.8 million cubic meters (mcm) of water in the stream channel during the spring of 2014 as a pulse flow and 38.4 mcm as base flows. Vegetation cover increased 14\% and NDVI increased 0.02 (15\%) by October 2015, and both variables returned to pre-pulse flow values in October 2016. Observed changes in vegetation structure and composition did not persist after the second year. The highest increase in vegetation cover in October 2014 and October 2015 resulted from species that could respond rapidly to additional water such as reeds (Arundo donax and Phragmites australis), cattail (Typha domingensis), and herbaceous plants. Dominant shrubs, saltcedar (Tamarix spp.) and arrowweed (Pluchea sericea), both indicative of nonrestored habitats showed variable increases in cover, and native trees (Salicaceae family) presented low increases (1\%). The strong NDVI-vegetation cover relationship indicates that NDVI is appropriate to detect changes at the riparian corridor scale but needs to be complemented with ground data to determine the contributions by different species to the observed trends.",2020,"{""Flessa, Karl W."",""Glenn, Edward P."",""Gomez-Sapiens, Martha M."",""Jarchow, Christopher J."",""Nagler, Pamela L."",""Shafroth, Patrick B.""}","{""Colorado River Delta; cover NDVI; environmental flow; riparian monitoring; vegetation structure""}",NA,"10.1002/hyp.13689","{comparison}",2024-07-17 18:35:34,"excluded","{""Data is not valued""}"
6863549,NA,"Coastal Wetlands Of The Northern Gulf Of California: Inventory And Conservation Status","1. Above 28 degrees N, the coastline of the northern Gulf of California is indented Lit frequent intervals by negative or inverse estuaries that are saltier at their backs than at their Mouths due to the lack of freshwater inflow. These 'esteros' total over 215000 ha in area and encompass mangrove marshes below 29 degrees N and saltgrass (Distichlis palmeri) marshes north of 29 degrees N. An additional 6000 ha of freshwater and brackish wetlands are found in the Colorado River delta where fresh water enters the interticial zone. 2. The mangrove marshes in the Gulf of California have been afforded some degree of protected status in Mexico, but the northern saltgrass esteros do not have priority conservation status and are increasingly becoming development targets for resorts, vacation homes and aquaculture sites. 3. We conducted an inventory of the marshes using aerial photography and satellite images, and evaluated the extent and type of development on each marsh. We reviewed the available literature on the marshes to document their vegetation types, and ecological functions in the adjacent marine and terrestrial ecosystems. 4. Over 95\% of the mangrove marshes have been developed for shrimp fanning. However, the farms are built adjacent to, rather than in, the marshes, and the mangrove stands are still mostly intact. 5. The majority of saltgrass marshes above the mangrove line are still relatively unspoiled. However, resort and Vacation home development is taking place on land Surrounding them. 6. We recommend a system of protected reserves incorporating the pristine wetlands, along with water quality management and buffer zones For the more developed esteros. The saltgrass marshes should be considered for conservation protection, similar to the protection given to the Southern mangrove marshes whose Value has already been recognized. Copyright (C) 2006 John Wiley \& Sons, Ltd.",2006,"{""Brusca, RC"",""Glenn, EP"",""Hinojosa-Huerta, O"",""Nagler, PL""}","{""estero; estuary; wetland; Distichlis palmeri; saltgrass; mangrove""}",NA,"10.1002/aqc.681","{}",2024-07-19 20:24:45,"excluded","{""Data is not valued""}"
6863702,NA,"Ecological Security Layout Planning Of Chongqing Section In The Three Gorges Reservoir Area Based On The Model Of Minimum Cumulative Coefficient","The Three Gorges Reservoir Area is a region with sensitive, fragile and complicated ecological environment in the upper reaches of the Yangtze River. The construction of its ecological security pattern plays an important role in maintaining regional ecological security and achieving regional sustainable development. In this study, the Chongqing section of the Three Gorges Reservoir area was used as the research area, using 2018 land use status data and remote sensing data to build an evaluation system of the importance of ecological services and ecological sensitivity to comprehensively determine ecological source areas; Determine the resistance value and use the minimum cumulative resistance model to build an ecological corridor to form an ecological security pattern in the Chongqing section of the Three Gorges reservoir area. The research results show that the ecological source area of the Chongqing section of the Three Gorges Reservoir area is 13 660.80 km2, accounting for 29.61% of the total area of the study area, which is mainly distributed in Wuxi, Fengjie, Shizhu, Kaizhou and other counties; 81, with a total length of 3 069.29 km, the corridors are distributed in a tree-like radiation, showing the spatial pattern of ""Northeast-Southwest"" tree-like distribution; The ecological security pattern of ""one corridor and two circles"" in the northeast of the Three Gorges Reservoir, the southwestern urban ecosphere of the Three Gorges Reservoir, and the central corridor connecting the two gorges is formed by the ecological source and the corridor. The results of the study are of great significance to the protection of the ecological safety of the Three Gorges Reservoir area and can provide a scientific basis for the environmental protection of the Three Gorges Reservoir area. © 2021, Science Press. All right reserved.",2021,"{""Li, M. H."",""Liu, X. W."",""Meng, H. B."",""Peng, C. H."",""Zhou, L."",""Zhou, Q. G.""}","{""Ecological security pattern"",""Minimum cumulative resistance"",""Three Gorges Reservoir area""}",NA,"10.11870/cjlyzyyhj202108013","{}",2024-07-19 19:25:34,"excluded","{""Data is not valued""}"
6863492,NA,"Biodiversity And Health: Lessons And Recommendations From An Interdisciplinary Conference To Advise Southeast Asian Research, Society And Policy","Southeast Asia is an economic, biodiverse, cultural and disease hotspot. Due to rapid socio-economic and environmental changes, the role of biodiversity and ecosystems for human health ought to be examined and communicated to decision-makers and the public. We therefore summarized the lessons and recommendations from an interdisciplinary conference convened in Cambodia in 2014 to advise Southeast Asian societies on current research efforts, future research needs, and to provide suggestions for improved education, training and science-policy interactions. First, we reviewed several examples of the important role of ecosystems as 'sentinels' in the sense that potentially harmful developments for human health become first apparent in ecosystem components. Other ecosystem services which also benefit human well-being are briefly summarized. Second, we summarized the recommendations of the conference's roundtable discussions and added recent developments in the science-policy interface. The recommendations were organized along five themes: Ethical and legal considerations; implementation of the One Health approach; education, training, and capacity building; future research priorities; and potential science-policy interactions. While the role of biodiversity for human health needs further research, especially for zoonoses and emerging diseases, many direct and indirect benefits to human health are already apparent, but have yet to filter down to the science-policy interface in order to influence legislation and enforcement. Therefore, efforts to strengthen the interface in Southeast Asia should become a high priority in order to strengthen the health and resilience of Southeast Asian societies. © 2016 Elsevier B.V.",2016,"{""Binot, A."",""Boëte, C."",""By, Y."",""Cappelle, J."",""Carrique-Mas, J."",""Chou, M."",""Furey, N."",""Kim, S."",""Lajaunie, C."",""Lek, S."",""Morand, S."",""Méral, P."",""Neang, M."",""Tan, B. H."",""Walther, B. A."",""Walton, C.""}","{""Antibiotic resistance"",""Asia, Southeastern"",Biodiversity,""Biomedical Research"",""Congresses as Topic"",""Ecosystem services"",Evolution,""Guidelines as Topic"",Humans,""Public Health"",Review,""Science-policy interface"",""Southeast Asia"",""capacity building"",climate,""disease transmission"",ecosystem,education,ethics,health,""health service"",human,jurisprudence,law,""law enforcement"",legislation,management,""medical education"",""medical research"",organization,organization,""pesticide resistance"",policy,pollutant,""practice guideline"",""priority journal"",wellbeing,zoonosis}",NA,"10.1016/j.meegid.2016.02.003","{}",2024-07-12 23:24:20,"excluded","{""ESI data not used""}"
6691672,NA,"Progress Report on the Implementation of the Global Observing System for Climate in Support of the UNFCCC 2004-2008 5","- The increasing profile of climate change has reinforced world-wide awareness of the importance of an effective Global Climate Observing System.\n- Developed Countries have improved many of their climate observation capabilities, but national reports suggest little progress in ensuring long-term continuity for several important observing systems.\n- Developing Countries have made only limited progress in filling gaps in their in situ observing networks, with some evidence of decline in some regions, and capacity building support remains small in relation to needs.\n- Both operational and research networks and systems, established principally for other purposes, are increasingly responsive to climate needs including the need for timely data exchange.\n- Space agencies have improved both mission continuity and observational capability, and are increasingly meeting the identified needs for data reprocessing, product generation, and access.\n- The Global Climate Observing System has progressed significantly over the last five years, but still falls short of meeting all the climate information needs of the UNFCCC and broader user communities.",2009,"{""Global Climate Observing System""}",NA,NA,"https://unfccc.int/resource/docs/2009/sbsta/eng/misc07.pdf","{}",2024-04-28 01:00:12,"excluded","{""Data is not valued""}"
6691558,NA,"Enabling stakeholder decision-making with Earth observation and modeling data using Tethys platform","Tethys Platform is an open source framework for developing web-based applications for Earth Observation data. Our experience shows that Tethys significantly lowers the barrier for cloud-based app development, simplifies the process of accessing scalable distributed cloud computing resources and leverages additional software for data and computationally intensive modeling. The Tethys software development kit allows users to create web apps for visualizing, analyzing, and modeling Earth Observation data. Tethys platform provides a collaborative environment for scientists to develop and deploy several Earth Observation web applications across multiple Tethys portals. We work in partnership with leading regional organizations world-wide to help developing countries use information provided by earth-observing satellites and geospatial technologies for managing climate risks and land use. This paper highlights the several Tethys portals and web applications that were developed as part of this effort. Implementation of the Tethys framework has significantly improved the Application Readiness Level metric for several NASA projects and the potential impact of Tethys to replicate and scale other applied science programs.",2019,"{""Nelson, James""}","{""Tethys platform|earth observations|decision-making|hydroinformatics|SERVIR""}",NA,"https://doi.org/10.3389/fenvs.2019.00148","{}",2024-04-25 02:27:00,"excluded","{""No societal value context"",""Value is not measured"",""Data is not valued""}"
6862780,NA,"Research On Anti-Shadow Tree Detection Method Based On Generative Adversarial Network","High-scoring remote sensing imaging has widely been applied in most management of agriculture and forestry, especially to monitor and evaluate crops and forest resources on a large scale. Nevertheless, there is a great challenge to the accuracy of single tree identification and detection during the image acquisition, due mainly to the fact that the shadow area is inevitably formed by the light. The shadow areas in the remote sensing images can be assumed as a kind of noise in the image sampling. As such, the degradation of high-resolution parameters can cause image distortion after post-processing. In this study, an anti-shadow tree detection method was proposed to detect the single tree with shadow interference using a generative adversarial network (GA-Faster RCNN). This framework consisted of a Faster RCNN network and a tree generator. The Faster RCNN network was mainly used for the tasks of feature extraction and detection. The tree generator was utilized to process the shadows in tree detection. The adversarial generation strategy was adopted by the tree generator to learn generating the minimum feature information characterizing trees. The generator was first trained separately and then put into the Faster RCNN network to finally lock its parameters. Two parts were then trained end-to-end to further improve the tree recognition ability of the network. The GA-Faster RCNN was also compared with 3 state-of-the-art methods, including region-growing, progressive cascaded convolutional neural network, and Faster RCNN on three test areas with shadows. Test area 1 presented a lot of shadows of trees, where the canopy density of trees was very high. Test area 2 showed fewer tree shadows and lower canopy closure, compared with test area 1. The shades of trees and the canopy density of trees in test area 3 were between those in test area 1 and 2. Results demonstrated that the GA-Faster RCNN achieved the highest harmonic average of precision and recall (F1) on the test area 1, 2, and 3, which were 78.4%, 91.6%, and 81.7%, respectively. The average F1 of three test areas was 84.7% for the GA-Faster RCNN, 6.2 percentage point higher than that of Faster RCNN. The user accuracy (UA) and producer accuracy (PA) of GA-Faster RCNN were also the highest among four methods, where UA was 79.8%, 95.0%, 85.3%, and PA was 77.0%, 88.5%, and 78.4% on test area 1, 2, 3, respectively. Moreover, a significance analysis, McNemar, was performed to eliminate the interference of experimental errors and other factors. It was found that there was a statistically significant difference between the three comparison methods and GA-Faster RCNN. The shadow misrecognition rate SR (proportion of the count of shadows misrecognized as trees to the count of total recognized trees) of GA-Faster RCNN was compared with that of Faster RCNN on test area 1, in order to clarify the effect of the mask on tree identification. Although the SR of GA-Faster RCNN was 13.8%, higher than that of Faster RCNN (8.6%), the UA and the number of missed tree identification were both better than those of Faster RCNN. Therefore, the GA-Faster RCNN behaved significant advantages over the other identification. In addition, the GA-Faster RCNN can still maintain the detection stability, when using different feature extraction networks, including ResNet101, ResNet50, and DenseNet. Consequently, the adversarial generative training strategy is highly suitable for learning the minimum feature information characterizing trees, while effectively reducing the interference of shadows, indicating the promising practical value for higher accuracy of tree detection. © 2021, Editorial Department of the Transactions of the Chinese Society of Agricultural Engineering. All right reserved.",2021,"{""Shen, B."",""Shen, Y."",""Ye, Y.""}","{""Adversarial networks"",""Agricultural robots"",Algorithm,""Convolutional neural networks"",""Deep learning"",Detection,Extraction,""Feature extraction"",Forestry,Image,""Image processing"",""Image sampling"",Precision,""Recognition abilities"",""Remote sensing"",""Remote sensing images"",""Remote sensing imaging"",""Shadow interference"",""Significance analysis"",""State-of-the-art methods"",""Statistically significant difference"",Testing,Tree,recall}",NA,"10.11975/j.issn.1002-6819.2021.10.014","{calibration}",2024-07-19 20:46:44,"excluded","{""Data is not valued""}"
