"id","title","authors","publication_year","tags","t&a_status","t&a_exclusion_reasons"
6691716,"Future earth observation strategy for societal benefits","{""Zhou, Guoqing""}",2005,"{maybe}","included",NA
6691623,"Position paper: evaluation methods and techniques","{""Smart, Alan""}",2014,"{}","included",NA
6447803,"Estimating the Value of Near-real-time Satellite Information for Monitoring Deforestation in the Brazilian Amazon","{""Biggs, Trent"",""Caviglia-Harris, Jill"",""Mullan, Katrina"",""Ribeiro, Jime Rodrigues"",""Santiago, Thaís Ottoni"",""Sills, Erin"",""West, Thales A P""}",2022,"{benchmark}",NA,NA
6691648,"CEOS contributions to informing energy management and policy decision making using space-based Earth observations","{""Eckman, Richard S.""}",2012,"{}","included",NA
6691588,"Free satellite imagery and digital elevation model analyses enabling natural resource management in the developing world: studies from Eastern Indonesia","{""Fisher, Rohan""}",2017,"{maybe}","included",NA
6691571,"Enhancing the standardized drought vulnerability index by integrating spatiotemporal information from satellite and in situ data","{""Oikonomou, Panagiotis""}",2019,"{}","included",NA
6659922,"Earth Observation Satellite Data In Support Of Water Management For Agriculture","{""Badea, Alexandru"",""Moise, Cristian"",""Negula, Iulia Dana"",""Poenaru, Violeta""}",2017,"{cco}","included",NA
6691739,"Pricing policy and legal issues: 6th and 7th EOPOLE workshops","{""Harris, Ray""}",2000,"{duplicate}","included",NA
6669797,"Data Justice And Biodiversity Conservation","{""Brockington, D."",""Kiwango, W. A."",""Oldekop, J. A."",""Pritchard, R."",""Sauls, L. A.""}",2022,"{cco,maybe}","included",NA
6669797,"Data Justice And Biodiversity Conservation","{""Brockington, D."",""Kiwango, W. A."",""Oldekop, J. A."",""Pritchard, R."",""Sauls, L. A.""}",2022,"{cco,maybe}","included",NA
6691562,"Benefits of the free and open Landsat data policy","{""Zhu, Zhe""}",2019,"{maybe}","included",NA
6691687,"Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study","{""McCallum, Ian""}",2008,"{}","included",NA
6661505,"Can Remote Sensing Fill The United States' Monitoring Gap For Watershed Management?","{""Kumar, Saurav"",""Kumar, Swetha Madhur"",""Sridharan, Vamsi Krishna""}",2022,"{cco}","included",NA
6661505,"Can Remote Sensing Fill The United States' Monitoring Gap For Watershed Management?","{""Kumar, Saurav"",""Kumar, Swetha Madhur"",""Sridharan, Vamsi Krishna""}",2022,"{cco}","included",NA
6691690,"Valuing Weather Observation Systems For Forest Fire Management","{""Khabarov, Nikolay""}",2008,"{}","included",NA
6691514,"Geographic microtargeting of social assistance with high-resolution poverty maps","{""Smythe, Isabella""}",2022,"{}","included",NA
6691527,"A Scalable Earth Observations-Based Decision Support System for Hydropower Planning in Africa","{""Koppa, Akash""}",2021,"{maybe}","included",NA
6447808,"The Value of Remotely Sensed Information: The Case of a GRACE-Enhanced Drought Severity Index","{""Bernknopf, Richard"",""Brookshire, David"",""Kuwayama, Yusuke"",""Macauley, Molly"",""Rodell, Matthew"",""Thompson, Alexandra"",""Vail, Peter"",""Zaitchik, Benjamin""}",2018,"{benchmark}",NA,NA
6666482,"Assessment Of The Benefits Of Environmental Remote Sensing","{""Hershaft, Alex""}",1975,"{old,cco}","included",NA
6666482,"Assessment Of The Benefits Of Environmental Remote Sensing","{""Hershaft, Alex""}",1975,"{old,cco}","included",NA
6447795,"Value of information for climate observing systems","{""Cooke, Roger"",""Mlynczak, Martin G."",""Wielicki, Bruce A."",""Young, David F.""}",2014,"{benchmark}",NA,NA
6691587,"Earth observation in service of the 2030 Agenda for Sustainable Development","{""Anderson, Katherine""}",2017,"{maybe}","included",NA
6691617,"Stakeholder Value Network (SVN) Analysis for Indian Earth Observation Program","{""Sundararajan, Venkatesan""}",2015,"{}","included",NA
6691642,"The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR","{""Müller, Daniel""}",2013,"{}","included",NA
6691655,"Earth observation and the public good","{""Harris, Ray""}",2011,"{}","included",NA
6691625,"Landsat and Water—Case Studies of the Uses and Benefits of Landsat Imagery in Water Resources","{""Serbina, Larisa""}",2014,"{}","included",NA
6691614,"The social innovation potential of ICT-enabled citizen observatories to increase eParticipation in local flood risk management","{""Wehn, Uta""}",2015,"{maybe}","included",NA
6447801,"Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat","{""Benedict, Karl K."",""McConnell, Abby E."",""Molder, Edmund B."",""Schenkein, Sarah F."",""Straub, Crista L.""}",2022,"{benchmark}",NA,NA
6672304,"Social Benefit Of China Earth Resource Satellite And Its Cvm Evaluation Method","{""Chu, F. F."",""Li, Y. J."",""Liang, Y. C."",""Yan, X. B.""}",2009,"{cco}","included",NA
6672304,"Social Benefit Of China Earth Resource Satellite And Its Cvm Evaluation Method","{""Chu, F. F."",""Li, Y. J."",""Liang, Y. C."",""Yan, X. B.""}",2009,"{cco}","included",NA
6691657,"Assessing the value of Earth observation for managing coral reefs: an example from the Great Barrier Reef","{""Bouma, Jetske A.""}",2011,"{""in benchmarks?""}","included",NA
6691598,"Visual Evidence from Above: Assessing the Value of Earth Observation Satellites for Supporting Human Rights","{""Notley, Tanya""}",2016,"{}","included",NA
6691509,"Using Data from Earth Observation to Support Sustainable Development Indicators: An Analysis of the Literature and Challenges for the Future","{""Andries, Ana""}",2022,"{maybe}","included",NA
6691631,"Using Earth Observations to Enhance Water Resources Decision-making and Disaster Assessment Processes in the United States and the Developing World","{""Lee, Christina""}",2013,"{maybe}","included",NA
