"id","title","abstract","publication_year","authors","date_screened_t&a","t&a_status","t&a_exclusion_reasons","doi"
7037221,"Remote Sensing Products And Services In Support Of Agricultural Public Policies In Africa: Overview And Challenges","In the last decade, governments, international institutions, donors, the private sector, etc. have shown a renewed interest in agricultural issues in Sub-Saharan Africa (SSA). This interest came with a strong need for information in countries where the lack of reliable and timely basic information can be a problem. Thanks to its capacity to observe the Earth at local, regional, and global scales and from various vantage points, satellite remote sensing is a powerful tool to streamline the monitoring and improvement of the existing systems, and thus to support decision-making. However, the path from satellite images to public policy decisions is not straightforward, and today, only few operational information services are available in SSA countries (e.g., early warning systems for food security and desert locust plagues prevention, rangeland production forecasting). This paper aims to analyze the gap between the technical aspects of the remote sensing sciences and the pragmatic need for relevant data to address agricultural policies in Africa and produce operational recommendations. To achieve this goal, the authors (1) determine the information, and in particular the geoinformation, needed to develop, implement and evaluate agricultural public policies (2) illustrate the role of remote sensing as a public policy tool in SSA through an overview of the current off-the-shelf products and services derived from Earth Observation systems, and (3) propose an analysis of the existing gap between the remote sensing research community and the policy makers. Based on this review, the authors conclude that to benefit from this technological advancement and bridge the gap between technical analysts and policy makers, some key points are fundamental: capacity building, political will and institutional commitment, public-private partnership, and proofs of concept.",NA,NA,2024-10-30 17:18:19,"included",NA,"10.3389/fsufs.2020.00058"
6691716,"Future earth observation strategy for societal benefits","This invited paper presents the future intelligent observing system (FIEOS) and event-driven earth observation concepts as well as their connections to societal benefits for both decision-makers and the general public. The elucidated linkage and flow of information from FIEOS to societal benefits is interoperable. With the envisioned FIEOS, this paper places an emphasis on (i) How to apply the FIEOS to increase the efficiency of monitoring natural disaster, to improve the natural disaster management, and to mitigate disasters through providing highly accurate, and reliable surveillance data for experts, analysts, and decision-makers; (ii) How to significantly increase and extend societal benefits to the future U.S. Earth observation application strategy in, for example, realtime response to time-critical events, and disastrous environmental monitoring. Therefore, this paper presents the analysis of FIEOS to society benefit in the realms: (i) reducing loss of life and property from natural and human-induced disasters, (ii) improving human health and well-being, (iii) improving wealth forecasting, (iv) supporting sustainable agriculture, and (v) serving lay people.",2005,"{""Zhou, Guoqing""}",2024-04-22 02:38:22,"included",NA,"https://doi.org/10.1109/IGARSS.2005.1526433"
7038064,"Disaster Management And Virtual Globes: A High Potential For Developing Countries","Today, the added value of geoinformation for crisis management is well known and accepted. However, experiences show that disaster management units on local administrative levels in the developing world often lack the use of Geographic Information Systems for analysing spatial interrelations and making their own maps. Various studies mention the shortage of financial resources, human capacity, and adequate knowledge as reasons for that. In recent years publically available virtual globes like Google Earth (TM), Microsoft (R) Bing T Maps 3D or Nasa World Wind enjoy great popularity. The accessibility of worldwide high resolution satellite data, their intuitive user interface, and the ability to integrate own data support this success. In this chapter, the potential of these new geospatial technologies for supporting disaster preparedness and response is demonstrated, using the example of Google Earth T. Possibilities for the integration of data layers from third parties, the digitization of own layers, as well as the analytical capacities are examined. Furthermore, a printing module is presented, which supports the production of paper maps based on data previously collected and edited in Google Earth T. The efficiency of the proposed approach is demonstrated for a disaster management scenario in Legazpi, a Philippine city exposed to several natural hazards due to the vicinity to Mayon volcano and the annually occuring typhoons in the region. With this research, current technological trends in geospatial technologies are taken up and investigated on their potential for professional use. Moreover, it is demonstrated that by using freely available software general constraints for using GIS in developing countries can be overcome. Most importantly, the approach presented guarantees low cost for implementation and reproducibility, which is essential for its application in developing countries.",NA,NA,2024-11-18 19:38:38,"included",NA,"10.4018/978-1-4666-2038-4.ch095"
6903586,"Modelling And Evaluation Of Land Use Changes Through Satellite Images In A Multifunctional Catchment: Social, Economic And Environmental Implications","Floods are recurrent phenomena with significant environmental and socio-economic impacts. The risk of flooding increases when land use changes. The objective of this research is to detect land cover changes via Sentinel-2 images in the Umia Basin (Galicia, NW Spain) in 2016-2021 and to analyse the associated flood risk. This study focuses on how forest use and nature-based solutions (NBS) can reduce the risk and hazard of flooding in cities and crops in the high-risk area. A flood simulation was performed with the land use obtained from Sentinel-2 (Observed) and three more simulations were performed changing the location of afforestation and NBS, i.e. ""S-Upstream"", ""S-Downstream"" and ""S-Total"". Finally, the environmental, economic and social impacts of the scenarios designed and estimated are analysed and discussed. Land cover change was successfully monitored with Sentinel-2 imagery. The catchment area showed noteworthy changes in land use, most notably for the category of trees, which covered 6700 ha in 2016 and 10,911 ha in 2021. However riparian vegetation decreased by almost 11\%. For the flood hazard simulations, an average reduction in peak discharge was obtained for all three scenarios (9.3\% for S-Up; 8.6\% for S-Down and 13\% for S-Total). From the economic perspective, all three scenarios show a positive net present value for the period studied. However, S-Down is the scenario with the lowest benefits (euro15,476,487), while S-Up and S-Total show better values at euro29,580,643 and euro65,158,130 respectively. However, investment cost is much higher for the S-Total scenario, and upstream actions affect the whole catchment, so S-Up is the best decision. This study concludes that the information provided by satellites is a large-scale analysis tool for small heterogeneous plots that facilitates the comprehensive analysis of a territory. This information can be incorporated into flood analysis models, facilitating simulation through the use of NBS. It has been proven that the use of reforestation upstream only is almost as beneficial as reforestation in the entire catchment and is economically more viable. This confirms that the methodology used reduces flood hazard, despite the territorial complexity, facilitating decision making on the use of NBS.",NA,NA,2024-09-26 00:50:29,"included",NA,"10.1016/j.ecoinf.2022.101777"
7037121,"The Utility Of Airborne Hyperspectral And Satellite Multispectral Images In Identifying Natura 2000 Non-Forest Habitats For Conservation Purposes","Aerial hyperspectral and multispectral satellite data are the two most commonly used datasets to identify natural and semi-natural vegetation. However, there is no documented analysis based on data from several areas concerning the difference in the classification accuracy of non-forest Natura 2000 habitat with the use of aerial hyperspectral and satellite multispectral data. Also, there is no recommendation, on which habitat can be classified with sufficient accuracy using free multispectral images. This study aimed to analyse the difference in classification accuracy of Natura 2000 habitats representing: meadows, grasslands, heaths and mires between data with different spectral resolutions and the results utility for nature conservation compared to conventional maps. The analysis was conducted in five study areas in Poland. The classification was performed on multispectral Sentinel-2 (S2) and hyperspectral HySpex (HS) images using the Random Forest algorithm. Based on the results, it can be stated that the use of HS data resulted in higher classification accuracy, on average 0.14, than using S2 images, regardless of the area of the habitat. However, the difference in accuracy was not constant, varying by area and habitat characterisation. Greater differences in accuracy were observed for areas where habitats were characterised by high alpha-diversity or beta-diversity. The HS and S2 data make it possible to create maps that provide a great deal of new knowledge about the distribution of Natura 2000 habitats, which is necessary for the management of protected areas. The obtained results indicate that by using S2 images it is possible to identify, at a satisfactory level, alluvial meadows and grassland. For heaths and mires, using HS data improved the results, but it is also possible to acquire general distribution of these classes, whereas HS images are obligatory for mapping salt, Molinia and lowland hay meadows.",NA,NA,2024-11-21 02:21:21,"included",NA,"10.1038/s41598-023-31705-6"
6691648,"CEOS contributions to informing energy management and policy decision making using space-based Earth observations","Earth observations are playing an increasingly significant role in informing decision making in the energy sector. In renewable energy applications, space-based observations now routinely augment sparse ground-based observations used as input for renewable energy resource assessment applications. As one of the nine Group on Earth Observations (GEO) societal benefit areas, the enhancement of management and policy decision making in the energy sector is receiving attention in activities conducted by the Committee on Earth Observation Satellites (CEOS). CEOS has become the ""space arm"" for the implementation of the Global Earth Observation System of Systems (GEOSS) vision. It is directly supporting the space-based, near-term tasks articulated in the GEO three-year work plan. This paper describes a coordinated program of demonstration projects conducted by CEOS member agencies and partners to utilize Earth observations to enhance energy management end-user decision support systems. We discuss the importance of engagement with stakeholders and understanding their decision support needs in successfully increasing the uptake of Earth observation products for societal benefit. Several case studies are presented, demonstrating the importance of providing data sets in formats and units familiar and immediately usable by decision makers. These projects show the utility of Earth observations to enhance renewable energy resource assessment in the developing world, forecast space weather impacts on the power grid, and improve energy efficiency in the built environment.",2012,"{""Eckman, Richard S.""}",2024-04-22 02:30:27,"included",NA,"https://doi.org/10.1016/j.apenergy.2011.03.001"
6659922,"Earth Observation Satellite Data In Support Of Water Management For Agriculture","The Earth Observation (EO) satellite data provided within the Copernicus Programme supports the monitoring and sustainable management of agriculture. For example, satellite data are useful for agriculture mapping, crop health monitoring, land planning, disease mitigation, crop yields estimation, precise agriculture, and sustainable irrigation water management. The identification of non-authorised water abstractions for irrigation is of high importance since the drought phenomenon is increasingly in the past decades due to climate change. This aspect is addressed by DIANA - ""Detection and Integrated Assessment of Non-authorised water Abstractions using EO"", a project funded by the European Commission in the frame of H2020 (European Union Framework Programme for Research and Innovation). The project will integrate data acquired by the Sentinel missions (Sentinel-1, Sentinel-2 and Sentinel-3) and as well Landsat and MODIS. Other types of data (meteorological, land use/land cover, digital elevation models, soil, etc.) will support the satellite data processing and the generation of value-added products. In addition, the project aims at significantly improve the monitoring and assessment of the water management policies and practices. As the project is in its initial phase, the results presented in this article are preliminary. The project will demonstrate the relevance of EO data for sustainable agriculture management and will bring societal and environmental benefits to the end users.",2017,"{""Badea, Alexandru"",""Moise, Cristian"",""Negula, Iulia Dana"",""Poenaru, Violeta""}",2024-04-11 22:02:52,"included",NA,NA
6863498,"The Value Of Site-Specific Information And The Environment: Technology Adoption And Pesticide Use Under Uncertainty","Remote sensing technology offers an opportunity to significantly increase the amount of site-specific information about field characteristics such as pest populations. Coupled with variable rate application technologies, this added information has the potential to provide environmental benefits through reduced pesticide applications. However, producers face a complicated adoption decision because output prices and crop yields are uncertain. A model is developed to examine the potential value of remote sensing information to pesticide applications in an option-value framework under uncertainty. Simulations suggest that remote sensing information could decrease pesticide use, but uncertainty and irreversibility are likely to limit technological adoption by farmers. Potential cost-share subsidies are discussed. (c) 2005 Elsevier Ltd. All rights reserved.",2005,"{""Coble, KH"",""Hudson, D"",""Isik, M""}",2024-07-12 19:48:02,"included",NA,"10.1016/j.jenvman.2005.01.024"
6863048,"Where Have All The People Gone? Enhancing Global Conservation Using Night Lights And Social Media","Conservation prioritization at large scales is complex, combining biological, environmental, and social factors. While conservation scientists now more often aim to incorporate human-related factors, a critical yet unquantified challenge remains: to identify which areas people use for recreation outside urban centers. To address this gap in applied ecology and conservation, we developed a novel approach for quantifying human presence beyond populated areas by combining social media ""big data"" and remote sensing tools. We used data from the Flickr photo-sharing website as a surrogate for identifying spatial variation in visitation globally, and complemented this estimate with spatially explicit information on stable night lights between 2004 and 2012, used as a proxy for identifying urban and industrial centers. Natural and seminatural areas attracting visitors were defined as areas both highly photographed and non-lit. The number of Flickr photographers within protected areas was found to be a reliable surrogate for estimating visitor numbers as confirmed by local authority censuses (r = 0.8). Half of all visitors' photos taken in protected areas originated from under 1\% of all protected areas on Earth (250 of 27 000). The most photographed protected areas globally included Yosemite and Yellowstone National Parks (USA), and the Lake and Peak Districts (UK). Factors explaining the spatial variation in protected areas Flickr photo coverage included their type (e.g., UNESCO World Heritage sites have higher visitation) and accessibility to roads and trails. Using this approach, we identified photography hotspots, which draw many visitors and are also unlit (i.e., are located outside urban centers), but currently remain largely unprotected, such as Brazil's Pantanal and Bolivia's Salar de Uyuni. The integrated big data approach developed here demonstrates the benefits of combining remote sensing sources and novel geo-tagged and crowd-sourced information from social media in future efforts to identify spatial conservation gaps and pressures in real time, and their spatial and temporal variation globally.",2015,"{""Crandall, David"",""Kark, Salit"",""Levin, Noam""}",2024-07-12 19:45:45,"included",NA,"10.1890/15-0113.1.sm"
6669797,"Data Justice And Biodiversity Conservation","Increases in data availability coupled with enhanced computational capacities are revolutionizing conservation. But in the excitement over the opportunities afforded by new data, there has been less discussion of the justice implications of data used in conservation, that is, how people and environments are represented through data, the conservation choices made based on data, and the distribution of benefits and harms arising from these choices. We propose a framework for understanding the justice dimensions of conservation data composed of five elements: data composition, data control, data access, data processing and use, and data consequences. For each element, we suggest a set of guiding questions that conservationists could use to think through their collection and use of data and to identify potential data injustices. The need for such a framework is illustrated by a synthesis of recent critiques of global conservation prioritization analyses. These critiques demonstrate the range of ways data could serve to produce social and ecological harms due to the choice of underlying data sets, assumptions made in the analysis, oversimplification of real-world conservation practice, and crowding out of other forms of knowledge. We conclude by arguing that there are ways to mitigate risks of conservation data injustices, through formal ethical and legal frameworks and by promoting a more inclusive and more reflexive conservation research ethos. These will help ensure that data contribute to conservation strategies that are both socially just and ecologically effective. © 2022 The Authors. Conservation Biology published by Wiley Periodicals LLC on behalf of Society for Conservation Biology.",2022,"{""Brockington, D."",""Kiwango, W. A."",""Oldekop, J. A."",""Pritchard, R."",""Sauls, L. A.""}",2024-04-18 19:23:24,"included",NA,"10.1111/cobi.13919"
