"study_id","deduplication_status","citation_screening_status","fulltext_screening_status","data_extraction_screening_status","data_source_type","data_source_name","data_source_url","citation_title","citation_abstract","citation_authors","citation_journal_name","citation_journal_volume","citation_pub_year","citation_keywords","fulltext_filename","fulltext_exclude_reasons"
6447792,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Utilizing Satellite Earth Observation Analyses and the Environment-Vulnerability-Decision-Technology  Modelling Framework to Support the Yurok Tribe in Mitigating Climate Change Impacts through Natural  Resource Management","The Yurok Tribe is engaging in innovative conservation-based natural resource management to confront the impacts of climate change both on and off the Yurok Ancestral Territory. These indigenous-led efforts focus on protecting community safety and the natural forest, land, and river resources that are connected to their lifeways, economies and culture. However, decisions around the implementation of these efforts are challenging. Challenges include intersecting environmental and socioeconomic factors, understanding complex environmental trends, and a diverse network of stakeholders. This project aids the Nation-Building efforts of the Tribe by supplementing tribal decisionmaking as they develop solutions to mitigate climate impacts, reduce the rate of climate change, and balance resilience, revenue, and cultural values in natural resource management. To supplement Yurok decisionmakers and staff actions, a Decision Support System (DSS) is being developed as a collaborative project by the Tribe and the authors. The DSS incorporates satellite earth observation (EO) analyses and employs the Environment-VulnerabilityDecision-Technology (EVDT) modelling framework. The DSS considers the interactions between the environment, human vulnerability, decision-making and technology design. This work discusses the development of the EO analyses for this DSS. Regarding the environmental component of EVDT, tree cover is analysed towards understanding fire risk and forest trends with respect to different land management strategies. This analysis also relates to the human vulnerability component of EVDT, as it is integrated in the DSS with local socioeconomic data on the wildland-urban interface (to protect public safety) and Tribal Carbon Sequestration projects (to protect the carbon sequestered in these forests). The Normalized Difference Vegetation Index (NDVI) mean anomaly is utilized to examine sustained tree cover change. Also, regarding human vulnerability, existing EO products on forest fire alerts and smoke are integrated with local socioeconomic information in the DSS towards minimizing these climaterelated impacts on Yurok communities. Additionally, analyses of the Global Ecosystem Dynamics Investigation (GEDI) space-based LiDAR data are utilized to provide information on forest structure change. This information is related to the decision-making component of EVDT, as it is employed by Yurok staff and decisionmakers in carbon sequestration initiatives and the Tribe’s natural resources portfolio project planning. These carbon sequestration projects provide the Tribe with meaningful revenues and seek to reduce the rate of climate change impacts. These analyses will be supplemented by aerial LiDAR data collection and further technological advances coupled with scientific and traditional ecological knowledge which is being explored by the Tribe. Future work will include EO analyses of tree species distribution to understand invasive conifer encroachment, forestry strategic actions, prairie restoration, wildlife protection and riparian vegetation on the Klamath and Trinity rivers to mitigate salmon depletion and aid in river restoration.","Israel, Dr. Steven; Kinney, Javier; Lombardo, Seamus; Wood, Prof. Danielle","","",2022,"","",""
6447793,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Monetising the savings of remotely sensed data and information in Burn Area Emergency Response (BAER) wildfire assessment","We used a value of information approach to demonstrate the cost-effectiveness of using satellite imagery as part of the Burn Area Emergency Response (BAER), a US federal program that identifies imminent post-wildfire threats to human life and safety, property and critical natural or cultural resources. We compared the costs associated with producing a Burn Area Reflectance Classification map and implementing a BAER when imagery from satellites (either Landsat or a commercial satellite) was available to when the response team relied on information collected solely by aerial reconnaissance. The case study included two evaluations with and without Burn Area Reflectance Classification products: (a) savings of up to US$51 000 for the Elk Complex wildfire incident request and (b) savings of a multi-incident map production program. Landsat is the most cost-effective way to input burn severity information into the BAER program, with savings of up to US$35 million over a 5-year period.","Bernknopf, Richard; Bernknopf, Richard; Blakely, Jessica; Blakely, Jessica; Clifford, T. J.; Clifford, T. J.; Epting, Justin; Epting, Justin; Gibson, Reily; Gibson, Reily; Goodrich, David; Goodrich, David; Hardy, Terry; Hardy, Terry; Kuwayama, Yusuke; Kuwayama, Yusuke; Mabee, Bethany; Mabee, Bethany; Quayle, Brad; Quayle, Brad","Int. J. Wildland Fire","30",2020,"","",""
6447794,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Assessing the value of Earth Observation for managing coral reefs: An example from the Great Barrier Reef","The Integrated Global Observing Strategy (IGOS, 2003) argues that further investments in Earth Observation information are required to improve coral reef protection worldwide. The IGOS Strategy does not specify what levels of investments are needed nor does it quantify the benefits associated with better-protected reefs. Evaluating costs and benefits is important for determining optimal investment levels and for convincing policy-makers that investments are required indeed. Few studies have quantitatively assessed the economic benefits of Earth Observation information or evaluated the economic value of information for environmental management. This paper uses an expert elicitation approach based on Bayesian Decision Theory to estimate the possible contribution of global Earth Observation to the management of the Great Barrier Reef. The Great Barrier Reef including its lagoon is a World Heritage Area affected by anthropogenic changes in land-use as well as climate change resulting in increased flows of sediments, nutrients and carbon to the GBR lagoon. Since European settlement, nutrient and sediment loads having increased 5–10 times and the change in water quality is causing damages to the reef. Earth Observation information from ocean and coastal color satellite sensors can provide spatially and temporally dense information on sediment flows. We hypothesize that Earth Observation improves decision-making by enabling better-targeted run-off reduction measures and we assess the benefits (cost savings) of this improved targeting by optimizing run-off reductions under different states of the world. The analysis suggests that the benefits of Earth Observation can indeed be substantial, depending on the perceived accuracy of the information and on the prior beliefs of decision-makers. The results indicate that increasing informational accuracy is the most effective way for developers of Earth Observation information to increase the added value of Earth Observation for managing coral reefs.","Bouma, Jetske A.; Dekker, Arnold G.; Kuik, Onno","Science of The Total Environment","409",2011,"Bayesian decision theory; Coral reef protection; Cost-effectiveness analysis; Earth Observation; Marine water quality management; Value of information","",""
6447795,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Value of information for climate observing systems","The Interagency Working Group Memo on the social cost of carbon is used to compute the value of information (VOI) of climate observing systems. A generic decision context is posited in which society switches from a business as usual (BAU) emissions path to a reduced emissions path upon achieving sufficient confidence that a trigger variable exceeds a stipulated critical value. Using assessments of natural variability and uncertainty of measuring instruments, it is possible to compute the time at which the required confidence would be reached under the current and under a new observing system, if indeed the critical value is reached. Economic damages (worldwide) from carbon emissions are computed with an integrated assessment model. The more accurate observing system acquires the required confidence earlier and switches sooner to the reduced emissions path, thereby avoiding more damages which would otherwise be incurred by BAU emissions. The difference in expected net present value of averted damages under the two observing systems is the VOI of the new observing system relative to the existing system. As illustration, the VOI for the proposed space-borne CLARREO system relative to current space-borne systems is computed. Depending on details of the decision context, the VOI ranges from 2 to 30 trillion US dollars.","Cooke, Roger; Mlynczak, Martin G.; Wielicki, Bruce A.; Young, David F.","Environ Syst Decis","34",2014,"CLARREO; Climate observing system; DICE; Social cost of carbon; Value of information","",""
6447796,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Measuring the economic benefits of an environmental monitoring satellite project: The value of information approach","This paper reports a first application of contingent valuation method to measure the value of information generated by earth science data from an environmental geostationary satellite payload called Geostationary Environmental Monitoring Satellite. The purpose of the space project is to improve the accuracy of air pollution information by enhancing air pollution monitoring and forecasting system coupled with conventional ground level monitoring stations located throughout South Korea. Estimation results based on a survey data of 1000 households show that most explanatory variables including bid amounts and household income significantly influenced dichotomous choice contingent valuation responses with expected signs. When applied to the whole sample, mean willingness to pay reflecting both use and non-use values was stable at around $3.70 per year for the improvement of air quality information. Present values of total benefits over the lifetime period of the space satellite exceed the cost born by tax payers with a benefit-cost ratio of 2.77. The result of this study clearly suggests that contingent valuation method can be used as an alternative approach in measuring the value of information from a space-derived earth science project.","Eom, Young Sook; Hong, Jong Ho","Space Policy","29",2013,"Air pollution; Contingent valuation method; Economic benefits; Geostationary environmental monitoring satellite; Value of information","",""
6447797,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Assessing the value of information for water quality management in the North Sea","Global Earth Observation (GEO) is one of the most important sources of information for environmental resource management and disaster prevention. With budgets for GEO increasingly under pressure, it is becoming important to be able to quantify the returns to informational investments. For this, a clear analytical framework is lacking. By combining Bayesian decision theory with an empirical, stakeholder-oriented approach, this paper attempts to develop such a framework. The analysis focuses on the use of satellite observations for Dutch water quality management in the North Sea. Dutch water quality management currently relies on information from ‘in situ’ measurements but is considering extending and deepening its information base with satellite observations. To estimate returns to additional investments in satellite observation, we analyze the added value of an extended monitoring system for the management of eutrophication, potentially harmful algal blooms and suspended sediment and turbidity in the North Sea. First, we develop a model to make the potential contribution of information to welfare explicit. Second, we use this model to develop a questionnaire and interpret the results. The results indicate that the expected welfare impact of investing in satellite observation is positive, but that outcomes strongly depend on the accuracy of the information system and the range of informational benefits perceived.","Bouma, J. A.; Kuik, O. J.; van der Woerd, H. J.","Journal of Environmental Management","90",2009,"Bayesian decision theory; Marine water quality; Satellite observation; Stakeholder consultation; Value of information; Water resource management","",""
6447798,"not_duplicate","included","not_screened","not_started","database","Web of Science","","The Value of Near Real-Time Earth Observations for Improved Flood Disaster Response","Information is a critical resource in disaster response scenarios. Data regarding the geographic extent, severity, and socioeconomic impacts of a disaster event can help guide emergency responders and relief operations, particularly when delivered within hours of data acquisition. Information from remote observations provides a valuable tool for assessing conditions “on the ground” more quickly and efficiently. Here, we evaluate the social value of a near real-time flood impact system using a disaster response case study, and quantify the Value of Information (VOI) of satellite-based observations for rapid response using a hypothetical flooding disaster in Bangkok, Thailand. MODIS imagery from NASA's Land, Atmosphere Near real-time Capability for EOS (LANCE) system is used to produce operational estimates of inundation depths and economic damages. These rapid Earth observations are coupled with a decision-analytical model to inform decisions on emergency vehicle routing. Emergency response times from vehicles routed using flood damage data are compared with baseline routes without the benefit of advance information on road conditions. Our results illustrate how the application of near real-time Earth observations can improve the response time and reduce potential encounters with flood hazards when compared with baseline routing strategies. Results indicate a potential significant economic benefit (i.e., millions of dollars) from applying near real-time Earth observations for improved flood disaster response and management.","Bolten, John D.; Oddo, Perry C.","","7",2019,"","",""
6447799,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Combining Social, Environmental and Design Models to Support the Sustainable Development Goals","There are beneﬁts to be gained from combining the strengths of modeling frameworks that capture social, environmental and design-based considerations. Many of the important challenges of the next decade lie at the intersection of the natural environment, human decision making and the design of space technology to inform decision making. There are 17 Sustainable Development Goals outlined by the United Nations through 2030. Several of these Sustainable Development Goals can be addressed by asking: 1) What is happening in the natural environment? 2) How will humans be impacted by what is happening in the natural environment? 3) What decisions are humans making in response to environmental factors and why? and 4) What technology system can be designed to provide high quality information that supports human decision making? The answers to these questions are often interrelated in complex ways; thus it is helpful to use a framework from complex systems to integrate these questions. Within the list of Sustainable Development Goals, several ﬁt the three questions above, including #2 Zero Hunger, #6 Clean Water and Sanitation, #13 Climate Action, #14 Life Below Water, and #15 Life on Land.","Reid, Jack; Wood, Danielle; Zeng, Cynthia","","",2019,"","",""
6447800,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Estimating the Societal Benefits of Satellite Instruments: Application to a Break-even Analysis of the GeoXO Hyperspectral IR Sounder","This paper describes the process, and lessons learned in a preliminary benefits study of a proposed infrared hyperspectral sounder (HSS) for NOAA’s next generation geostationary satellite program (GeoXO). The valuation of government-owned satellite systems providing a public good with a complex array of instruments is a nascent field of study. Many different sensor configurations are possible, but there are restrictions due to physical and budget constraints. Accounting for economic considerations during the design and planning phase for satellite constellations helps to ensure that the most cost effective instruments are selected. To assess whether the HSS instrument should be included on GeoXO, we applied a value of information approach and found the benefits associated with this instrument are likely to substantially outweigh the costs. Value of information studies often focus on data and information that has a direct use case. Estimating benefits for the HSS is especially challenging because data are not used directly by decision makers. Instead these data along with information from other Earth observing (EO) satellites play a key role in producing the inputs necessary for modern numerical hydrometeorological modeling. We describe strategies to assess the marginal (i.e., incremental) contribution of an instrument that is part of a complex information production process. We make several recommendations that, if implemented, would improve the quality of future studies of this kind. This includes (1) a systems approach to observing system planning, (2) improving the design of observing system experiments (OSSE and OSE), and (3) better tracking of the decisions and needs of end-users, especially those external to the agency.","Adkins, Jeffery; Conran, Joseph; Lauer, Christopher","","9",2021,"","",""
6447801,"not_duplicate","included","not_screened","not_started","database","Web of Science","","Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat","It is well-known that Earth observation (EO) data plays a critical role in scientific understanding about the global environment. There is also growing support for the use of EO data to provide context-specific insights, with significant implications for their use in decision support systems. Technological development over recent years, including cloud computing infrastructure, machine learning techniques, and rapid expansion of the velocity, volume, and variety of space-borne data sources, offer huge potential to provide solutions to the myriad environmental problems facing society and the planet. The USGS/NASA Landsat Program, the longest continuously gathered source of land surface data, has played a central role in our understanding of environmental change, particularly for its contribution of longitudinal products that offer greater context for present research and decision support activities. The challenge facing the Landsat and EO data community, however, now lies in moving beyond context-specific knowledge generation to translating such knowledge into tangible value for society. Drawing from an open data ecosystem framework and qualitative social science methods, we map the Landsat data ecosystem (LDE) and the relationships linking multiple actors responsible for processing, indexing, analyzing, synthesizing, and translating raw Landsat data into information that is useful, useable, and used by end users in particular social-environmental contexts. Both the role of Big Data and associated technologies are discussed as they relate to the ultimate use of Landsat-derived information products to guide decision-making, and key data ecosystem characteristics that shape the likelihood of these products’ use are highlighted.","Benedict, Karl K.; McConnell, Abby E.; Molder, Edmund B.; Schenkein, Sarah F.; Straub, Crista L.","","9",2022,"","",""
