title,abstract,year,author,doi,tags,screening_status,excl_reasons
Remote Sensing Products And Services In Support Of Agricultural Public Policies In Africa: Overview And Challenges,"In the last decade, governments, international institutions, donors, the private sector, etc. have shown a renewed interest in agricultural issues in Sub-Saharan Africa (SSA). This interest came with a strong need for information in countries where the lack of reliable and timely basic information can be a problem. Thanks to its capacity to observe the Earth at local, regional, and global scales and from various vantage points, satellite remote sensing is a powerful tool to streamline the monitoring and improvement of the existing systems, and thus to support decision-making. However, the path from satellite images to public policy decisions is not straightforward, and today, only few operational information services are available in SSA countries (e.g., early warning systems for food security and desert locust plagues prevention, rangeland production forecasting). This paper aims to analyze the gap between the technical aspects of the remote sensing sciences and the pragmatic need for relevant data to address agricultural policies in Africa and produce operational recommendations. To achieve this goal, the authors (1) determine the information, and in particular the geoinformation, needed to develop, implement and evaluate agricultural public policies (2) illustrate the role of remote sensing as a public policy tool in SSA through an overview of the current off-the-shelf products and services derived from Earth Observation systems, and (3) propose an analysis of the existing gap between the remote sensing research community and the policy makers. Based on this review, the authors conclude that to benefit from this technological advancement and bridge the gap between technical analysts and policy makers, some key points are fundamental: capacity building, political will and institutional commitment, public-private partnership, and proofs of concept.",NA,NA,10.3389/fsufs.2020.00058,{},included,NA
"Quantitative Assessment Of Soil Condition, Basic Environmental Factors And Productivity Of Linum Usitatissimum In The Steppe Zone Of Kazakhstan Using The Remote Sensing Method","The influence of environmental factors, such as lack of water and uneven rainfall, depletion of nutrients in the soil and reduced soil fertility, planting patterns and plant density, uneven growth stages, are the main limiting factors that hinder the growth of agricultural production in arid regions. The aim of the study was to assess the potential of Sentinel-2 to quantify soil conditions, which can improve the understanding of spatiotemporal dynamics in organic agriculture in the steppe zone of Kazakhstan and improve productivity management of Linum usitatissimum. In the course of the research, the influence of individual factors of the general environmental impact, such as the influence of humidity, meteorological conditions, the content of individual nutrient components of the soil on the yield, was studied. The meteorological conditions in this region in 2021 and the data of agrochemical analysis of the soil on which the oilseed crop was grown were evaluated. Sentinel-2 satellite images were used to determine the NDVI and GNDVI indices. A high content of nitrate nitrogen (12.3-16.2 mg/kg), a very low level of available phosphorus (3-10 mg/kg), and a high content of potassium (289-420 mg/kg) were found in the soil. A low content of humus (2.68-3.31%) and sulfur (1.1-4.9 mg/kg) was found. A study of the NDVI growth index showed that the highest value was reached by the period of July 20, 2021. After this period, a decrease in the vegetation index was observed. In conditions of severe drought, this change occurred earlier than under favorable conditions, and correlated with low flax yield (1.6-6.9 c/ha). This study demonstrates the potential of Sentinel-2 for quantifying soil conditions, which not only improves our understanding of spatial-temporal dynamics and environmental components in organic agriculture in the steppe zone of Kazakhstan, but also improves the management of Linum usitatissimum productivity. © 2023, Instituto Internacional de Ecologia. All rights reserved.",NA,NA,10.1590/1519-6984.277283,{},included,NA
A Real Options Approach To Satellite Mission Planning,"Satellite missions are one instrument of Earth observation targeted at obtaining information for improved decision making in sustainable development. But satellite missions are expensive undertakings involving large sunk costs and facing uncertain benefit streams. In the area of avoiding damages through, for example, better weather forecasts or better-informed rescue missions, the benefits are high, but also difficult to quantify. Using real options to optimize the timing of the launch of a satellite enables us not only to optimize the timing of the mission, but also to derive the value that such information conveys when it can be used to reduce the extent of the damage from disasters and their consequences: with low benefit expectations or large uncertainty, launching will be postponed, so ex ante Earth observation benefit assessment is an important task. (C) 2008 Elsevier Ltd. All rights reserved.",NA,NA,10.1016/j.spacepol.2008.09.008,{},included,NA
Space-Based Earth Observations For Disaster Risk Management,"As space-based Earth observations are delivering a growing amount and variety of data, the potential of this information to better support disaster risk management is coming into increased scrutiny. Disaster risk management actions are commonly divided into the different steps of the disaster management cycle, which include: prevention, to minimize future losses; preparedness and crisis management, often focused on saving lives; and post-crisis management aiming at re-establishing services supporting human activities. Based on a literature review and examples of studies in the area of coastal, hydro-meteorological and geohazards, this review examines how space-based Earth observations have addressed the needs for information in the area of disaster risk management so far. We show that efforts have essentially focused on hazard assessments or supporting crisis management, whereas a number of needs still remain partly fulfilled for vulnerability and exposure mapping, as well as adaptation planning. A promising way forward to maximize the impact of Earth observations includes multi-risk approaches, which mutualize the collection of time-evolving vulnerability and exposure data across different hazards. Opportunities exist as programmes such as the Copernicus Sentinels are now delivering Earth observations of an unprecedented quality, quantity and repetitiveness, as well as initiatives from the disaster risk science communities such as the development of observatories. We argue that, as a complement to this, more systematic efforts to (1) build capacity and (2) evaluate where space-based Earth observations can support disaster risk management would be useful to maximize its societal benefits.",NA,NA,10.1007/s10712-020-09586-5,{},included,NA
The Role Of African Emerging Space Agencies In Earth Observation Capacity Building For Facilitating The Implementation And Monitoring Of The African Development Agenda: The Case Of African Earth Observation Program,"AU-Agenda 2063 was adopted at the 24th Ordinary Session of the African Heads of State and Government in 2015 as the blueprint for the future development of the continent. Built upon the continent's past experiences, challenges, and successes, AU-Agenda 2063 comprehensively describes the strategic path for Africa's future development in the next 50 years. Thus, the monitoring of its implementation in various African states is critical for ensuring sustainable development and track progress. However, the higher cost of collecting data for accurately and reliably monitoring the implementation of Agenda 2063 may hinder the progress towards achieving these goals. Satellite Earth observation provides ample data, and thus has provided opportunities for the development of novel products and services with the potential to support implementation, monitoring and reporting for AU-Agenda 2063 development imperatives. However, it has been limitedly exploited in Africa, as evidenced by lower research outputs and investments. This calls for increased capacity building in the use of available EO data and products for various users including decision makers to advance national, regional and continental priorities. The use of such data products is often hampered by the capability to understand the products and thus their value for addressing socio-economic challenges. This paper discusses the potential of Earth observation capacity building for supporting the implementation, monitoring of, and reporting towards achieving AU-Agenda 2063 development imperatives. Specifically, this paper identifies existing capacity building resources, including the role of open and free Earth observation data, open-source software, and product dissemination platforms that can be leveraged for supporting national development, service delivery and the achievement of AU-Agenda 2063 targets. Furthermore, the paper recognizes the importance of bilateral and multilateral partnerships in leveraging existing know-how, technology and other resources for advancing strategic goals of African emerging space agencies and promoting sustainable development, with examples from South African National Space Agency (SANSA). Then, the challenges and opportunities for capacity building and the wide adoption of EO in Africa are discussed in the context of AU-Agenda 2063. The paper thus concludes that EO capacity building is essential to address the skills and data gaps and increase the use of EO-based solutions for decision making in various sectors, critical for achieving AU-A2063.",NA,NA,10.3390/ijgi8070292,{},included,NA
Research Needs,"This chapter focuses on how environmental policies affect international trade flows and examines how changes intrade policy affect the environment. Most economists agree that environmental problems are conceptually the same as negative externalities. They arise because control rights for resource attributes are not fully allocated. In the literaturethat examines the effects of environmental policy on trade, most empirical results suggest that there is much ado about nothing. New data sources need to be exploited. Satellite images provide a potentially rich source for economic analysisof the environment. They have the advantages of providing data from the early 1970s to the present, and being geo-referenced. There has been a tendency in the literature to theorize about existence and site values rather than to use accepted social cost-benefit techniques to quantify more readily measurable and less controversial external costs. © 1996 by Taylor & Francis. All rights reserved.",NA,NA,10.4324/9780429047237-18,{theoretical?},included,NA
The Utility Of Historical Aerial Photographs For Detecting And Judging The Effectiveness Of Rangeland Remediation Treatments,"Aerial photographs are a type of remote sensing data that are especially valuable for rangeland applications. Advantages of these data include relative ease of interpretation and acquisition, affordability, high resolution (1-2 meters), and provision of a common reference for communication among those involved in rangeland management. Additionally, air photos are especially well suited for analysis of historical rangeland remediation treatments because acquisition of widespread aerial photographic coverage began during the 1930s. Several types of treatments can be easily identified and monitored over time, including contour terraces, brush water spreaders, rootplow seeding, water ponding dikes, shrub removal by grubbing, and grazing restrictions. The use of archived aerial photographs allows the opportunity to recreate the management history of rangeland, as well as to serve as a point of departure for involvement in more sophisticated satellite-based remote sensing systems. © 2003 National Association of Environmental Professionals.",NA,NA,10.1017/s1466046603031065,{},included,NA
Mapping Spatial Pattern In Biodiversity For Regional Conservation Planning: Where To From Here?,"Vast gaps in available information on the spatial distribution of biodiversity pose a major challenge for regional conservation planning in many parts of the world. This problem is often addressed by basing such planning on various biodiversity surrogates. In some situations, distributional data for selected taxa may be used as surrogates for biodiversity as a whole. However, this approach is less effective in data-poor regions, where there may be little choice but to base conservation planning on some form of remote environmental mapping, derived, for example, from interpretation of satellite imagery or from numerical classification of abiotic environmental layers. Although this alternative approach confers obvious benefits in terms of cost-effectiveness and rapidity of application, problems may arise if congruence is poor between mapped land-classes and actual biological distributions. I propose three strategies for making more effective use of available biological data and knowledge to alleviate such problems by (1) more closely integrating biological and environmental data through predictive modeling, with increased emphasis on modeling collective properties of biodiversity rather than individual entities; (2) making more rigorous use of remotely mapped surrogates in conservation planning by incorporating knowledge of heterogeneity within land-classes, and of varying levels of distinctiveness between classes, into measures of conservation priority and achievement; and (3) using relatively data-rich regions as test-beds for evaluating the performance of surrogates that can be readily applied across data-poor regions.",NA,NA,10.1080/10635150252899806,{},included,NA
Drone Remote Sensing For Forestry Research And Practices,"Drones of various shapes, sizes, and functionalities have emerged over the past few decades, and their civilian applications are becoming increasingly appealing. Flexible, low-cost, and high-resolution remote sensing systems that use drones as platforms are important for filling data gaps and supplementing the capabilities of crewed/manned aircraft and satellite remote sensing systems. Here, we refer to this growing remote sensing initiative as drone remote sensing and explain its unique advantages in forestry research and practices. Furthermore, we summarize the various approaches of drone remote sensing to surveying forests, mapping canopy gaps, measuring forest canopy height, tracking forest wildfires, and supporting intensive forest management. The benefits of drone remote sensing include low material and operational costs, flexible control of spatial and temporal resolution, high-intensity data collection, and the absence of risk to crews. The current forestry applications of drone remote sensing are still at an experimental stage, but they are expected to expand rapidly. To better guide the development of drone remote sensing for sustainable forestry, it is important to systematically and continuously conduct comparative studies to determine the appropriate drone remote sensing technologies for various forest conditions and/or forestry applications. © 2015, Northeast Forestry University and Springer-Verlag Berlin Heidelberg.",NA,NA,10.1007/s11676-015-0088-y,{},included,NA
The Role Of Satellite Telemetry Data In 21St Century Conservation Of Polar Bears (Ursus Maritimus),"Satellite telemetry (ST) has played a critical role in the management and conservation of polar bears (Ursus maritimus) over the last 50 years. ST data provide biological information relevant to subpopulation delineation, movements, habitat use, maternal denning, health, human-bear interactions, and accurate estimates of vital rates and abundance. Given that polar bears are distributed at low densities over vast and remote habitats, much of the information provided by ST data cannot be collected by other means. Obtaining ST data for polar bears requires chemical immobilization and application of a tracking device. Although immobilization has not been found to have negative effects beyond a several-day reduction in activity, over the last few decades opposition to immobilization and deployment of satellite-linked radio collars has resulted in a lack of current ST data in many of the 19 recognized polar bear subpopulations. Here, we review the uses of ST data for polar bears and evaluate its role in addressing 21(st) century conservation and management challenges, which include estimation of sustainable harvest rates, understanding the impacts of climate warming, delineating critical habitat, and assessing potential anthropogenic impacts from tourism, resource development and extraction. We found that in subpopulations where ST data have been consistently collected, information was available to estimate vital rates and subpopulation density, document the effects of sea-ice loss, and inform management related to subsistence harvest and regulatory requirements. In contrast, a lack of ST data in some subpopulations resulted in increased bias and uncertainty in ecological and demographic parameters, which has a range of negative consequences. As sea-ice loss due to climate warming continues, there is a greater need to monitor polar bear distribution, habitat use, abundance, and subpopulation connectivity. We conclude that continued collection of ST data will be critically important for polar bear management and conservation in the 21(st) century and that the benefits of immobilizing small numbers of individual polar bears in order to deploy ST devices significantly outweigh the risks.",NA,NA,10.3389/fmars.2022.816666,{},included,NA
