page,p
1,"vision 2020: sustainable economic development and application of innovation management investigating the global socio-economic benefits of satellite industry and remote sensing applications letizia alvino rotterdam business school, rotterdam, the netherlands, l.alvino@hr.nl stefano marino university of molise, campobasso, italy, stefanomarino@unimol.it uzair ahmad university of molise, campobasso, italy, u.ahmad@studenti.unimol.it arturo alvino university of molise, campobasso, italy, alvino@unimol.it abstract in recent years we have seen a growth in the revenues and investments of satellite industry."
1,"originally, satellites, remote sensing (rs), and other navigations systems were only employed for government and military purposes."
1,"however, in the past two decades there has been an increase use of these tools for commercial purposes."
1,"in particular, satellites and rs can be used for space and earth observations, support military operations, precision agriculture, meteorological forecasting, communication and internet connectivity to lesser-known applications such as in transport tracking and monitoring of utility networks."
1,"in this paper, we analyse the current trends, benefits and limitations of the use of satellites and rs."
1,"in particular, we try to identify the main socio-economic benefits deriving from the use of rs in several sectors."
1,"we also seek to introduce economists to the science of rs data, and give a flavour of how this new fountain of data can be utilized so far and what might be done in the future."
1,"keywords: satellite industry, remote sensing, socio-economic benefits, satellite industry revenues introduction space has always been an engine for innovation (flemish space industry (2018))."
1,space inspired us to cross limits of the possible and walk into the impossible.
1,"exploring and observing the space allowed us to discover the solar system and asteroids, study the nature of dark matter, acquire images of earthquake and tsunami, monitor lakes and rivers and watch the world’s see traffic (nasa (2017); space station research and technology (2017))."
1,these observations have had a massive impact on our lives.
1,"for instance, it has improved our understanding of climate, forecasting the weather, assessing environmental hazards and managing natural resources."
1,"however, most of the benefits arisen from space observations are still unknown and difficult to quantify due to intangible and long-term factors."
1,"the goal of this paper is to provide a critical literature review of the current trends, benefits and limitations of the use of satellite industry and remote sensing (rs)."
1,"we identify if and how satellite and in particular rs improve our life, and what are the main socio-economic benefits deriving from the use of rs in several sectors, including but not limited to the smart and precision agriculture, universal navigation, meteorological forecasting, broadcast of live television and internet connectivity to lesser-known applications such as in transport tracking, resource extraction and monitoring of utility networks."
2,vision 2020: sustainable economic development and application of innovation management the paper is organized as follows.
2,"in section 2, the employed methodology is described."
2,"in section 3, we analyse the economic aspect of the satellite industry and the main application of satellites."
2,"in section 4, we illustrate and classify the remote sensing applications in different sectors."
2,"in the final section, the conclusions and limitations of the employed study are discussed."
2,methodology the bibliographic research can be divided in two steps.
2,"in the first step, we searched information about satellite industry and rs in the main federal, government and private space agencies and associations (e.g."
2,"nasa, space foundation)."
2,"in the second step, only peer-reviewed or blind- reviewed academic books and papers were examined."
2,"to access to the content of the articles, two different and main were used: scopus and web of science."
2,"the papers were selected using different keywords (e.g. satellite industry, economic benefits of satellites, remote sensing)."
2,"next, papers were selected on the base of title and abstract."
2,the papers selected belongs to journals from several domains: economic (e.g.
2,"journal of political economy, journal of economic perspectives), management (e.g."
2,"journal of innovation economics & management), agriculture (e.g."
2,"american journal of agricultural and biological sciences), remote sensing (remote sensing), other (e.g."
2,"atmospheric measurement techniques, journal of applied ecology) and conference (e.g."
2,proceedings of national conference on development & planning for drought prone areas).
2,satellite industry satellite industry is an important part of the space economy.
2,"more than 76.82% of the world space economy turnover came from the satellite industry (barbaroux (2016); satellite industry association (2017)), such as the combination of satellite services, satellite manufacturing, satellite launch services and satellite ground equipment (nasa (2017); space station research and technology (2017))."
2,"in particular, the global satellite industry revenues increased from 122 billion dollars in 2005 to 206.5 billion dollars in 2016, approximately by 1.6% in nine years (figure 1 and 2), even though more than 44% of the satellite global industry is served by the nasa."
2,"the global satellite industry growth was 2% in 2016, below worldwide economic growth (3.1%) and slightly above the u.s. growth (1.6%) (satellite industry association (2017))."
2,"more importantly, the forecasts of several governmental and no-governmental agencies and research institutes (e.g."
2,"space foundation, nasa, european gnss agency, new zealand space agency, and satellite industry association) show that the satellite industry will continue to demonstrate steady and consistent growth."
2,this growth has also a positive effect on employment rates.
2,"in fact, satellite industry and earth operations require workers in many different occupations, such as scientists, engineers, technicians, media and communications 235"
3,vision 2020: sustainable economic development and application of innovation management fig.
3,1: the global revenues of tthe satellite industry were 206.5 billion dollars in 2016.
3,the pie chart shows how each sectoror of the satellite industry contributes to the global rev evenue. and photographers.
3,"for instance, e, employment of aerospace engineers is projected to grow ow 6% from 2016 to 2026 in usa (bureau of labor statistics (2018))."
3,"the median annual wage for aerospace engineers was 113,030 dollars in may 2017 (bureau of labor statistics (2018))."
3,"federaderal agencies such as nasa employ more than an 17,000 workers (angeles and vilorio (2016))."
3,"other ggovernment agencies, such as u.s."
3,"departmeent of defense, the federal communications commissio sion, and the national science foundation, also lso employ workers in space-related occupations (angeless aand vilorio (2016))."
3,"finally, private compananies, including those that contract with federal agencie ncies, employ workers in industries such as aero erospace product and parts manufacturing and scientific research re and development services (angeles and an vilorio (2016))."
3,"for example, space research and tech echnology in harris county, texas employedd 22,920 in march 2016, with average weekly wages of ab about 2,540 dollars."
3,the global number of satellitess lulunched is increasing rapidly in the past 7 years.
3,"accord ording to the 2018 index of objects launchedd into outer space provided by the united nations office fice for outer space affairs (unoosa), 8,126 26 objects have been launched into space in human historyory, and over 22% of these were lunched with ithin the last eight years alone."
3,"currently, there are 4,857 857 satellites orbiting the planet (1,980 of those se are active) —an increase of almost 5% in the last fivee years. y only at the beginning of 2018, unoos osa has recorded 204 objects launched into space."
3,"in total tal, there are 81 countries with operators repre resented by at least one satellite, even if some of them are a part of regional consortia (unoosa (20 2018))."
3,usa has the highest number of satellites (859).
3,followed fo by china with 250 and russia with h 146 (unoosa (2018)).
3,"other countries such as japann (72), india (55) and the uk (52) also havee a large number of satellites (unoosa (2018))."
3,"at leas east other 19 countries have, or are planningg to host spaceports for orbital or suborbital launches (f (facchinetti (2016))."
3,"although sometimes, sa satellites are also launched by institutions and organisaisations that represent continents such as the euro european space agency."
4,vision 2020: sustainable economic development and application of innovation management glob global satellite industry revenues 300 year $ billion 250 200 150 100 50 0 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 fig.
4,2: the figure shows the global satellite industry revenues between 2007 and nd 2016.
4,"2 applications of satellites analysing the countries involved ed in the satellite industry is certainly relevant, however we believe that it is not sufficient to define the th potential and large-scale benefit of the use of satellite ite."
4,"thus, we tried to examine the main actors rs involved in the satellite industry and the main usages of satellites."
4,"from the past experiences, we iden entify that satellites can be used for three main reasons: government, go military and commercial purposes es."
4,satellite uses by government are re almost 700 (unoosa (2018)).
4,"government satellite ac activities are military or civil activities suchch as earth observation, navigation, and science and ttechnology development (bryce space and d technology (2017); satellite industry association (20 2017))."
4,"for instance, satellites provide inform rmation about earth's clouds, oceans, land, air, wildfires, s, volcanoes, stars, asteroids, comets, and plananets exploration including (nasa (2017); space station ion research and technology (2017))."
4,"satellites ites recognize earth observation images, such as the katrina ina hurricane prediction at u.s. coast."
4,"the dat ata captured by the noaa goes satellites, serve to illustrate ill the danger of these enormous storm ms."
4,"they bring a clear benefit by predicting damages to the u.s. government in general, and accur urate prediction of severe weather can help to address thehe economic and social costs of weather-related ted damages (hertzfeld and williamson (2007))."
4,military forces (e.g.
4,"ministries of defence, air forces, defence acquisition agencies) use about 400 satellites, almost 20% of the all active ones (barbaroux (2016); unoosa (2018))."
4,"in particular, satellites are used for surveillance ce, imagery and communications."
4,"various satellite applica ications such as rs, communications systems, ms, and gps can be utilized in the war on terror to fac facilitate and support military operations andd intelligence gathering (lee and steel (2014))."
4,"regard rding secure communications worldwide, milit ilitary satellites provide low data rate communications for voice and data at 75 bps to 2,400 bps and m medium data rate communications at 4.8 kbps to 1.544 m mbps (price tag of 800 million dollars) (lee ee and steele (2014))."
