page,p
1,"geo-spatial information science issn: 1009-5020 (print) 1993-5153 (online) journal homepage: https://www.tandfonline.com/loi/tgsi20 earth observation in service of the 2030 agenda for sustainable development katherine anderson, barbara ryan, william sonntag, argyro kavvada & lawrence friedl to cite this article: katherine anderson, barbara ryan, william sonntag, argyro kavvada & lawrence friedl (2017) earth observation in service of the 2030 agenda for sustainable development, geo-spatial information science, 20:2, 77-96, doi: 10.1080/10095020.2017.1333230 to link to this article: https://doi.org/10.1080/10095020.2017.1333230 © 2017 wuhan university."
1,published by taylor & francis group published online: 15 jun 2017.
1,submit your article to this journal article views: 22974 view related articles view crossmark data citing articles: 135 view citing articles full terms & conditions of access and use can be found at https://www.tandfonline.com/action/journalinformation?
1,journalcode=tgsi20
2,"geo-spatial information science, 2017 vol."
2,"20, no. 2, 77–96 https://doi.org/10.1080/10095020.2017.1333230 open access earth observation in service of the 2030 agenda for sustainable development katherine andersona, barbara ryana, william sonntaga, argyro kavvadab,c and lawrence friedlc a group on earth observations, geneva, switzerland; bbooz allen hamilton, washington, dc, usa; cnasa earth science division, washington, dc, usa abstract article history this paper reviews the key role that earth observations (eo) play in achieving the sustainable received 16 march 2017 development goals (sdgs) as articulated in the 2030 agenda document and in monitoring, accepted 6 april 2017 measuring, and reporting on progress towards the associated targets."
2,"this paper also highlights keywords how the group on earth observations (geo) would contribute to ensure the actual use of eo earth observation; group on in support of the 2030 agenda; and how the global earth observations system of systems earth observations (geo); meets requirements for efficient investments in science and technology and a good return on sustainable development investment, which is elaborated in the addis ababa action agenda on development financing."
2,"goal (sdg); the 2030 agenda through a number of examples, we first discuss how extensive eo use would: provide a substantial contribution to the achievements of the sdgs by enabling informed decision-making and by allowing monitoring of the expected results; improve national statistics for greater accuracy, by ensuring that the data are “spatially-explicit” and directly contribute to calculate the agreed sdg targets and indicators support the fostering of synergy between the sdgs and multilateral environmental agreements by addressing cross-cutting themes such as climate and energy; and facilitate countries’ approaches for working across different development sectors, which is, according to the special adviser on the 2030 agenda, a key challenge to achieve the sdgs."
2,we then focus on the role that geo could play in enabling actual use of eo in support of the 2030 agenda by directly addressing the strategic development goal 17 on partnerships.
2,"background agenda for sustainable development”, a global develop- earth observation (eo) data informs our daily lives and ment agenda for all countries and stakeholders to use as a all geophysical and atmospheric sciences."
2,"from fore- blueprint for progress on economic, social, and environ- casting weather to monitoring natural disasters and the mental sustainability."
2,"seventeen sustainable development health of ecosystems, communities and citizens, eo data goals (sdgs) and associated targets and indicators informs, locates and provides context for research and anchor the 2030 agenda, which specifically calls for new policy-making including achieving sustainable societies. data acquisition and exploitation of a wide range of data eo data informs a wide variety of applications includ- sources to support implementation."
2,"in fact, article 76 ing tracking biodiversity and wildlife trends; measuring states, “we will promote transparent and accountable land use change such as deforestation; mitigating, and scaling-up of appropriate public-private cooperation to managing the impact of natural disasters, including fires, exploit the contribution to be made by a wide range of data, floods, earthquakes, and tsunamis; sustainably manag- including eo and geo-spatial information, while ensuring ing natural resources, such as energy, freshwater, and national ownership in supporting and tracking progress”. agriculture, address emerging diseases and other health the g7 environment ministers 2016 communiqué risks; and predicting, adapting to, and mitigating climate on climate change and related measures on mitigation change (eg figure 1). measures including market-based approaches article 40 the group on earth observations (geo) was made reference to the importance of eo, “we recog- described in the 2002 world summit on sustainable nize the necessity of robust eo to enhance our ability development implementation plan, launched in 2005, to measure and monitor greenhouse gas (ghg) emis- and has been supported by a succession of g20 and g7/8 sions”."
2,"further, the g7 science and technology ministers meetings, responding to the need for coordinated obser- 2016 communiqué, article 6, open science – entering vations relating to the state of the earth. into a new era for science noted: “fundamental to the in september 2015, the united nations (un) general progress of open science is the continued investment by assembly endorsed “transforming our world: the 2030 governments and others, such as the global eo system contact katherine anderson katherine.anderson@graduateinstitute.ch © 2017 wuhan university."
2,published by taylor & francis group.
2,"this is an open access article distributed under the terms of the creative commons attribution license (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited."
3,78 ﻿k.
3,anderson et al. 200 million data sets available.
3,"the use of geoss data and information has grown exponentially, receiving more than 4 million inquiries in 2016 alone."
3,the statis- tics are live at geo dab statistics (geo dab 2017).
3,"geo curates the geoss portal and the geoss discovery and access broker component, allowing the end-user to discover, access and retrieve eo."
3,the com- bined portal and data access broker are referred to as the geoss common infrastructure (gci).
3,"geo convenes members of it global community to engage on the 2030 agenda, by working with the un statistics division (unsd), the un inter-agency expert group on the sdg (iaeg-sdg) and the un sdg custodian agencies for the sdg targets and indicators."
3,geo also engages with a variety of global and regional figure 1.
3,"madrid, spain."
3,"eo is useful to show land change over partnerships using innovative techniques to caption and time (copyright: copernicus sentinel data, 2015, european use new data including “big data”, and creating dynamic, space agency (esa)). cost-effective, and non-traditional sources of data (eg eo, geospatial information, mobile phone and social of systems (geoss) of geo, in suitable infrastructures media data) that can help address societal challenges. and services for data collection, analysis, preservation geo is also engaging with the private sector to enable and dissemination”. the use of eo to ensure that “no one is left behind”, the geo is a coalition of 104 governments and 106 basic principle of the 2030 agenda. participating organizations with a mission to imple- the un statistical commission has the mandate ment a geoss to meet the need for timely, quality, for the development and implementation of the global long-term, and global information as a basis for sound indicator framework."
3,"the un statistical commission decision-making. oversees the unsd, the central mechanism within the geo and the geoss contains eo from diverse un to supply global statistics."
3,"it brings together chief sources, including satellite, airborne, in situ platforms statisticians from member states from around the world. and citizen observatories, which, when integrated under the worlds’ first universal development together, provide powerful tools and insights for under- agenda, governments play a key role in developing and standing the past and present conditions of earth sys- implementing an effective monitoring framework for tems, as well as the interplay among them."
3,"taken together the sdgs, via a country-led process that requires wide with geospatial information and technologies, eo offer stakeholder engagement, is linked to governance and a unique global platform for pursuing societal benefits reporting processes, and is incorporated into the over- towards a more sustainable, safer, and viable future."
3,at a all national development frameworks.
3,"each country is national level, eo are carried out by a variety of actors, guided by the un sdg framework, taking into account such as the us national oceanic and atmospheric national development priorities and information from administration (noaa), the us national aeronautics existing reporting mechanisms."
3,"countries can translate and space administration (nasa), the us geological sdg targets to fit national strategies and may commu- survey (usgs), the esa, the uk meteorological office, nicate needs for support, for example in distinguishing geoscience australia and others. data by gender or rural/urban population disaggregation."
3,"the geo community is building geoss, a set of anticipating general assembly action, in march coordinated, independent-eo, information and process- 2015, the iaeg-sdg, to develop an indicator framework ing systems that interact and provide access to diverse for the goals and targets of the post-2015 development information for a broad range of users in both public and agenda at the global level, and to support its implemen- private sectors."
3,around 150 data providers contribute to tation.
3,the iaeg-sdg is composed of 28 representatives geoss including the conservation of arctic flora and from national statistical offices.
3,"observers to this group fauna (caff, for data on biodiversity in the arctic), the include representatives from national statistical offices committee on eo satellites (ceos), china, esa, esri − that are not members of the group, as well as represent- a private sector company specializing in geographic atives from regional and international agencies."
3,"the information system (gis) mapping, the japan aerospace iaeg-sdg proposed the global indicator framework exploration agency (jaxa), nasa, the un economic for the sdg goals and targets, which was submitted commission for africa (uneca)’s regional centre for to the 47th session of the un statistical commission mapping of resources for development (rcmrd, based in march 2016 (unsd 2016) for approval."
3,"further, the in kenya), and many others."
3,"in total, there are around iaeg-sdg will establish the baseline data required"
4,"geo-spatial information science﻿ 79 for tracking the indicators, as well as the periodicity of 2.1."
4,creating a framework: eo for the 2030 reporting.
4,"agenda and big data in august 2016, iaeg members held several rounds the unggim is leading the iaeg-sdg working group of internal consultations seeking to identify not only on geospatial information (wggi) efforts to integrate indicators that needed refinement, but also targets gis data and eo data – for the purposes of this article where additional indicators may be necessary."
4,the collectively known as eo data − into statistical data that members identified 33 targets where possible additional are essential for the production of a number of indicators.
4,"indicators could be considered; a total of 36 indicators furthermore, the wggi has agreed to provide in-depth were reviewed for un secretariat on global geospatial analysis, recommendations, and advice on the develop- information management (unggim) (unggim and ment of methodologies for a subset of indicators, and geo 2015). undertake methodological work in a variety of cross- cutting themes including data disaggregation, national 2."
4,"eo to measure and monitor the sdgs: and sub-national reporting, and other data (eg citizen enabling informed decision-making using the science, crowdsourcing data, and volunteered geographic value of open data data)."
4,"geo is an invited member of the un iaeg-sdg/ the geoss portal is one of the world’s few global sys- wggi to contribute knowledge and expertise on eo and tems for accessing eo data, as well as government, geospatial information to the discussion of sdg indica- organizational and private sector data for remote sens- tors."
4,"the geo eo4sdg initiative supports the wggi’s ing, in situ and atmospheric data."
4,"geo is therefore in in-depth analysis and development of methodologies for a unique position to support the 2030 global goals for a subset of sdg indicators, on water-related ecosystem sustainable development, as affirmed by governments change, land degradation, and population within 2 km in the geo mexico city declaration: from basic services."
4,"in parallel, the un global working group on big affirm that geo and its eo and information will data for official statistics is exploring the potential support the implementation of, inter alia, the 2030 global goals for sustainable development, the sendai of eo for estimating official statistics and indicators."
4,"framework for disaster risk reduction 2015–2030, the it was mandated by the economic and social council un system of environmental and economic accounts, in 2014, and has been reporting to the un statistical and the un framework convention on climate change commission on the outcomes of an ongoing series of (unfccc). annual international conferences on big data for official geo supports the implementation of the 2030 statistics, held in 2014, 2015 and 2016."
4,"of the seven agenda with a dedicated initiative, eo for sustainable task teams, one is dedicated to satellite imagery and development (eo4sdg) in service of the 2030 agenda."
4,geo-spatial data.
4,this task team on satellite imagery the primary purpose of eo4sdg is to organize and help and geo-spatial data is investigating the use of remote realize the potential of eo to advance the 2030 agenda sensing imagery: and enable societal benefits through achievement of the satellite imagery has significant potential to provide sdg.
4,"the goals of the initiative include demonstrating more timely statistical outputs, to reduce the frequency how eo, geospatial information, and socioeconomic of surveys, to reduce respondent burden and other and other data contribute in novel and practical ways costs and to provide data at a more disaggregated level for informed decision making."
4,"(big data un global to support achievement of the sdg; to increase skills working group 2016) and capabilities in uses of eo4sdg activities and their broader benefits; and to broaden interest and awareness another of the seven task teams on big data and the of eo support to the sdg, and contributions to social, sdgs is investigating how the digital information con- economic, and environmental benefits."
4,"the initiative tinuously generated by gps devices, mobile phones, sat- aims to achieve these goals via four implementation ellites and social media, commonly termed as big data, mechanisms: a portfolio of national pilot projects in requires new tools and methods for capturing, managing one or more geo member countries focused on inte- and processing them efficiently."
4,"this big data project grating eo with national statistical accounts to better inventory also has points in common with methods measure, monitor and achieve the sdg; capacity build- explored by the task team on satellite imagery, but for ing activities that aim to provide support to institutions the purposes of this article we will focus primarily on and individuals in the formation, development, and the latter. implementation of eo methods and data to achieve the the remaining task teams focus on access and sdg; identify data and information products to advance partnerships; mobile phone data; social media data; the provision, access, discoverability, and applicability training, skills and capacity-building; and a committee of eo for use with the sdg; and a portfolio of outreach on global platform for data, services and applications and engagement activities to promote the consideration which will build on best practices of public and private and adoption of eo4sdg by nations and stakeholders."
4,big data initiatives.
5,80 ﻿k.
5,anderson et al.
5,"an efficient investment the study looked at applications of landsat data such as government mapping, monitoring consumptive the global community recognizes that the data and agricultural water use, forest change detection, reporting processes to support the sdg will be resource flood mitigation, coastal change and wildfire risk intensive."
5,un estimates for statistical systems alone to assessment.
5,"it found that 16 landsat applications alone reach $300–500 million per year. produced savings of $350 million to over $436 million prior to the sdg target and indicator process, the per year for federal and state governments, ngos, international community assessed how to finance develop- and the private sector (national geospatial advisory ment, in the post millennium development goals (mdg) committee 2014)."
5,"the study also notes, that these sav- era, in the post 2008 financial crisis era, when funding ings, and others not addressed by the paper will con- challenging and for a 2030 agenda that operates on a tinue to accelerate."
5,the advisory committee found that universal scale that includes both developed and devel- “the economic value of just one year of landsat data far oping nations.
5,"the addis ababa action agenda (aaaa) exceeds the multi-year total cost of building, launching of the third international conference on financing for and managing landsat satellites and sensors”."
5,"development was issued in july, 2015, and lists a number following landsat’s lead on open data, other data of points pertinent as to why eo are important to mon- providers have agreed to provide data free of charge, itor and achieve the sdg and represent a good value for including the european commission’s copernicus pro- investment by countries, international development assis- gram, geoscience australia, mexico, among others. tance providers and regional development banks."
5,"eo provide a substantial contribution to the achieve- governments are committed to investing in technol- ments of the sdg by enabling informed decision-mak- ogy and making data more accessible, as outlined in the ing and monitoring the expected results (figure 2)."
5,aaaa for financing the sdg section ii.
5,"− “science, furthermore, observations and eo-based methods are technology, innovation and capacity building” (aaaa portable and non-intrusive, and can easily be scaled to 2015); and section iii."
5,"− “data, monitoring and fol- sub-national as well as regional and global levels. low-up” (aaaa 2015)."
5,"the qualities of satellite data for monitoring the sdg in addition to investments in eo technology, for have been summarized by the iaeg-sdg wggi task instance the hardware of satellites or the argo ocean team and are summarized as: monitoring floats, the resulting data must also be acces- sible."
5,"this is true to the spirit of “leave no-one behind”, • consistent, global monitoring over the 15-year time the basic principle of the 2030 agenda."
5,"an open data span of the sdgs, for any country in the world, policy is essential for mutual accountability."
