page,p
1,isprs int.
1,"geo-inf. 2015, 4, 1142-1165; doi:10.3390/ijgi4031142 open access isprs international journal of geo-information issn 2220-9964 www.mdpi.com/journal/ijgi/ article economic assessment of the use value of geospatial information richard bernknopf 1,* and carl shapiro 2 1 department of economics, university of new mexico, albuquerque, nm 87131-0001, usa 2 science and decisions center, united states geological survey, 12201 sunrise valley drive, mail stop 913, reston, va 20192-0002, usa; e-mail: cshapiro@usgs.gov * author to whom correspondence should be addressed; e-mail: rbern@unm.edu; tel.: +1-650-935-2330; fax: +1-650-935-2330."
1,"academic editors: suchith anand, serena coetzee, barend kobben and wolfgang kainz received: 30 january 2015/ accepted: 24 june 2015/ published: 9 july 2015 abstract: geospatial data inform decision makers."
1,"an economic model that involves application of spatial and temporal scientific, technical, and economic data in decision making is described."
1,the value of information (voi) contained in geospatial data is the difference between the net benefits (in present value terms) of a decision with and without the information.
1,a range of technologies is used to collect and distribute geospatial data.
1,"these technical activities are linked to examples that show how the data can be applied in decision making, which is a cultural activity."
1,the economic model for assessing the voi in geospatial data for decision making is applied to three examples: (1) a retrospective model about environmental regulation of agrochemicals; (2) a prospective model about the impact and mitigation of earthquakes in urban areas; and (3) a prospective model about developing private–public geospatial information for an ecosystem services market.
1,each example demonstrates the potential value of geospatial information in a decision with uncertain information.
1,keywords: geospatial information; economics; economic impacts; open access; value of information; technological innovation; benefits and costs
2,isprs int.
2,geo-inf.
2,"2015, 4 1143 1."
2,introduction geospatial information is a form of infrastructure for decision-making that supports many societal activities.
2,the cost of supplying the information is greatest to the first user; the cost of disseminating information to additional users is relatively small.
2,this is true for most information goods [1] and is referred to as jointness of supply.
2,this characteristic gives rise to the need for studies to demonstrate the value of the information (voi) or the benefits of the information.
2,the benefits are best demonstrated when analysis can explain how the data are used in a decision.
2,most voi analyses consider the costs of geospatial data collection and the potential cost savings to society accruing from the presence (rather than absence) of geospatial data.
2,this type of analysis can be referred to as cost-savings applications.
2,there also are societal benefits that can result from making more informed decisions.
2,analyses measuring this type of benefits can be referred to as innovation applications.
2,"both types of applications can be pursued with the systematic availability of archival and current geospatial data that result from open access to replicable, and continuous data frameworks that do not exclude anyone from the benefits of its use."
2,both cost-savings and innovation applications are used to document the expected use value of information.
2,geospatial and spatiotemporal public data are integrated into current economic activities that have considerable economic benefits such as transportation route and communication facility planning.
2,"economic models have been developed to estimate the benefits of geospatial data for a wide range of topics in industrial sectors such as agriculture [2–5], resource extraction [6], environmental hazards [7], wildfire management [8] and maritime shipping [9]."
2,here we focus on innovation applications for geospatial data.
2,"the approach is driven by the information, which involves examination of spatial and temporal scientific, technical, and economic data."
2,the observations evolve into spatiotemporal patterns that are used to identify and test hypotheses for how geospatial information is integrated into decisions.
2,economic models then can be used to estimate a gain in societal welfare that results from making better decisions that are based on additional information in the presence of uncertainty.
2,the societal gains from the additional information depend on the reduction in uncertainty that is offered by the additional information and what is at stake in the decision.
2,the approach taken here is based on explicit modeling of the change in the decision maker’s information and the implications of that change on the decision maker’s objectives and constraints.
2,"although decision makers have some information, the decision framework must be able to describe how the decision maker’s information changes as a result of the acquisition of new information to update prior beliefs, i.e., a use value."
2,"thus, a decision maker’s updated belief will affect their decision and the benefits of a choice."
2,below we describe three applications.
2,each example illustrates the steps in the analytical process.
2,two of the analyses employ geospatial data and information in decision frameworks that provide examples to demonstrate the potential for a significant return on investment in geospatial data collection and distribution.
2,"the third application is a potential application to markets for ecosystem services that can be based, in part, on multiple scale public/private sector integration of remote sensing and other geospatial data."
2,the example applications are set in the context of valuing the vast array and amount of geospatial data that are associated with the open access.
2,"for the economic foundation, we assume that geospatial"
3,isprs int.
3,"geo-inf. 2015, 4 1144 information is a technical innovation and apply microeconomic theory in an inductive process [10]."
3,"our approach is to examine data, identify a pattern in the data, propose and test a tentative hypothesis, and establish a generalization or theory."
3,"for example, the inductive approach is found in agent based computational economics [11]."
3,monetary values are established in specific applications in an empirical economics approach as the basis for the use value of the information.
3,the method has two stages.
3,the first is the development of an interdisciplinary model of economic behavior in which the application of the geospatial information is demonstrated as a consequence of spatiotemporal observations.
3,the second stage is to compare the net benefits with and without the geospatial information to estimate the voi.
3,"in this paper, we only address estimation of the economic value of geospatial data used for decision-making."
3,"geospatial data are collected and distributed in many ways, all of which require a significant investment in science, technology, operations, and administration."
3,geospatial information can be used in an inductive mode to examine large data sets to reveal relationships and dependencies and to perform predictions of behaviors and outcomes [12].
