page,p
1,"integrated environmental assessment and management — volume 6, number 3—pp. 469–483 ß 2009 setac 469 a new process for organizing assessments of social, economic, and environmental outcomes: case study of wildland fire management in the usa randall jf bruins,*y wayne r munns jr.,z stephen j botti,§ steve brink,k david cleland,# larry kapustka,yy danny lee,zz valerie luzadis,§§ laura falk mccarthy,kk naureen rana,## douglas b rideout,yyy matt rollins,zzz peter woodbury,§§§ and mike zupkokkk y us environmental protection agency, office of research and development, national center for environmental assessment, 26 w."
1,"martin luther king drive, cincinnati, ohio 45268, usa z us environmental protection agency, office of research and development, national health and environmental effects research laboratory, 27 tarzwell drive, narragansett, rhode island 02882, usa § us national park service, ret., national interagency fire center, 3833 s."
1,"development avenue, boise, idaho 83705-5354, usa k california forestry association, suite 1830, 1215 k street, sacramento, california 95814, usa #us forest service, eastern regional office, 68 south stevens, rhinelander, wisconsin 54501, usa yy lk consultancy, 8 coach gate place sw, calgary, alberta t3h 1g2, canada zz us forest service, southern research station, eastern forest environmental threat assessment center, 200 wt weaver blvd., case study asheville, north carolina 28804, usa §§state university of new york, college of environmental science and forestry, forest and natural resources management department, 307 bray hall, one forestry drive, syracuse, new york 13210, usa kk the nature conservancy, global fire initiative, 212 east marcy street, santa fe, new mexico 87501, usa ##great lakes protection fund, 1560 sherman avenue, suite 880, evanston, illinois 60201,usa yyy colorado state university, warner college of natural resources, department of forest, rangeland, and watershed stewardship, fort collins, colorado 80523, usa zzz us geological survey, center for earth resources observation and science (eros), sioux falls, south dakota 57198, usa §§§cornell university, crop and soil sciences department, ithaca, new york 14853, usa jjjjjjsouthern group of state forester, po box 93, winder, georgia 30680, usa (submitted 30 july 2009; returned for revision 6 october 2009; accepted 2 december 2009) abstract ecological risk assessments typically are organized using the processes of planning (a discussion among managers, stakeholders, and analysts to clarify ecosystem management goals and assessment scope) and problem formulation (evaluation of existing information to generate hypotheses about adverse ecological effects, select assessment endpoints, and develop an analysis plan)."
1,"these processes require modification to be applicable for integrated assessments that evaluate ecosystem management alternatives in terms of their ecological, economic, and social consequences."
1,"we present 8 questions that define the steps of a new process we term integrated problem formulation (ipf), and we illustrate the use of ipf through a retrospective case study comparing 2 recent phases of development of the fire program analysis (fpa) system, a planning and budgeting system for the management of wildland fire throughout publicly managed lands in the united states."
1,"ipf extends traditional planning and problem formulation by including the explicit comparison of management alternatives, the valuation of ecological, economic and social endpoints, and the combination or integration of those endpoints."
1,"the phase 1, limited- prototype fpa system used a set of assessment endpoints of common form (i.e., probabilities of given flame heights over acres of selected land-resource types), which were specified and assigned relative weights at the local level in relation to a uniform national standard."
1,this approach was chosen to permit system-wide optimization of fire management budget allocations according to a cost-effectiveness criterion.
1,"before full development, however, the agencies abandoned this approach in favor of a phase 2 system that examined locally specified (rather than system-optimized) allocation alternatives and was more permissive as to endpoint form."
1,"we demonstrate how the ipf process illuminates the nature, rationale, and consequences of these differences, and argue that its early use for the fpa system may have enabled a smoother development path."
1,integr environ assess manag 2010;6:469–483. ß 2009 setac keywords: integrated assessment integrated problem formulation valuation wildland fire decision making introduction integrated assessment requires an integrated problem formulation process * to whom correspondence may be addressed: bruins.randy@epa.gov human societies derive an array of services from inherently complex ecological systems (millennium ecosystem assess- published on the web 3 december 2009. ment 2005).
1,"consequently, environmental problems and the doi: 10.1897/ieam_2009-075.1 actions intended to address them have complex ramifications"
2,"15513793, 2010, 3, downloaded from https://setac.onlinelibrary.wiley.com/doi/10.1897/ieam_2009-075.1 by university of california, wiley online library on [15/08/2024]."
2,"see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license 470 integr environ assess manag 6, 2010—rjf bruins et al. for societal well-being."
2,"therefore, decision makers should be benefit-cost analysis (bca) (usepa 2000; omb 2003). informed by analyses that integrate (i.e., bring together to although bca enjoys wide acceptance, its requirements can form a coherent whole) the social, economic, and ecological also be cumbersome and limiting (boyd 2004)."
2,some outcomes of management alternatives.
2,interdisciplinary inte- environmental management programs have made effective gration has been defined as ‘‘the activity of critically use of multicriteria decision analytic techniques for the joint evaluating and creatively combining ideas and knowledge to evaluation of multiple values and objectives (mcdaniels et al. form a new whole or cognitive advancement’’ (repko 2008).
2,1999; larichev and olson 2001; linkov et al.
2,2006).
2,"the us it contributes to solving complex problems by providing a environmental protection agency’s (usepa) science advi- systematic approach to combining and interrelating insights sory board (usepa-sab 2009) recently reviewed and grounded in commonalities while taking into account differ- summarized the range of valuation systems that have been ences (klein and newell 1997) and providing opportunity for used to inform environmental decisions, categorizing them as ‘‘nonlinear thinking’’ (nikitina 2002). either preference-based (including attitudes or judgments, early risk-assessment approaches stressed the necessity of economic values, community-based values and constructed isolating the scientific processes of risk analysis from any preferences) or biophysically based (including bio-ecological discussion of technical feasibility, economics, or policy (nrc values and energy-based values)."
2,"the board stressed that, due 1983)."
