page,p
1,"received: 4 february 2017 revised: 14 march 2018 accepted: 26 march 2018 doi: 10.1002/wcc.523 advanced review assessing the value of seasonal climate forecasts for decision-making marta bruno soares | meaghan daly | suraje dessai university of leeds, school of earth and environment, leeds, uk seasonal climate forecasts (scf) can support decision-making and thus help society correspondence cope with and prepare for climate variability and change."
1,"the demand for under- marta bruno soares, university of leeds, school standing the value and benefits of using scf in decision-making processes can be of earth and environment, maths/earth and associated with different logics."
1,"two of these would be the need to justify public environment building, leeds ls2 9jt, uk."
1,email: m.soares@leeds.ac.uk and private investment in the provision of scf and demonstrating the gains and ben- funding information efits of using scf in specific decision-making contexts.
1,"this paper reviews the main uk economic and social research council, factors influencing how scf is (or can be) valued in supporting decision-making grant/award number: es/k006576/1; european and the main methods and metrics currently used to perform such valuations."
1,"our union's seventh framework programme for research, grant/award number: 308291 review results in four key findings: (a) there is a current emphasis on economic ex ante studies and the quantification of scf value; (b) there are fundamental differ- ences in how the value of scf is defined and estimated across methods and edited by maria carmen lemos, domain approaches; (c) most valuation methods are unable to capture the differential benefits editor, and mike hulme, editor-in-chief and risks of using scf across spatiotemporal scales and groups; and (d) there is lim- ited involvement of the decision-makers in the valuation process."
1,"the paper con- cludes by providing some guiding principles towards more effective valuations of scf, notably the need for a wider diversity and integration of methodological approaches."
1,"these should particularly embrace ex-post, qualitative, and participatory approaches which allow co-evaluation with decision-makers so that more compre- hensive and equitable scf valuations can be developed in future."
1,"this article is categorized under: vulnerability and adaptation to climate change > institutions for adaptation keywords assessing value of climate information, climate services, seasonal climate forecasts, valuation methods, value of climate information for decision-making 1 | introduction debates around the science–policy–society interface have highlighted the importance of understanding how scientific knowl- edge is applied and used in policy and decision-making contexts (lemos, 2015; lemos & morehouse, 2005)."
1,"it is also argued that the production of scientific knowledge is not sufficient to ensure its use in practice as the lack of salience, credibility and legitimacy of the information produced often leads to its failure in supporting actions (cash & buizer, 2005; meinke, nelson, kokic, stone, & selvaraju, 2006)."
1,"as such, the value and benefits that climate information can provide, both in developed and least developed countries, is a significant topic of research (zillman, 2005)."
1,"in this context, valuation1 studies can be helpful in understanding the value and benefits of using weather and climate information (such as scf) to support decision-making processes."
1,"other areas such as, climate services (adams, eitland, vaughan, & wilby, 2015; anderson et al., 2015; clements, this is an open access article under the terms of the creative commons attribution license, which permits use, distribution and reproduction in any medium, provided the original work is properly cited."
1,© 2018 the authors.
1,"wires climate change published by wiley periodicals, inc."
1,wires clim change. 2018;9:e523. wires.wiley.com/climatechange 1 of 19 https://doi.org/10.1002/wcc.523
2,"17577799, 2018, 4, downloaded from https://wires.onlinelibrary.wiley.com/doi/10.1002/wcc.523 by university of california, wiley online library on [15/08/2024]."
2,see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license 2 of 19 bruno soares et al.
2,"ray, & anderson, 2013; ferguson, finucane, keener, & owen, 2016; perrels, frei, espejo, & jamin, 2013), meteorological services (frei & von, 2014; hallegatte, 2012; perrels et al., 2013; pilli-sihvola, namgyal, & dorji, 2014), humanitarian response (drechsler & soer, 2016; rodrigues et al., 2016; stephens, perez, kruczkiewics, boyd, & suarez, 2015; world food programme, 2016) and disaster risk reduction and management (hallegatte, 2012; practical action, 2008) have all highlighted the need for such valuations and the pursuit for this type of studies can be underpinned by a number of reasons, including (adapted from anderson et al., 2015; clements et al., 2013; freebairn & zillman, 2002): • justify publicly expenditure in the provision of climate information and services."
2,"this is particularly relevant in the context of public services, such as those provided by the national meteorological and hydrological services (nmhs), where it is frequently argued the importance of ascertaining the benefits and services provided by nmhs and demonstrate how it supported better decision-making and policy development in order to justify and secure sustained public investment."
2,"in this context, valuation studies can also help to justify the implementation and provision of new climate information, ser- vices and/or programs by demonstrating the potential return on such investment."
2,• improve existing provision of scf in order to maximize (use and) value to its users.
2,understanding how scf are used and of value to the users is also critical to help providers (from both the public and private sectors) to continuously enhance and tailor the forecasts provided.
2,• justify pricing for charging bespoke scf provided by private and/or public sector where users' expectations are intrinsi- cally linked to the value and benefits expected from using those forecasts by demonstrating the potential return on such investment; • inform investment decisions towards adaptation to climate variability and change.
2,"in this context, valuation studies can help understand the potential value and benefits of using scf against other pathways that may exist to address vulnerabil- ity and improve adaptation to climate variability and change."
2,• conducting research on the valuation of scf.
2,"valuation studies are often pursued in academic settings where researchers perform valuations of scf to advance existing knowledge in the area (which, in some cases, can also end up informing policy-making)."
2,• raise awarenes as well as demonstrate and promote the value of using scf to (new) users.
2,"the outcomes of a valuation can be used to illustrate the potential value that can be yielded by using the forecasts (e.g., evidence of avoided costs, increased revenues)."
2,"seasonal climate forecasts2 (scf) sit between short-term weather forecasts and longer timescales such as interannual pre- dictions and climate change projections (kirtman, power, adedoyin, boer, & bojariu, 2013)."
2,"scf provide a probabilistic indi- cation of how average conditions (such as temperature and rainfall) may develop in the future and can go from 1-month prediction lead time up to a year (rickards, howden, & crimp, n.d."
2,"; goddard, hurrell, & kirtman, 2012)."
2,"however, distinctions should be made between scf, el niño southern oscillation (enso) forecasts, and climate services."
2,"scf (also referred to as climate outlooks3) not only incorporate considerations of sea surface temperature, including enso, but also factor in a broader range of both atmospheric and oceanographic drivers of seasonal variability."
2,"in contrast, enso forecasts refer only to the prediction of the likelihood of a change in enso phase state (i.e., el niño, la niña, and neutral conditions).4 climate services on the other hand, refer to the development and provision of climate information and knowledge to sup- port decision-making (european commission, 2015; vaughan & dessai, 2014)."
