page,p
1,"earth observation in a cost-benefit analysis perspective: cosmo skymed satellites of the italian space agency stefano clòa, massimo floriob, valentina morrettab, davide vurchiob abstract over the past decade, an increasing number of high-resolution satellite images have become available to public administration, policymakers and scientists, boosting the amount of information they can obtain to manage and analyse different issues."
1,"satellites allow observing different natural and socio-economic phenomena that would be very hard and costly to monitor from the ground with the same optimal coverage, accuracy and consistency, providing valuable information both to the private and public sector."
1,"these phenomena include global societal challenges, such as climate change and air pollution, as well as local ones such as precision farming, urbanisation and transport infrastructures monitoring."
1,this working paper aims at paving the way to a comprehensive assessment of the socio-economic impact of the italian space agency (asi) concerning the creation of innovative products and services generated by the earth observation (eo)1.
1,"although the wide range of potential applications of eo satellite data, little is known about the effective use of cosmo skymed (csk) data so far."
1,"most of the benefits related to their availability remain potential, unexpressed and undervalued."
1,the analysis also intends to identify the institutional and organisational barriers that limit their full exploitation and formulate sounds policy recommendations to release the untapped potential of the italian space downstream sector.
1,"keywords: earth observation, space economy, cosmo skymed, italian space agency."
1,"jel codes: o30, q55, r14, c80, e01 a department of economics, università degli studi di firenze b department of economics, management, quantitative methods, università degli studi di milano contact details: stefano.clo@unifi.it, massimo.florio@unimi.it, valentina.morretta@unimi.it, davide.vurchio@unimi.it."
1,"1 the present working paper is part of the three years project ""cost-benefit analysis of public policy in the space industry"" involving asi and the university of milan."
1,"this project aims at conducting a cost-benefit analysis of asi and also covers the study of the upstream sector, industrial technological transfer, and university-industry relationship."
1,the working team includes dr.
1,"paolo castelnovo, dr."
1,"stefano clò, prof."
1,"carlo fiorio, prof."
1,"massimo florio (team leader), dr."
1,"giancarlo manzi, dr."
1,"valentina morretta, and dr."
1,davide vurchio.
1,"depending on data availability, our analysis can possibly be extended by comparing csk to copernicus."
1,we acknowledge alessandra tassa (esrin - esa’s centre for earth observation) for sharing information on copernicus sentinel.
1,the usual disclaimer applies.
2,introduction how is it possible to evaluate the socio-economic impact of science-based infrastructure?
2,can social cost-benefits methods be applied to investment at the frontier of science (florio 2019)?
2,"in this paper, we discuss the case of earth observation (eo) focusing on the last generation of satellites designed, built and managed by government-sponsored space agencies, such as the national aeronautics and space administration (nasa), european space agency (esa) and italian space agency (asi)."
2,"nowadays, there is an increasing and widespread awareness of the importance of space technologies and how vast can be their impact on contemporary lifestyles, daily habits, and economic activities."
2,"infrastructures and space applications are gaining growing importance in several fields, such as environmental protection, health, energy, agriculture, telecommunications, transports, safety of citizens, and are also pushing the frontier of knowledge and research on different socio-economic aspects."
2,"the european union (eu) guidelines also describe space technologies and programs as a formidable tool to develop knowledge and innovation, promote wellbeing and quality of life, face disasters and critical natural issues (european commission, 2016)."
2,"according to the oecd (2016), the availability of satellite data, combined with advances in computer processing power and analytics, is contributing to the exponential growth of the last segment of the space sector’s value chain."
2,"this downstream sector broadly includes all the products and services that could not exist without the availability of satellites such as gps enabled devices, satellite communications, weather and eo satellite data, among others."
2,"the latter consists in the collection of a wide range of information concerning the planet earth via remote sensing technologies and allows observing, from a privileged perspective, both global and local phenomena that would be very hard to monitor from the ground in the same way."
2,"for example, while it is possible to study the process of melting glaciers from the antarctic ground, eo provides more accurate and comprehensive information on the status and evolution of this issue."
2,"in remote areas of developing countries, where there are no adequate infrastructures or in situations of emergencies where infrastructures are damaged or not available, satellite data can provide an alternative and an important integration to the terrestrial network."
2,"in the last decades, both asi and esa have invested in the development of dedicated eo satellite constellations, respectively cosmo skymed (csk - constellation of small satellites for mediterranean basin observation) and copernicus."
2,"the impact of eo data, with focus on the copernicus programme, has been assessed by pricewaterhousecoopers (european commission, 2"
3,"2019) that, by analysing ten different value chains2, shows that investments in the programme (eur 8.2 billion from 2008 up to 2020) are forecasted to generate benefits between eur 16.2 and 21.3 billion3."
3,"figures are growing year by year; in 2018, the average penetration of copernicus data was 20%, and the expected average annual growth rate will be 15% up to 2020."
3,"in italy, despite the existence of several satellite data applications, no exhaustive assessment of the socio-economic advantages of using eo data has been provided so far."
3,"in the framework of a three years project on the cost-benefit analysis of asi, this paper intends to provide some preliminary indications and evidence about the potential benefits related to the use of csk data and about the main challenges related to their applications."
3,"more specifically, we want to explore what socio-economic benefits are potentially associated with the dissemination of these data, what is the data governance structure and policy adopted by asi, what barriers are, nowadays, hindering their use and how institutions could eventually overcome the existing barriers."
3,"this working paper is structured as follows: section 2 provides a brief overview of the practical applications of eo data in different fields with respect to actual and potential benefits that can derive from their utilisation; section 3 provides a review of the use of eo data in the academic socio-economic literature, how these data have been analyzed so far to study different socio- economic phenomena."
3,"section 4 describes the italian satellite constellation csk, its technical properties and governance system, that is how data are managed and made available to the public."
3,section 5 provides a bibliometric overview to show the increasing role of csk data in the production of scientific researches; section 6 introduces a case study on the municipality of ventimiglia to give a preliminary insight into the potential benefits of the use of csk data.
3,"finally, section 7 concludes the working paper and set a future research agenda."
3,"practical applications and socio-economic benefits of eo: a brief overview of case studies from the grey literature earth observation can be considered as a critical societal infrastructure; it provides a unique perspective into our world and supports the advancement of civilization by increasing awareness of different environmental, social and economic issues and by supporting concrete actions and policies for a more efficient and sustainable management of global and local resources (onoda and young, 2 agriculture, forestry, urban monitoring, coastal and marine exploitation and preservation , oil & gas, renewable energies, air quality, insurance for natural disasters, response to natural disasters and security 3 such forecast does not include non-monetary benefits."
3,"such economic value includes the added value created in the upstream space industry, the sales of copernicus-based applications by downstream service suppliers and the exploitation of copernicus-enabled products by end users of various economic sectors."
4,2017).
4,"in this section, we provide few examples extrapolated from the grey literature on the direct use of eo, its applications in concrete cases and related economic and non-economic benefits for the society."
4,"the advantages related to the practical use and applications of eo are numerous and varied as it allows obtaining high spatial resolution images on the earth, with a wide, frequent and punctual geographical coverage."
4,eo application is not limited to global scale events.
4,"for example, a recent report (esa, ec, nereus, 2018) shows 99 cases where copernicus data have been adopted, at the local level, in different areas such as food and agriculture, forestry and fisheries, biodiversity and environmental protection, climate, water and energy, territorial management and urban planning, civil protection, transports, civil infrastructure and safety, public health, cultural heritage, tourism and leisure."
4,"onoda and young (2017) propose a useful classification of the potential applications of eo data, according to the area of interest (terrestrial, maritime, atmospheric) and to the specific purpose of analysis: identify, monitor and assess a particular phenomenon (inform), offer support in the management of the phenomenon (assist), or provide tools to enforce regulations and discourage illicit behaviour (comply and intervene)."
4,this classification can be interpreted according to a temporal dimension.
4,"for instance, with respect to a specific event and phenomenon (earthquake or landslide), satellite data can be employed i) to provide information before the event takes place (inform - ex-ante) to monitor its evolution and preventing potential damages that could raise when the event takes place; ii) to provide information during the event (e.g about its intensity or the areas of interest), to assist intervention and rescue operations (assist- during); iii) after the event takes place (intervene ex-post), for instance, to assess the extent of damages and provide information during the process of reconstruction."
4,"onoda and young (2017) recognise that this classification may be partial and may present some overlapping areas: for example, environmental issues related to a system may have repercussions on other systems (impact of a tsunami on the earth's surface), or ex- ante information and monitoring activities can be helpful to assist public reliefs or ex-post intervention."
4,"nevertheless, we believe that this framework can be useful to provide a general overview of the roles of satellite eo and their practical applications."
5,"table 1 - potential fields of application of satellite earth observation data: a taxonomy source: onoda and young (2017) with respect to the inform category, missions such as envisat, sentinel-1, radarsat-2, terrasar-x, and csk are used in combination with ground observations and aerial photography to monitor and detect, marine phenomena such as, for example, dead zones, oil spill and red tides which are algal blooms (phytoplankton) that occur naturally, given certain combinations of environmental conditions, but can exacerbate due to human activities."
5,"these phenomena negatively affect water resources; hence satellite data can help to avoid their spread, consequently reducing the costs of ex-post interventions, as it happened in 2006 with the spread of red tide in the tokyo bay (onoda and young, 2017)."
5,"in the atmospheric environment, dawes et al. (2013) carry out a case study in the us illustrating how satellite data can help to expand the geographical coverage of available information on air quality by integrating surface estimations."
5,"in monetary terms, their analysis shows that satellites could provide, for free and in short-time, pm2.5 information to 82% of the 18.1 million people currently living in unmonitored areas of georgia, colorado and missouri, against an expense of usd 25.9 million for purchase, installation, and operation of ground infrastructures that would cover only 44% of such unmonitored people taking a period of 5 years."
5,a wide range of nonmonetary values and benefits also emerged from a set of interviews with different stakeholders ranging from a higher consciousness of problems related to industrial development and unregulated activities to better support of public health programmes or more effective health alerts among others.
5,another practical example of the capability to inform about particular issues related to the 5
6,"status of the atmosphere is provided by sentinel 5, which can measure ozone concentration and evaluate uv radiation reaching the earth."
6,"this information is useful for policy makers and the tourist industry for safe sunbathing as it is estimated that a 10% decreases in ozone could increase both cases of skin cancer by 300.000 and cataracts by 1.75 million (esa, 2013).4 in this context, a cba would possibly compare the cost of the operation with the value of health benefits in terms of quality-adjusted life years (qaly) and the value of the statistical life (vsl)."
6,other important benefits of eo relate to the effectiveness of providing information during a particular event and assist certain interventions and operations.
6,"for example, the european association of remote sensing companies estimated the economic value generated by the use of satellite imagery in supporting navigation in the baltic sea."
6,satellite imageries replace helicopters in helping icebreakers finding the best routes through the ice.
6,"these benefits are estimated between eur 24 million and eur 116 million per year and include reduced fuel costs of icebreakers, helicopters and ships, reduced operational costs of ships due to arrival delays and savings from reducing collision (insurance and damage)."
6,"(sawyer et al. 2015 and aschbacher, 2017)."
6,"another impact analysis presented in (friedl, 2017) evaluated the benefits of the volcanic ash advisory center’s use of aura data looking at flight cancellations and revenue losses due to eyjafjallajökull vulcan eruption in 2010."
6,"the analysis found that during this event, satellite data reduced the probability of an aircraft experiencing a volcanic ash incident by approximately 12%."
6,the use of satellite data saved usd 25–72 million in avoided revenue losses due to unnecessary delays and avoided aircraft damage costs.
6,"if the data had been used from the beginning of the incident, an estimated additional usd 132 million in losses and costs might have been avoided."
6,"ex post, satellite data can be used for regulatory compliance and legal enforcement, for example, to deduce responsibility of natural disasters (ksat 2016 in onoda and young, 2017), deter and prevent illegal deforestation activities (earsc, 2016), non-authorised water abstractions (lockwood et al., 2014) illegal irrigation patterns (de michele 2016; esa, ec, nereus, 2018) and to verify the correct destination of the subsidies granted within the eu common agriculture policy (european commission, 2018)."
6,"in the terrestrial environment, sawyer et al. (2016) examined the impact of satellite imagery on forest management in sweden which provides 10% of the worlds’ sawn timber with an export value of eur 12 billion."
6,this case study shows how satellites have contributed to the decrease in illegal cutting and lack of immediate re-planting and pre-commercial thinning.
6,"the cost of collecting such imageries was eur 64,000 against a benefit of eur 16.1 and 4 although ozone high up in the stratosphere provides a shield to protect life on earth, direct contact with ozone is harmful to both plants and animals (including humans)."
6,"ground-level, “bad,” ozone forms when nitrogen oxide gases from vehicle and industrial emissions react with volatile organic compounds. (https://ozonewatch.gsfc.nasa.gov/facts/sh.html) 6"
7,21.6 million per annum.
7,"benefits derive from a decreased cost of physical inspections and using aircrafts among others, plus the long-term value increase as a result of higher timber production and enhanced quality."
7,"other non-economic benefits include the creation of an archive of images, improved inter-agency cooperation and wildlife protection."
7,"a collaboration between the brazilian amazon deforestation authority and the japan international cooperation agency (jica) also contributed to a reduction of 40% in deforestation thanks to data collected by jaxa alos (onoda and young, 2017)."
