page,p
1,the value of el nino forecasts in the management of salmon: a stochastic dynamic assessment christopher j.
1,"costello, richard m."
1,"adams, and stephen polasky the el nino-southern oscillation (enso) is the largest source of interannual variability in global climate."
1,"variability in climate has been linked to variability in fisheries, specifically salmon stocks of the pacific northwest."
1,the ability to forecast el nino events already exists and is likely to improve in coming years.
1,an accurate prediction may have value because it allows for better management decisions.
1,"in this article, we develop a bioeconomic model of the coho salmon fishery and derive the value of information from improved el nino forecasting ability."
1,"we find that a perfect el nino forecast results in an annual welfare gain of approximately $1 million, while imperfect forecasts lead to smaller gains."
1,"results also suggest that optimal management in the face of uncertainty involves a ""conservative"" management strategy, resulting in lower harvest, higher wild fish escapement, and lower hatchery releases than management in the absence of such uncertainty."
1,"key words: coho salmon, economic analysis, el nino, value of information."
1,"the el nifio-southern oscillation (enso) is vetta fishery in 1972 was attributed, in part, the largest source of interannual variability in to el nino. the global climate system."
1,"strong enso phas- the intensity of an el nifio event is defined es in the pacific ocean, known as el nifio by atmospheric pressure changes in the south events, are characterized by changes in water pacific, which eventually translate into chang- temperature and a reduction in intensity of es in oceanic and weather conditions off the trade winds, affecting biological and clima- pacific northwest coast."
1,"el nino events in- tological functions in north america (pearcy crease water temperature and reduce ocean and schoener, barber and chavez)."
1,"ocean and upwelling, which in turn disrupts the food inland climate effects associated with el nifio chain, upon which salmon depend."
1,"in addi- have large economic consequences in sectors tion, el nino events alter rainfall patterns, such as agriculture, energy, and fisheries."
1,pe- which may have adverse consequences for the lagic fish species are susceptible to the ex- instream environment critical to salmon re- treme interannual variability of ocean condi- production. tions that accompanies an el nifio event.
1,"for pacific northwest coho salmon numbers example, the collapse of the peruvian ancho- were sharply reduced in 1982-83 by the most severe el nifio event this century (pearcy and schoener)."
1,"in 1983, the number of wild coho returning to their natural streams was only christopher j."
1,costello is a graduate student in the department of 42% of preseason predictions (s.l.
1,johnson).
1,"agricultural and resource economics at the university of california, berkeley."
