page,p
1,"csiro publishing international journal of wildland fire 2020, 29, 961–973 review https://doi.org/10.1071/wf19091 how to measure the economic health cost of wildfires – a systematic review of the literature for northern america ruth dittrich a,b and stuart mccallum a a university of portland, pamplin school of business, 5000 n willamette boulevard, portland, or 97203, usa."
1,b corresponding author.
1,email: dittrich@up.edu abstract.
1,"there has been an increasing interest in the economic health cost from smoke exposure from wildfires in the past 20 years, particularly in the north-western usa that is reflected in an emergent literature."
1,"in this review, we provide an overview and discussion of studies since 2006 on the health impacts of wildfire smoke and of approaches for the estimation of the associated economic cost."
1,we focus on the choice of key variables such as cost estimators for determining the economic impact of mortality and morbidity effects.
1,"in addition, we provide an in-depth discussion and guidance on the functioning, advantages and challenges of benmap-ce, freely available software of the us environmental protection agency (epa) that has been used in a growing number of studies to assess cost from wildfire smoke."
1,we highlight what generates differences in outcomes between relevant studies and make suggestions for increasing the comparability between studies.
1,"all studies, however, demonstrate highly significant health cost from smoke exposure, in the millions or billions of us dollars, often driven by increases in mortality."
1,the results indicate the need to take health cost into account for a comprehensive analysis of wildfire impacts.
1,"additional keywords: benmap-ce received 18 june 2019, accepted 2 august 2020, published online 1 october 2020 introduction prevalence has led to an increase in exposure to harmful pol- total area burned through wildfires in the united states has lutants emitted by wildfires like particulate matter (pm), and increased since the mid-1980s, with the north-west usa as one ground-level ozone (o3)."
1,"as such, interest in the cost to health of of the most affected regions (spracklen et al."
1,2009; liu et al. these wildfires is growing.
1,2016; mcclure and jaffe 2018).
1,"although there is some evi- at present, there exists significant literature surrounding dence to suggest this increase is due to a more normal fire wildfires’ ecological impact (reid et al. 2016); yet literature mitigation regime in areas where fires had previously been surrounding the valuation of indirect health costs associated supressed (doerr and santin 2016), there exists a growing with wildfires is still relatively new."
1,direct health costs from consensus that climate change has led and will lead to an wildfire relate to damage such as death resulting from burn increased incidence of wildfires (fried et al.
1,2008; spracklen injuries whereas the indirect costs are the result of secondary et al.
1,2009; flannigan et al.
1,2013; liu et al.
1,2016).
1,abatzoglou impacts.
1,many general cost studies on wildfires vastly underes- and williams (2016) found anthropogenic climate change to timate the true cost of those fires as they do not incorporate have contributed to increased fuel aridity and a doubling in the smoke-induced health costs.
1,"the literature suggests that these cumulative forest fire area since 1984, the main drivers of this indirect costs may be much greater than assumed in the past and being earlier spring snow melt and increasing spring and sum- growing."
1,"it is estimated that between 2010 and 2015, wildfire mer temperatures (spracklen et al."
1,2009).
1,"another driver of smoke costs grew on average by 217% each year in the western wildfires is the increased wildland-urban interface, the zone usa (jones and berrens 2017). between unoccupied land and human population, where homes kochi et al. (2010) carried out a literature review on the are built near or among lands prone to wildfires (radeloff et al. economic costs of health impacts in 2010."
1,"at that time, they 2018)."
1,liu et al. (2016) estimate ‘more than 82 million indivi- identified a need to better understand both the major and minor duals will experience on average a 31% to 57% increase in impacts of wildfire smoke on adverse health outcomes including frequency and intensity’ of wildfire in the usa.
1,this increase is more knowledge on aversion behaviours.
1,"in the 10 years since to be greatest in the pacific northwest, with a 78% increase in then, several new studies on the cost of health impacts from annual mean area burned by 2050 (spracklen et al."
1,"2009). wildfires have emerged, particularly in the usa."
1,"this could in linked to this, cascio (2018) found that the size of the popu- part be due to the increasing severity of wildfires, especially in lation at risk from smoke is going up: an increase in wildfire the usa, but also due to the availability of benmap-commuity journal compilation ó iawf 2020 open access cc by-nc-nd www.publish.csiro.au/journals/ijwf"
2,962 int.
2,wildland fire r.
2,dittrich and s.
2,mccallum edition (benmap-ce) or the ‘environmental benefits mapping the pollutants from wildfires that affect human health and analysis program’: open-source software provided by the wildfires generate smoke plumes that are the primary cause of us environmental protection agency (epa) that makes the indirect health costs.
2,"smoke plumes are defined as ‘gases, evaluation of changes in air quality and the application of cost– smoke and debris that rise slowly from the fire while being benefit analysis in the wildfire context more accessible and has carried along the ground because the buoyant forces are been used by several studies. exceeded by those of the ambient surface wind’ (national in the present literature review, we will examine the latest wildfire coordinating group 2018)."
2,these plumes dramati- studies on the economic costs of adverse health-related impacts cally alter air quality in the affected area and can increase from wildfires.
2,"although there is some literature on the health both the levels of ozone (o3) and pm to dangerous levels effects from prescribed fire smoke (nguyen et al. 2020), we are (larsen et al."
2,2018).
2,"other combustion products produced not aware of economic valuation studies for prescribed fires. by wildfires include: polycyclic aromatic hydrocarbons we focus mostly on northern america, as the bulk of recent (pahs), carbon monoxide (co), nitrogen oxides (nox), vol- literature focuses on this geographic region but also include atile organic compounds (vocs) and sulfur dioxide (so2) studies from other regions where relevant."
2,we believe this to be (hänninen et al.
2,2009). a valuable exercise to inform future research and policy.
2,"often- there is consensus that wildfire smoke has a significant times, health impacts from smoke are still not considered when impact on both acute and long-term health endpoints in the estimating the total cost from a wildfire as it is time-consuming. exposed populations (us forest service 2018)."
