page,p
1,"doi:10.1111/sjtg.12210 doi:10.1111/sjtg.12210 free satellite imagery and digital elevation model analyses enabling natural resource management in the developing world: case studies from eastern indonesia rohan peter fisher,1 sarah elizabeth hobgen,1 kristianus haleberek,2 nelson sula3 and iradaf mandaya4 1 research institute for environment and livelihoods, charles darwin university, darwin, australia 2 indonesian forestry department, kupang district, nusa tenggara timur, indonesia 3 indonesian health department, timor tengah selatan district soe, nusa tenggara timur, indonesia 4 lembaga pengembangan masyarakat pesisir dan pedalaman (lepmil) kendari, nusa tenggara timur, indonesia correspondence: rohan fisher (email: rohan.ﬁsher@cdu.edu.au) decentralization of governance and natural resource management is an ongoing process in many parts of africa and asia."
1,natural resource management requires spatial land resource data for plan- ning.
1,"however, currently the ﬁnancial and human capacity for natural resource mapping, monitor- ing and modelling remains low in local governments."
1,"in this context, this paper explores how new opportunities provided by the increasing availability of free satellite imagery, digital elevation data and open source spatial analysis software, can be applied by local government and ngos to conduct sophisticated natural resource mapping and modelling in ways that meet their needs and incorpo- rates local knowledge."
1,reported are cases of a local government using free geospatial data and gis software to improve evidence-based natural resource management in the developing world with a focus on raster data applications for satellite image analysis and terrain modelling.
1,"it is argued that, through removing barriers to uptake, such applications provide a means of decentralizing land- scape analysis skills to improve local natural resource management."
1,"this hypothesis is supported through examples of a local government applying these tools in eastern indonesia, and within this context barriers to wider adoption are explored."
1,"keywords: gis, remote sensing, dem, decentralization, capacity building, open source accepted: 6 april 2017 introduction policies aimed at government decentralization have been widely implemented through- out latin america, africa and asia (larson, 2002) with the goal of increasing efﬁciency, participation, equity, and accountability."
1,"with respect to natural resource management, decentralization aims to allow more proactive management which is sensitive to local needs leading to improved environmental sustainability (world bank, 1988; tacconi, 2007)."
1,"reviews of this approach have identiﬁed the capacity of local governing organiza- tions as the primary factor limiting effective management (larson, 2002; oyono, 2004; hartter & ryan 2010; arellano-yanguas, 2011; ribot et al., 2010; blomquist et al., 2010)."
1,external advisors with minimal local knowledge to contextualize the advice they provide are commonly used to bridge the gap between limited capacity and the aspiration for good local governance.
1,"this lack of regional engagement with technical planning processes can result in a limited local understanding of planning outputs, leading to poorly informed and inappropriate management recommendations."
1,"these singapore journal of singapore journal tropicalgeography of tropical geography••39(2017) (2018)••–•• 45–61 © 2017 the authors singapore journal of tropical geography published by department of geography, national university of singapore and john wiley & sons australia, ltd this is an open access article under the terms of the creative commons attribution license, which permits use, distribu- tion and reproduction in any medium, provided the original work is properly cited."
2,"14679493, 2018, 1, downloaded from https://onlinelibrary.wiley.com/doi/10.1111/sjtg.12210 by university of california, wiley online library on [29/04/2024]."
2,"see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license 2 46 rohan peterfisher, rohanpeter fisher,sarah elizabethhobgen, sarahelizabeth hobgen, kristianus haleberek et al."
2,kristianus haleberek factors can result in reticence from local government to implement governance recom- mendations presented.
2,"information communication technology is often promoted as a tool for improving the evidence base and equity of governance in developing countries (bertot et al., 2010; oecd, 2005)."
2,"however, it is also criticized for being deployed top-down thus failing to address the needs of local governments and communities (heeks, 2010; huang 2013)."
2,"geographic information technologies in particular have been criticized for preferentially empowering a techno-elite and disenfranchising local interests (dunn et al., 1997)."
2,"it is ar- gued that as maps give authority to particular conceptions of land value through deﬁning a range of social and biophysical parameters, differential access to the technology, skills and data required to make them reinforces social and political inequity (fox et al., 2008)."
2,"to address the potentially disempowering aspects of mainstream gis, mapping techniques have evolved to enhance local participatory planning processes and collab- orative decision making (rambaldi et al., 2006; elwood, 2011; mccall & dunn, 2012)."
2,many of these participatory gis approaches have focused on low-tech methods for spatially enabling communities.
2,"there is also increasing interest in the potential for decentralized use of emerging low cost digital spatial tools and data for improving governance (fisher & myers, 2011)."
2,"over the last ten years there has been a rapid increase in the availability of free geospatial data and software (moreno-sanchez, 2012)."
2,"it has been argued that free gis software, when coupled with free spatial data, is providing new opportunities for enhanced transparency and increased community engagement in environmental management (baker and williamson, 2006; fuller, 2006; fisher, 2012)."
2,building local capacity for evidence- based governance can facilitate the incorporation of local context and potentially lead to more informed planning decisions.
2,"geospatial applications for land resource mapping, monitoring and modelling provide key data underpinning natural resources management planning (nrm)."
2,"the current generation of free and open source (fos) geospatial software and free data has re- moved the need for licensing and data purchase, which was a signiﬁcant barrier to broader involvement in land resource mapping, monitoring and modelling for local gov- ernments."
2,advances in computing hardware have enabled use of sophisticated spatial analytical tools on standard laptops.
2,"furthermore the increasing availability of free satel- lite imagery, elevation data and raster based spatial analysis software is providing new opportunities for community stakeholders to combine the quantitative analysis of ‘hard’ data with qualitative local knowledge (fuller, 2006; spiegel et al., 2012)."
