page,p
1,the international research institute for climate prediction linking science to society iri technical report no.
1,02-03 red sea assessing the value of climate forecast information for pastoralists: evidence from southern ethiopia and northern kenya eritrea djibouti gulf of aden s u d a n ethiopia somalia uganda k e n y a i n d i a rwanda o c e a burundi t a n z a n i a columbia earth institute columbia university in the city of new york
2,the international research institute for climate prediction (iri) was established as a cooperative agreement between u.s.
2,noaa office of global programs and columbia university.
2,iri is a unit of the columbia earth institute located at lamont-doherty earth observatory.
2,this report is one in a series on the use of climate forecasts in the greater horn of africa.
2,financial support for the research component reported here was provided by the office of foreign disaster assistance of the u.s.
2,"agency for international development, under the project “capacity building in regional climate prediction and applications in the greater horn of africa” (aid aotg 009001 17900)."
2,"this project is a joint effort between the iri, the drought monitoring center nairobi, and the world meteorological organization, wmo."
2,"published by the international research institute for climate prediction (iri) lamont-doherty earth observatory of columbia university palisades, new york, 10964, usa iri technical report 02-03 © 2002 international research institute for climate prediction."
2,all rights reserved.
3,assessing the value of climate forecast information for pastoralists: evidence from southern ethiopia and northern kenya winnie k.
3,"luseno a , john g."
3,"mcpeaka,b, christopher b."
3,"barrett*a , peter d."
3,"little c and getachew gebrub,d final project report to the international research institute for climate prediction, columbia university, usa, and to the department of range management, university of nairobi, kenya."
3,"may 2002 a cornell university, ithaca, ny b international livestock research institute, addis ababa, ethiopia, and nairobi, kenya c university of kentucky, lexington, ky d utah state university, logan, ut * corresponding author: 315 warren hall, department of applied economics and management, cornell university, ithaca, ny 14853-7801 usa, tel: 607-255-4489, fax: 607-255-9984, email: cbb2@cornell.edu luseno, mcpeak and barrett share seniority of authorship."
3,"we thank the governments of ethiopia and kenya for research clearance, the international livestock research institute for hospitality, and abdillahi aboud, layne coppock, tag demment, solomon desta, cheryl doss, simeon ehui, calum mclean, robinson ngugi, sharon osterloh, jen phillips, amare teklu and a seminar audience at columbia university for helpful discussions and information and ingrid rhinehart for help with figure 1."
3,"this work took place within the broader pastoral risk management project of the global livestock collaborative research support program, funded by the office of agriculture and food security, global bureau, united states agency for international development, under grants dan-1328-g-00-0046-00 and pce-g-98-00036-00."
3,the opinions expressed do not necessarily reflect the views of the u.s.
3,agency for international development.
4,1 assessing the value of climate forecast information for pastoralists: evidence from southern ethiopia and northern kenya abstract: climatic variability exerts tremendous influence on the livelihoods and well-being of pastoralists who inhabit the arid and semi-arid lands of the horn of africa.
4,recent advances in climate forecasting technologies have raised the intriguing prospect of reasonably accurate forecasts of coming seasons’ rainfall patterns.
