page,p
1,"original research published: 07 may 2019 doi: 10.3389/fmars.2019.00137 the role of stakeholders in creating societal value from coastal and ocean observations bev mackenzie 1* , louis celliers 2,3 , luiz paulo de freitas assad 4 , johanna j."
1,"heymans 5 , nicholas rome 6 , julie thomas 7 , clarissa anderson 7 , james behrens 7 , mark calverley 1 , kruti desai 6 , paul m."
1,"digiacomo 3,8 , samy djavidnia 3,9 , francisco dos santos 10 , dina eparkhina 11 , josé ferrari 12 , caitriona hanly 1 , bob houtman 13 , gus jeans 14 , luiz landau 15 , kate larkin 5† , david legler 16 , pierre-yves le traon 17,18 , eric lindstrom 19 , david loosley 1 , glenn nolan 11 , george petihakis 20 , julio pellegrini 10 , zoe roberts 21 , edited by: john r."
1,"siddorn 22 , emily smail 3,23,24 , isabel sousa-pinto 25 and eric terrill 7 marlon r."
1,"lewis, dalhousie university, canada 1 institute of marine engineering, science and technology, london, united kingdom, 2 climate service center germany, reviewed by: helmholtz-zentrum geesthacht, hamburg, germany, 3 geo blue planet, college park, md, united states, 4 department wendy meredith watson-wright, of meteorology, federal university of rio de janeiro, rio de janeiro, brazil, 5 european marine board secretariat, ostend, dalhousie university, canada belgium, 6 interagency ocean observation committee, consortium for ocean leadership, washington, dc, united states, 7 ralph frank rayner, scripps institution of oceanography, university of california, san diego, la jolla, ca, united states, 8 noaa/nesdis london school of economics, center for satellite applications and research, college park, md, united states, 9 european maritime safety agency, lisbon, united kingdom portugal, 10 prooceano, rio de janeiro, brazil, 11 european global ocean observing system secretariat, brussels, belgium, 12 shell brazil, rio de janeiro, brazil, 13 ocean sciences division, national science foundation, washington, dc, *correspondence: united states, 14 oceanalysis, wallingford, united kingdom, 15 civil engineering program, federal university of rio bev mackenzie de janeiro, rio de janeiro, brazil, 16 ocean monitoring division, national oceanic and atmospheric administration, silver bev.mackenzie@imarest.org spring, md, united states, 17 mercator océan, ramonville-saint-agne, france, 18 ifremer, plouzane, france, 19 science † present address: mission directorate, nasa, washington, dc, united states, 20 hellenic centre for marine research, crete, greece, 21 kate larkin, vattenfall wind power ltd., london, united kingdom, 22 met office, exeter, united kingdom, 23 satellite oceanography european marine observation and and climatology division, center for satellite applications and research, national oceanic and atmospheric data network (emodnet) secretariat, administration/national environmental satellite, data, and information service, college park, md, united states, 24 earth ostend, belgium system science interdisciplinary center, university of maryland, college park, md, united states, 25 interdisciplinary centre for marine and environmental research, university of porto, porto, portugal specialty section: this article was submitted to ocean observation, the importance of stakeholder engagement in ocean observation and in particular a section of the journal the realization of economic and societal benefits is discussed, introducing a number frontiers in marine science of overarching principles such as the convergence on common goals, effective received: 01 november 2018 communication, co-production of information and knowledge and the need for accepted: 04 march 2019 published: 07 may 2019 innovation."
1,"a series of case studies examine the role of coordinating frameworks such citation: as the united states’ interagency ocean observing system (ioos ), and the european r mackenzie b, celliers l, ocean observing system (eoos), public–private partnerships such as project azul and assad lpdf, heymans jj, rome n, thomas j, anderson c, behrens j, the coastal data information program (cdip) and finally the role of the “third” or voluntary calverley m, desai k, digiacomo pm, sector."
1,"the paper explores the value that stakeholder engagement can bring as well as djavidnia s, dos santos f, making recommendations for the future."
1,"eparkhina d, ferrari j, hanly c, houtman b, jeans g, landau l, keywords: ocean observing systems, stakeholder engagement, case studies, societal benefits, sdg14 larkin k, legler d, le traon p-y, lindstrom e, loosley d, nolan g, petihakis g, pellegrini j, roberts z, siddorn jr, smail e, sousa-pinto i introduction and terrill e (2019) the role of stakeholders in creating societal ocean observations, both at and below the sea surface, provide data and information required value from coastal and ocean to underpin assessments, analyses, and predictions of the state of the ocean environment."
1,ocean observations.
1,front.
1,"6:137. observations enable monitoring of ocean climate, provide early warning/tracking of high impact doi: 10.3389/fmars.2019.00137 weather and oceanographic events and are used to initialize and verify the performance of frontiers in marine science | www.frontiersin.org 1 may 2019 | volume 6 | article 137"
2,mackenzie et al.
2,stakeholders in coastal and ocean observations forecasting models.
2,"the data and information provided by ocean in parallel, the ocean economy is beginning to be well observations, in turn, supports the commercial and industrial understood."
2,"in 2010, ocean industries were estimated to have sectors (e.g., offshore oil and gas operations, safe and efficient contributed us$ 1.5 trillion to the global economy (oecd, maritime transport, tourism and recreation), and realizes societal 2016)."
2,"the oecd report states that by 2030, many ocean-based benefits such as better management of public health risks and industries have the potential to outperform the growth rate of the protection of people and property from natural hazards at global economy, both in terms of value-add and employment. the coast (bell et al., 2013; us ioos, 20181 )."
2,"in addition the oecd analysis of a “business-as-usual” scenario, predicts sustained ocean observations, measurements and models provide that, between 2010 and 2030, the ocean economy could more an important input to weather forecasts and climate projections, than double its contribution to global value added, reaching over delivering socioeconomic benefits far inland (rayner et al., 2018)."
2,us$ 3 trillion.
2,"it is, therefore, clear that the ocean provides a to fully realize the societal and economic benefits of ocean wealth of economic and social benefits and that these benefits observation there is a requirement for an integrated ocean are underpinned by ocean observations, measurements, and observing system."
2,the term integrated ocean observing system forecasts.
2,"however, there have been no comprehensive global describes a network of observation platforms and sensors that attempts to value these benefits, although numerous case studies acquire a huge variety and volume of spatio-temporal data have attempted to quantify components of the benefit accruing about the ocean environment."
2,such an integrated observation from the collection and use of such data.
2,"in aggregate, the system includes activities such as data acquisition, transmission, cost of obtaining and using such data is almost certainly management, and communications, analyses and modeling. only a small percentage of the value of the benefits derived these integrated systems contribute to the information- (rayner et al., 2018). base which enables the benefits from the blue economy deriving economic benefit from the oceans must be to be maximized. considered in conjunction with the often-concomitant stakeholder engagement is a key element of the beneficial deterioration of ocean health."
2,plastics pollution and ocean use of an integrated ocean observing system.
2,"a productive acidification are now joining harmful atmospheric emissions, and sustainable ocean economy requires strong partnerships. the spread of invasive species and overfishing as serious societal a diversity of stakeholders – managers, decision-makers, users challenges that must be addressed."
2,"impacts from changing of ocean observing products and services, socioeconomic climate including rising sea levels and coastal storms and flooding communities and civil society, and the builders and operators are also of serious concern."
2,"many observation and monitoring of observing systems, amongst others – contribute to maximize programs inform policies designed to enable protection of the the economic benefit from the blue economy (malone et al., global oceans."
2,these include global policies such as the united 2014).
2,"a clear understanding of, and mutual agreement on nations (un) 2030 agenda, and in particular, sustainable the role and needs of stakeholders is required to bridge development goal 14 (sdg14) which covers ocean conservation the gap between ocean observations, as an activity born and the sustainable use of ocean, sea and marine resources. out science and engineering, and its benefits to society."
