page,p
1,january 2018 miller 89 the not-so-marginal value of weather warning systems benjamin m.
1,"miller rand corporation, santa monica, california (manuscript received 10 august 2016, in final form 22 august 2017) abstract knowing the benefits of creating or expanding programs is important for determining optimal levels of investment."
1,"yet estimates of the benefits of weather warning systems are sparse, perhaps because there is often no clear counterfactual of how individuals would have fared without a particular warning system."
1,this paper enriches the literature and informs policy decisions by using conditional variation in the initial broadcast dates of the national oceanic and atmospheric administration’s weather radio all hazards (nwr) transmitters to produce both cross-sectional and fixed effects estimates of the causal impact of ex- panding the nwr transmitter network.
1,"results suggest that from 1970 to 2014, expanding nwr coverage to a previously untreated county was associated with an almost 40% reduction in injuries and as much as a 50% reduction in fatalities."
1,the benefits associated with further expansion of this system have likely declined over time.
1,introduction save lives.
1,"this paper addresses this gap by using the expansion of the national oceanic and atmospheric from 2006 to 2015, weather-related hazards caused an administration’s (noaa’s) weather radio all haz- average of over 500 fatalities and 3000 injuries per year ards (nwr) network to estimate the benefits associated in the united states."
1,tornadoes exceeded hurricanes as with investments in this weather warning system.
1,"re- the leading cause of storm-related deaths and injuries in sults show that the introduction of nwr transmitters the united states, accounting for 1101 fatalities and in a county was associated with an almost 40% reduction 11 596 injuries over this window.1 estimates of the in tornado injuries and as much as a 50% reduction in benefits of investment in disaster mitigation and pre- tornado fatalities. paredness range from $3.65 (multihazard mitigation there are a large number of case studies and household council 2005) to $15 (healy and malhorta 2009) of surveys examining how individuals responded to severe savings per $1 spent."
1,"however, justifying and promoting weather warnings."
1,while this literature is very useful for investment in disaster mitigation seems to require more understanding how individuals responded to their partic- than highlighting financial benefits.
1,"identifying the ular situation, the counterfactual is not clear."
1,how would number of lives saved by investments in weather warn- those individuals have fared without a particular warning ing systems could provide a tangible example of these system?
1,if warnings from a noaa weather radio were benefits.
1,"but beyond heartfelt beliefs and anecdotes, not available, would individuals have received and there is little robust statistical evidence about whether responded to warnings from a siren, television, or phone?"
1,and to what extent specific weather warning systems such questions are difficult to answer because we cannot observe how the same individual would respond to a sit- 1 u.s.
1,natural hazard statistics; http://www.nws.noaa.gov/om/ uation both with and without a given warning system. hazstats.shtml.
1,instead we need a reliable counterfactual.
1,we want to compare an individual who has access to a particular supplemental information related to this paper is available at warning system to a similar individual in a similar situation the journals online website: https://doi.org/10.1175/wcas-d-16- who does not have access to that warning system.
1,0093.s1.
1,this paper overcomes the difficulty of obtaining a reliable counterfactual by exploiting variation in the corresponding author: benjamin m.
1,"miller, benjamin_miller@ location and timing of the initial broadcast dates of rand.org nwr radio transmitters."
1,suppose transmitters were doi: 10.1175/wcas-d-16-0093.1 ó 2018 american meteorological society.
1,"for information regarding reuse of this content and general copyright information, consult the ams copyright policy (www.ametsoc.org/pubsreuselicenses)."
1,brought to you by university of california santa barbara | unauthenticated | downloaded 08/15/24 09:21 pm utc
2,"90 weather, climate, and society volume 10 simultaneously installed in a random selection of u.s. the panel method is limited to areas that experience counties."
2,"the number of fatalities and injuries caused by tornadoes more frequently, it controls for any potential tornadoes in areas receiving transmissions could simply bias caused by permanent differences between areas with be compared to the number of fatalities and injuries and without transmitters."
2,both methods find no evidence caused by tornadoes in areas which do not receive that nwr broadcasts reduce property damage.
2,the short transmissions.
2,"given a large enough number of observed time window between receipt of a warning and the event tornadoes, the two groups of areas should have similar does not permit time for meaningful damage mitigation, average rates of fatalities and injuries per tornado prior to so if a difference in property damage had been found that any transmitter installations."
2,"this similarity is because, on would suggest the method had failed to control for an average, there are no pre-existing differences between important difference between areas that receive nwr the two groups by nature of being randomly selected. transmissions and those that do not."
2,"after the transmitters begin broadcasting, differences in both methods estimate that nwr transmitter in- fatalities and injuries between the two areas could be stallations are associated with an almost 40% reduction attributed to an average impact of nwr transmitters. in tornado injuries."
2,"cross-sectional estimates suggest this interpretation, that the identified reduction in fa- that installations are associated with 50% fewer fatali- talities and injuries can be attributed solely to nwr ties, while panel estimates suggest a smaller reduction of transmissions, would be based on random assignment 11.4%."
2,these reductions reflect the aggregate reduction ensuring that the only average difference between the in deaths and injuries associated with the availability of two groups of areas was the existence of transmitters.
2,"nwr broadcasts, and do not reflect the risk reduction in practice, the location of these installations was not for a single individual."
2,"receiving the nwr broadcast random, and the installations did not occur simultaneously. requires the individual to own a radio receiver capable for example, a tornado that strikes an area with nwr of picking up the nwr signal."
2,"additional results suggest transmitters is most likely striking an area with higher that the benefits of further expansion of this warning population than a tornado that strikes an area without system may have declined over time, and potential nwr transmitters."
2,"tornadoes in areas with nwr trans- reasons for such a decline are discussed. mitters kill roughly the same number of people as torna- focusing this weather warning system evaluation on does in areas without nwr transmitters, but because areas nwr is appropriate for several reasons."
