page,p
1,"october 2008 millner 2561 getting the most out of ensemble forecasts: a valuation model based on user–forecast interactions antony millner oxford university centre for the environment, oxford, united kingdom (manuscript received 17 october 2007, in final form 19 february 2008) abstract a flexible theoretical model of perceived forecast value is proposed that explicitly includes the effects of user and ensemble characteristics and their interactions."
1,the model can be applied to arbitrary decision problems and is sensitive to a much wider range of factors than traditional forecast valuation models.
1,a simple illustration of its application to the cost–loss decision problem familiar from the forecast valuation literature is discussed.
1,it is shown that perceived value is highly sensitive to perceived model accuracy and that in most cases a high level of perceived accuracy is required for the forecasts to be thought to have any value at all.
1,decisions with a cost–benefit ratio that is close to the climatological probability of the adverse event are shown to be less sensitive to perceived accuracy.
1,"the model shows that it is possible for perceived value to remain unchanged when perceived accuracy increases, thus suggesting an explanation for why forecast uptake often does not increase after improvements in model performance are made."
1,"last, it is argued that attempts to increase forecast uptake should be targeted at those users whose cost–benefit ratios fall in a restricted range that depends on the climatological probability of the event and an objective measure of the ensemble accuracy."
1,introduction shown that forecast value is heavily dependent on user wealth levels and attitudes to risk (mjelde and cochran it has long been recognized that seasonal forecasts 1988; jones et al.
1,2000; letson et al. 2005) and trust in hold tremendous potential value for managing climate the forecasting product (adams et al.
1,1995; luseno et risks (mjelde et al.
1,1998; messina et al.
1,1999; palmer al.
1,2003; bharwani et al.
1,2005).
1,2002).
1,"despite this widely accepted assertion, relatively the methods used to estimate forecast value fall into little of that potential value is extracted by actual fore- two categories: those based on modeling studies (e.g., cast users (rayner et al."
1,2005; vogel and o’brien jones et al.
1,"2000; zhu et al. 2002) and those based on 2006), often despite an increase in forecast skill over the direct empirical measurements (e.g., patt et al."
1,2005). past decade (saha et al.
1,2006).
1,there is growing aware- the former set of methods tends to emphasize the po- ness in the forecasting community that forecast skill tential value that idealized users can extract from fore- does not translate linearly into forecast value (zhu et cast information and suffers from several drawbacks. al.
1,2002; richardson 2001; wilks 2001; katz and mur- some include the effects of user wealth and risk aver- phy 1997).
1,"research conducted by social scientists (patt sion on value but assume perfectly accurate and trusted and gwata 2002; ziervogel and calder 2003; vogel and forecasts, while others incorporate the effects of imper- o’brien 2006; artikov et al. 2006) has confirmed that fectly trusted forecasts but neglect the effects of wealth users’ perceptions of forecast value, and hence their and risk aversion."
