page,p
1,landsat and water—case studies of the uses and benefits of landsat imagery in water resources by larisa serbina and holly m.
1,miller open-file report 2014–1108 u.s.
1,department of the interior u.s.
1,geological survey i
2,"department of the interior sally jewell, secretary u.s."
2,geological survey suzette m.
2,"kimball, acting director u.s."
2,"geological survey, reston, virginia: 2014 for more information on the usgs—the federal source for science about the earth, its natural and living resources, natural hazards, and the environment—visit http://www.usgs.gov or call 1–888–ask–usgs for an overview of usgs information products, including maps, imagery, and publications, visit http://www.usgs.gov/pubprod to order this and other usgs information products, visit http://store.usgs.gov suggested citation: serbina, larisa, and miller, h.m, 2014, landsat uses and benefits—case studies by application area: u.s."
2,"geological survey open-file report 2014–1108, 61 p., http://dx.doi.org/10.3133/ofr20141108/."
2,"issn 2331-1258 (online) any use of trade, firm, or product names is for descriptive purposes only and does not imply endorsement by the u.s."
2,government.
2,"although this information product, for the most part, is in the public domain, it also may contain copyrighted materials as noted in the text."
2,permission to reproduce copyrighted items must be secured from the copyright owner. ii
3,contents acknowledgments.......................................................................................................................................................... ix executive summary ........................................................................................................................................................x introduction .................................................................................................................................................................x federal use of landsat imagery in water resources.................................................................................................x intrastate and interstate water management ..............................................................................................................x irrigation in agriculture ............................................................................................................................................... xi streamflow water rights ........................................................................................................................................... xi water dispute settlements ....................................................................................................................................... xii water exploration...................................................................................................................................................... xii flood mapping and monitoring .................................................................................................................................. xii land cover mapping ................................................................................................................................................. xii introduction ....................................................................................................................................................................
3,1 space policy ..............................................................................................................................................................
3,2 landsat in water resource management .....................................................................................................................
3,3 federal use of landsat imagery in water resources ...................................................................................................
3,3 u.s.
3,bureau of reclamation.......................................................................................................................................
3,3 agricultural and riparian evapotranspiration .........................................................................................................
3,4 consumptive uses and losses reports.................................................................................................................
3,4 water conservation plans ......................................................................................................................................
3,5 reclamation’s customers.......................................................................................................................................
3,5 state and local water accounting: measuring and monitoring with landsat ................................................................
3,"6 wyoming state engineer’s office and riverside technologies, inc.: consumptive use monitoring for colorado river compact ..........................................................................................................................................................."
3,"6 hydrological modeling, idaho department of water resources ................................................................................."
3,"9 state consumptive use mapping, nevada division of water resources................................................................."
3,11 state of colorado’s use of landsat imagery for water accounting .........................................................................
3,"12 statecu and landsat, colorado water conservation board and riverside technology, inc..................................."
3,"16 colorado south platte decision support system, riverside technology, inc. ........................................................."
3,"19 sonoma county water agency, california ..............................................................................................................."
3,"21 russian river ndvi (normalized difference vegetation index) methodology and use, california .........................."
3,24 agricultural irrigation: precision and efficiency through landsat .................................................................................
3,25 e&j gallo: improving irrigation technology and grape and wine quality ...............................................................
3,"25 vineyards and apple and olive orchards, chile ......................................................................................................"
3,"27 irrigation improvement for yield optimization, australia .........................................................................................."
3,"29 morocco irrigation efficiencies improvements: riverside technology, inc ..............................................................."
3,30 stream flow water rights: protecting the environment with landsat .........................................................................
3,"32 salmon basin, idaho ................................................................................................................................................"
3,"33 klamath basin, oregon ............................................................................................................................................"
3,"34 walker basin, nevada.............................................................................................................................................."
3,36 water dispute settlements: justice and transparency through landsat.....................................................................
3,"38 a&b irrigation district, idaho: call on the river ........................................................................................................"
3,"38 clear springs foods inc., idaho: curtailment order ................................................................................................"
3,41 water exploration: providing basic needs with landsat imagery ...............................................................................
3,43 radar technologies international: water explorations in darfur.............................................................................. 43 iii
4,exploration signatures: water exploration in venezuela .........................................................................................
4,46 flood mapping and monitoring ....................................................................................................................................
4,"50 flood extent and disaster monitoring, australia ......................................................................................................"
4,"50 flood extent monitoring in riparian forests, australia ............................................................................................"
4,"53 national flood risk information program, australia................................................................................................."
4,53 land cover mapping ...................................................................................................................................................
4,54 africa ........................................................................................................................................................................
4,54 australia ...................................................................................................................................................................
4,55 conclusion ...................................................................................................................................................................
4,57 references cited .........................................................................................................................................................
4,60 figures figure 1.
4,gis agricultural field border database displayed with landsat imagery showing the difference between a cropped field (in red) and a fallow field (in light green) .............................................................................
4,6 figure 2.
4,landsat image of the upper green river basin...................................................................................
4,8 figure 3.
4,landsat 5 thermal image processed in metric (mapping evapotranspiration at high resolution with internalized calibration) of center pivot irrigated fields in wyoming. ..................................................................
4,8 figure 4.
4,preliminary monthly evapotranspiration estimation results for the month of july along a narrow river corridor of the green river basin when irrigation is applied using surface water deliveries ......................................
4,9 figure 5.
4,"trends in evapotranspiration over time on the eastern snake plain aquifer, idaho..........................."
4,10 figure 6.
4,"normalized difference vegetation index (ndvi) derived from landsat 5 image, august 3, 2011, smith valley, nevada .............................................................................................................................................."
4,11 figure 7.
4,"images of northern mason valley, nevada, showing irrigated and non-irrigated lands ....................."
4,12 figure 8.
4,classification of irrigated lands in the state of colorado using landsat imagery ...............................
4,13 figure 9.
4,evaluation and validation of crop classification in the state of colorado using landsat imagery.
4,courtesy of colorado water conservation board ....................................................................................................
4,14 figure 10.
4,landsat image showing the area used to estimate evapotranspiration in one area in the state of colorado .....................................................................................................................................................
4,15 figure 11.
4,metric-derived evapotranspiration estimates for irrigated fields in eastern colorado ..................... 17 iv
5,figure 12.
5,metric-derived evapotranspiration estimates for specific crops in eastern colorado ......................
5,18 figure 13.
5,comparison of evapotranspiration estimates in eastern colorado from metric (top) and the colorado statecu model (bottom)...........................................................................................................................
5,19 figure 14.
5,south platte decision support system yearly crop production trends from 1976–2001 based on landsat analysis ......................................................................................................................................................
5,20 figure 15.
5,"multi-temporal landsat ndvi (normalized difference vegetation index) product overlaid on aerial photographs used in the delineation of yearly individual irrigated agriculture crop parcels near the south platte river, colorado ........................................................................................................................................................"
5,21 figure 16.
5,evapotranspiration in the russian river watershed determined using sebal analysis of landsat imagery.
5,courtesy of sonoma county water agency ..............................................................................................
5,23 figure 17.
5,change in ndvi over time derived from landsat images of the russian river watershed .......................................................................................................................................................
5,24 figure 18.
5,"evapotranspiration from gallo vineyards in lodi, california, measured using an adjusted form of metric."
5,lower evapotranspiration is shown in red and higher is in blue ...............................................................
5,26 figure 19.
5,evapotranspiration mapping of a drip-irrigated vineyard in chile using images from landsat 7 etm+ ..............................................................................................................................................
5,28 figure 20.
5,crop coefficient mapping of a drip-irrigated vineyard in chile using images from landsat 7 etm+...
5,28 figure 21.
5,"false color composite landsat image and evapotranspiration map of the shepparton irrigation district, victoria, australia ........................................................................................................................................"
5,30 figure 22.
5,"monthly actual evapotranspiration (red is low evapotranspiration and blue is high evapotranspiration) from september, 2006, to august, 2007 for tadla region, morocco ........................................."
5,31 figure 23.
5,water balance tool results using evapotranspiration results as input .................................................
5,32 figure 24.
5,"dry streambed of big timber creek, idaho, at a gaging station in april, 2004, illustrating the effects of diversion for irrigation .............................................................................................................................................. 33 v"
6,figure 25.
6,evapotranspiration maps for the lemhi valley within the upper salmon river basin in 2000............
6,34 figure 26.
6,"klamath river and upper klamath lake, oregon .............................................................................."
6,35 figure 27.
6,"walker basin, nevada........................................................................................................................"
6,37 figure 28.
6,a&b irrigation district .........................................................................................................................
6,39 figure 29.
6,"metric evapotranspiration images of a&b irrigation district (outlined in red), idaho ......................."
6,40 figure 30.
6,mean daily evapotranspiration from various water sources in a&b irrigation district and adjacent land ....................................................................................................................................................
6,41 figure 31.
6,"snake river farm, snake river canyon, idaho ................................................................................"
6,42 figure 32.
6,"ground water outflows at thousand springs, idaho, provide water to fish farms along the snake river, idaho..................................................................................................................................."
6,42 figure 33.
6,"seasonal metric evapotranspiration along the snake river, idaho ................................................"
6,43 figure 34.
6,maps based on landsat images created by radar technologies international’s watex system to identify potential sites to drill for water .................................................................................................................
6,45 figure 35.
6,"successful water wells drilled in eastern ouaddai, chad, located based on information provided by landsat images processed in the watex model ..............................................................................................."
6,46 figure 36.
6,"landsat image of coro, falcon area, venezuela ..............................................................................."
6,48 figure 37.
6,"hydrolithologic unit map of the coro, falcon area, venezuela, based upon analysis of the landsat data .................................................................................................................................................."
6,49 figure 38.
