page,p
1,"calcon technical meeting september 21st, 2020 valuation of calibration for satellite constellations afreen siddiqi chris durell sheila baber brandon russell olivier l. de weck jeff holt massachusetts institute of technology"
2,"frequent calibration is increasingly important for satellite constellations calibration sites  use of eo data from small satellites is rapidly increasing, but there are important challenges in its accuracy and reliable use."
2,data  calibration is important for new acquisition systems with several sensors or multi- platform systems that combine space- processing & conversion based and air-based observation cloud ortho- color- mosaicing filtering rectification correction platforms.
2,"5 10 15 ndvi ndvi hat  intercalibrations with larger spacecraft analytics 10 5 has limitations as it requires 0 -0.6 -0.4 -0.2 0 0.2 0.4 0.6 consistency of spectral bands, spatial collocation, and consistency of agriculture infrastructure water quality viewing geometry."
2,applications & decisions 1
3,"modeling value of calibration in remote sensing spacecraft correction models classification methods metrics, indices, rules tasking acquired measurements evaluations converted processed data data actionable data data conversion information sensor sensor i processing error ( ea ) error ( ec ) error ( k ) error ( d ) acquisition conversion modeling & evaluation classification & decisions effective data acquired (eda) error propagation, value of information (data quantity adjusted by quality) non-linear impacts (difference in economic due to thresholds outcomes) return on investment for use of calibration services for data providers 2"
4,architecture value proposition for earth observing systems for science missions the value delivered by a specific system architecture is directly related to the useful scientific data provided by the system for the regions of interest over its lifecycle.
4,total scientific data returned serves as a proxy for architecture value.
4,"siddiqi, a., magliarditi, e., and de weck, o."
4,"l., “valuing new earth observation missions for system architecture trade studies”” 3 ieee international geoscience and remote sensing symposium, (2019)"
5,"data acquired is quantified for each target region and adjusted for data quality inverse of coefficient of variation of quality metric (snr) × - ( ) 𝑟 is an additional discount factor associated with quality based on calibration 𝑟 is modeled to be small after each calibration event at time ti costk is monetary cost incurred in period k 𝜔 is a monetizing parameter in dollars per bits r is a discount ratio, and n is the total number of time periods siddiqi, a., magliarditi, e., and de weck, o."
5,"l., “valuing new earth observation missions for system architecture trade studies”” 4 ieee international geoscience and remote sensing symposium, (2019)"
6,"quantifying impact of calibration with difference in constellation eda  cubesat constellation of 4 spacecraft with passive imaging sensors (same specs as shown in previous case)  -90 day simulation  terrestrial calibration sites to be located below 66.5deg • four sites, below 66.5° latitude were identified to have the highest access frequency (marked in red, blue, green and yellow) • the site in black diamond was assumed to be the calibration site."
6,"this site (located at 65.7303, -150.411 near fairbanks, alaska • comparison between calibration and no calibration cases shows, for a=0.25%, adjusted eda of ~1000 tb without calibration and ~1600 tb with calibration, i.e. a 60% increase in eda if calibration is performed."
6,"siddiqi, a., baber, s., de weck, o."
6,"l., durell, c., russell, b., and holt, j., “integrating globally dispersed calibration in small satellites mission value”, (2020), 34th annual small satellite conference, ssc20-wkiv-07 5"
7,"modeling value of calibration in remote sensing spacecraft correction models classification methods metrics, indices, rules tasking acquired measurements evaluations converted processed data data actionable data data conversion information sensor sensor i processing error ( ea ) error ( ec ) error ( k ) error ( d ) acquisition conversion modeling & evaluation classification & decisions effective data acquired (eda) error propagation, value of information (data quantity adjusted by quality) non-linear impacts (difference in economic due to thresholds outcomes) return on investment for use of calibration services for data providers 6"
