topic,term,prob
1,impact,0.01346254187738093
1,space,0.01247231998017635
1,economic,0.01151118329071648
1,noaa,0.00871220726102486
1,information,0.00801917606358005
1,service,0.00610971804045829
1,system,0.00603837233278368
1,cost,0.00599944766502234
1,activity,0.00589847009900787
1,datum,0.00580805153080603
1,provide,0.0057707035276707
1,program,0.00576040538543979
1,effect,0.00566355071422133
1,model,0.00551899612283128
1,forecast,0.0049981572029846
1,research,0.00498933906330077
1,include,0.00498379578688053
1,product,0.00494550351834224
1,climate,0.0048621173864258
1,analysis,0.00476532039109083
2,datum,0.02966590459549537
2,indicator,0.01068028861351424
2,sdg,0.00733937730280382
2,development,0.00724427962609087
2,satellite,0.00673657638413068
2,access,0.00666680439798065
2,land,0.00648217047836745
2,global,0.00582324431785846
2,earth,0.00579675272559376
2,information,0.00550042725436989
2,crossref,0.00499935766748579
2,sustainable,0.00465284983476736
2,public,0.00449003294025321
2,base,0.00442372311938495
2,support,0.00431598435699436
2,sdgs,0.00430461015897858
2,provide,0.00427728353061763
2,map,0.00417032391944357
2,country,0.0041119881337364
2,remote,0.00405570365790668
3,water,0.02188960477849719
3,landsat,0.0187193620246457
3,datum,0.01730035284109953
3,weather,0.01475507509407088
3,mesonet,0.01078276964526396
3,imagery,0.00882133209155945
3,provide,0.00691093361769944
3,wind,0.00657358218281653
3,oklahoma,0.00655708610147962
3,information,0.00617843567551831
3,quikscat,0.00616953533636552
3,figure,0.0055261849260225
3,irrigation,0.00517159165486438
3,evapotranspiration,0.00499723957844399
3,land,0.00470204185094387
3,satellite,0.00451870482650068
3,resource,0.00442119923966703
3,river,0.00430591562278775
3,agricultural,0.00413751446706779
3,time,0.00394792250703555
4,water,0.02281210696397
4,decision,0.018262465174718
4,drought,0.01789087898613782
4,information,0.01294778655438563
4,farmer,0.00781060640280819
4,crop,0.00747462541031221
4,reservoir,0.00730433477226881
4,impact,0.00706279428991885
4,datum,0.00658500612485604
4,resource,0.00658387588508464
4,model,0.00623539379714733
4,management,0.0060929975203551
4,vulnerability,0.00604496978047048
4,basin,0.0059930018918565
4,level,0.00546043563967759
4,benefit,0.00545033332283117
4,result,0.00508487502469867
4,base,0.00491998496111457
4,additional,0.00457516093956861
4,availability,0.00456091023052704
5,model,0.02249953844359451
5,forecast,0.01303124959745109
5,datum,0.01115633199225184
5,library,0.01098688478688663
5,wiley,0.01060557787635615
5,grace,0.00952666822809476
5,online,0.00939215821857456
5,article,0.0090097006270428
5,ensemble,0.00844087183098133
5,water,0.00802160473189335
5,assimilation,0.00669695856052546
5,time,0.00624022373749467
5,university,0.00623558134159289
5,condition,0.00617203513085673
5,system,0.00613217771591343
5,download,0.00591218517037105
5,california,0.0057268478367465
5,term,0.00557123372434027
5,month,0.00556339919790494
5,observation,0.00547097365277059
6,observation,0.01884722184386864
6,stakeholder,0.01237640951598891
6,datum,0.01237051235535965
6,earth,0.01186357502636728
6,ocean,0.00988024768139643
6,user,0.00866041223402149
6,science,0.00788230806511958
6,community,0.00688514891870101
6,climate,0.00658387343689955
6,analysis,0.00655235145651434
6,system,0.00601083081599904
6,service,0.00575434178642185
6,provide,0.00565043563424071
6,priority,0.00549458653914173
6,government,0.0054734657024066
6,observe,0.00538761555500353
6,sba,0.0049011403639889
6,information,0.00486459794811583
6,research,0.00426031258274191
6,include,0.00426023971461876
7,datum,0.01759250968030127
7,system,0.01372963094496228
7,information,0.0135344747787361
7,benefit,0.01353296041366728
7,earth,0.01247566990744099
7,climate,0.0098929122676584
7,user,0.00884425212324336
7,geoss,0.00852834533466544
7,observation,0.00828148506364415
7,global,0.00805526469572753
7,change,0.00755182755436449
7,cost,0.00739581882097168
7,project,0.00619432912007156
7,geo,0.00590412793307675
7,science,0.00574796243332454
7,vol,0.0052412965133701
7,decision,0.00503885455686433
7,chain,0.00500469189353425
7,product,0.00458428350789929
7,biodiversity,0.00452813251947148
8,information,0.02004470136365969
8,water,0.01319048186980588
8,decision,0.01122328314227503
8,study,0.00855399514690946
8,estimate,0.00845376452189571
8,quality,0.00841276378150474
8,groundwater,0.00753519083353593
8,production,0.00708725766420681
8,agricultural,0.00703540056130209
8,nitrate,0.00696207383319239
8,land,0.00688105786359859
8,economic,0.00623150372825615
8,corn,0.00600581317852929
8,iowa,0.00556241085096107
8,datum,0.00546136735807386
8,region,0.00536446537746291
8,cost,0.0053264721721421
8,crop,0.00528854293517016
8,model,0.00517719562068102
8,maker,0.00453829477089826
9,information,0.01789416476453007
9,cost,0.00898687674811062
9,model,0.00864019413651326
9,risk,0.00822934153887266
9,price,0.00757402190127694
9,brand,0.0072789523975182
9,datum,0.0070142544354108
9,consumer,0.00651870237917741
9,choice,0.00599045790601937
9,market,0.00594408418649779
9,estimate,0.00585718429642715
9,climate,0.00515361153850563
9,probability,0.00513638300461435
9,change,0.00505519554431606
9,land,0.00502649961969049
9,advertising,0.00481099464346716
9,uncertainty,0.00467662418173693
9,economic,0.00447923070677711
9,quality,0.00433415964836091
9,effect,0.00421545475251102
10,datum,0.02261168150334186
10,map,0.01936001055182166
10,application,0.01769721368931344
10,benefit,0.01680853537078594
10,national,0.01467243324590292
10,cost,0.01124098750890812
10,tier,0.00953461963688426
10,base,0.0094767377150417
10,analysis,0.00933129579597372
10,time,0.00788904511007767
10,user,0.00749856240495948
10,model,0.00702713487802474
10,estimate,0.00678941433523162
10,poverty,0.00670810935293814
10,survey,0.00660848439120848
10,net,0.00641334404226475
10,target,0.00638176392557513
10,spatial,0.00588721117574383
10,scenario,0.00557920230863857
10,result,0.00547535392415034
11,fire,0.04412781713475366
11,datum,0.01745790803447014
11,cost,0.01067062614891803
11,benefit,0.01056303396620867
11,analysis,0.00852980405806089
11,economic,0.0084377918605578
11,estimate,0.00835776745717256
11,forest,0.0062078605912349
11,satellite,0.00589181342907971
11,time,0.00537792623266983
11,burn,0.00536075175459774
11,service,0.00516501158400103
11,impact,0.00508454271612861
11,seawatch,0.00507103868095925
11,system,0.00506784257505738
11,geospatial,0.00499048751661138
11,provide,0.00467198192863759
11,model,0.00458540351999942
11,detection,0.00434338731628575
11,management,0.00434160113357397
12,ocean,0.0183131595107632
12,cost,0.01272732000530547
12,system,0.01261131653715109
12,information,0.01078602761555138
12,observation,0.01039854291394087
12,datum,0.00961337700682066
12,estimate,0.00751772666092986
12,vessel,0.00677661307930203
12,time,0.00667762224902288
12,marine,0.00661618377639529
12,benefit,0.00641868701431868
12,flood,0.00546590629916928
12,provide,0.00539464330555358
12,whale,0.00511209515414798
12,weather,0.00492259036512543
12,research,0.00484962550783596
12,earth,0.00481313757819611
12,decision,0.0045827520592214
12,observe,0.0045544301862486
12,blue,0.00433681412028117
13,system,0.01933878596154775
13,information,0.0169798126180819
13,remote,0.01540736145818481
13,model,0.01238935086556509
13,datum,0.01175157027011662
13,oil,0.01108029397941487
13,sensing,0.00923375516182555
13,research,0.00798643825483078
13,space,0.00750606167774566
13,base,0.00748247988639625
13,palm,0.00737800131141237
13,provide,0.0069645166785472
13,design,0.00654956636346311
13,sense,0.00641495760743145
13,result,0.0063379888193503
13,benefit,0.00594156585089985
13,production,0.00552109640023856
13,economic,0.00543378720333557
13,technology,0.00512416227851951
13,cost,0.00493803295964144
14,monitor,0.01582326530487697
14,county,0.01266663645537581
14,datum,0.01223795969122996
14,satellite,0.01210848800523347
14,drought,0.01038131332778176
14,grace,0.00895935592683216
14,cyanohab,0.00873504618596067
14,information,0.00855442786993213
14,estimate,0.00828205085451146
14,water,0.00791781600225408
14,author,0.00770829914840593
14,decision,0.00701465941361248
14,lake,0.00673111307903292
14,manuscript,0.00665527343148748
14,health,0.00624534476586444
14,nonattainment,0.00615852177139667
14,naaqs,0.00596889748406444
14,usdm,0.00590669530021598
14,nasa,0.00566677731595381
14,indicator,0.00563493665260441
15,user,0.04698699309905229
15,landsat,0.03613818083482299
15,imagery,0.03118782207275404
15,survey,0.01366485074345121
15,benefit,0.01065207469350501
15,respondent,0.00987426320118906
15,scene,0.00983910972300008
15,economic,0.00957658937435825
15,cost,0.00866403963389537
15,information,0.00857316425397644
15,result,0.0074500838162338
15,pay,0.00723039011091143
15,amount,0.00719583442589092
15,question,0.0071589460698778
15,datum,0.0069919684416681
15,estimate,0.00685547849156593
15,fishery,0.00679736561527724
15,current,0.00668374763025492
15,establish,0.00621058883611631
15,average,0.00610172712052079
16,observation,0.02526754201808574
16,earth,0.0243831865030859
16,satellite,0.01911201353592145
16,datum,0.0161349009356786
16,space,0.0127437557974321
16,policy,0.00833527429945342
16,environmental,0.00790349497369492
16,global,0.0069581826775373
16,international,0.00668929690974691
16,system,0.0065063290963359504
16,national,0.00532078740036294
16,provide,0.00521007940640177
16,information,0.00498096084747384
16,project,0.00441062003214438
16,science,0.00437742678297984
16,base,0.00419723004905414
16,include,0.00418663303746267
16,change,0.00417964212503825
16,activity,0.00407624342548876
16,agency,0.00398749337184139
17,datum,0.02606391314182335
17,earth,0.01841743283168096
17,science,0.01444239544887585
17,benefit,0.0115386055739008
17,application,0.01122860207072837
17,remote,0.00982262239220428
17,observation,0.00975397409512193
17,misr,0.00943335519847901
17,study,0.00696105095280665
17,research,0.00692087501141926
17,national,0.00678027277302758
17,sensing,0.00650319439957297
17,land,0.00624160203663043
17,resource,0.0062017113094696
17,journal,0.00609764003499541
17,information,0.00608109128190124
17,policy,0.00585620423192739
17,future,0.00556025849624508
17,change,0.00540442456442258
17,space,0.00535753894076737
18,information,0.02081144898123875
18,datum,0.01657629867419029
18,decision,0.01261769582493877
18,benefit,0.00978912448664647
18,citizen,0.00899848025104268
18,study,0.00835976539078408
18,economic,0.00800594114350813
18,research,0.00750709667733053
18,chain,0.00722608357298721
18,impact,0.00674912718247736
18,earth,0.00636431569554387
18,risk,0.00627909010383802
18,european,0.00578854371669737
18,user,0.00564002679400006
18,observation,0.00552168107520228
18,policy,0.00536489317314763
18,cost,0.00535244711164274
18,management,0.00533103907656595
18,approach,0.00532658145410581
18,social,0.00500105387258049
19,datum,0.0236068109098369
19,cost,0.01277095828974699
19,landsat,0.01248547415390596
19,product,0.01081008378344754
19,publication,0.00917594635684833
19,provider,0.00879586619787696
19,actor,0.00876398212982531
19,information,0.00840133508556851
19,user,0.00819867406349575
19,research,0.00702314527498277
19,imagery,0.0060000048344075
19,service,0.00580344555573519
19,map,0.00574011809507298
19,science,0.00550103477664999
19,baer,0.00540170760923135
19,analysis,0.00521020591108685
19,satellite,0.00487982997751298
19,earth,0.00486869583129895
19,application,0.00467530486238135
19,study,0.004619883900127
20,datum,0.01875273280954082
20,climate,0.01114969941729425
20,ewx,0.00910366428579235
20,figure,0.00882088090876583
20,region,0.00857156952823257
20,precipitation,0.00827591560973444
20,base,0.00819611775610523
20,model,0.00818286619232012
20,access,0.00745519251896875
20,remote,0.00716492796004086
