page,p
1,"korean journal of remote sensing, vol."
1,"39, no. 6-1, 2023, pp."
1,"1467-1475 issn 1225-6161 ( print ) https://doi.org/10.7780/kjrs.2023.39.6.1.23 issn 2287-9307 (online) letter 직불제 이행점검 모니터링을 위한 원격탐사 기법 활용성 평가 안호용 ·류재현 1) ·이경도 2) * 1) assessment of the utility of remote sensing techniques for monitoring compliance with direct payment programs hoyong ahn ·jae-hyun ryu 1) ·kyungdo lee 2) 1)* abstract: the public-interest direct payment program involves providing direct payments to agricultural producers and rural residents through public funds, premised on performing public functions such as environmental conservation, stable food supply, and maintaining rural communities via agricultural activities."
1,"scientific estimation of crop cultivation areas and production levels is crucial for formulating agricultural policies linked to regulating food supply, which increasingly impacts the national economy."
1,conducting comprehensive on-site inspections for compliance monitoring of direct payment programs has shown very low efficiency in relation to budget and time.
1,the expansion of areas subject to compliance monitoring and various challenges in on-site inspections necessitate streamlining current monitoring methods and devising effective strategies.
1,"as a solution, the application of remote sensing technology and spatial information utilization, allowing swift acquisition of necessary information for policies without overall on-site visits, is being discussed as an efficient compliance monitoring method."
1,"therefore, this study evaluated the potential use of remote sensing for improving operational efficiency in monitoring compliance with public-interest direct payment programs."
1,"using satellite images during farming seasons in gimje and hapcheon, vegetation indices and spatial variations were utilized to identify cultivated areas, presence of mixed crops, validated against on-site inspection data."
1,"keywords: direct payment, remote sensing, normalized difference vegetation index, coefficient of variation 요약 : 공익직불제란 농업활동을 통해 환경보전, 식량의 안정적 공급, 농촌 공동체 유지 등 공익기능을 수행하 는 것을 전제로 전부 재정을 통해 농업생산자와 농촌 주민들에게 직불금을 지급하는 제도를 의미한다."
1,"작물 재 received november 24, 2023; revised november 29, 2023; accepted december 8, 2023; published online december 31, 2023 1) 농촌진흥청 국립농업과학원 기후변화평가과 연구사(researcher, climate change assessment division, national institute of agricultural sciences, rural development administration, wanju, republic of korea) 2) 농촌진흥청 국립농업과학원 기후변화평가과 박사후연구원(postdoctoral researcher, climate change assessment division, national institute of * corresponding author: kyungdo lee (kdlee11@korea.kr) agricultural sciences, rural development administration, wanju, republic of korea) copyright © 2023 by the korean society of remote sensing."
1,"this is an open access article distributed under the terms of the creative commons attribution non-commercial license (https://creativecommons.org/licenses/by-nc/4.0/) which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited. – 1467 –"
2,"korean journal of remote sensing, vol."
2,"39, no."
2,"6-1, 2023 배면적과 생산량 등 작황을 과학적으로 추정하는 것은 농산물 수급 조절과 연계된 농업정책 수립에 기반이 되 므로 국가 경제에 미치는 영향으로 인해 중요성이 점차 증가하고 있다."
2,공익직불제 이행점검과 관련하여 현장 조사를 통한 전수조사는 예산 및 소요시간 대비 매우 낮은 효율성을 보여준다.
2,이러한 직불제 이행점검 대상 면적의 증가와 현장 조사의 다양한 어려움은 현행 이행점검의 효율화와 대응책 마련 필요성을 요구하고 있다.
2,이에 대한 방안으로 전체적인 현장 방문 없이도 정책에 필요한 정보를 신속하게 취득하게 해 주는 원격탐사 기 술의 적용과 공간정보 활용 방법은 효율적인 이행점검 방 법으로 논의되고 있다.
2,따라서 본 연구는 공익직불사 업 이행점검 시 업무효율성 향상을 위한 위성영상 활용 가능성을 평가하였다.
2,"김제시(평지)와 합천군(산지)을 대상으로 영농기에 촬영된 위성영상의 식생지수와 공간변이를 활용하여 농경지 경작 유무, 혼재지를 판별하 고 그 결과를 현장조사 자료를 통해 검증하였다."
