page,p
1,"see discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/311606411 wetland landscape spatio-temporal degradation dynamics using the new google earth engine cloud-based platform: opportunities for non-specialists in remote sensing article in transactions of the asae."
1,"american society of agricultural engineers · october 2016 doi: 10.13031/trans.59.11608 citations reads 55 3,302 4 authors, including: alice alonso r."
1,"muñoz-carpena université catholique de louvain - uclouvain university of florida 9 publications 141 citations 290 publications 9,210 citations see profile see profile carolina murcia pontificia universidad javeriana - cali 59 publications 5,348 citations see profile all content following this page was uploaded by r."
1,muñoz-carpena on 10 june 2017.
1,the user has requested enhancement of the downloaded file.
2,wetland landscape spatio-temporal degradation dynamics using the new google earth engine cloud-based platform: opportunities for non-specialists in remote sensing a.
2,"alonso, r."
2,"muñoz-carpena, r."
2,"kennedy, c."
2,murcia abstract.
2,the complex nature of coupled human-natural systems often hinders the identification of forces and mechanisms causing observed environmental changes.
2,the analysis of long-term time series can allow better understanding of those interactions and hence inform more adapted restoration and management programs.
2,"however, long-term time series of ground-measured vegetation variables are often not readily available due to the tediousness of the work and the financial and time investment required, especially for large-scale wetland systems."
2,"remote sensing can help overcome this issue by providing more than 40 years of earth cover images, but until recently the processing and analysis of these images was restricted to experts in remote sensing."
2,"the new google earth engine (gee) opens the remote sensing information mine to engineers or scientists without advanced knowledge in the field, including easy access to petabytes of publicly available remote sensing data and their spatial analysis in the cloud."
2,"to illustrate its capabilities, we used gee to generate time series of the normalized difference vegetation index (ndvi) for the human-impacted tempisque watershed with its severely degraded downstream palo verde wetland in northwest costa rica."
2,we detail the processing and analysis steps to facilitate replication to any other case study.
2,"after defining the boundary of a study area, any user can generate a list and a video of the landsat and modis images available for the area, ndvi maps, and a time series of the ndvi values spatially aggre- gated over the study area or a set of previously delineated polygons."
2,one of the challenges we address is discriminating between the multitude of image collections available in the gee catalog for vegetation mapping.
2,we evaluate and compare the results obtained from five selected landsat and modis image collections and identify the collections that give the best quality results for our case study.
2,we conclude that modis is more appropriate for this tropical region because of the higher temporal resolution and hence higher probability to record cloud-free images.
2,ndvi time series from landsat images demonstrate a significant number of missing values.
2,"landsat maps of ndvi suggest that the entire watershed and protected wetland witnessed an overall increase in vegetation greenness and hence cover since 1986, matching the abandonment of cattle ranching and the known degradation of the wetland by cattail invasion."
2,"within-season vegetation variability can be tracked using modis images despite their coarser spatial resolution, showing high variability linked to precipitation pat- terns in this region."
2,"this gee application illustrates new opportunities for biosystems engineers and other scientists to integrate historical vegetation and land cover data into comprehensive datasets to understand human impacts on ecosys- tems, and provides the guidance to do so."
2,keywords.
2,"data, google earth engine, mapping, ndvi, remote sensing, time series, wetland."
2,"w etlands provide a variety of services to hu- change, altering the important functions and services they manity, yet they are under increasing pressure provide."
2,"wetland conservation, management, and restora- from human population resource needs tion involve long-term monitoring that should span beyond (mitsch and gosselink, 2007) and climate the borders of the wetland and incorporate its landscape (mitsch and gosselink, 2000)."
2,"in addition, this monitoring should include retrospective measurements of targeted vari- submitted for review in october 2015 as manuscript number nres ables, ideally over sufficient temporal and spatial domains to 11608; approved for publication by the natural resources & environmental recognize changes that would require adaptive management systems community of asabe in march 2016."
2,"the authors are alice alonso, asabe member, doctoral student, and interventions and define reference points for restoration."
2,"rafael muñoz-carpena, asabe fellow, professor, department of long-term monitoring programs can require intensive field- agricultural and biological engineering, university of florida, gainesville, work and substantial financial and human investment (e.g., florida; robert e."
2,"kennedy, assistant professor, college of earth, ocean, van dam et al., 1998)."
2,"ecosystem-level process-based mon- and atmospheric sciences, oregon state university, corvallis, oregon; carolina murcia, science director, organization for tropical studies, itoring costs and effort can grow exponentially when con- durham, north carolina."
2,"corresponding author: rafael muñoz-carpena, ducted at the landscape scale or for sites that are not easily 281 frazier rogers hall, university of florida, gainesville, fl 32611- accessible, such as the estimated 1.3 million ha worldwide 0570; phone: 352-392-1864; e-mail: carpena@ufl.edu."
2,transactions of the asabe vol.
2,59(5): 1333-1344 © 2016 american society of agricultural and biological engineers issn 2151-0032 doi 10.13031/trans.59.11608 1333
3,"of wetland systems (finlayson and spiers, 1999)."
3,"therefore, infrastructure."
