page,p
1,climatic change (2009) 93:69–101 doi 10.1007/s10584-008-9526-6 national forest carbon inventories: policy needs and assessment capacity krister andersson · tom p.
1,evans · kenneth r.
1,richards received: 6 february 2006 / accepted: 22 september 2008 / published online: 21 november 2008 © springer science + business media b.v.
1,2008 abstract previous research has identified the importance of the role of land cover in the global carbon cycle.
1,"in particular, forests have been identified as a significant carbon sink that can mitigate the rate of global climate change."
1,policy makers are faced with complex and difficult challenges in getting timely and useful information in monitoring global forest resources.
1,"recent advances in the tools and methods of forest carbon accounting have produced new, innovative approaches to forest- based carbon inventories."
1,but it is important as new tools are developed that scientists understand the needs of policy makers and that policy makers understand the capabilities and limitations of forest inventory methods.
1,"this paper explores four different policy applications that rely, or could benefit from, national carbon inventories."
1,the goal is to help build a bridge between the communities of climate policy makers and scientists specialized in forest carbon inventories.
1,"to this end, we pursue three specific objectives: first we provide an overview for policy makers about approaches to forest carbon inventories, paying particular attention to the contributions of remote sensing technologies."
1,"second, we outline the issues particu- larly relevant to forest inventory scientists who are interested in responding to public policy needs."
1,"we then discuss the tradeoffs between information cost, accuracy, pre- cision, transparency and timeliness that need to be balanced in long-term monitoring of forest carbon."
1,"finally, the article concludes with a series of observations and k."
1,"andersson university of colorado, boulder, co, usa t."
1,"evans indiana university, bloomington, in, usa k."
1,"richards (b) school of public and environmental affairs, indiana university, bloomington, in 47405, usa e-mail: kenricha@indiana.edu"
2,70 climatic change (2009) 93:69–101 recommendations for the implementation of forest carbon inventories as increasingly central components of global climate change policy.
2,1 introduction climate change and global warming threaten to disrupt both the natural world and humankind’s health and welfare (i.e.
2,solomon et al.
2,2007; mcmichael 1993; stein 2001).
2,protection and expansion of terrestrial carbon sinks are likely to play an inte- gral role in any meaningful international effort to stem the rise of atmospheric carbon dioxide that leads to global warming.
2,"terrestrial ecosystems play an important part in the global carbon cycle, with land-use change contributing approximately 20% of gross global carbon emissions, while terrestrial absorption of carbon removes just slightly more (watson et al."
2,2001).
2,"hence, terrestrial ecosystems, taken as a whole, appear to be a net sink for carbon."
2,"the potential, however, is much greater."
2,"a modest decrease in emissions from land-use change and a small percent increase in terrestrial absorption could significantly reduce net carbon emissions to the atmosphere, at least for the near term (dyson 1977; nabuurs et al."
2,2007).
2,forest carbon sinks are now an integral element of international greenhouse gas (ghg) policy under the united nations framework convention for climate change (unfccc 1992) and its kyoto protocol (kp-unfccc 1997).
2,"beyond these immediate international agreements, there have been calls for carbon sequestration to form a larger part of national and international climate change policy (see, e.g., watson et al."
2,1995; kauppi and sedjo 2001; stavins and richards 2005).
2,this means that the capacity to measure the size and changes in carbon sinks at the national level has become an essential issue in the policy arena.
2,there are four distinct but interrelated climate policy functions for which the capacity to conduct national inventories of forest carbon sinks is critical.
2,the reporting function.
2,conducting recurring national forest carbon inventories forms an integral part of complying with existing international climate treaties.
2,"all countries that have signed the unfccc are committed to “develop, periodically update, publish and make available to the conference of the parties . . . national inventories of anthropogenic emissions by sources and removals by sinks of all green- house gases not controlled by the montreal protocol”1 (unfccc 1992, art."
2,4.1(a)).
2,"in addition to the unfccc, signatory countries to the biodiversity convention, the convention to combat desertification, and the world heritage convention as well as member countries to the united nations forum on forests and the food and agriculture organization (fao) are required to report regularly on national- level changes in a variety of forest characteristics—such as total forest area, woody biomass, and diversity of tree species—some of which are useful input variables for estimating national forest carbon stocks (braatz 2002)."
2,the policy formation function.
2,"as countries explore alternative policy responses to global warming, it is important for each country to be able to gauge the size and 1 “the montreal protocol stipulates that the production and consumption of compounds that deplete ozone in the stratosphere—chlorofluorocarbons (cfcs), halons, carbon tetrachloride, and methyl chloroform—[were] to be phased out by 2000 (2005 for methyl chloroform)” (ciesin n.d.)."
