page,p
1,"landscape ecol (2019) 34:1329–1345 https://doi.org/10.1007/s10980-019-00844-5 (0123456789().,-volv) 89().,-volv) ( 01234567 research article mapping landscape-scale peatland degradation using airborne lidar and multispectral data donna carless ."
1,david j.
1,luscombe .
1,naomi gatis .
1,karen anderson .
1,richard e.
1,"brazier received: 28 september 2018 / accepted: 27 may 2019 / published online: 12 june 2019 ó the author(s) 2019 abstract results using fine-scale, large-extent remotely context an increased interest in the restoration of sensed data, combined with aerial imagery enabled peatlands for delivering multiple benefits requires a key features within the wider expanse of peatland to be greater understanding of the extent and location of successfully identified and mapped at a resolution natural and artificial features that contribute to appropriate to future targeted restoration."
1,"combining degradation. multiple datasets increased our understanding of objectives we assessed the utility of multiple, fine- spatial distribution and connectivity within the land- grained remote sensing datasets for mapping peatland scape."
1,an area of 29 km2 or 9.2% of the dartmoor features and associated degraded areas at a landscape- peatland area was identified as significantly and scale.
1,"specifically, we developed an integrated directly ecohydrologically degraded. approach to identify and quantify multiple types of conclusions using a combination of fine-grained peatland degradation including: anthropogenic drai- remotely sensed datasets has advantages over tradi- nage ditches and peat cuttings; erosional gullies and tional ground survey methods for identification and bare peat areas. mapping of anthropogenic and natural erosion features methods airborne lidar, casi and aerial image at a landscape scale."
1,"the method is accurate, robust datasets of the south west uk, were combined to and cost-effective particularly given the remote loca- identify features within dartmoor national park tions and large extent of these landscapes, facilitating peatland area that contribute to degradation."
1,"these effective and targeted restoration planning, manage- features were digitised and quantified using arcgis ment and monitoring. before appropriate buffers were applied to estimate the wider ecohydrologically affected area."
1,keywords peatlands  lidar  remote sensing  gis  landscape-scale  peatland degradation d.
1,carless (&)  d.
1,luscombe  n.
1,gatis  r.
1,"brazier department of geography, college of life and environmental sciences, university of exeter, exeter, introduction devon ex4 4rg, uk e-mail: d.carless@exeter.ac.uk peatland ecosystems are vulnerable, both to climate change and anthropogenic activities (drainage, con- k."
1,"anderson environment and sustainability institute, university of version for agriculture, burning and extraction for fuel exeter, penryn campus, penryn, cornwall tr10 9fe, uk and horticulture) (gorham 1991; joosten and clarke 123"
2,1330 landscape ecol (2019) 34:1329–1345 2002; bain et al. 2011) and only 10–12% of the global identifying where such pristine peatlands may still peatland resource remains undamaged (international exist.
2,peatland society 2008).
2,"the current condition of climatically-marginal peat recently, blanket peatlands, which represent the landscapes such as those found on dartmoor in the largest expanse of semi-natural habitat in the uk south west of england, are poorly characterised, (littlewood et al. 2010), have been recognised for the limiting understanding of where restoration/manage- wide range of ecosystem services that they provide ment efforts should focus."
2,"furthermore, restoration including; climate change mitigation, carbon seques- practices such as ditch blocking are costly and require tration/storage, runoff regulation and improvement of extensive partnership funding and cooperation (hol- water quality, and the provision of a landscape with den et al."
2,2008; bonn et al.
2,2016).
2,"bain et al. (2011) recreational and cultural value (joosten and clarke have therefore, encouraged mapping of peatland 2002; kimmel and mander 2010; bain et al. 2011; ecosystems at the catchment scale to better manage grand-clement et al."
2,2013).
2,"accordingly, there is this effort."
2,detailed spatial assessments of the distri- increasing interest in peatland restoration (rewetting) bution of features causing degradation (e.g. drainage to safeguard these multiple benefits.
2,"however, this ditches), as well as a broader condition assessment awareness has highlighted the need for a greater help to ensure that restoration works are efficient, understanding of the extent and location of peatland economical and cost effective (moxey and moran features, both natural and artificial, particularly where 2014; aitkenhead et al."
2,2016). peatlands have experienced significant disturbance.
2,"however, the review by li et al. (2018), highlights restoration and management of peatlands requires that the knowledge needed to underpin restoration an understanding of peatland structure at the spatial management must also extend to the fine-scale or scales at which peatlands function."
2,"for example, it is microtope (in sensu lindsay (2010)) to assess fully the now widely understood that, in addition to controls changes in peatland structure and function."
2,"mapping such as topography and peat type, artificial peatland of natural erosion features and assessment of artificial, drainage and associated erosional gullies promote linear drainage features must therefore be completed localised drainage and are the biggest cause of water at the-sub metre scale (connolly and holden 2017) as table change, resulting in long term impacts on well as across landscape extents."
2,"despite this, and peatland hydrology and ecological structure and likely due to the fact that until recently there was a lack function (e.g. initiating changes in hydrological con- of freely accessible data, comprehensive, fine-scale nectivity, carbon cycling, species composition and regional peatland mapping studies are still rare (see microform patterns) (evans and lindsay 2010; lus- milton et al."
2,2005; yallop et al.
2,2006; keyworth et al. combe et al.
2,2016; minayeva et al.
2,2017).
2,"even 2009; evans and lindsay 2010; medcalf et al. 2014 for historical, partially re-vegetated drains continue to act notable exceptions across national scales) and to date, as artificial flow paths due to localised changes in limited high resolution mapping of the key peatland topography as a result of long-term subsidence of the features that contribute to peatland degradation have peat surface adjacent to the drainage ditches (haa- been completed at the landscape-scale. palehto et al."
2,"2011, 2014; holden et al."
2,2011).
2,"existing resources of peatland extent and condition the recent focus on landscape-scale conservation are also often based on data that are no longer management has reinforced the need for landscape applicable due to their age, their coarse spatial scale mapping and monitoring, a task that is challeng- resolution or the methods used (i.e., inventories that ing to deliver using traditional ground-based methods were completed in the 1970s–1990s, national/re- (cole et al."
2,2013).
2,"landscape-scale mapping gional scale mapping studies and studies based on approaches allow the identification of both vulnerable literature review and ‘expert’ opinion rather than (degraded) peatland areas as well as intact, functioning physical data)."
2,"this may be explained by the fact that areas which may be at risk due to their proximity to traditional survey and assessment methods, e.g. degraded zones or drainage features (minayeva et al. ground based field surveys (burton 1987) and plot or 2017)."
2,"in addition, identifying functioning peatland transect-scale vegetation assessments (poulin et al. areas can provide information to inform realistic and 2013; rochefort et al. 2013), are time consuming and spatially explicit restoration goals, in addition to costly over large extents (mehner et al."
2,2004; li and 123
3,landscape ecol (2019) 34:1329–1345 1331 chen 2005).
3,"in addition, the subjective nature of field national park area is mapped as peat (gatis et al. data acquisition and uncertainties associated with plot 2019)]."
3,the peat deposits on dartmoor are estimated surveys (different observers and different times of the to extend to depths greater than 7 m (fyfe and greeves year) means that systematic bias can be introduced 2010; newman 2010; parry et al.
3,2012; fyfe et al.
3,(carlsson et al. 2005) and a large number of plots are 2014) and overlie predominantly granitic bedrock needed in sites with a high level of small scale (gatis et al.
3,2019).
3,dartmoor’s blanket bog ecosys- variability so that features are not underestimated tems are the primary reason for the designation of (bonnett et al.
