page,p
1,"remote sensing article combining passive acoustics and environmental data for scaling up ecosystem monitoring: a test on coral reef fishes simon elise 1,2, * , françois guilhaumon 3 , gérard mou-tham 4 , isabel urbina-barreto 2,3 , laurent vigliola 4,5 , michel kulbicki 5,6 and j."
1,"henrich bruggemann 2,5 1 reef pulse s.a.s., 27 allée maureau, 97490 sainte-clotilde, la réunion, france 2 umr 9220 entropie, university of reunion island, 97400 saint-denis, la réunion, france; isabel.urbina-barreto@ird.fr (i.u.-b.); henrich.bruggemann@univ-reunion.fr (j.h.b.)"
1,"3 umr 9220 entropie, ird la réunion, 97400 saint-denis, la réunion, france; francois.guilhaumon@ird.fr 4 umr 9220 entropie, ird nouvelle-calédonie, 98848 nouméa, nouvelle-caledonie, france; moutham.g@gmail.com (g.m.-t.); laurent.vigliola@ird.fr (l.v.)"
1,"5 laboratoire d’excellence corail, 66000 perpignan, france; michel.kulbicki@ird.fr 6 umr 9220 entropie, ird upvd, 66000 perpignan, france * correspondence: simon_elise@hotmail.com abstract: ecological surveys of coral reefs mostly rely on visual data collected by human observers."
1,"although new monitoring tools are emerging, their specific advantages should be identified to optimise their simultaneous use."
1,"based on the goodness-of-fit of linear models, we compared the potential of passive acoustics and environmental data for predicting the structure of coral reef fish assemblages in different environmental and biogeographic settings."
1,"both data types complemented citation: elise, s."
1,"; guilhaumon, f.; each other."
1,"globally, the acoustic data showed relatively low added value in predicting fish assem- mou-tham, g."
1,"; urbina-barreto, i.; blage structures."
1,"the predictions were best for the distribution of fish abundance among functional vigliola, l."
1,"; kulbicki, m.; entities (i.e., proxies for fish functional groups, grouping species that share similar eco-morphological bruggemann, j.h."
1,"combining passive traits), for the simplest functional entities (i.e., combining two eco-morphological traits), and when acoustics and environmental data considering diet and the level in the water column of the species."
1,our study demonstrates that for scaling up ecosystem monitoring: a test on coral reef passive acoustic monitoring (pam) improves fish assemblage assessment when used in tandem fishes.
1,remote sens.
1,"2022, 14, 2394. with environmental data compared to using environmental data alone."
1,"such combinations can https://doi.org/10.3390/rs14102394 help with responding to the current conservation challenge by improving our surveying capacities at increased spatial and temporal scales, facilitating the identification and monitoring of priority academic editors: duccio rocchini, management areas."
1,"giovanni bacaro, enrico tordoni, francesco petruzzellis and daniele da re keywords: coral reefs; fish assemblages; remote sensing; passive acoustic monitoring (pam); ecoacoustic indices; conservation received: 5 march 2022 accepted: 5 may 2022 published: 16 may 2022 publisher’s note: mdpi stays neutral 1."
