page,p
1,"hindawi computational intelligence and neuroscience volume 2022, article id 6815102, 7 pages https://doi.org/10.1155/2022/6815102 research article big data technology oriented to wetland resource ecosystem value evaluation 1,2 lifang fan 1 school of resources and environmental science, hubei university, wuhan 430062, china 2 hubei key laboratory of regional development and environmental response, hubei university, wuhan, hubei 430062, china correspondence should be addressed to lifang fan; 1700210464@stu.sqxy.edu.cn received 21 february 2022; revised 9 may 2022; accepted 19 may 2022; published 29 may 2022 academic editor: qiangyi li copyright © 2022 lifang fan."
1,"this is an open access article distributed under the creative commons attribution license, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited."
1,in order to study a big data technology research for the evaluation of wetland resource ecosystem value.
1,this paper proposes a wetland dimension oriented to the evaluation of wetland ecosystem services space attribute through big data coupling analysis framework.
1,the framework used china’s coastal wetlands as a case for empirical research and summarized the future direction of the research on the value evaluation of wetland ecosystem services in the era of big data.
1,"the result shows: wetland ecosystem observation network can obtain long-term series of dynamic data, remote sensing earth observation can realize the integrated observation of space, space, and earth, the combination of the two will help to build a wetland ecological big data observation system."
1,the service value of china’s coastal wetland ecosystem is 5010.32 × 108 yuan.
1,the research results can eﬀectively solve the problem of geographical heterogeneity and have reference value for the protection and management of the wetland ecosystem.
1,"introduction the big data comprehensive evaluation method of wetland ecosystem service value, it is an important breakthrough to with the rapid development of information technology, achieve accurate assessment of the value of wetland eco- information acquisition methods and data analysis methods system services [2]."
1,"the evaluation of the service function are undergoing drastic changes, data science, dominated by value of the wetland ecosystem is the basis for the protection big data, has become the focus of attention in the academic and rational use of the wetland."
1,through the process of world.
1,"compared with traditional data analysis methods, big wetland evaluation, we can accurately understand the data is a new way of thinking, rely on comprehensive data to wetland and the various functions it provides for human systematically solve complex scientiﬁc problems [1]."
1,"in beings and to make a reasonable quantitative evaluation on terms of ecology, many scholars have also discovered the this basis, and also it is very important for wetland pro- importance of big data and carried out related research, tection and reasonable and eﬀective management of wetland which provided new ideas for the scientiﬁc solution of many [3]."
1,"wetland ecosystem services, functions, and evaluation ecological problems."
1,the formation mechanism of wetland research began in the early twentieth century.
1,"in the early ecosystem services is complex, the driving factors are di- scholars’ evaluation research on wetland ecosystem services, verse, due to natural interference, human activities, hy- it is mainly done through the establishment of an indicator drological changes, vegetation succession, and historical system or the use of questionnaires to evaluate the value of diﬀerences in the development of speciﬁc areas, and wetland wetland ecosystem services to convert the value of ecosystem ecosystem services show signiﬁcant temporal and spatial services into monetary value [4]."
1,in the study of the service speciﬁcity and comprehensive characteristics.
1,"in the era of value of farmland ecosystems, sahoo and bhaskaran cal- big data science, use of massive, high-dimensional, and culated the value of farmland ecosystem services based on variable wetland observation of big data to systematically the inﬂow of water from the river, and recommended to study the value of wetland ecosystem services, and explore distribute the incoming water volume during the year, and"
2,"2 computational intelligence and neuroscience stated that water rights trading, ecological compensation, wetlands are carried out purposefully at multi-level obser- multiple means to ensure the river ecological base ﬂow were vations from key wetlands to general wetlands, network important [5]."
2,"fu et al. constructed an economic analysis observation system from inland to coastal, and from inland framework of land use transfer based on the theory of freshwater wetlands to inland saltwater wetlands [9]."
2,"the maximum utility and argued that in the context of ecological wetland ecological station establishes long-term observation restoration of projects and urban expansion, the impact points and observation sample plots in important and typical mechanism of cultivated land transfer in shaanxi province wet areas."
2,"long-term positioning observation of the eco- on the value of ecosystem services is of relevance [6]. logical characteristics, ecological functions, and human burlakova et al. combined constanza’s results after ﬁeld disturbance of the wetland ecosystem, in order to reveal the research in china; it is believed that directly introducing mechanism and regulation methods of the occurrence, foreign results into china can easily overlook the value of development, and succession of wetland ecosystems to certain ecosystems."
2,"from this, a new unit price system for provide scientiﬁc basis for protection, restoration, recon- evaluating the value of ecosystem services in china is struction, and rational use of wetlands."
2,the establishment of proposed [7].
2,"based on this, this paper proposes a wetland the wetland ecological station provides a good technical dimensional-spatial-attribute coupling big data analysis platform for observing the wetland ecosystem, and it is an framework for wetland ecosystem service value assessment. important guarantee for wetland research and scientiﬁc this framework selected china’s coastal wetlands as a case development of wetland. for empirical research and summarized the future direction of wetland ecosystem service function evaluation research in the era of big data."
2,wetland ecosystem service value evaluation based on big data.
2,"supported by the big data of wetland ecosystem observation, study the applicable ecosystem service big data 2."
2,wetland ecosystem mining and coupling analysis method system.
2,it is the key to 2.1.
2,the big data observation system of wetland ecosystem. realize the service value assessment of wetland ecosystem.
2,"wetland ecosystem observation is to observe the ecological ecosystem observation big data has the characteristics of indicators of wetland regularly, the process of quantitatively massive data, complex dimensions, and numerous variables, acquiring wetland ecological quality and its change infor- bringing unprecedented diﬃculties to data mining and mation."
2,"in terms of observation methods, wetland big data analysis."
2,"for this reason, based on the theory of wetland observations face various types of problems, complex ecosystem service value evaluation, the general research structure, wide distribution, numerous elements, a series of paradigm is deﬁned as follows: issues such as dynamic changes."
2,"a comprehensive and y � [x][s][c]. (1) scientiﬁc wetland observations require comprehensive use of modern technology to carry out a full indicator system, time in the formula, y is the dependent variable, refers to the continuous, spatial continuous, multi-scale joint, and other ecosystem service functions provided by wetlands, generally systematic observations."
2,"in terms of technical means, a multidimensional service function; x, s and c are inde- complete wetland ﬁeld observation network needs to be pendent variables, respectively, referring to the quantitative established."
2,"for wetland big data observation, establish a and qualitative representations of the service value of wet- scientiﬁc and practical wetland observation index system, land ecosystems, where x is the representative quantity of make full use of new remote sensing observation methods to wetland resource information."
2,"generally it is the spatial data strengthen the construction of a technical system for the of wetland distribution, s is the qualitative ecological pa- acquisition, transmission, storage, and management of rameter information, generally it is wetland attribute data."
