page,p
1,"remote sensing article competition and burn severity determine post-fire sapling recovery in a nationally protected boreal forest of china: an analysis from very high-resolution satellite imagery lei fang 1 , ellen v."
1,"crocker 2 , jian yang 2 , yan yan 3 , yuanzheng yang 3 and zhihua liu 1, * 1 cas key laboratory of forest ecology and management, institute of applied ecology, chinese academy of sciences, shenyang 110016, china; fanglei@iae.ac.cn 2 department of forestry and natural resources, tp cooper building, university of kentucky, lexington, ky 40546, usa; e.crocker@uky.edu (e.v.c.); jian.yang@uky.edu (j.y.)"
1,"3 key laboratory of environment change and resources use in beibu gulf, guangxi teacher education university, nanning 530001, china; yanyan@gxtc.edu.cn (y.y.); yangyz@gxtc.edu.cn (y.y.)"
1,* correspondence: liuzh@iae.ac.cn; tel.: +86-024-8397-0327  received: 12 february 2019; accepted: 1 march 2019; published: 13 march 2019  abstract: anticipating how boreal forest landscapes will change in response to changing fire regime requires disentangling the effects of various spatial controls on the recovery process of tree saplings.
1,spatially explicit monitoring of post-fire vegetation recovery through moderate resolution landsat imagery is a popular technique but is filled with ambiguous information due to mixed pixel effects.
1,"on the other hand, very-high resolution (vhr) satellite imagery accurately measures crown size of tree saplings but has gained little attention and its utility for estimating leaf area index (lai, m2 /m2 ) and tree sapling abundance (tsa, seedlings/ha) in post-fire landscape remains untested."
1,"we compared the explanatory power of 30 m landsat satellite imagery with 0.5-m worldview-2 vhr imagery for lai and tsa based on field sampling data, and subsequently mapped the distribution of lai and tsa based on the most predictive relationships."
1,a random forest (rf) model was applied to assess the relative importance and causal mechanisms of spatial controls on tree sapling recovery.
1,the results showed that pixel percentage of canopy trees (ppct) derived from vhr imagery outperform all landsat-derived spectral indices for explaining variance of lai (r2 vhr = 0.676 vs.
1,r2 landsat = 0.427) and tsa (r2 vhr = 0.508 vs.
1,r2 landsat = 0.499).
1,"the rf model explained an average of 55.5% (sd = 3.0%, mse = 0.382, n = 50) of the variation of estimated lai."
1,"understory vegetation coverage (competition) and post-fire surviving mature trees (seed sources) were the most important spatial controls for lai recovery, followed by burn severity (legacy effect), topographic factors (environmental filter) and nearest distance to unburned area (edge effect)."
1,"these analyses allow us to conclude that in our study area, mitigating wildfire severity and size may increase forest resilience to wildfire damage."
1,"given the easily-damaged seed banks and relatively short seed dispersal distance of coniferous trees, reasonable human help to natural recovery of coniferous forests is necessary for severe burns with a large patch size, particularly in certain areas."
1,"our research shows the vhr worldview-2 imagery better resolves key characteristics of forest landscapes like lai and tsa than landsat imagery, providing a valuable tool for land managers and researchers alike."
1,"keywords: forest recovery; resilience; leaf area index; tree sapling abundance; burn severity; boreal forests; worldview-2 remote sens. 2019, 11, 603; doi:10.3390/rs11060603 www.mdpi.com/journal/remotesensing"
2,"remote sens. 2019, 11, 603 2 of 22 1."
2,"introduction wildfire has been well recognized as a crucial process governing the dynamics of forest structure, composition and function in boreal forests [1,2]."
