page,p
1,"natural hazards (2021) 108:2939–2969 https://doi.org/10.1007/s11069-021-04808-4 original paper portability of semantic and spatial–temporal machine learning methods to analyse social media for near‑real‑time disaster monitoring clemens havas1 · bernd resch1,2 received: 21 march 2020 / accepted: 19 may 2021 / published online: 10 july 2021 © the author(s) 2021, corrected publication 2021 abstract up-to-date information about an emergency is crucial for effective disaster management."
1,"however, severe restrictions impede the creation of spatiotemporal information by cur- rent remote sensing-based monitoring systems, especially at the beginning of a disaster."
1,multiple publications have shown promising results in complementing monitoring systems through spatiotemporal information extracted from social media data.
1,"however, various monitoring system criteria, such as near-real-time capabilities or applicability for different disaster types and use cases, have not yet been addressed."
1,this paper presents an improved version of a recently proposed methodology to identify disaster-impacted areas (hot spots and cold spots) by combining semantic and geospatial machine learning methods.
1,the pro- cess of identifying impacted areas is automated using semi-supervised topic models for various kinds of natural disasters.
1,"we validated the portability of our approach through experiments with multiple natural disasters and disaster types with differing characteristics, whereby one use case served to prove the near-real-time capability of our approach."
1,we demonstrated the validity of the produced information by comparing the results with offi- cial authority datasets provided by the united states geological survey and the national hurricane centre.
1,the validation shows that our approach produces reliable results that match the official authority datasets.
1,"furthermore, the analysis result values are shown and compared to the outputs of the remote sensing-based copernicus emergency management service."
1,"the information derived from different sources can thus be considered to reliably detect disaster-impacted areas that were not detected by the copernicus emergency man- agement service, particularly in densely populated cities."
1,"keywords social media · disaster management · machine learning · semantic topic analysis · geospatial analysis * clemens havas clemensrudolf.havas@sbg.ac.at 1 department of geoinformatics, paris-lodron university of salzburg, 5020 salzburg, austria 2 center for geographic analysis, harvard university, cambridge, ma 02138, usa 13 vol.:(0123456789)"
2,"2940 natural hazards (2021) 108:2939–2969 1 introduction in the last two decades, natural disasters have become more frequent and more severe, resulting in higher economic losses and death tolls (wallemacq and house 2018)."
2,"due to climate change, this trend will continue, and information products from monitoring pro- grammes like the european union copernicus programme are essential to mitigate and prevent damages and losses caused by natural disasters."
2,"the emergency management service (ems) of the copernicus programme is deployed to provide timely and accurate geospatial information, mainly based on remote sensing satellite data."
2,"although satellite imagery has proven to be a highly valuable data source for emergency management, remote sensing-based monitoring systems face certain limitations."
2,"for example, due to activation or orbital constraints, the temporal lag before the first information product provided by such a system can be up to 72 h after the outbreak of a disaster (schnebele and cervone 2013)."
2,"furthermore, the satellite’s schedule and path can differ from the area of interest and the targeted period, making spatial and temporal data about a specific natural disaster sparse."
