page,p
1,"remote sensing of environment 209 (2018) 1–18 contents lists available at sciencedirect remote sensing of environment journal homepage: www.elsevier.com/locate/rse spectral matching based on discrete particle swarm optimization: a new t method for terrestrial water body extraction using multi-temporal landsat 8 images ⁎ kai jiaa,b, weiguo jianga,b, , jing lia,b, zhenghong tangc a key laboratory of environmental change and natural disaster of ministry of education, faculty of geographical science, beijing normal university, beijing 100875, china b beijing key laboratory for remote sensing of environment and digital cities, faculty of geographical science, beijing normal university, beijing 100875, china c community and regional planning program, college of architecture, university of nebraska-lincoln, lincoln, ne 68588-0105, usa a r t i c l e i n f o a b s t r a c t keywords: terrestrial water, an important indicator of inland hydrological status, is sensitive to land use cover change, discrete particle swarm optimization (dpso) natural disaster and climate change."
1,an accurate and robust water extraction method can determine the surface flood inundation mapping water distribution.
1,"in this paper, a new method, called the spectrum matching based on discrete particle swarm landsat 8 operational land imager (oli) optimization (smdpso) is proposed to recognize water and nonwater in landsat 8 operational land imager surface water extraction (oli) images."
1,"only two parameters, the standard water spectrum and the tile size, are considered."
1,these parameters are suﬃciently stable so it is unnecessary to change their values for diﬀerent conditions.
1,"by contrast, in supervised methods, samples are chosen based on conditions."
1,"eight test sites covering various water types in diﬀerent climate conditions are used to assess the performance relative to that of unsupervised and supervised methods in terms of overall accuracy (oa), kappa coeﬃcients (kc), commission error (ce) and omission error (oe)."
1,"the results show that: (1) smdpso achieves the highest accuracy and robustness; (2) smdpso has lower oe but higher ce than the supervised method, which means that smdpso is the least likely to misclassify water as nonwater, but is more likely to misclassify nonwater as water; (3) smdpso has advantages with respect to removing shallows and dark vegetation and preserving the real distribution of small ponds, but cannot recognize shadows, ice, or clouds without the help of other data such as dem."
1,"in addition, a case of ﬂooding in north- eastern china is analyzed to demonstrate the applicability of smdpso in water inundation mapping."
1,"the ﬁndings of this study demonstrate a novel robust, low-cost water extraction method that satisﬁes the require- ments of terrestrial water inundation mapping and management."
1,introduction life.
1,"the social, economic and ecological responses to surface water inundation have been studied in recent literature (marton and kapelan, terrestrial water bodies such as rivers, lakes, ponds, puddles and 2014; tang et al., 2016; ten brinke et al., 2017; zhang et al., 2017), artiﬁcial reservoirs play important roles in inland water cycles and providing guidance for government oﬃcials and decision-makers in ecosystem balance and provide essential resources for animals and policy and management. vegetation."
1,"although terrestrial water bodies cover a small proportion advances in remote sensing technology enable large-scale terrestrial of the earth's surface area (2–3%, raymond et al., 2013), they are es- water monitoring."
1,"landsat satellites (landsat 4, 5, 7, and 8) have seven timated to account for 10% of animals and 35% of vertebrates bands, from the visible spectrum to infrared, at 30-m spatial resolution, (stendera et al., 2012) and are therefore signiﬁcant for biological di- including a coarse-resolution thermal band."
1,the historical inventory versity and ecosystem functions.
1,"however, inland water is undergoing a includes time series from the 1980s to the present, which satisfy the loss of biological diversity worldwide, which is endangering the futures requirements of high spatial resolution and long-term continuous of these ecosystems (dudgeon et al., 2006)."
1,changes in surface water monitoring.
1,"moderate resolution imaging spectroradiometer (modis) may lead to disasters such as ﬂoods, landslides, debris ﬂows and water images include 36 bands at 250-m spatial resolution, and the ability to shortages, which may result in substantial economic cost and loss of conduct observation every day at the same site enables near real-time ⁎ corresponding author at: key laboratory of environmental change and natural disaster of ministry of education, faculty of geographical science, beijing normal university, beijing 100875, china."
1,e-mail addresses: jiakai@mail.bnu.edu.cn (k.
1,"jia), jiangweiguo@bnu.edu.cn (w."
1,jiang). https://doi.org/10.1016/j.rse.2018.02.012 received 18 april 2017; received in revised form 2 february 2018; accepted 9 february 2018 available online 23 february 2018 0034-4257/ © 2018 elsevier inc.
1,all rights reserved.
2,jia et al.
2,remote sensing of environment 209 (2018) 1–18 monitoring at a large scale.
2,"based on the detailed information con- utilized by li et al. (2015a, 2015b, 2016) to map sub-pixel-scale ﬂood tained in remote sensing satellite images, researchers can recognize inundation. surface water and map its spatial distribution to analyze the relation- deﬁciencies are present in the studies summarized above: (1) pre- ships among water and other factors."
2,"water classiﬁcation methods are vious water index methods consider only a few bands with information detailed in the references (feyisa et al., 2014)."
2,"here, three types of loss for other bands."
2,"for example, the ndwi used only two out of six methods are summarized: (1) the water index for water spectral char- bands, and the awei used four of six bands."
2,"(2) the sample collection acteristics; (2) conventional land cover classiﬁcation; and (3) water- step required by supervised classiﬁcation is time consuming, and prior speciﬁc classiﬁcation methods such as expert systems. human knowledge greatly inﬂuences the accuracy."
2,"therefore, su- the simplest method is the water index."
2,mcfeeters (1996) ﬁrst pervised classiﬁcation may not be stable at a large scale.
2,"(3) water proposed the normalized diﬀerence water index (ndwi) to identify speciﬁc classiﬁcation achieves greater accuracy, but still encounters the water using bands 2 (green) and 4 (nir) of landsat tm."
2,rogers and problem of sampling.
2,"furthermore, few studies have been conducted for kearney (2004) replaced bands 2 and 4 with bands 3 (red) and 5 (mir) the water-speciﬁc classiﬁer."
2,"this paper continues the research (yang of landsat tm to compute the ndwi to reduce signature variability in et al., 2015; pekel et al., 2016) on water-speciﬁc classiﬁcation and unmixed coastal marshes."
2,"because of the inﬂuence of built-up land, proposes a new water extraction method called spectrum matching vegetation and soil, xu (2006) used bands 2 (green) and 5 (mir) of based on discrete particle swarm optimization (smdpso)."
2,"compared landsat tm to evaluate the modiﬁed ndwi (mndwi), which is one of with the water index method, smdpso incorporates a new water in- the most commonly used water indices."
2,"subsequently, feyisa et al. formation mining method to fully utilize all the band information and (2014) found that previously proposed water indices are constrained by simultaneously suppress nonwater noise."
2,an advantage over the su- low accuracy in various situations.
2,"therefore, they introduced the au- pervised method is that smdpso requires no samples, fewer parameters tomated water extraction index (awei), which uses more bands (bands and no manual intervention."
2,"dpso is introduced into the water classi- 2, 4, 5 and 7 of landsat tm) to achieve greater robustness and remove ﬁcation process to strengthen water-speciﬁc information with water shadows in mountainous areas."
2,"because of the imperfection of any classiﬁer. single water index, researchers have also combined multiple indices to the objectives of this paper are (1) to propose a novel water ex- improve accuracy (yamazaki et al., 2015)."
2,the water index method is traction method (smdpso); (2) to assess the accuracy and sensitivity of popular because its calculations are simple and its results appropriate.
2,"smdpso in either test sites; (3) to present a case study of ﬂood in- however, higher accuracy is sometimes required, which makes more undation mapping for a ﬂood in northeastern china by means of complex classiﬁcation methods appealing."
2,machine learning for su- smdpso. pervised classiﬁcation is a reasonable way to save time and labor while maintaining satisfactorily high accuracy.
2,mueller et al. (2016) used 2.
2,"test sites and materials 180,000 samples to train ecognition to separate 26 classes, which provided substantial prior knowledge for computer learning."
2,"these eight test sites from around the world, which feature diﬀerent cli- samples were input into a regression tree model to classify water across mates, water types and landscapes, were chosen to examine the ro- australia."
2,supervised classiﬁcation methods have been developed for bustness and general applicability of smdpso.
2,"in addition, northeast all possible land types, not just water."
2,water indices and supervised china was selected as a case study of inundation mapping for the classiﬁcation can be implemented jointly to improve the speciﬁc practical application of smdpso.
2,landsat 8 oli images were used as training of supervised classiﬁcation for water.
2,"for example, tulbure the only data source to avoid the inﬂuence of diﬀerent sensors."
2,"pre- et al. (2016) computed water indices (e.g., ndwi, awei and normal- processing was also conducted. ized diﬀerence moisture index) and vegetation indices (e.g., enhanced vegetation index) as explanatory variables to highlight water informa- 2.1."
2,"test sites and case study area tion, which was then processed with a random forest model."
2,"however, this combination doesn't take full use of the water-speciﬁc information the eight test sites (fig. 1 and table 1) include (a) thermokarst lakes in classiﬁers."
2,"therefore, a water-speciﬁc classiﬁcation method was de- in tuktoyaktuk, canada; (b) the amazon river in manaus, brazil; (c) veloped."
2,"yang et al. (2015) applied a fuzzy clustering method to ac- hamburg, germany; (d) the yobe river valley, nigeria, in dry (d1) and count for spatial information in water extraction from heterogeneous wet (d2) season; (e) the coastal plains of the bay of bengal; (f) the lower backgrounds."
2,"pekel et al. (2016) used an expert system for high-re- reaches of the yellow river in kaifeng, china; and (g) coongie lakes solution mapping of global surface water."
2,"this water-speciﬁc classiﬁer national park, australia."
2,"the water bodies of canada and australia achieves higher accuracy than that of general supervised methods. consist of lakes, representing puddles and periglacial lakes in a subarctic heuristic optimization algorithms, such as particle swarm optimi- climate and saline lakes in a hot desert climate, respectively."
2,"the yobe zation (pso), have been introduced into remote sensing to recognize river valley has clear wet and dry seasons, with a hot semi-arid climate. water-speciﬁc information."
2,"pso was ﬁrst proposed by kennedy & therefore, two tests were conducted, one for the dry season and another eberhart et al. (1995) and has since been modiﬁed by several re- for the wet season, to evaluate the seasonal sensitivity of the method. searchers, the most common version of which was proposed by shi and manaus is located at the conﬂuence of the rio negro and solimoes river, eberhart (1998)."
2,the combination of pso and the classiﬁcation algo- which are inﬂuenced by a tropical rainforest climate.
2,the rio negro is rithm proved to be useful.
2,"for example, pso has been combined with called the black river because its water resembles strong tea, which is support vector machine (svm) to obtain physical parameters such as attributed to its humic acid content."
2,"the solimoes river appears yellow chlorophyll concentrations in oﬀshore waters (bazi and melgani, 2007), because a substantial proportion of clays and sands from the mountains indicating that pso overcame the insuﬃciency of training samples."
2,pso are suspended in the water.
2,the bay of bengal is characterized by a was also applied to hyper-spectral imagery processing to reduce the tropical monsoon climate with a dense water network.
2,"hamburg, ger- redundant dimensionality."
2,"yang et al. (2012) used pso for supervised many and kaifeng, china were selected because urban waters are also optimal band searching and the selective result was taken as the input important in the study of urban ﬂood disasters; these cities have a of svm to classify urban land cover."
2,"to take advantage of heuristic temperate oceanic climate and a cold semi-arid climate, respectively. algorithms, pso and genetic algorithm were integrated with svm to hamburg is famous as an aquatic city with numerous canals."
2,"in the areas dramatically increase the classiﬁcation accuracy and eﬀectively re- around kaifeng, a vast number of ponds and are crossed by the yellow cognize roads in an urban background (bhatt et al., 2014)."
2,"discrete river, whose water is yellow because of its high suspended sand content. particle swarm optimization (dpso) has recently been used for sub- the selected sites are located in areas with ﬂat topography to avoid the pixel classiﬁcation."
2,dpso resolved problems in discrete space and was inﬂuence of terrain shadows (table 1).
3,jia et al.
3,remote sensing of environment 209 (2018) 1–18 fig.
3,location of the eight test sites and ﬂooding example case.
3,the ﬂooding case is a ﬂood that occurred in northeastern china in 2013.
3,"a) thermokast lakes in tuktoyaktuk, canada, 09/jul/2013."
3,"b) the conﬂuence of two diﬀerent waters in manaus, brazil, 27/jul/2016."
3,"c) urban water in hamburg, germany, 12/may/2016."
