page,p
1,"3730 ieee journal of selected topics in applied earth observations and remote sensing, vol."
1,"8, no."
1,"7, july 2015 evaluation of earth observation systems for estimating environmental determinants of microbial contamination in recreational waters serge olivier kotchi, stéphanie brazeau, patricia turgeon, yann pelcat, julie légaré, martin-pierre lavigne, francine nzang essono, richard a."
1,"fournier, and pascal michel abstract—public health risks related to the microbial contam- from landsat-5/tm images and the level of fecal contamination ination of recreational waters are increased by global environ- of beaches is the one which performs best."
1,these images are also mental change.
1,"intensification of agriculture, urban sprawl, and those that best meet all of the evaluation criteria."
1,this study climate change are some of the changes which can lead to favorable showed that environmental determinants like agricultural lands conditions for the emergence of waterborne diseases.
1,earth obser- and impervious surfaces present in the area of influence of beaches vation (eo) images have several advantages for the characteriza- are those which contribute the most to the microbial contamina- tion and monitoring of environmental determinants that could be tion of beaches.
1,our study demonstrated the utility and the added associated with the risk of microbial contamination of recreational value that eo images could bring to programs monitoring the waters in vast territories like canada.
1,"there are a large number microbial contamination of recreational waters. of eo systems characterized by different spatial, temporal, spec- index terms—environmental determinants, epidemiology, tral, and radiometric resolutions."
1,"also, they have different levels of image classification, microbial contamination, optical imaging, accessibility."
1,"in this study, we compared several eo systems for the radar imaging, remote sensing, water pollution. estimation of environmental determinants to assess their useful- ness and their added value in monitoring programs of recreational waters."
1,"satellite images from eo systems worldview-2, geoeye- i."
1,"i ntroduction 1, spot-5/hrg, landsat-5/tm, envisat/meris, terra/modis, noaa/avhrr, and radarsat-2 were acquired in 2010 and 2011 in southern quebec, canada."
1,"a supervised classification of these g lobal environmental change (climate change, popu- lation growth, urbanization, and intensification of agri- cultural production) has given rise to the emergence and images with a maximum likelihood algorithm was used to estimate five key environmental determinants (agricultural land, imper- re-emergence of many waterborne diseases (campylobacter, vious surfaces, water, forest, and wetlands) within the area of cryptosporidium, escherichia coli o157: h7, vibrio cholerae influence of 78 beaches."
1,"logistic regression models were devel- o139, etc.)"
1,[1]–[12].
1,"these diseases are the most significant oped to establish the relationship between fecal contamination of beaches and environmental determinants derived from satellite causes of mortality worldwide [13], [14]."
1,monitoring programs images.
1,"the power prediction of these models and criteria such involve sampling recreational water bodies to produce lab- as accuracy of classified images, the ability of the sensor to detect oratory estimates of microbial contamination [4], [15]–[17]. environmental determinants in the area of influence of beaches, however, the number of water bodies to monitor and labora- the correlation between the estimated environmental determi- tory delays in estimating microbial indicators are obstacles to nants in the area of influence by the sensor with those estimated by very high spatial resolution reference sensors (worldview-2 the evaluation and monitoring of public health risks over large and geoeye-1), and general criteria of accessibility (cost of the areas like canada, which has many remote and isolated bodies images, imaging swath, satellite revisit interval, hours of work, of water."
1,several authors highlight the importance of devel- and expertise and material required to process the images) were oping new methods to help detect microbial contamination of used to evaluate the eo systems.
1,"the logistic regression model recreational waters in a timely manner to better prevent public establishing the relationship between environmental determinants health risks [7], [11], [16], [18], [19]."
1,"environmental conditions around water bodies are important factors in the risk of micro- manuscript received october 01, 2014; revised march 23, 2015; accepted april 09, 2015."
1,"date of publication may 22, 2015; date of current version bial contamination [20]–[23]."
1,"the description and monitoring august 11, 2015."
1,this work was supported by the government related of these conditions can help target recreational waters most at initiatives program (grip) of the canadian space agency (csa). risk to optimize resources of monitoring programs and reduce s.
1,"kotchi, s."
1,"brazeau, p."
1,"turgeon, y."
1,"pelcat, j."
1,"légaré, and p."
1,"michel are population exposure to potentially contaminated water [24]. with the laboratory for foodborne zoonoses (lfz), public health agency of canada (phac), saint-hyacinthe, qc j2s 7c6, canada (e-mail: serge-olivier."
1,earth observation (eo) systems provide a framework for the kotchi@phac-aspc.gc.ca). assessment and monitoring of these determinants over large m.-p.
1,"lavigne is with the direction de l’expertise hydrique, ministère du areas [6], [7], [16], [17], [25]–[27]."
1,"however, there are a mul- développement durable, de l’environnement et de la lutte contre les change- titude of eo systems, characterized by types of sensors which ments climatiques (mddelcc), québec, qc g1r 5v7, canada (e-mail: martin-pierre.lavigne@mddelcc.gouv.qc.ca). differ in spatial, spectral, radiometric, and temporal resolutions f."
1,essono and r.
1,fournier are with the département de géomatique as well as levels of accessibility.
1,"this leads to different capabil- appliqué, université de sherbrooke, sherbrooke, qc j1k 2r1, canada ities of detecting and monitoring environmental determinants. (e-mail: richard.fournier@usherbrooke.ca)."
1,color versions of one or more of the figures in this paper are available online a comparative evaluation of eo systems was conducted in at http://ieeexplore.ieee.org. this study to identify those which enable better assessment digital object identifier 10.1109/jstars.2015.2426138 and monitoring of environmental determinants of microbial 1939-1404 © 2015 british crown copyright authorized licensed use limited to: univ of calif santa barbara.
1,"downloaded on august 02,2024 at 22:17:25 utc from ieee xplore."
1,restrictions apply.
2,kotchi et al.: evaluation of eo systems for estimating environmental determinants 3731 during the study period was taken as an index to indicate the overall contamination level of each beach.
2,turgeon et al. [17] present a more detailed description of the sampling method.
2,"estimation of environmental determinants four key environmental determinants were retrieved from satellite images and used to assess their impact on the level of fecal contamination of beaches: agricultural lands, forests, wetlands, and impervious surfaces, which were used as a proxy for urban areas."
2,these land types are known to influence water quality either by being sources of contamination or by acting as protective areas around beaches [16].
2,"feedlots, irrigation, and fertilizer applications to agricultural lands are sources of pathogens."
2,drainage of these lands can result in a large amount of pathogens in surface water [53].
2,"runoff waters from imper- vious surfaces (residential, commercial, and industrial areas) can carry bacteria, dissolved solids, and a large amount of sed- iment and nutrients [53]."
2,contaminants present in those waters can be transported more easily by impervious surfaces to the lakes [54].
2,forests can reduce soil erosion and act as a filter during runoff events.
2,this action can limit the transport of sedi- fig.
2,"study area, beaches, and coverage of satellite images used in the study. ments and microorganisms into surface waters."
2,wetlands play a buffer role for retaining sediments and populations of pathogens contamination risk in the proximal zones of recreational water that can contaminate water bodies.
2,their location in the terri- bodies.
2,"as such, the objective of this study is the evaluation tory becomes an important factor of the reduction in microbial of eo systems in the context of estimating the environmental contamination of water bodies [55]."
2,"however, wetlands near determinants of the risk of microbial contamination of recre- pastoral streams may be an important source of fecal contami- ational waters."
2,"this project is part of a research initiative on nation, especially during major rain events, resulting in a flow recreational waters conducted by the public health agency of of wetlands to water bodies [56]."
2,"the proximity of the river canada [7], [25]. system to the sources of fecal contamination such as farms and crop areas is also an important risk factor for microbial con- ii."
2,m ethods tamination of surface waters [57].
2,four additional determinants associated with specific characteristics of the beaches and not a.
2,"study area extracted from satellite imagery were also added to the anal- the studied beaches were located on lakes and in three ysis: land topography, number of tributaries, the lake area, and watersheds (watersheds of rivers l’assomption, yamaska, and the plant hardiness zone (phz) calculated by natural resources saint-françois) in southern québec, canada (fig."
2,the num- canada [28].
2,"phz is an index of suitability for growth of ber of beaches studied across these basins varied between 22 trees, shrubs, and flowers, and was used as an average climatic and 78 according to the coverage of satellite images. condition of a region."
2,values associated with these determinants were calculated for each beach according to a hydrological area naturally b.
2,microbial contamination measures drained into the lake (area of influence).
2,the area of influence of measurements of fecal coliform concentrations were made the beaches contributes most to microbial contamination.
2,"this by the programme environnement-plage, a recreational water area was defined as the intersection of the lake’s watershed and quality monitoring program in the province of quebec. a 2-km radius from the beach and description of the method according to this program, water samples were taken in june, used to define these areas can be found in the publication july, and august every summer of the study period (2004– of [23]. 2011), with an average of three samples taken per summer."
2,"the estimation of environmental determinants was per- also, in this program, beaches were classified according to their formed by the classification of eo images."
2,"field observations average fecal coliform concentration after each harvest: a group and reference data from various geodatabases were used for the “a” (excellent quality) beach is classified as having a test result processing of the images, their classification, and their accuracy of 0–20 colony-forming unit (cfu)/100 ml."
2,"similarly, a group assessment."
2,"fig. 2 presents eo systems used and the workflow “b” beach (good) has 21–100 cfu/100 ml, group “c” (poor) of data acquisition, processing, and analysis. has 101–200 cfu/ml, and group “d” (polluted) has over 200 1) eo systems which are compared: the choice of eo cfu/100 ml found in the sampled water."
2,a more description of systems was based on different characteristics related to the this program could be found at [52].
2,"for this study, the geomet- spatial resolution, spectral resolution, and temporal resolution ric mean of fecal coliform concentrations of all samples taken (sst space), the type of sensor and the accessibility of the authorized licensed use limited to: univ of calif santa barbara."
2,"downloaded on august 02,2024 at 22:17:25 utc from ieee xplore."
2,restrictions apply.
3,"3732 ieee journal of selected topics in applied earth observations and remote sensing, vol."
3,"8, no."
3,"7, july 2015 watersheds) was obtained through the use of free access images."
3,images from commercial sensors and radarsat-2 were acquired for subsets of the full study area (fig.
3,3) ground truth data: spectroradiometric measurements and ground truth observations were performed for image cor- rection and classification.
3,"spectroradiometric measurements were carried out on water and other surfaces types (sand, asphalt, and grass) in the beach areas."
3,ground truth obser- vations focused on the identification and description of the agricultural land in the periods of the acquisition of satellite images.
3,"the observation sites were generated randomly in the entire area using the function “create random points” in arcgis 10.0 (esri, redlands, ca)."
3,agricultural census data and road data were used to limit the selection of ground truth sites to farms which are near a road.
3,all of the in situ observations were made in the area covered by the spot-5 images (fig.
3,ground truth data were used to establish an agroenvironmental fig.
3,"framework of remote sensing data acquisition, processing, and analysis."
