page,p
1,"1 observation of pm2.5 using a combination of satellite remote sensing and low-cost 2 sensor network in siberian urban areas with limited reference monitoring 3 changqing lin,1 lev d."
1,"labzovskii,2,* hugo wai leung mak,3 jimmy c.h."
1,"fung,1,4 alexis k.h."
1,"4 lau,1,5 samuel takele kenea,2 muhhamad bilal,6 joshua d."
1,"vande hey,7 xingcheng lu,1 jun ma5 5 1 division of environment and sustainability, the hong kong university of science and 6 technology, hong kong, china 7 2 climate research division, national institute of meteorological sciences (nims), seogwipo, 8 jeju-do, 63568, korea 9 3 faculty of engineering, the chinese university of hong kong, hong kong, china 10 4 department of mathematics, hong kong university of science and technology, hong kong, 11 china 12 5 department of civil and environmental engineering, the hong kong university of science and 13 technology, hong kong, china 14 6 school of marine science, nanjing university of information science and technology, nanjing 15 210044, china 7 16 school of physics and astronomy, earth observation science group, university of leicester, 17 leicester, united kingdom 18 corresponding author: 19 * address: climate research division, national institute of meteorological sciences (nims), 20 seogwipo, jeju-do, 63568, republic of korea."
1,email: labzowsky@gmail.com (lev d.
1,21 labzovskii).
1,22 23 1
2,"24 abstract: the lack of reference ground-based pm2.5 observation leads to large gaps in air 25 quality information, particularly in many areas of the developing world."
2,this study investigated a 26 new solution for urban air-quality monitoring in regions with limited reference ground-based 27 monitoring.
2,"we developed an observation-based method by combining satellite remote-sensing 28 techniques and a newly established low-cost sensor network to estimate long-term pm2.5 29 concentrations over krasnoyarsk, a highly industrialized siberian city."
2,"first, a physical model was 30 developed to estimate pm2.5 concentrations using satellite remote-sensing with the aid of ground- 31 based meteorological and radiosonde observations."
2,observations from the ground-based sensor 32 network were then used to calibrate the deviations in the satellite-derived pm2.5 concentrations.
2,33 the results show that the satellite-based pm2.5 concentrations obtained by our physical model were 34 in good agreement with the sensor observations (r = 0.78 on the monthly scale).
2,"the deviation in 35 satellite-derived annual pm2.5 concentrations resulted from data restrictions that occurred at noon 36 and data loss in winter were identified as 20% and 30%, respectively."
2,the regional transport of 37 smoke from forest wildfires increased pm2.5 concentration to 150 µg/m3 in the summer 2018.
2,"the 38 average pm2.5 concentrations in the urban districts could reach 35 µg/m3, which far exceeded the 39 world health organization air quality guideline."
2,these results underscore the good ability of our 40 new method to determine pm2.5 concentrations in regions with limited reference ground-based 41 monitoring.
2,use of sensor and meteorological observations greatly improved satellite detection of 42 pm2.5 concentration.
2,"in addition, our method has the potential for global application to improve 43 determination of pm2.5 concentrations, especially in sparsely monitored regions."
2,44 keywords: satellite; pm2.5; low-cost sensor; siberia; air quality 2
3,"introduction 46 given the adverse effects of fine particulate matter (pm2.5) on human health, pm2.5 47 concentrations should be accurately monitored (crouse et al., 2012; guo et al., 2018)."
3,"it is 48 particularly important to monitor pm2.5 concentrations in large urban areas, which contain millions 49 of people in conditions of deteriorated air quality (baklanov et al., 2016)."
3,"pm2.5 concentrations 50 have traditionally been monitored by ground-based networks operated by government agencies 51 (rohde and muller, 2015)."
3,"however, such networks often fail to provide sufficient observational 52 coverage for urban air quality monitoring."
3,the resulting lack of governmental pm2.5 data may have 53 caused long-term deficiencies in air quality measurements in less-developed countries.
3,"recent 54 advances in satellite-based remote sensing and low-cost sensors are new opportunities to 55 supplement incomplete conventional monitoring datasets from these regions (pinder et al., 2019)."
3,"56 using satellite-detected aerosol optical depth (aod) to estimate pm2.5 concentration is an 57 effective tool to fill the data gaps in government-led ground-based observations (chan et al., 2018; 58 lin et al., 2018)."
3,"the estimation requires an understanding of the vertical distribution, hygroscopic 59 growth, and characteristics of aerosols (lin et al., 2016; liu, 2014)."
3,"a range of statistical models 60 has been established to elucidate the link between aod and pm2.5 concentration using methods 61 such as machine learning (di et al., 2016; xiao et al., 2018) and geographically and temporally 62 weighted regression (guo et al., 2017; he and huang, 2018)."
3,"these statistical models require 63 sufficient ground-based pm2.5 measurements as the training datasets, so their use is difficult in vast 64 regions outside developed countries, where the ground-based monitoring coverage is sparse (liu, 65 2014)."
3,66 satellite-based estimations of pm2.5 concentrations in these poorly-monitored regions have 67 to date relied on chemical transport models (ctms) to simulate aod-pm2.5 relationships (van 3
4,"68 donkelaar et al., 2010)."
4,"these ctm-based methods have no imposed restrictions on ground pm2.5 69 measurements, but they impose heavy computational demands."
4,"thus, each computation is subject 70 to certain intrinsic uncertainties, such as those arise from aerosol vertical distribution and optical 71 properties (van donkelaar et al., 2006; jin et al., 2019)."
4,it is therefore important to develop 72 alternative observation-based aod-pm2.5 algorithms for estimation of pm2.5 concentrations in 73 these poorly monitored regions.
4,"74 technological progress has led to the development of miniaturized low-cost sensor devices 75 with sufficient sensitivity for air quality monitoring (kumar et al., 2015; morawska et al., 2018)."
4,"76 there has been considerable investigation of the utility of low-cost air-quality sensors, and there 77 is a growing consensus that they could provide valuable information when used appropriately for 78 suitable applications (wmo, 2018), such as providing indicative and supplementary data rather 79 than regulatory data."
4,"these miniaturized sensors are less bulky, less expensive and easier to deploy 80 and manage, than the reference instruments (snyder et al., 2013)."
4,"81 although pm2.5 datasets with limited accuracy may be obtained from only a single sensor 82 (borrego et al., 2016; castell et al., 2017), the integration of large numbers of sensors into a 83 network can yield useful and realistic information about a city’s air quality (schneider et al., 2017)."
4,"84 some stationary sensor networks have already been established as pilot projects for air quality 85 monitoring in complex environments, such as urban areas (gao et al., 2015; semple et al., 2015) 86 and airports (popoola et al., 2018)."
4,the united states environmental protection agency (u.s.
4,epa) 87 has confirmed the necessity of extending the existing urban air-quality monitoring systems by 88 introducing low-cost sensors (u.s.
4,"epa, 2014)."
4,long-term measurements from low-cost sensor 89 networks may ultimately be used to complement the mapping of urban air-quality and to assist in 90 the calibration and evaluation of deviations in satellite-derived pm2.5 concentration data.
5,"91 when urban air quality measurements are severely lacking, the efforts of non- 92 governmental urban air-quality monitoring can encourage citizen action by informing broad 93 audiences about a city’s air quality."
5,"such a situation has already developed in krasnoyarsk, a large 94 industrial center of siberia."
5,"krasnoyarsk is susceptible to air quality deterioration due to numerous 95 urban emission sources from chemical and metallurgical industries (including one of the world’s 96 largest aluminum smelting plants), coal-burning power plants, and transportation (khleboporos et 97 al., 2012)."
5,"moreover, the region around krasnoyarsk frequently experiences summer wildfires 98 (conard and davidenko, 1996), which leads to a reduction in ground visibility and cause long- 99 term episodes of air pollution in the city (damoah et al., 2004)."
5,public concern about air quality 100 has evolved rapidly in recent years.
5,"this concern coincides with an increase in the number of 101 people with pulmonary disease (artyukhov et al., 2015)."
5,"a 2018 report from the ministry of 102 environmental management concluded that air pollution in krasnoyarsk was “very high,” and the 103 city was included in the list of the most polluted urban areas in russia (ministry of environmental 104 management, 2018)."
5,"105 to provide more local, accessible data, an unofficial pm2.5 monitoring network named 106 “nebo” (“sky” in russian) was founded in krasnoyarsk."
5,"the numerous low-cost sensors in this 107 network have rapidly covered the city’s entire urban area; measurements have been collected since 108 2017, and the data have been periodically released for public access."
5,"moreover, the nebo network 109 regularly reports unhealthy or very unhealthy air quality conditions, based on the widely- 110 recognized epa indices."
