page,p
1,sensors article demonstration of a modular prototype end-to-end simulator for aquatic remote sensing applications mark w.
1,"matthews 1 , arnold dekker 2,3, * , ian price 4 , nathan drayson 5 , joshua pease 6 , david antoine 7 , janet anstee 5 , robert sharp 4 , william woodgate 8 , stuart phinn 8 and stephen gensemer 6 1 cyanolakes (pty) ltd., sydney, nsw 2126, australia; mark@cyanolakes.com 2 satdek (pty) ltd., sutton, nsw 2620, australia 3 csiro space and astronomy, canberra, act 2601, australia 4 research school of astronomy and astrophysics, college of science, australian national university, canberra, act 2601, australia 5 csiro environment, canberra, act 2601, australia 6 csiro manufacturing, melbourne, vic 3216, australia 7 remote sensing and satellite research group, school of earth and planetary sciences, curtin university, perth, wa 6845, australia 8 school of the environment, the university of queensland, st lucia campus, st lucia, qld 4067, australia * correspondence: arnoldgdekker@gmail.com abstract: this study introduces a prototype end-to-end simulator software tool for simulating two- dimensional satellite multispectral imagery for a variety of satellite instrument models in aquatic environments."
1,"using case studies, the impact of variable sensor configurations on the performance of value-added products for challenging applications, such as coral reefs and cyanobacterial algal blooms, is assessed."
1,"this demonstrates how decisions regarding satellite sensor design, driven by cost constraints, directly influence the quality of value-added remote sensing products."
1,"furthermore, the simulator is used to identify situations where retrieval algorithms require further parameterization before application to unsimulated satellite data, where error sources cannot always be identified or isolated."
1,"the application of the simulator can verify whether a given instrument design meets the citation: matthews, m.w."
1,"; dekker, performance requirements of end-users before build and launch, critically allowing for the justification a."
1,"; price, i."
1,"; drayson, n."
1,"; pease, j.; of the cost and specifications for planned and future sensors."
1,"it is hoped that the simulator will antoine, d."
1,"; anstee, j."
1,"; sharp, r.; enable engineers and scientists to understand important design trade-offs in phase 0/a studies easily, woodgate, w."
1,"; phinn, s.; et al. quickly, reliably, and accurately in future earth observation satellites and systems."
1,demonstration of a modular prototype end-to-end simulator for keywords: end-to-end simulator; optical sensors; design; remote sensing; optics; satellite; smallsat; aquatic remote sensing cubesat; coral reefs; cyanobacterial blooms; bathymetry applications.
1,"sensors 2023, 23, 7824. https://doi.org/10.3390/s23187824 academic editor: robert knuteson 1."
1,"introduction received: 5 july 2023 revised: 30 august 2023 aquawatch australia is a mission of the commonwealth science and industrial accepted: 7 september 2023 research organisation (csiro, australia’s national science agency) to build an integrated, published: 12 september 2023 operational system combining in situ and earth observation data for monitoring and managing australia’s inland and coastal water bodies."
1,the aquawatch concurrent design facility study [1] identified the need for an end-to-end simulator that could assess trade-offs in satellite instrument design in early phase 0/a studies.
1,"this led to the present study called copyright: © 2023 by the authors. the “aquawatch pathfinders: earth observation (eo) sensor design simulator testbed licensee mdpi, basel, switzerland."
1,(end-to-end simulator)”.
1,a virtual testbed in the form of an end-to-end simulation tool is this article is an open access article an essential component of the design process of any new earth imaging system [2–6].
1,"the distributed under the terms and development of new optical satellite sensors requires multiple trade-offs between cost and conditions of the creative commons sensor specifications, including the ground sampling distance (gsd); the number, width, attribution (cc by) license (https:// and position of spectral bands; swath width and the instantaneous field of view; temporal creativecommons.org/licenses/by/ resolution (revisit time); and radiometric sensitivity."
1,new sensors must demonstrate that 4.0/).
1,"sensors 2023, 23, 7824. https://doi.org/10.3390/s23187824 https://www.mdpi.com/journal/sensors"
2,"sensors 2023, 23, 7824 2 of 14 they meet or exceed the minimum requirements for a given application, and the impact of any sensor design trade-off on the quality of the final value-added product should be clearly demonstrated to assess the benefits of costly design decisions."
2,having a tool that can simulate how sensor design trade-offs impact the final product quality will enhance the efficient and cost-effective design of future sensors.
2,"sensor design trade-offs are usually assessed by using airborne or in situ remote sensing data [7], which are processed using an instrument model or from highly specialized end-to-end simulators [8–12]."
2,having a sensor-agnostic or sensor-flexible simulator tool minimizes the need to collect airborne data and allows for greater flexibility in exploring various applications.
2,"an end-to-end simulator must capture the entire process of satellite observation, in- cluding the forward (observation using the sensor) and inverse (producing value-added products from the sensor) components (figure 1)."
2,"briefly, the forward component incor- porates the simulation of water-leaving radiance, propagation through the atmosphere, and the sampling of a scene using a sensor model to produce sensor images of raw un- calibrated radiance."
2,"the sensor model sampling the scene (across the track and along the track) incorporates the spatial, spectral, and radiometric characteristics of the sensor."
2,"the inverse problem includes the calibration of at-sensor radiances (so-called level 1 pro- cessing), georeferencing, atmospheric correction to produce remote sensing reflectance 15 sensors 2023, 23, x for peer review(r ) (see appendix a for definition) values, and the application of algorithms 3toofproduce rs quantitative geophysical value-added products (level 2 processing)."
2,flowchart figure1.1.
2,"flowchart figure showing showing thethe modular modular components components ofsimulator, of the the simulator, and forward and forward and inverse and inverse processes."
2,toa = top of the atmosphere.
2,inherent optical properties (iops) refer to the absorption processes.
2,toa = top of the atmosphere.
2,"inherent optical properties (iops) refer to the absorption (a), (a), scattering(b), scattering (b),and backscattering (b andbackscattering (bbb) )volume volumecoeﬃcients. specific thethe coefficients."
2,"(siops) iopsiops specific refer to (siops) iops refer to iops normalized by the concentration of a parameter, such as chl-a. normalized by the concentration of a parameter, such as chl-a."
2,materials and methods 2.1.
2,simulator description 2.1.1.
2,"architecture and scene construction the prototype simulator supports a set of instrument types, each with a suite of"
3,"sensors 2023, 23, 7824 3 of 14 this study presents the initial results from a modular prototype end-to-end sim- ulator (the simulator) similar to the models in [5,8,12], which have been designed for and applied to water applications."
3,"as aquatic applications have more demanding instru- ment requirements than typical vegetation applications (e.g., higher signal-to-noise ratio, narrow spectral bands) [13,14], design decisions have greater consequences for product quality [2,5,12]."
3,the simulator can simulate two-dimensional images for various satellite instrument model configurations using simulated input radiance data from synthetically constructed scenes to investigate the impact on value-added products.
3,"using the output from in-water simulations as input data to the simulator, the effect of sensor configuration on value-added products (e.g., chlorophyll-a (chl-a); water depth (bathymetry); and sub- strate type, which refers to the type of material on the bottom of the lake or ocean floor such as sand, coral, or seagrass) can be directly assessed."
3,"similarly, differences in water quality information products due to the application of a range of retrieval algorithms can also be determined."
3,"several case studies are presented, along with a simplified trade-off study, to demonstrate the utility of the prototype simulator as an instrument design tool for examining trade-offs in instrument specification and instrument performance for a variety of water-related applications."
3,"this study explores the resulting differences in product quality for cubesat versus smallsat class instruments (e.g., [15–17]), thereby enabling a quantitative assessment of the impact of design decisions on downstream applications."
3,materials and methods 2.1.
3,simulator description 2.1.1.
3,"architecture and scene construction the prototype simulator supports a set of instrument types, each with a suite of instrument parameters that may be set by the user."
3,this is the basis for exploring various satellite instrument designs.
3,the instrument samples the radiance field at the top of the atmosphere as it transits a region of earth’s surface and generates the corresponding level-0 data (uncalibrated digital numbers).
3,the radiance across the region is constructed from 2d geospatial maps and 1d hemispherical radiance fields.
3,this leverages 1d radiative transfer simulations to provide a pseudo-3d description of spatially varying toa radiance over large regions.
3,"the instrument samples this region on demand, based on the position and orientation of the instrument as it orbits earth."
3,the pseudo-3d structure is defined as a “scene”.
3,"it is a flexible model that can describe spatially varying spectral radiance over large areas with a very small quantity of input data, but the inherent flexibility demands complex sensors 2023, 23, x for peer review 4 of 15 structures to define the input."
3,the goal of the scene is to allow the user to construct models that represent realistic scenarios that an actual satellite-borne instrument would observe.
3,a library of 1d radiative radiative provides aprovides transfer simulations transfer simulations a multidimensional multidimensional parametric parametric space space for(figure 2). for reflectance reflectance (figure 2).
3,figure2.2.
3,schematic figure schematicrepresentation of the representation ofstructure of a scene the structure of a for a shallow scene aquatic environment. for a shallow aquatic environment.
3,cdom = colored dissolved organic matter.
3,cdom = colored dissolved organic matter.
3,spatial maps describe the variation in reflectance at earth’s surface.
3,a scene description file merges all of this information into a structure that allows the spectral radiance in any direction at any location to be extracted.
