page,p
1,"ieee transactions on geoscience and remote sensing, vol."
1,"47, no."
1,"3, march 2009 909 automatic parameter optimization for support vector regression for land and sea surface temperature estimation from remote sensing data gabriele moser, member, ieee, and sebastiano b."
1,"serpico, senior member, ieee abstract—land surface temperature (lst) and sea surface and surface, vegetation and soil moisture, numerical weather temperature (sst) are important quantities for many environ- prediction, climatic variability, and global ocean circulation [1]. mental models."
1,remote sensing is a source of information for their many algorithms have been devised to obtain lst and sst estimation on both regional and global scales.
1,"many algorithms have been devised to estimate lst and sst from satellite data, from space radiometry [2]–[5]."
1,"most of them require a priori most of which require a priori information about the surface and information about the state of the atmosphere (e.g., temperature the atmosphere."
1,"a recently proposed approach involves the use of and water vapor profiles) and about the surface (e.g., emis- support vector machines (svms)."
1,"based on satellite data and cor- sivity), without which accurate surface temperature estimation responding in situ measurements, they generate an approximation becomes more difficult [6]–[12]."
1,"by itself, the estimation of of the relation between them, which can subsequently be used to estimate unknown surface temperatures from additional satellite these surface and atmospheric parameters is often a difficult data."
1,such a strategy requires the user to set several internal task to be addressed prior to or jointly with surface temperature parameters.
1,"in this paper, a method is proposed for automatically estimation [3], [8], [12]."
1,"traditional methods, such as the well- setting these parameters to quasi-optimal values in the sense of known split-window techniques [1], are typically calibrated minimum estimation errors."
1,"this is achieved by minimizing a (once and for all) for given sensors (e.g., noaa–avhrr, functional correlated to regression errors (i.e., the “span-bound” upper bound on the leave-one-out (loo) error) which can be modis, meteosat second generation (msg)–seviri) by computed by using only the training set, without need for a fur- least squares fitting."
1,these regressions are applied according to ther validation set.
1,"in order to minimize this functional, powell’s predefined sets of values of surface and atmospheric data and to algorithm is adopted, since it is applicable also to nondifferentiable the resulting simulated top-of-atmosphere brightness temper- functions."
1,"experimental results yielded by the proposed method atures [5], [12], [13]."
1,"they can then be applied to a satellite are similar in accuracy to those achieved by cross-validation and by a grid search for the parameter configuration which yields the image in an unsupervised way, i.e., with no need for training best test-set accuracy."
