page,p
1,geomorphology 76 (2006) 68 – 75 www.elsevier.com/locate/geomorph application of high-resolution stereo satellite images to detailed landslide hazard assessment janet e.
1,"nichol *, ahmed shaker, man-sing wong department of land surveying and geo-informatics, the hong kong polytechnic university, hong kong received 13 june 2005; received in revised form 4 october 2005; accepted 10 october 2005 available online 18 january 2006 abstract this study investigates and demonstrates the state of the art in remote sensing techniques for detailed landslide hazard assessment applicable to large areas."
1,"since the most common methods of landslide hazard assessment using simple inventories and weighted overlays are heavily dependent on three-dimensional terrain visualization and analysis, stereo satellite images from the ikonos very high resolution (vhr) sensor are used for this study."
1,the dems created from ikonos stereo images appear to be much more accurate and sensitive to micro-scale terrain features than a dem created from digital contour data with a 2 m contour interval.
1,pan-sharpened stereo ikonos images permit interpretation of recent landslides as small as 2–3 m in width as well as relict landslides older than 50 years.
1,a cost–benefit analysis comparing stereo air photo interpretation with stereo satellite image interpretation suggests that stereo satellite imagery is usually more cost-effective for detailed landslide hazard assessment over large areas.
1,d 2005 elsevier b.v.
1,all rights reserved.
1,keywords: landslide; ikonos; dem; stereo model; hong kong 1.
1,introduction hong kong has finely dissected rugged topography with highly complicated land use.
1,techniques for landslide hazard assessment generally the most useful direct indicators of landslide suscep- require the collection of highly detailed information tibility are considered to be evidence of past landslides over large areas.
1,soeters and cornelis (1996) defined as well as tension cracks and other detectable earth four scales of slope instability assessment for landslide movement.
1,"therefore, the simplest type of landslide hazard: national, regional, medium and local."
1,"at the hazard assessment comprises an inventory of previous local level, only a few tens of square kilometers can landslides and signs of mass movement, based on the be studied, and areas as small as 1 ha or less should be premise that an area with past landslides is landslide- clearly defined."
1,"however, our experience in hong kong prone and has a high probability of new landslides indicates that even such local-scale surveys give only an (odajima et al., 1998)."
1,"indeed, for planning purposes, over-generalized ground situation, and that observation any landslides with historic movement during the last and mapped units need to be at a micro-scale between 10 100 years have been considered active in the western m and a few centimeters."
1,"this is because the majority of usa (mccalpin, 1974)."
1,"except in arid zones or under thick forest (brardinoni et al., 2003), recent landslides * corresponding author. can be readily identified on air photos due to high e-mail address: lsjanet@polyu.edu.hk (j.e."
1,"nichol). contrast with the darker vegetated background, although 0169-555x/$ - see front matter d 2005 elsevier b.v."
1,all rights reserved. doi:10.1016/j.geomorph.2005.10.001
2,nichol et al.
2,"/ geomorphology 76 (2006) 68–75 69 they become increasingly indistinct with time (malamud against the use of satellite images (mantovani et al., et al., 2004)."
2,our observations in hong kong suggest 1996).
2,"however, the improved spatial resolution and that older landslides may be identified from a marked stereo capability of recent satellite sensors such as linear depression, or distinctive early successional veg- spot-5 hrg, terra aster and ikonos may give etation communities in the failed area. topographic details comparable to air photos in both 2d a combination of field measurements and observa- and 3d, with the advantage of a single mapping base tions, and stereo air photo interpretation satisfies these covering large areas."
2,"although liu et al. (2004) con- requirements for landslide studies, although the task is structed a 45 m dem from terra aster stereo images labour-intensive."
2,"for instance, approximately 400 photo for a regional scale landslide hazard assessment around prints at a scale of 1 : 10,000 are required for a complete the three gorges dam in china, the dem was too stereo cover of an area of 1000 km2."
2,"moreover, such a coarse to represent steep and small valleys with gullies, detailed air photo cover is costly, and manual methods which are often more susceptible to slope failure than of stereo air photo interpretation are time-consuming, main valleys."
2,eckert et al. (2005) also generated dems especially if the results of the interpretation are to be from aster images for mountainous terrain but input to a gis database for weighted overlay analyses obtained a large rms error of 30 m.
2,(table 1).
2,"in such a case a digital elevation model to enable precise interpretation and visualization of (dem) is also required for orthorectification and the slope morphology, 3d viewing is available using one of production of a slope map."
2,"however, even in developed several techniques such as (i) direct stereo viewing of countries, dems at grid resolutions higher than 50 m are the image on a stereo-plotter, (ii) anaglyph construction, not always available."
2,"furthermore, provided that an and (iii) draping the image over the dem created from accurate dem is available, orthorectification of a single the same stereo satellite images."
2,"measurement of eleva- air photo may take 5 h of skilled work. tions can be done either from the generated dems, or if although mantovani et al. (1996) suggested that erdas imagine software is available, directly from the satellite images are unsuitable for landslide studies, digital anaglyph."
2,"since the latter is a manual technique nichol and wong (2005) demonstrated that approxi- it is considered to be more accurate than automatically mately 70% of 495 recent landslides in lantau island, processed dems."
