page,p
1,"active fire monitoring of thailand and upper asean by earth observation data: benefits, lessons learned, and what still needs to be known veerachai tanpipat, jessica l."
1,"mccarty, diane davies, wilfrid schroeder, and chris elvidge abstract this paper describes the history of active fire monitoring of thailand and upper asean (cambodia, lao pdr, myanmar, and vietnam) by earth observation data, including benefits, lessons learned, and the unknowns."
1,satellite remote sensing offers a unique potential for mapping and monitoring fires at large spatial scales.
1,"active fire information from satellites is one of the fundamental data in mitigating the smoke haze effect; therefore, active fire monitoring has become an essential tool for daily fires and smoke haze control, management, and mitigation in thailand."
1,"the three critical sources of active fire hotspot information used in thailand and elsewhere include (a) nasa’s fire information for resource management system (firms); (b) the national environmental satellite, data, and information service (nesdis), active fire alert system; and (c) the colorado school of mines viirs nightfire alert system."
1,"on their own, satellite-derived active fire information is insufficient, but the combination of satellite-derived data and traditional fire monitoring from ground-based methods can work well."
1,"adding advanced geostationary fire detection is needed as a next step to enable fire suppression teams to reach fires as quickly as possible, resulting in much more efficient and safer fire control."
1,keywords active fire · hotspot · thailand · upper asean · nasa-firms · viirs · noaa · nightfire v.
1,"tanpipat (b) upper asean wildland fire special research unit, kasetsart university, bangkok, thailand e-mail: iamtanpipat@hotmail.com j."
1,"mccarty department of geography and geospatial analysis center, miami university, oxford, oh, usa d."
1,"davies trigg-davies consulting ltd, malvern, uk nasa-gsfc, science systems and applications inc., lanham, md, usa w."
1,"schroeder noaa-nesdis-ospo satellite analysis branch, college park, md, usa c."
1,"elvidge earth observation group, payne institute for public policy, colorado school of mines, golden, co, usa © the author(s), under exclusive license to springer nature switzerland ag 2023 139 k."
1,"vadrevu et al. (eds.), vegetation fires and pollution in asia, https://doi.org/10.1007/978-3-031-29916-2_9"
2,140 v.
2,tanpipat et al.
2,"1 introduction in recent years, forest fires and associated haze have become a major environmental problem in the tropical ecosystems of the upper association of southeast asian nations (asean)."
2,"upper asean, or lower mekong river region, consists of five countries: cambodia, lao pdr, myanmar, thailand, and vietnam (biswas et al."
2,2015; lasko and vadrevu 2018; yu et al.
2,2017; albar et al.
2,2018; inoue 2018; hayasaka and sepriando 2018).
2,"forest fires, open burning, and smoke haze became common environmental issues in this region, specifically, a lower mekong river region that comprises northern thailand, northeastern-eastern myanmar, and northern laos."
2,"smoke haze has long stood out as a significant yearly environmental concern for the region, with its severity varying year-to-year (adam and balasubra- manian 2021)."
2,"the term “smoke haze” means atmospheric haze mainly due to smoke from fires or open burning, particularly in forests and agricultural lands."
2,incom- plete burning releases a significant amount of smoke.
2,"in thailand, smoke haze has become a conflict issue between rural and urban people and government authorities in northern thailand (marks and miller 2022)."
2,"moreover, smoke haze affects the tourism industry and causes more respiratory illness, resulting in losing money in all sectors."
2,humans are known to be the sole player in fires in the region.
2,farmers want to clear land and eliminate weeds and the remains of previous-cycle crops or seek new ground and resort to burning as an inexpensive tool (oanh et al.
2,2018).
2,"for forest fires, causes include slash and burn practice, hunting-gathering, and arguably land or personal conflicts (saharjo and yungan 2018; vadrevu et al. 2021a, b)."
2,smoke haze commonly contains tiny and unhealthy particles called particulate matter 2.5 or pm2.5 (phairuang 2021).
2,"the smoke haze transboundary issue exists, but there needs to be scientifically sound research and studies to confirm the smoke haze movement and behavior on a small scale."
2,"simply looking only at active fire hotspot information will not address the smoke haze transboundary issue, as the transport depends on various parameters."
2,"active fire information from satellites is one of the fundamental data in mitigating the smoke haze effect (elvidge et al. 2021); therefore, active fire monitoring has become an essential monitoring tool for daily fires and smoke haze control, management, and mitigation in thailand and upper asean."
2,"2 study area upper asean is located in the indochina peninsula at 9.0 and 25.0 north latitudes, 92.5 and 110 east longitudes."
2,"thailand is centrally located in the indochina peninsula between 5 40 and 20 30 north latitudes and 90 70 and 105 45 east longitudes, covering an area of 513,115 km2 characterized by a monsoon climate (fig."
2,it has two dominant vegetation types: evergreen and deciduous.
2,the evergreen forest contains a significant proportion of non-leaf shedding species and covers about 40% of the
3,active fire monitoring of thailand and upper asean by earth … 141 area.
3,"it can be further classified into tropical rainforests, dry evergreen, hill evergreen, coniferous, mangrove, swamp, and beach forests."
3,"the remaining 60% belongs to the deciduous forest, which comprises species with leafless periods."
3,trees growing in this latter type of forest tend to develop growth or annual rings that cannot be found in the evergreen forest species.
3,"the deciduous forest, prone to surface fires during dry seasons, can be categorized into mixed deciduous, dry dipterocarp, and savanna."
3,"though fires in the mixed deciduous forest have great potential to be severe and damaging, if bamboo constitutes a majority of this forest, they play a vital role in its regeneration (charuppat 2001)."
3,forest fires are common in thailand as wildland fires and are caused by humans (akaakara 2001).
3,"forest fires fall into six general categories in thailand: surface, crown, ground fires, semi-crown, and semi-ground fires."
3,"first, a surface fire burns fig."
3,1 upper asean and thailand (https://www.google.co.th/)
4,142 v.
4,"tanpipat et al. organic materials in soil layers and often the surface litter, loose derbies such as leaves and fallen branches, low-growing vegetation, and other fire fuels on the forest floor."
4,"surface fires occur in the dry dipterocarp, mixed deciduous plantations, dry evergreen, hill evergreen, and some parts of the tropical rainforests."
4,"second, a crown fire is a fire that burns primarily in the leaves and needles of trees, spreading from tree to tree above the ground."
4,it occurs in the coniferous forest and pine plantations in the country’s northern region.
4,"third, a ground fire is a fire that burns primarily under the forest floor, spreading underground from tree to tree and usually lasting a long time."
4,it occurs only in the peat forest in the southern region of thailand (plodpail et al.
4,1987; akaakara 2001).
4,"three additional types of fires occur in the transition, which are semi-crown fires, semi-ground fires, and spot fires which recently happened in southern thailand in a degraded peat forest where paperbark trees dominated."
4,surface fire is a common fire type in thailand and this region.
4,"forest fires in thailand occur annually during the dry season from late december to early may, with the most occurring in march (akaakara 2001; tanpipat et al."
4,2009).
4,the relationships between the forest fires and the forest types are summarized in table 1.
4,table 1 relationships between the forest fires and the forest types in thailand surface fire ground fire crown fire semi-ground semi-ground spot fire fire fire tropical x rainforest dry x evergreen forest hill x evergreen forest coniferous x x x x x x forest mangrove x forest peat forest x x x x x x beach x forest mixed x deciduous forest dry x dipterocarp forest savanna x x
5,"active fire monitoring of thailand and upper asean by earth … 143 the forest fire situation in upper asean has been widely reported in the media, with increasing access to information through the rapid development of cyber- technologies."
5,"satellite monitoring of active fires has led to greater transparency, and the number of fires detected since 2003 has decreased (copernicus 2020), but the forest fire, open burning, and smoke haze continue to be a problem every dry season."
5,"from afoco’s forest fire management training course’s discussions among afoco’s member states in 2019 and 2020, just for upper asean partic- ipants, the causes and needs can be listed."
5,"those causes are all related to human activities by the country in table 2 (afoco 2019, 2020)."
5,fires are essential for tree regeneration in dry dipterocarp and deciduous forest and usually occur annually during the dry season.
5,"there can be natural causes, such as lightning strikes, but not in this region."
5,"in the case of thailand or the upper asean or tropical zone, lighting occurs during thunderstorms (wet lighting), so such a fire does not spread from where it occurs."
5,"unfortunately, the major causes of forest fires are related to activities of those who live in rural areas, not the natural; they are incendiary fires ignited by people for the gathering of forest non-timber products, agricultural land preparation, political conflict, hunting, timber, cattle grazing, agricultural land expansion, and carelessness to say a few."
5,"the officially recorded statistics collected since 1980 by thailand’s forest fires control division of the national park, wildlife, and plant conservation department, ministry of natural resources and environment (a former division in the thai royal forest department) clearly showed a very insignificantly small number of fires were of natural causes and they were not spread table 2 fire causes of upper asean countries cambodia lao pdr myanmar thailand vietnam firewood utilization x x x x slash and burn x x x x cash mono-crop x x x x hunting x x x cattle x x plantation project x harvesting honey x carelessness x x resin collection x concessions x burn after logging x new settlement x conflicts x timber x land encroachment x source afoco’s country report during forest fire management short training course’s discussions among afoco’s member states in 2019 and 2020"
6,144 v.
6,tanpipat et al. out (dnp 2020).
6,"therefore, in this context, it is safe to conclude that all forest fires in thailand are man-made."
6,and their major causes are directly related to the activities of the inhabitants in the rural areas who live near or within the forests.
6,smog and haze from wildfires can have a profound impact on health and everyday life.
6,it is a transboundary issue that will require an international effort to solve.
6,the latest examples are peat fires at south sumatra in 2015 and 2019 (ismi 2019).
6,"active fire information is the most common fire information that has been used in upper southeast asia and thailand in almost the past 2 decades since the avhrr world fire web, dmsp-ols noaa system, firms university of maryland, etc."
6,these systems gradually become an important part and much needed information for wildland fire and smoke haze control and management from the top to the bottom and vice versa in thailand.
6,the information on the active fires has become the most important information for addressing fire and smoke haze for daily operations.
6,3 history of active fires monitoring in thailand and upper asean satellite-derived active fire information has been used in upper asean or south- east asia and thailand for over two decades.
6,"in 1999, the asian center for research on remote sensing (acrors), asia institute technology (ait) began using the advanced very-high-resolution radiometer (avhrr) world fire web, which was started in 1998 (gfmc 2020)."
6,"with informal committee of earth observation system (ceos) working group on information systems and services (wgiss) meeting in bangkok, thailand, in 1999 and wgiss/gofc (global observation of forest cover) demonstration in 2000 meetings (cahoon et al. 2000), the global observation information network (goin) 1999 by nasa research and education network was demonstrated to show the global internet capabilities through asia pacific advanced network (apan) and the possibility of utilizing earth observa- tion satellite (eos) information to support a daily fire control was feasible through noaa-avhrr’s fire products."
6,"in 1999, launching the terra satellite and later the afternoon train proved useful."
6,eos later became essential information supporting fire control and smoke haze management.
6,"the expansion of active fire detection from the noaa-avhrr-world fire web system (li et al. 2000) by the defense mete- orological program (dmsp) operational line-scan system (ols) noaa system was set up at asian center for research on remote sensing (acrors), asian insti- tute of technology (ait) in 2003."
6,"later in 2006, the department of national park wildlife and plants conservation requested support from the fire information for resource management system (firms) at the department of geography, univer- sity of maryland; it has been using firms (http://earthdata.nasa.gov/firms) ever since."
6,"initially, firms provided data from modis onboard the aqua and terra satellites; viirs 375 m active fire data (schroeder et al. 2014) were added when it became available from suomi-npp and noaa-20."
6,firms was transitioned to
7,active fire monitoring of thailand and upper asean by earth … 145 nasa’s land and atmosphere near-real-time capability for eos (lance) in 2012.
7,"in 2017, the collaboration with noaa-national centers for environmental infor- mation [ncei, formal national geophysical data center (ngdc)] was started, and the viirs nightfire alert system for southeast asia was established."
7,"later in 2019, the system was moved to the colorado school of mines."
7,"in march 2019, following thailand’s national forest fire and smoke haze meeting, the royal forest depart- ment requested official support from noaa-national environmental satellite, data and information service (nesdis) to obtain quicker viirs active fire products to thailand and later the whole southeast asia."
7,"active fire information has become a key component of forest fires, open burning, and smoke haze control monitoring programs in thailand."
7,all levels of management routinely use it for daily fire and smoke haze operations across the country.
7,"during the 2007 fire season, satellite-derived active fire data became part of the national forest fire control operation through the forest fire control division, forest protection, and fire control office, department of national park, wildlife and plants conser- vation, and ministry of natural resources and environment to the national ad hoc committees under the deputy prime minister."
7,"to build confidence in the satellite- derived fire products, the forest fire control division carried out a field validation campaign to determine the accuracy of the modis active fire product; the results showed good accuracy, where burned areas were found near active fire hotspots reported at 91.84%, 95.60%, and 97.53% for 2007, 2008, and 2009 (tanpipat et al."
7,2009).
7,"the forest fire control division continues this field validation task until today, and the information is used for the routine suppression task."
7,"later in 2016, the viirs active fire product had 98% verification accuracy with the smallest burned area found at four m2 (unpublished dnp report 2016), which is the same burned area’s size as what found by schroeder et al. (2014) in brazil."
7,"with very high accuracy results, it later became a key performance index (kpi) of many government agencies until today."
7,"nowadays, the number of active fires detected inside and outside protected areas comparison has been a key statistic for people involved in daily fires and smoke haze control and management."
7,"a reliance on statistics in the past few years has led to conflicts between local people and government authorities, resulting in increasing numbers of arsonists setting fires in the deeper forested and mountainous areas where firefighters hardly reach to control them."
7,"moreover, during the past five years of the asian forest cooperation organization’s (afoco) 15 member states training and disaster mitigation working group of asia pacific advanced network, active fire information is always mentioned to educate participants about existing technology that can be used to a part of their forest fire control within their country."
7,"since 2003, there has been a gradual reduction in active fires detected using modis data."
7,"however, air quality is still a major concern."
7,"according to the pollution control department of thailand, the number of bad-quality air days increased from 60 days in 2017 to 112 days in 2020."
7,"the smoke haze from fires has become a national issue and is pushing the people’s clean air act into thailand parliament, hopefully again by the end of 2021 because the prime minister of thailand just rejected the first “people’s clean air act” proposal in late march 2021 resulting in"
8,146 v.
8,"tanpipat et al. another rolling motion to collect 10,000 thai’s signatures to put it through the thai parliament again."
8,"at a regional level, the use of active fire information systems is taught as one of the forest fire management topics in an annual five-day training course organized by the asian forest cooperation organization (afoco, http://afocosec.org/) for its member states."
8,"the three active fire information systems have been introduced to participants, so they can be used in their countries."
8,"for example, cambodia used active fire information from nasa-firms after the training in 2015."
8,all three systems have an email alert with a kml file which can be easily used on a smartphone.
8,"representatives of forestry government agencies from thailand, lao pdr, cambodia, myanmar, and vietnam who participated in afoco’s forest fire management training course are the people who receive those email alerts and distribute them to responsible people in the country."
8,"only thailand has used such information extensively, as mentioned."
8,web map service of firms is also commonly used by active thai citizens and ngos who would like to follow fire situations closely.
8,"4 description of main existing fire monitoring systems and sources using in upper asean 4.1 firms nasa nasa’s fire information for resource management system (firms, figs. 2 and 3) delivers global active fire information, derived from modis (aqua and terra) and viirs (s-npp and noaa-20), in easy-to-use formats, within 3 h of satellite observation, as well as the full archive of active fire data."
8,"firms has users in over 160 countries with over 12,000 users registered for near-real-time, daily or weekly, active fire email alerts."
8,"the fire map interface enables users to view and query active fires by time since detection, as well as view corrected reflectance imagery (from modis and viirs), aerosol index from the ozone mapping profiler suite (omps) and historic burned areas (derived from modis)."
8,"originally developed by the university of maryland, with funds from nasa’s applied sciences and the united nations food and agriculture organization (un fao), firms is now part of nasa’s land, atmosphere near-real-time capability for earth observing system (eos) (lance, fig. 4), which is managed by nasa’s earth observing system data and information system (eosdis)."
8,"4.2 viirs noaa-nesdis the ground segment serving viirs onboard s-npp and jpss (e.g., noaa-20) spacecrafts includes primary 300 mbps ka-band receiving stations located in the"
9,active fire monitoring of thailand and upper asean by earth … 147 fig.
9,"2 overview of firms (diane davies, nasa-lance operation manager) fig."
9,3 firms fire map showing viirs 375 m active fire detections (in red) from noaa-20 (https:// go.nasa.gov/3srsp3b)
10,148 v.
10,tanpipat et al.
10,"4 overview of lance (diane davies, nasa-lance operation manager) northern (svalbard/norway and fairbanks/alaska) and southern (mcmurdo and troll/antarctica) hemispheres, providing stored mission data (smd) downlink capabilities in addition to telemetry and commanding operations."
10,"from the receiving stations, data are relayed to a primary processing node located at the noaa satellite operations facility (nsof) in suitland/maryland—usa, where mission data are converted into raw, sensor, and environmental products for distribution and archival."
