page,p
1,"applied sciences article historical eco-environmental quality mapping in china with multi-source data fusion shaoteng wu 1 , lei cao 1, *, dong xu 2,3,4 and caiyu zhao 5 1 school of architecture, tianjin university, tianjin 300072, china 2 state key laboratory of remote sensing science, faculty of geographical science, beijing normal university, beijing 100875, china; xd@mail.bnu.edu.cn 3 institute of remote sensing science and engineering, faculty of geographical science, beijing normal university, beijing 100875, china 4 key laboratory of environmental change and natural disasters of ministry of education, beijing normal university, beijing 100875, china 5 electronic information engineering college, changchun university, changchun 130022, china; zhaocy0530@163.com * correspondence: 13260821710@163.com abstract: since the initiation of economic reforms and opening up, china has witnessed an unprece- dented rate of development across all sectors."
1,"however, the country has also experienced severe ecological damage, surpassing that of many other nations."
1,"the rapid economic growth has come at the expense of the environment, revealing a significant lack of coordination between urbanization and eco-environmental protection in china."
1,"consequently, there is an urgent need for a compre- hensive and continuous historical dataset of china’s eco-environmental quality (eeq) based on remote sensing, allowing for the analysis of spatial and temporal changes."
1,"such data would provide objective, scientific, and reliable support for china’s eco-environmental protection and pollution prevention policies, while addressing potential ecological risks resulting from urbanization."
1,"to achieve this, the entropy value method is employed to integrate multi-source remote sensing data and construct an evaluation system for china’s eeq."
1,historical data from 2000 to 2017 is plotted to illus- trate china’s eeq over time.
1,"the findings of this study are as follows: (1) the entropy method citation: wu, s."
1,"; cao, l."
1,"; xu, d.; effectively facilitates the construction of china’s eco-environmental quality assessment system."
1,"zhao, c."
1,"historical (2) from 2000 to 2017, approximately 39.7% of china’s regions witnessed a decrease in eeq, while eco-environmental quality mapping 60.3% exhibited improvement, indicating an overall enhancement in eeq over the past eighteen in china with multi-source data years."
1,(3) the yangtze and yellow river basins experienced improved eeq due to china’s ecological fusion.
1,"2023, 13, 8051. restoration projects."
1,(4) the future eeq in china demonstrates a subtle positive trend across diverse https://doi.org/10.3390/app13148051 contexts.
1,"this study departs from conventional approaches to eeq evaluation by leveraging the academic editors: samuel adelabu, advantages of multivariate remote sensing big data, including objectivity, timeliness, and accessibility."
1,romano lottering and kabir it provides a novel perspective for future eco-environmental quality evaluation.
1,peerbhay received: 8 may 2023 keywords: eco-environment quality; entropy method; remote sensing; china revised: 8 june 2023 accepted: 8 june 2023 published: 10 july 2023 1.
1,"introduction since the beginning of the twenty-first century, global society has undergone progress and technological advancements, while china has made significant strides in urbaniza- copyright: © 2023 by the authors. tion and industrialization [1,2], however, this development has resulted in a progressive licensee mdpi, basel, switzerland. degradation of the eco-environmental quality (eeq) [3,4]."
1,it is essential to recognize that this article is an open access article social progress and human development are intrinsically linked to the ecological environ- distributed under the terms and ment [5].
1,"in the 1990s, the united nations organized conferences such as the “conference conditions of the creative commons on environment and development” and the “habitat conference” [6], marking the gradual attribution (cc by) license (https:// creativecommons.org/licenses/by/ emergence of ecological environment research as a significant area of focus for scholars."
1,4.0/).
1,"additionally, with societal progress, residents’ economic income and living standards have appl."
1,"2023, 13, 8051. https://doi.org/10.3390/app13148051 https://www.mdpi.com/journal/applsci"
2,"sci. 2023, 13, 8051 2 of 23 improved, leading to an inevitable pursuit of a high quality of life, which necessitates a sound ecological environment as a fundamental prerequisite [7]."
2,"given the growing global awareness of the ecological environment, the evaluation and protection of the ecological environment have become crucial tasks in china’s modernization endeavors."
2,"since the reform and opening up, china has witnessed unprecedented development across all fields [8]."
2,"however, simultaneously, the ecological environment in china has suffered more severe damage compared to other countries worldwide [9]."
2,"the rapid economic development has come at the expense of ecological degradation, highlighting a disconnect between urbanization development and ecological protection in china, thereby hindering the achievement of sustainable development goals [10,11]."
2,"this low-coupling phenomenon is a growing concern for both the state and society, particularly as the extent of ecological damage increasingly affects people’s lives."
2,"in 2000, china introduced the national outline of ecological environmental protection [12], which emphasized the crucial environmental policy of “equal emphasis on pollution prevention and ecological protection,” thereby urging nationwide ecological."
2,"when it comes to assessing eeq, the oecd (organization for economic cooperation and development) introduced the “pressure-state-response” (psr) model in 1990, which was the world’s first recognized eeq assessment index system [13]."
2,"as scientific progress continues, cross-disciplinary applications are becoming increasingly common."
2,"for instance, mohamed et al. [14] utilized gis and rs to examine the interplay between ecological factors, eeq, and urbanization in the nile delta, revealing that rapid urbanization poses significant threats to both ecology and eeq."
2,ducrot r et al. [15] employed 3s technology to analyze the reciprocal relationship between eeq and urbanization.
2,sanna [16] employed principal component analysis (pca) and cluster analysis to investigate the impact of urbanization development on eeq in helsinki.
