page,p
1,"water conservation science and engineering (2023) 8:45 https://doi.org/10.1007/s41101-023-00222-y research evaluating performance of community‑based irrigation schemes using remote‑sensing technologies to enhance sustainable irrigation water management tsigemariam bashe1,2 · tena alamirew1,3 · zeleke agide dejen1 received: 22 may 2023 / revised: 24 august 2023 / accepted: 4 september 2023 / published online: 11 september 2023 © the author(s), under exclusive licence to springer nature singapore pte ltd."
1,"2023 abstract an accurate estimate of the amount of water used in an irrigation scheme is vital to conserve water resources, although a reliable scheme-level estimate is difficult."
1,"the study used remote-sensing technologies to assess the koga irrigation scheme’s performance in the blue nile river basin, ethiopia."
1,surface energy balance algorithm for land (sebal) and landsat 8 images were used to estimate actual evapotranspiration (eta).
1,"additionally, the fao-penman-monteith method was applied to estimate the crop’s evapotranspiration (etc) and used as a crop water need in assessing performance parameters."
1,the result shows that seasonal relative irrigation supply (ris) was 6 to 77% higher than the demand.
1,"depletion fraction (df) varied from 0.4 to 0.5, while relative evapotranspiration deficit values ranged from 0.3 to 0.6, and the crop water use estimate was only about 50% of its need."
1,"the lower crop water use is attributed to the excessive application of water for plowing, pre- plant irrigation, and during the early stage of the crop."
1,while the amount of water applied at the mid and late-season stages is less than the crop water need due to water mismanagement because of a lack of coordination among the water users.
1,the study concludes that the use of remote sensing created a good potential to evaluate community-managed scheme irrigation performance.
1,performing under potential is an implication of low irrigation water productivity that affects environmental sustainability.
1,"therefore, re-thinking better water management ways in community-managed schemes can help to improve water productivity and food security in the changing environment."
1,keywords remote sensing · adequacy · equity · irrigation performance assessment · water conservation introduction food demand by improving its resource use efficiency and productivity.
1,"population growth, urbanization, industrialization, pro- sustainable water security will not be achieved in a duction, and consumption have generated ever-increasing business-as-usual approach unless what has been with- demands for freshwater resources [1]."
1,water consumption drawn is effectively managed.
1,"hence, updated and timely by agriculture is estimated to be 70% of the global fresh- performance assessment using a reliable data source is water abstraction, and this value for least developing coun- essential."
1,"improvements in spatial, spectral, and temporal tries could be as high as 90%."
1,"based on the brief review of resolution of the earth observation systems (eos) are cre- [1], agriculture is expected to meet projected increases in ating a new opportunity to better manage water resources in countries where field monitoring is difficult and data is scarce [2, 3]."
1,"* tsigemariam bashe performance assessment is a systematic observation, tsigemar2001@gmail.com documentation, and interpretation of irrigated systems for 1 ethiopian institute of water resources (ewri), addis efficient water resource utilization [4]."
1,"improving irriga- ababa university, addis ababa, ethiopia tion schemes’ performance is an important water manage- 2 college of agriculture and natural resource sciences, debre ment mechanism to reduce wastage and promote water berhan university, debre berhan, ethiopia productivity."
1,"during performance improvement processes, 3 water and land resource center (wlrc), addis ababa equity and adequacy are the primary concerns of irrigation university, addis ababa, ethiopia managers [5]."
1,13 vol.:(0123456789)
