page,p
1,"precision agriculture (2023) 24:1380–1400 https://doi.org/10.1007/s11119-023-09994-8 monitoring soil–plant interactions and maize yield by satellite vegetation indexes, soil electrical conductivity and management zones gabriele silva de almeida1 · rodnei rizzo1 · merilyn taynara accorsi amorim1 · natasha valadares dos santos1 · jorge tadeu fim rosas1 · lucas rabelo campos1 · nícolas augusto rosin1 · andré vinicius zabini2 · josé a."
1,"demattê1 accepted: 7 february 2023 / published online: 24 february 2023 © the author(s), under exclusive licence to springer science+business media, llc, part of springer nature 2023 abstract in modern agriculture, understanding the spatio-temporal variability in crop fields and the implications of environmental factors in soil management are important for sustain- able practices."
1,"in this case, the management zones (mz) can aid agricultural practices by indicating locations in a crop field where the production might be restricted and requires a specific management."
1,"currently, there are many datasets and methodological strategies for designing mzs, and the outcomes from these methods are quite different."
1,"therefore, this research aims to compare the performance of different remote/proximal sensing inputs to retrieve data from soil and plants, define their relationship with corn yield, and the poten- tial of these datasets to design mzs."
1,the study was conducted at a corn field located in paraguay.
1,"the datasets used in our methodology corresponded to (i) electrical conductiv- ity, (ii) soil data from conventional laboratory analysis and (iii) spectral information (opti- cal and thermal) derived from landsat 8 images."
1,mzs were generated from each one of the datasets and later they were compared to yield maps.
1,"in this case, zoning performances were evaluated by the similarity between mzs and yield maps."
1,the best results were achieved with the spectral vegetation indices from landsat 8.
1,"correlations between vegeta- tion indexes and yield reached a maximum value of 0.75 for nbr2 index, but evi, savi and ndvi also presented good results (r > 0.7)."
1,"furthermore, vegetation indexes of corn at v8 phenological stage provided the best agreement between mzs and yield."
1,"finally, the mzs derived from spectral data could define yield-limiting zones inside the crop field."
1,keywords soil management · remote sensing · landsat 8 · land surface temperature · temperature vegetation dryness index · fuzzy c-means * josé a.
1,"demattê jamdemat@usp.br 1 soil science department, “luiz de queiroz college of agriculture, universidade de são paulo (esalq/usp), av."
1,"pádua dias, 11, p.o."
1,"box 13418‑900, piracicaba, sp, brazil 2 agronómico s.a., ruta internacional py02 km."
1,"15 acaray, minga guazú, paraguay 3 1 vol:.("
1,1234567890)
2,"precision agriculture (2023) 24:1380–1400 1381 introduction maize (zea mays l.) is classified by the food and agriculture organization (fao, 2019) as one of the main agricultural crops, standing out for its economic and nutritional rel- evance, as well as supporting the world food security (fao, 2019)."
2,"global maize produc- tion was equivalent to 1.16 billion tons in 2020, with latin america and the caribbean region contributing with 18% of the global production (usda, 2021)."
2,"growing demand for grains has forced the agricultural sector to develop strategies to improve crop yield and consequently the food production (foley et al., 2011)."
2,"however, this is a challenging task that usually requires intensive use of resources, such as fertilizers and water."
2,"in fact, these resources must have an optimized use and low environmental impacts, which will guaran- tee a sustainable activity (miranda & lício, 2014; tsunechiro et al., 2008)."
2,"maize fields can have an expressive spatio-temporal variability, which should be con- stantly monitored."
2,"an interesting method to support farmers in this issue is the manage- ment zones (mz), which correspond to sub-regions in a field based on yield-limiting factors, such as soil ph, fertility or moisture."
2,"in this case, each zone has homogeneous con- ditions for plant development and consequently require a specific management, e.g., differ- ent fertilizer application rates (matias et al., 2015; umbelino et al., 2018)."
2,"this approach has been widely used to indicate site specific fertilizer application (bernardi et al., 2018; cordero et al., 2019; ortega & santibáñez, 2007), to improve irrigation management prac- tices (chauhdary et al., 2020), and also to understand the spatial variability of crop yield (kharel et al., 2019)."
2,"the design of mzs can be challenging in areas with high variability of soil physi- cal, chemical and biological attributes."
2,"several techniques have been proposed to delin- eate mzs, such as using soil attributes maps (interpolated from conventional soil analy- sis), soil electrical conductivity (ec), remote sensing (rs) data, crop yield/fruit quality maps, or even a combination of them (arshad et al., 2019; oldoni et al., 2019; rossi et al., 2018; umbelino et al., 2018)."
2,"within these datasets, rs have been considered a promising resource for agricultural management decisions (song et al., 2009)."
2,"satellite images cap- ture spatio-temporal variations in vegetation, which can be directly related to the variability of soil attributes, plagues, diseases."
2,"based on plant spectral data, it is possible to retrieve vegetation indices, such as the ndvi (normalized difference vegetation index), which are directly correlated to vegetation health and crop yield (cicore et al., 2016)."
2,"although rs is a promising technique, there are few studies evaluating the relationships between plant canopy sensing and the soil‐based mz, as well as their combined potential to improve crop management."
2,"song et al. (2009) evaluated three combinations of data sources for delineating mzs in wheat fields, which corresponded to conventional soil analysis and yield data, crop rs information (from worldview satellite) and their combination."
2,they suggested that mzs derived from rs data was a feasible and reliable alternative.
2,"therefore, there is a need for further and more extensive studies, resulting in a better understanding of the relationship between soil properties, crop sensing techniques and the spatial patterns revealed by clustering procedures (casa et al., 2017)."
2,"considering the above, the main objective of this work was to evaluate the contribution of different sensing data sources to delineate mzs in a maize field."
2,"also aims to: (a) com- pare different vegetation indexes and evaluate which one better described the maize yield variability; (b) define the ideal corn phenological stages for remote sensing monitoring, focusing on the evaluation of corn yield variability; and (c) evaluate the relation between the conditions of specific soil management zones and the respective corn yield."
2,to achieve 13
3,"1382 precision agriculture (2023) 24:1380–1400 these goals, mzs based on remote (satellite) and proximal (electrical conductivity) sensing were compared to the ones delineated by soil attributes maps, which were derived by field sampling and geostatistics (conventional approach in precision agriculture)."
3,"based on such comparisons, was expected to indicate the importance of rs and ec to mzs design, as well as their capacity to enhance conventional approaches like soil attributes based mzs."
3,"material and methods study area, soil and yield data acquisition the study was carried out in a 226-ha field located in eastern paraguay."
3,"the climate is cfa according to the köppen system, with an average annual temperature of 21.2 °c, pre- cipitation of 1637 mm and altitude about 350 m."
3,the region is characterized by hot and humid summer and dry winter.
3,"in this location predominates rainfed crops, focusing on grain production."
3,"this study evaluated the results from the 2014 winter harvest, which had corn sowed in march and harvested in august."
3,"yield data was acquired with a combine harvester yield monitoring, sixty-six soil samples were collected at 0–20 cm depth, following a semi-regular sam- pling grid."
3,"soil samples were air-dried and laboratorial analysis were carried out to quan- tify soil organic matter (om), organic carbon (c), concentration of exchangeable cations as calcium ­(ca2+), magnesium ­(mg2+), potassium ­(k+), aluminum ­(al3+), potential acid- ity (h + ­al3+), ph ­(cacl2), total cation exchange capacity (cec), sum of bases (sb), alu- minum saturation (m%) and base saturation (bs)."
3,at these sampling points the yield values were acquired through a combine harvester.
3,remote and proximal sensing data the soil electrical conductivity (ec) data were acquired using the veris 2800 sensor (proximal sensing).
3,this equipment has 6 rotary discs and the arrangement of internal and external discs allows simultaneous measuring of the ec in 0–30 cm and 0–90 cm.
3,"in this case, two intermediary discs emit an electric current, while another discs detect the poten- tial difference between electromagnetic fields in the soil (umbelino et al., 2018)."
3,the ec was acquired in each soil sampling point.
3,satellite images were acquired by landsat 8’s oli and tir sensors (path: 224 and row: 77) from u.s.
3,geological survey earth explorer.
3,"images dates corresponded to may 18th, june 19th, july 5th and 21st, august 6th and 22nd, comprising the period between crop’s sowing and harvesting."
3,"the dataset consisted of higher-level products from the tier 1 landsat collection, which were processed by lasrc algorithms (usgs, 2018)."
3,"landsat bands used in this study were blue (452–512 nm), green (533–590 nm), red (636–673 nm), near-infrared (nir, 851–879 nm), shortwave infrared 1 (swir-1, 1566–1651 nm), short- wave infrared 2 (swir-2, 2107–2294 nm), thermal infrared 1 (tir-1, 10,600–11,190 nm) and thermal infrared 2 (tir-2, 111,500–12,510 nm)."
3,"all bands have a 30 m spatial resolu- tion, except for the thermal ones, which have 100 m resolution."
3,"later, six spectral indexes were calculated (table 1) and compared to soil attributes and yield data."
3,"the indexes cor- responded to enhanced vegetation index (evi), land surface temperature (lst), nor- malized burn ratio 2 (nbr2), normalized difference vegetation index (ndvi), soil adjusted vegetation index (savi) and temperature vegetation dryness index (tvdi)."
4,"precision agriculture (2023) 24:1380–1400 1383 table 1 spectral indexes index formula references employed in the analysis, created using the spectral bands of ndvi nir−red rouse et al."
4,(1973) landsat’s oli and tir sensors nir+red evi nir−red huete et al.
4,(1997) (nir+6red−7.5blue)+1 savi nir−red (1 + l) huete (1988) nir+red+l nbr2 nir−swir2 benson et al.
4,(1999) nir+swir2 tvdi lst−lstmin sandholt et al. (2002) a+b∗ndvi−lstmin *l is weighting coefficient (value used = 0.50); lst is the land sur- face temperature; lstmin is minimum lst in the area; a and b are linear and angular coefficients of the dry edge.
4,"land surface temperature (lst) can be an important information, once it is related to the crop energy balance, plant water deficits and consequently yield."
4,"lst was cal- culated according to ermida et al (2020) and later used to define the temperature veg- etation dryness index (tvdi), which integrates temperature, plant cover and biomass (du et al., 2017)."
4,"tvdi calculation depends on parameters “a” and “b”, which are retrieved by a linear function between lst and ndvi (i.e., dry edge)."
4,"a typical scatter plot between lst and ndvi presents the points dispersion in a triangular or trapezoi- dal shape, also known as “evaporative triangle/trapezoid”, and indicates the evapora- tive dynamics and surface moisture in the field."
4,"the “dry edge” corresponds to the upper side of the evaporative triangle/trapezoid and comprises the maximum tempera- tures detected by satellite, as well as indicates water limited conditions."
4,"there is also a “wet edge”, which is the evaporative triangles/trapezoids lower side and represents conditions of maximum evapotranspiration due to higher water availability (sandholt et al., 2002)."
4,geostatistical analysis field sampled data and geostatistical techniques were used to map the soil attributes and corn yield at a 30 m resolution.
4,"ordinary kriging was performed in arcgis 10.5 (esri, redlands, ca, usa), the spatial variability of soil attributes and crop yield was mapped based on adjustment of theoretical functions to the models of experimen- tal variograms."
4,"in the adjustment of theoretical models to experimental variograms the nugget effect (c0), sill (c0 + c) and range (a) were determined."
4,"the models tested for adjustment were spherical, exponential, gaussian and linear."
4,"models were chosen based on the least-squares criterion, choosing the models with the highest ­r2 (coefficient of deter- mination) and lowest rmse (root mean squared error) obtained by the cross-validation."
4,"spatial dependence was measured using the degree of spatial dependence (dsd), using the c0/(c0 + c) ratio and the intervals proposed by cambardela et al. (1994), who con- sidered the spatial dependence to be weak (dsd > 75%), moderate (25% < dsd < 75%) and strong (dsd < 25%)."
4,"later, pearson’s correlation analysis was performed to evaluate the relationship between all soil attributes and corn yield."
4,interpretation of fertility levels in the soil was based on the fertility manual from brazilian soil science society (2004).
5,"1384 precision agriculture (2023) 24:1380–1400 principal component analysis six mz maps were established, each one from a different dataset (fig. 1): (i) based on electric conductivity from two soil depths (ec), (ii) using only soil attributes (s), (iii) spectral indexes from the single date that was best correlated to productivity (si 1), (iv) spectral indexes from all dates (si 2), (v) si 1 combined with ec (ec-si 1) and, (vi) si 2 combined with ec (ec-si 2)."
5,"the dataset was resampled and standardized (mean = 0 and standard deviation = 1) to the same extension, pixel size and order of magnitude, allowing comparisons."
5,"a principal component analysis (pca) for dimensionality reduction was performed, aiming to minimize data redundancy and facilitate interpretation without loss of infor- mation."
5,"in pca, the original variables in n axes are rotated and converted into principal fig."
5,1 study area with the soil observations and methodology flowchart 13
6,"precision agriculture (2023) 24:1380–1400 1385 components (pcs), which are uncorrelated variables in new axes, which maximize data variance through orthogonal linear recombination of the attributes."
6,"besides that, pca also highlights important variables in the data distribution."
6,"the pcs that explained at least 80% of the total variance in each dataset (adams, 1995) were used in the analysis."
6,"soil management zones (mz) once the pca was performed to each dataset, the components’ scores were employed in a clustering technique and resulted in the mzs maps."
6,"in this study clusters were defined by the fuzzy c-means algorithm (fcm), which is an unsupervised classification technique widely explored in precision agriculture (breunig et al., 2020; gavioli et al., 2016; minasny & mcbratney, 2002)."
6,"in fcm, the dataset x = {× 1, × 2, …, xn} is divided in c groups given the object membership degree in j group."
6,the method assumes that each observation belongs to one or more groups.
