page,p
1,"sensors article machine learning as a strategic tool for helping cocoa farmers in côte d’ivoire stefano ferraris 1,† , rosa meo 2, *,† , stefano pinardi 3 , matteo salis 2 and gabriele sartor 2 1 interuniversity department of regional and urban studies and planning, politecnico di torino and university of turin, 10125 turin, italy; stefano.ferraris@polito.it 2 department of computer science, university of turin, 10149 turin, italy; matteo.salis@unito.it (m.s.); gabriele.sartor@unito.it (g.s.)"
1,"3 department of foreign languages, literatures and modern cultures, university of turin, 10124 turin, italy; stefano.pinardi@unito.it * correspondence: rosa.meo@unito.it † these authors contributed equally to this work."
1,abstract: machine learning can be used for social good.
1,the employment of artificial intelligence in smart agriculture has many benefits for the environment: it helps small farmers (at a local scale) and policymakers and cooperatives (at regional scale) to take valid and coordinated countermeasures to combat climate change.
1,"this article discusses how artificial intelligence in agriculture can help to reduce costs, especially in developing countries such as côte d’ivoire, employing only low-cost or open-source tools, from hardware to software and open data."
1,"we developed machine learning models for two tasks: the first is improving agricultural farming cultivation, and the second is water management."
1,"for the first task, we used deep neural networks (yolov5m) to detect healthy plants and pods of cocoa and damaged ones only using mobile phone images."
1,the results confirm it is possible to distinguish well the healthy from damaged ones.
1,"for actions at a larger scale, the second task proposes the analysis of remote sensors, coming from the grace nasa mission and era5, produced by the copernicus climate change service."
1,"a new deep neural network architecture (ciwa-net) is proposed with a u-net-like architecture, aiming to forecast the total water storage anomalies."
1,the model quality is compared to a vanilla convolutional neural network.
1,"citation: ferraris, s."
1,"; meo, r."
1,"; pinardi, s."
1,"; salis, m."
1,"; sartor, g."
1,keywords: cocoa farmers; low-cost smart agriculture; remote sensors monitoring; water resources machine learning as a strategic tool forecasting; yolo; u-net; sits; deforestation; drought prevision; socio-technical transition for helping cocoa farmers in côte d’ivoire.
1,"sensors 2023, 23, 7632. https://doi.org/10.3390/s23177632 academic editors: miguel 1."
1,"introduction garcía-pineda and miguel the anthropocene is the geological era that began when human activities had had a arevalillo-herráez global and evident effect on the ecosphere of lands, oceans, and water worldwide."
1,"human received: 1 august 2023 actions are driving anthropological climate change (acc), which is an effect of humans’ revised: 29 august 2023 socio-economical activities."
1,accepted: 30 august 2023 published: 3 september 2023 1.1.
