page,p
1,"remote sensing article ndvi identification and survey of a roman road in the northern spanish province of álava juan josé fuldain gonzález 1, * and félix rafael varón hernández 2 1 mola (museum of london archaeology), mortimer wheeler house, 46 eagle wharf road, london n1 7ed, uk 2 research group in heritage and cultural landscapes—university of basque country, centro de investigación micaela portilla, c/justo vélez de elorriaga, 1, 01006 vitoria-gasteiz, spain, frvaron001@ikasle.ehu.eus * correspondence: jjfuldain@gmail.com; tel.: +44-753-538-3115  received: 1 march 2019; accepted: 22 march 2019; published: 26 march 2019  abstract: the iter 34 (antonine itinerary xxxiv) is the name of the roman road that crosses the province of álava from west to east."
1,"since no specific path was officially recognized before our study, the remains of the road did not benefit from heritage protection."
1,"in 2017, we made a project to determine the course of the road through rural álava."
1,"in addition to traditional archaeological excavation and prospecting techniques, we used uavs (unmanned aerial vehicle) to produce ndvi (normalized difference vegetation index) orthomosaic plans of ten cultivated areas through which the road is conjectured to pass."
1,"ndvi orthomosaics let us see crop marks better than with conventional photography, allowing us to detect the crop marks during times of the year and in places where conventional photography would fail to show them."
1,"thanks to the ndvi orthomosaics, remains of the road were identified not only in places where we knew it existed, but also in previously unknown locations."
1,"furthermore, other archaeological features were identified close to the roadway."
1,this technique heralds a great advance in non-invasive methods of archaeological surveying.
1,by using precision farming techniques we have identified the course of the roman road iter 34 in several locations in a short period of time and with few resources.
1,keywords: airborne remote sensing; archaeology; cultural resource management; landscape archaeology; heritage documentation; ndvi; multi-spectral reflectance; object detection; photo interpretation; uas/uav 1.
1,"introduction during the past two decades, satellite images have been used for archaeological surveying, laying the foundations of remote sensing for archaeology."
1,"in most cases the spatial resolution of satellite images is not sufficient to allow archaeological features to be shown [1–5] the new generations of satellites as the world view 2 with a spatial resolution of up to 2.5 m per pixel are starting to produce good results in archaeological surveys [6,7]."
1,"low aerial photographs taken from uavs have a much higher spatial resolution, such us the photographs used in this study case which are around 3.2 cm per pixel."
1,"the lower quality of uav images compared to satellite-borne images is compensated for by the advantages of taking the photographs at low altitude and at the precise moment they are needed; so the limited spatial resolution of the satellite photographs that renders them useless for archaeological purposes in most cases is resolved with the use of uavs [8,9]."
1,"more recently, the appearance of uavs has put low aerial photography at reach of almost any archaeologist [10]."
1,"the development of photogrammetry softwares, which are able to process pictures taken with general purpose cameras, has brought about a revolution in archaeological recording, which remote sens. 2019, 11, 725; doi:10.3390/rs11060725 www.mdpi.com/journal/remotesensing"
2,"remote sens. 2019, 11, 725 2 of 20 in conjunction with the appearance of uavs (which can accurately follow pre-programed missions), has allowed archaeologists to produce accurate surveys and 3d models easily and quickly [11–13]."
2,the high sensitivity of digital cameras to near infrared wavelengths makes them perfect for recording this part of the light spectrum [14–17].
2,"the general development of geographic information system (gis) allows the management of geographic information from old and new maps, aerial photographs, site surveys, orthomosaics, etc., making them easy to work with, and an invaluable tool in heritage protection and management [18]."
2,precision agriculture techniques are creating software and workflows that use remote sensing principles to asses crops health.
2,"all these elements are drastically changing the panorama of aerial archaeology, whereby aerial images obtained from uavs are now widely used for survey, recording and publication [19–26]."
2,"multi-and hyperspectral images have been successfully used to document architectural heritage [27], and to study small finds [14]."
2,"remote sensing techniques and indexes have been used to identify buried archaeological remains, but at present there is no general consensus about which wavebands and indexes such as nir, ndvi, sr, bai, tcari, red edge are better for enhancing the visibility of cropmarks [3,4,7,15,16,28]."
2,"there is no single answer to this question as it will probably depend on the particular conditions of each field, crops season and the type of archaeological remains."
2,"with so many options available, we decided to investigate the most popular method."
2,"ndvi is one of the more frequently used indexes in precision agriculture, and almost any drone operator is able to produce ndvi orthomosaics similar to those shown in this article."
2,a large amount of information is obtained every day for agricultural purposes which may also be of archaeological use.
2,"learning to identify the kinds of anomalies produced by archaeological features one can expect to see in ndvi is a much needed first step towards the full exploitation of these new resources, and forms the basis of our study."
2,"one could argue that other indexes and wavelengths may be better suited to archaeological survey, but the greater availability of ndvi makes it essential that we learn to utilize it."
2,"a roman road has a standard form that should be easy to identify, enabling us to offer a clear example of how a feature of this type appears in ndvi."
2,"it is a long, linear feature that crosses the study areas, measuring 4–6 metres wide and flanked by roadside ditches."
2,"it is a considerable structure that is much easier to identify than the walls of buildings, which means we could fly higher and cover larger areas of terrain than if we were looking for walls measuring only half a metre wide."
2,"the road is fairly horizontal, and although the pavement may have broken up and the stones may have scattered or fallen into the roadside ditches, we would not expect it to be buried under the rubble of its own collapse as would happen with the walls of a buried building [29]."
2,for all these reasons we thought that a roman road was the perfect subject for this experiment.
2,"once we have learned to identify roman roads easily and quickly in ndvi, it will be very useful tool in furthering our understanding of the organization of territory anywhere in the roman empire."
2,the iter 34 road met these requirements: the iter 34 is referred to in the 3rd-century ad antonine itinerary but locating the route of this roman road has been a historical and archaeological conundrum for the past 200 years.
2,"since the first conjecture of the route was made at the end of the 18th century, there have been numerous suggestions for its course [30–33]."
2,"these proposals suffered from two main problems: firstly, the failure to identify the mansiones (lodging-places) referred to in the antonine itinerary [32–38] and, secondly, the lack of a comprehensive study method for its search and identification, even though the basis of this had been proposed since at least the 1990s [38] and work had already been done in this regard during the first decade of the 21st century [29]."
2,the first problem was solved at the beginning of the 21st century.
2,the locations of these mansiones have now been pin-pointed with archaeological data that goes beyond mere hypothesis (figure 1).
2,"in this matter, the stand-out studies are those of varón in arce-mirapérez/deobriga [39,40]; in iruña-veleia the works of gil and filloy made between 1994–2008 [41] and followed by the ongoing works of núñez which began in 2010 [42–46]."
2,"in arkaia/suestatio, the works of loza, loza and niso [47]; in alegría-dulantzi/tullonium, the works in san martín de dulantzi [48]; and finally, the works carried out in albeiurmendi/alba by gil [49]."
2,the results of these various studies have allowed
3,"remote sens. 2019, 11, 725 3 of 20 us to theorize about the likely corridors through which the iter 34 could have run."
3,"regarding the locations of the mansiones, we can add the excavation of a mutatio (changing-station) and remains of the road at mariturri in vitoria-gasteiz by núñez and saénz de urturi [50]."
3,figure 1.
3,relief map of the province of álava indicating the route of the roman road iter 34 and the roadside lodging places (mansiones) referred tofigure1 in the antonine itinerary.
3,we tried to tackle the second problem with the study we carried out in 2017.
3,"our multi-faceted study included reviewing the historical sources and archaeological investigations made during the past 30 years. 18th and 19th century maps and plans which illustrate the road were verified [51,52], and we conducted an exhaustive toponymic study of both current and ancient place names mentioned in the medieval written sources, especially those dating from the 9th-12th centuries [53], we examined sets of vertical aerial photographs dating from 1932 to the present day [54] as well as the most recent low-level photographs [29,55]."
3,we examined the pictures from landsat and spot satellites in panchromatic photographs and produced ndvi indexes with the multispectral images.
3,"where possible we analyzed the area with lidar, carried out field walking and opened archaeological test pits [56]."
3,at this point we had several areas where we suspected the road existed though there was no evidence for it.
3,we therefore decided to survey those areas in ndvi with low altitude photographs taken from uavs hoping to confirm the presence of the roman road there.
3,"the main aims of this experiment were to identify the course of the roman road iter 34 in 10 study areas so it can be legally protected, and to assess the suitability of the ndvi index for identifying crop marks to the point where it may be used as a method of archaeological prospection in its own right."
3,"figure 2.we the method the areas surveyed developed in the for this studyisindicating study the state of knowledge of great importance of the in the field roman road of cultural beforeas it heritage allowsthe ndvi for survey. a quick, non-invasive and inexpensive survey of buried remains."
3,"we used it to find new evidence of the roman road, resulting in its legal protection, and it also has wider applications in the heritage industry."
3,"for instance, it could be used to monitor sites year after year, thereby contributing to remote sens. 2019, 11, x; doi: for peer review www.mdpi.com/journal/remotesensing"
4,"remote sens. 2019, 11, 725 4 of 20 the management and conservation of buried heritage by local authorities and stake holders."
4,the ability to survey large areas quickly would also be of great benefit in the early stages of the planning process.
4,"this article is an extended version of a lecture given at the annual meeting of the caa uk (computer applications and quantitative methods in archaeology, united kingdom) at edinburgh on october 2018 [57] in supplementary materials."
4,study area the province of álava is part of the autonomous community of the basque country in the north of spain.
4,our study area is located approximately in the central strip of this territory and extends from east to west.
4,"the orography of this area is characterized by the ebro-treviño basin in the west and the plains of álava which lies in the east, separated by the mountains of vitoria."
4,"the extremes of the region lie at 460 and 570 metres above sea level, with some mountain peaks between them reaching 800 metres in altitude."
4,"geologically, the ebro basin consists of tertiary clays and marls and some deposits of sands and gravels, whereas the plains of álava is composed of cretaceous loams covered by quaternary alluvial deposits."
4,"in both cases, the surfaces of these areas are suitable for cultivation [58]."
4,"the main rivers in this area are the ebro, zadorra, alegría and arakil, which have gently sloping, longitudinal profiles that have actively shaped the landscape, creating the flat expanse of the valleys [58]."
4,"the region is a climatically transitional area between the atlantic climate of the north of the province, which lies closer to the bay of biscay, and the mediterranean climate of the neighbouring region of la rioja to the south."
4,"it experiences rain in autumn and winter, with some intense rainfall in spring and drought in summer; the average annual temperature is 12 ◦ c, reaching extremes of 19 ◦ c in summer and 4–4.5 ◦ c in winter [59]."
4,materials and methods our financial resources permitted ten areas to be surveyed using uavs equipped with infrared cameras that allow the application of ndvi.
4,"these ten zones covered significant parts of the route, adding up to a total of more than 88 hectares."
4,"this covered areas where the route of the iter 34 was determined to be either secure, probable or undocumented."
4,"the inclusion of the securely identified routes was necessary in order to confirm that the results obtained were reliable; they were, so to speak, control samples."
4,"this occurred in two places where the road had been previously identified archaeologically through field walking and in test pits: area 4, in iruña-veleia [41] and area 5 in arkaia/suestatio [43] (figure 2)."
4,"in the zones where the route was considered probable, there were five cases for which the historiographical works suggest the iter 34 ran through those areas or nearby, though there was no reliable evidence for the road."
4,"this occurred in areas 1, 2 and 3 in armiñón, estavillo/burgueta and iruña-veleia respectively [38], in area 9 around the hospital of san lázaro and magdalena in agurain-salvatierra [59] and area 10 in albeiz [33]."
4,"regarding the places where the road is undocumented, we found three areas in which the precise course of the road has never been identified in the local historiography, in areas 6, 7 and 8."
4,"we therefore hoped to determine the validity of this method to recognize buried remains and, in addition, to find a viable solution for the sections in which traditional research tools had not been used or were not working well (areas 1, 2, 3, 6, 7, 8, 9 and 10)."
4,"the photographs were taken with three canon power shot s 100 cameras, two of which were modified; one to take photos in nir over 760 nm (wavelength in namometers), and the other to take photographs for pseudo ndvi with a kodak wratten 25a filter (longpass filter blocking below 580 nm)."
4,other studies have used cameras made for agricultural ndvi as well as action cameras.
4,"currently these are not good enough for this kind of analysis [21], although the quality of these cameras is constantly improving so we hope that they should soon be able to produce results as good as the cameras we used."
5,"remote sens. 2019, 11, 725 5 of 20 figure1 figure2.2."
5,the figure theareas surveyed in areassurveyed the study indicating the state in the state of knowledgeof ofthe of knowledge romanroad theroman roadbefore before ndvisurvey. thendvi the survey.
5,we selected the best lightweight camera we could find that fitted our drones and that would not cut into the flight time too much due to its weight.
5,we chose the canon powershot s100 mainly for the size and the quality of its sensor.
5,this camera produces pictures of 12 mp (megapixel) size at full resolution and has a cmos sensor of 1/1.7” with a pixel pitch (distance between the center of the pixels in the sensor) of 1.87 µm (micrometres) [21].
5,"this means this camera has a sensor 3 to 5 times larger than the average action and ndvi cameras, and has more sensitivity to colour and to remote sens. 2019, 11, x; doi: for peer review www.mdpi.com/journal/remotesensing light gradations."
5,the weight of the canon powershot s100 is about 180 grams and it has inbuilt gps which makes the processing of the pictures by photogrametric software easier.
5,"the cameras were carried by yuneec typhoon, dji inspire and walkera scout drones flown at heights of 120 m, 75 m and 25 m."
5,the height of the flight depends on the size of the plots.
5,for practical reasons the best option was to fly at a height of 75 m.
5,"the flights at 120 m height did not have enough spatial resolution, obtaining pictures of 4.38 cm per pixel."
5,"the flights at 25 m height gave a spatial resolution of 0.91 cm per pixel, but the creation of the orthomosaic was extremely difficult as there were many pictures that only showed plants that were indistinguishable from each other without any other points of reference such as roads, hedgerows, buildings or trees that would help stitch one picture to the other."
5,the flights at 75 m height produced pictures of 2.74 cm per pixel of spatial resolution.
5,the quality and spatial resolution were sufficient and almost every picture had enough reference points to create the orthomosaic easily.
5,only area 8 had flights taken at the higher altitude of 110 m due to its larger size which comprised three plots of land.
5,flying at 75 m height would not have picked up enough reference points in each picture to match them properly.
5,"we tried taking photographs in visible, nir and wratten 25a settings and finally settled on the wratten 25a filter."
5,"this allowed us to generate the ndvi index from a simple set of multispectral pictures where the blue channel records the infrared wavelengths, and the red channel the visible wavelengths."
5,"in order to take advantage of the crops at their full height, the pictures were taken between the 25th may to 13th june."
5,all the areas except area 1 were planted with wheat and oat crops which at that time measured around 1 m high.
5,we wanted the crops to be at their full height with deep roots so that any features buried in the ground would be reflected in the health of the plants.
5,"the pictures were then processed in drone deploy, and the resulting orthomosaics were imported in qgis 2.14 essen to create the ndvi images and to analyze the results."
5,the resulting orthomosaics were not automatically analyzed; we looked at the ndvi orthomosaics and compared them with historical photographs and maps to try to find traces of the roman road.
5,the orthomosaics were rendered in greyscale which highlighted the differences in plant health clearly.
5,"the higher the ndvi index, the whiter it will appear in the photographs, corresponding"
6,"remote sens. 2019, 11, 725 6 of 20 with healthier plants which are performing photosynthesis better."
6,"areas with lower ndvi index indicate less healthy plants or those with lower levels of photosynthesis, which in this colour scheme appear darker."
6,"once we chose what uav to use, what height to fly at and with which filter and software, this method was quite efficient from a financial point of view."
6,"it took several test runs to decide what was best for this survey, but once this was done the flights were carried out quickly."
6,"it would certainly be of interest to return at different times of the agricultural season to survey these areas again and compare the results, but the lack of time and resources did not allow for this."
6,it would also be desirable to survey more areas and to extend the study areas where archaeological features were found.
6,results comparing the results of the flights we made in 2017 with historic photographs from geoeuskadi proved informative.
6,we were able to see some standing structures in the photographs before they had been buried so it was easy to identify the structures causing some of the anomalies detected in the ndvi orthomosaics.
6,"positive archaeological features are deposits or structures added to the stratigraphy such as floors and walls, whereas negative or cut archaeological features have removed deposits from the stratigraphy, such as ditches and wells."
6,positive archaeological features leave negative or darker marks in ndvi due to the stress caused in the crops by the buried remains.
6,"conversely, negative archaeological features leave positive marks in ndvi, showing the healthier crops above them as whiter 2019, 11,[60] in colour remote sens."
6,(figure x for 3).
6,peer review 2 of 12 figure 3. (a) the ndvi positive anomaly created by the service trench. (b) the 2005 service trench [62]. seen in the geoeuskadi aerial photograph [60].
6,"identification of the roman road in the ten areas surveyed in our experiment, we found linear anomalies that correspond to the roman road in eight zones (areas 2, 3, 4, 5, 6, 8, 9 and 10)."
6,"in most cases, these are aligned with the conjectured course of the road through the area and had a width and form that strongly suggest that they are caused by the buried road (figure 4)."
6,"we identified the features by analyzing the orthomosaics, comparing the features we identified in them with historic photographs and maps, looking specifically for a linear structure that matches the width of the known sections of the iter 34."
6,no traces of the road were found in areas 1 and 7.
6,"in area 1, the soil had been recently ploughed so there was no vegetation to analyze."
6,"although we were able to make out some positive features in area 7, probably channels relating to water management, we were not able to positively identify any anomalies that correspond to a road in this area."
7,"remote sens. 2019, 11, 725 7 of 20 remote sens. 2019, 11, x for peer review 3 of 12 figure 4."
7,"areas where the roman road was found, in (a) area 2, (b) area 3, (c) area 4, (d) area 5, (e) area 6, (f) area 8, (g) area 9, (h) area 10."
8,"remote sens. 2019, 11, 725 8 of 20 4.2."
8,"characterization of a roman road we would expect a feature like a roman road to be seen in ndvi as a wide, dark or negative linear anomaly corresponding to the buried cobbled surface of the road pavement flanked by two lighter 2019, 11, xnarrow or positive remote sens. bands for peer reviewrepresenting the roadside ditches, and this is the appearance it4has of 12in six of the study areas (figure 5)."
8,"in some places the road has not been build but cut into the bedrock these4.areas and infigure areasthe roadthe where appears romanlighter in found, road was colourinwhere the2,ndvi (a) area reading (b) area is more 3, (c) area 4, (d)positive; area 5, (e)we can see this area 6, (f) area 8,technique construction (h)five (g) area 9, in 10."
8,(figure 6).
8,areazones figure 5.
8,"details of the areas with the built road: (a) area 2, (b) area 4, (c) area 5, (d) area 6, (e) area 9 figure 5."
8,"details of the areas with the built road: (a) area 2, (b) area 4, (c) area 5, (d) area 6, (e) area and (f) area 10. 9 and (f) area 10."
9,"remote sens. 2019, 11, 725 9 of 20 remote sens. 2019, 11, x for peer review 5 of 12 figure 6."
9,details figure 6.
9,"details the with of the of areas areasthe with cut(a) road: cutthe area(a) road: 2, area (b) area 3, (c) 2, (b) area area (c)(d) 3, 5, area area 5, 8(d) and (e) 8 and area 9."
9,area 9.
9,"area(e) both kinds of road, built and cut, coexist in three areas (areas 2, 5 and 9) as alternating cut and build methods were needed to keep the inclination of the road level in areas where the bedrock lies very close to the surface."
9,"we were able to differentiate the roadside ditches in the built sections of the roman road, but not in the cut sections where the complete structure, including the road surface and roadside ditches, is a cut feature in the rock."
9,"where the road is a built structure, the pavement measured an average of 4.2 m; 8 m including the roadside ditches (areas 2, 4, 9 and 10)."
9,"in two cases the pavement was narrower, measuring between 2.5–3.0 m with a total width of 8 m including the roadside ditches (areas 5 and 6)."
9,"in the areas where the road had been cut, the width of the road is more consistent than in the built areas, perhaps because it is better preserved."
9,"not only is it more consistent within each area, but also between the different"
10,"remote sens. 2019, 11, 725 10 of 20 areas."
10,the cut parts of the road vary in width between 7.7–8 m.
10,this corresponds closely with the total width of the built sections of the road including the roadside ditches.
10,"sometime after we finished this study, a trench for construction work was excavated in area 9, in a location we had identified in ndvi as a built section of the roman road."
10,this clearly exposed the paved road surface and one of the roadside ditches in the side of the trench (figure 7).
10,"remote sens. 2019, 11, x for peer review 6 of 12 figure7.7."
10,trench figure trenchshowing the roadside showing the ditch and roadside ditch part of and part of the pavement of ofthe the pavement iter34 theiter romanroad 34roman roadinin area 9.
10,area 9.
10,"other archaeological features in addition to the roman road, a considerable number of archaeological features were found in this study."
10,some of the most interesting cases are described here: area 3 contained a large number of negative ndvi anomalies which we identified as the walls or foundations of buildings and land divisions (figure 8).
10,"the image shows some circular positive anomalies that may be wells and/or soakaways, as many of these features are connected through a system of narrow and linear positive anomalies we believe to be an irrigation system associated with the nearby roman city of iruña-veleia."
10,"should our interpretation be confirmed archaeologically, this single orthomosaic provides very valuable information regarding field management and irrigation systems in roman times in the basque country."
11,"remote sens. 2019, 11, 725 11 of 20 remote sens. 2019, 11, x for peer review 7 of 12 figure 8. (a) ndvi orthomosaic of area 3 and (b) interpretation of some of the archaeological features figure 8. (a) ndvi orthomosaic of area 3 and (b) interpretation of some of the archaeological features observed in area 3. observed in area 3."
11,"in area 5, it appears that it is not only the roman road running from west to east, but also the post-medieval road running northwest to southeast (figure 9)."
11,the remains of an old stream lie near the intersection of these two roads.
11,"this stream has now been canalized, and we can clearly identify the modern structure in the image."
11,there is no historical evidence for the existence of a bridge in this
12,"remote sens. 2019, 11, 725 12 of 20 location, but the coincidence of the two road crossings at the same location may suggest this was a natural fording remote sens. point 2019, 11, the stream. in peer x for review 8 of 12 figure 9."
12,"area 5 in ndvi showing the roman road (1), a post-medieval road (2), a conjectured brook figure 9."
12,"area 5 in ndvi showing the roman road (1), a post-medieval road (2), a conjectured brook crossing (3), modern canalization of the brook (4) and water marks created by former course of the crossing (3), modern canalization of the brook (4) and water marks created by former course of the brook (5). brook (5)."
12,in area 6 there are many anomalies in addition to the roman road.
12,"these anomalies follow two alignments, perhaps corresponding to two different periods of occupation (figure 10)."
12,of particular interest is a group of positive anomalies cutting a negative anomaly located in the northern edge of the area which may be interpreted as robber trenches cutting through the walls of a masonry building (figure 11).
12,all the other anomalies appear to be field boundaries and agricultural related features.
13,"remote sens. 2019, 11, 725 13 of 20 remote sens. 2019, 11, x for peer review 9 of 12 (a) area figure 10."
13,figure inarea 10. 6(a) ndvi and 6 in (b) the ndvi and (b)different two alignments the two different of the observed alignments features. features. of the observed
14,"remote sens. 2019, 11, 725 14 of 20 remote sens. 2019, 11, x for peer review 10 of 12 remote sens. 2019, 11, x for peer review 10 of 12 figure 11. (a) detail of the features in area 6 in the ndvi orthomosaic and (b) the conjectured shape of 11."
14,figure the(a) of the features detail causing building in area the ndvi 6 in the ndvi orthomosaic and (b) the conjectured shape marks. of the building causing the ndvi marks.
14,area 7 is the only zone in the study in which no traces of the roman road were identified.
14,"most features of thefigure (a) this 11. in area detail appear of the to be features narrow in area 6 in channels, possibly water the ndvi orthomosaic channels, and (b) each measuring the conjectured shape cmbuilding aboutof80the wide, farcausing the ndvi less than marks. road identified elsewhere (figure 12). the roman figure 12."
14,possible water works in area 7.
14,figure 12.
14,possible water works in area 7.
14,figure 12.
14,possible water works in area 7.
14,"in area 9, in addition to the roman road, there is a series of field boundaries predating the land enclosure."
14,the boundaries are visible in the 1945 aerial photographs which show the fields before the current boundaries (figure 13).
15,"remote sens. 2019, 11, 725 15 of 20 remote sens. 2019, 11, x for peer review 11 of 12 figure 13."
15,area 9 shown in (a) ndvi orthomosaic indicating the roman road and field boundaries figure 13.
