page,p
1,a data-driven approach to hurricane debris modeling catalina gonzález-dueñas1; carl bernier2; and jamie e.
1,"padgett, m.asce3 abstract: the large amount of debris generated in the aftermath of hurricane and storm events can cause severe ﬁnancial and logistical downloaded from ascelibrary.org by university of california, santa barbara on 10/04/24."
1,copyright asce.
1,for personal use only; all rights reserved. burdens to coastal communities.
1,"existing debris estimation models mainly focus on wind-induced debris and produce estimates with errors of nearly 50%, highlighting the importance of developing more comprehensive models that can account for other types of debris while im- proving accuracy."
1,"therefore, the objective of this study is to develop a probabilistic framework to estimate the presence and amount of wa- terborne debris following a severe storm using machine learning (ml) techniques as a function of relevant storm and landcover parameters."
1,"machine learning techniques are leveraged to generate debris presence and volume models, employing pre- and post-event aerial and satellite imagery and a debris removal database for hurricane ike, respectively."
1,"the results show that the ensemble learning algorithms perform the best for both tasks, with a misclassiﬁcation error of 5.56% for the debris presence predictive model, and a normalized root mean squared error (rmse) value of 11.98 for the debris volume model, the lowest rmse of the tested algorithms."
1,"dual-layer ml models are also investigated, incorporating the debris presence as a predictor in the debris volume model."
1,the results show a percent error of 11.29% for the dual-layer model and an approximately 5.4% increase in performance with respect to the model that does not incorporate debris presence.
1,"the generated debris volume and presence models will provide useful tools to inform decision-making, evaluate mitigation strategies, facilitate recovery efforts, and improve resource allocation following a storm event."
1,doi: 10.1061/jwped5.
1,wweng-1945.
1,© 2023 american society of civil engineers.
1,introduction improper disposal after the storm event (luther 2006; reible et al.
1,2006).
1,debris is one of the most challenging cascading impacts for coastal even though estimates of the total amount of debris produced by communities in the aftermath of hurricane events.
1,"communities natural hazards are useful to allocate resources and to plan required along the united states coasts frequently experience storm and infrastructure such as waste management plants or landﬁlls, infor- ﬂood events generating a large amount of debris, and their removal mation on the distribution of debris over a region is essential for poses an important ﬁnancial and logistical burden to local, state, formulating a disaster response (e.g., loss of connectivity on trans- and federal governments."
1,"for instance, of the $2.2 billion total pub- portation networks), for coordinating disaster cleanup operations lic assistance funds granted to the state and local government agen- (özdamar et al. 2014), and for planning temporary disaster waste cies following hurricane ike (2008), nearly $752 million (34%) management sites, which are critical for minimizing the costs and were dedicated to debris removal activities (fema 2019)."
1,the duration of cleanup operations (cheng et al.
1,2022).
1,"moreover, hav- presence of debris around households as well as on roads and brid- ing information on the geographic location of the debris can also ges not only slows down recovery efforts but can also cause signif- help minimize the exposure of the community to potentially toxic icant disruptions to transportation networks, jeopardizing the debris."
1,"for instance, during hurricane katrina, federal emergency accessibility of vulnerable communities to critical facilities such management agency (fema) supported the collection of debris as hospitals or shelters (balomenos et al."
1,"2019; kameshwar et al. from private property in certain regions of louisiana, alabama, 2021; kocatepe et al."
1,2019; yin et al.
1,2017).
1,these debris can and mississippi due to the concerns raised by local governments cause damage to critical infrastructure systems in case of impacts on the health risk posed to the community by the uncollected debris or damming (bernier and padgett 2020; gonzalez duenas et al. in these areas (luther 2006).
1,some methodologies have been pro- 2019; ma et al.
1,2021; mauti et al.
1,2020; stolle et al.
1,2020).
1,"more- posed in the literature that are able to capture the spatial distribution over, during ﬂood events, hazardous chemical materials commonly of debris over a region."
1,"however, these methodologies either focus stored in households, fuel and oil in ﬂooded automobiles, and con- solely on windborne debris (fema 2012; marchesini et al. 2021; struction material such as plywood can become sources of debris umpierre and margoles 2005) and vegetative debris (escobedo and therefore affect public health due to immediate spreading or et al."
1,2009; karaer et al.
1,2021; thompson et al. 2011) or focus on post-storm response using images (gazzea et al.
1,"2021; schaefer 1 graduate research assistant, dept. of civil and environmental engi- et al."
1,2020; yoo et al.
1,"2017). neering, rice univ., houston, tx 77005."
1,"email: cdg7@rice.edu debris mitigation and management strategies are key to the re- 2 formerly, graduate research assistant, dept. of civil and environ- silience of coastal communities under hurricane hazards, and to mental engineering, rice univ., houston, tx 77005."
1,"email: carlber46@ support them, it is critical to evaluate the risk of debris accumula- gmail.com tion from future storms."
1,"nevertheless, hurricane-induced debris 3 stanley c."
1,"moore professor, dept. of civil and environmental engi- predictive methodologies, independent on their ability to capture neering, rice univ., houston, tx 77005 (corresponding author)."
1,"email: the spatial characteristics of the debris, have shown suboptimal pre- jamie.padgett@rice.edu note."
1,"this manuscript was submitted on june 22, 2022; approved on dictive performance and focus on speciﬁc types of debris."
1,"predic- march 21, 2023; published online on june 21, 2023."
1,"discussion period tive debris methods such as the ones proposed by fema (hazus) open until november 21, 2023; separate discussions must be submitted (fema 2012) and the united states army corps of engineers for individual papers."
1,"this paper is part of the journal of waterway, (usace) (drenan and treloar 2014), which are commonly used port, coastal, and ocean engineering, © asce, issn 0733-950x. for debris management plans in the united states, consider only © asce 04023012-1 j."
1,"waterway, port, coastal, ocean eng."
1,"waterway, port, coastal, ocean eng., 2023, 149(5): 04023012"
2,windborne debris and have shown errors of nearly 50% between es- its spatial characteristics.
2,"as a proof of concept, the proposed ap- timated and observed debris quantities in past hurricane events proach is applied to the houston–galveston region using data (h-gac 2011; usepa 2008)."
2,"for instance, the hazus method from hurricane ike, which made landfall in 2008 and was predom- considers debris sources from tree blowdown and damaged build- inantly characterized as a surge-wave event."
