page,p
1,"satellite imagery as a single source of predictor variables for habitat suitability modelling: how landsat can inform the conservation of a critically endangered lemur author(s) j j lahoz-monfort, g guillera-arroita, e j milner-gulland, r p young, emily nicholson publication date 01-10-2010 handle 10536/dro/du:30073640 downloaded from deakin university’s figshare repository deakin university cricos provider code: 00113b"
2,"journal of applied ecology 2010, 47, 1094–1102 doi: 10.1111/j.1365-2664.2010.01854.x satellite imagery as a single source of predictor variables for habitat suitability modelling: how landsat can inform the conservation of a critically endangered lemur josé j."
2,"lahoz-monfort1,2*, gurutzeta guillera-arroita1,2, e."
2,"milner-gulland1, richard p."
2,"young3,4 and emily nicholson1 1 department of life sciences, imperial college london, silwood park campus, buckhurst road, ascot, berkshire sl5 7py, uk; 2national centre for statistical ecology, school of mathematics, statistics and actuarial science, university of kent, canterbury, kent ct2 7nf, uk; 3durrell wildlife conservation trust, les augrès manor, trinity, jersey, je3 5bp, channel islands; and 4department of biology & biochemistry, university of bath, bath ba2 7ay, uk summary 1."
2,"statistical modelling of habitat suitability is an important tool for planning conservation inter- ventions, particularly for areas where species distribution data are expensive or hard to collect."
2,"sometimes however the predictor variables typically used in habitat suitability modelling are them- selves diﬃcult to obtain or not meaningful at the geographical extent of the study, as is the case for the alaotran gentle lemur hapalemur alaotrensis, a critically endangered lemur conﬁned to the marshes of lake alaotra in madagascar."
2,"we developed a habitat suitability model where all predictor variables, including vegetation indi- ces and image texture measures at diﬀerent scales (as surrogates for habitat structure), were derived from landsat7 satellite imagery."
2,"using relatively few presence records, the maximum entropy (maxent) approach and auc were used to assess the performance of candidate predictor variables, for studying the eﬀect of scale, model selection and mapping suitable habitat."
2,"this study demonstrated the utility of satellite imagery as a single source of predictor variables for a maxent habitat suitability model at the landscape level, within a restricted geographical extent and with a ﬁne grain, in a case where predictor variables typically used at the macro-scale level (e.g. climatic and topographic) were not applicable."
2,"in the case of h. alaotrensis, the methodology generated a habitat suitability map to inform con- servation management in lake alaotra and a replicable protocol to allow rapid updates to habitat suitability maps in the future."
2,the exploration of candidate predictor variables allowed the identiﬁ- cation of scales that appear ecologically relevant for the species.
2,synthesis and applications.
2,"this study presents a cost-eﬀective combination of maximum entropy habitat suitability modelling and satellite imagery, where all predictor variables are derived solely from landsat7 images."
2,"with a habitat modelling method like maxent that shows good performance with few presence samples and landsat images now freely available, the methodology can play an important role in rapid assessments of the status of species at the landscape level in data-poor regions, when typical macro-scale environmental predictors are of little use or diﬃcult to obtain."
2,"key-words: alaotran gentle lemur, habitat heterogeneity, hapalemur alaotrensis, image textures, landsat, maxent, remote sensing, scale, vegetation index *corresponding author."
2,e-mail: jjl9@kent.ac.uk  2010 the authors.
2,journal compilation  2010 british ecological society
3,landsat in habitat suitability modelling 1095 key rice-growing area (andrianandrasana et al.
3,2005).
3,"to bal- introduction ance the needs of humans and wildlife in the management of knowledge of the ecological and geographic distribution of the site, it is necessary to identify which parts of the remaining species is critical for prioritizing and informing conservation marsh contain the most suitable h. alaotrensis habitat so that action (hirzel et al. 2006), for conservation planning (wintle, appropriate conservation measures can be identiﬁed."
3,habitat elith & potts 2005) and for assessing threats from a range of suitability models are often performed at the macro-scale anthropogenic factors (akçakaya & atwood 1997).
3,"however, (regions or continents), where environmental factors such as detailed distribution data suﬃcient for designing sound conser- climate and topography are relevant."
3,"this study was carried vation measures are often lacking, and ﬁeld research is typi- out within a smaller geographical extent, at a landscape level cally costly and labour intensive."
3,"a lack of data is even more and a ﬁner scale, where biotic interactions become dominant apparent in developing countries with high biodiversity, where (soberón 2007)."
3,"in our particular case, topography and climate it may seriously hinder conservation eﬀorts (gaston & were not informative as we were dealing with a relatively small rodrigues 2003)."
3,"one way of overcoming this data shortfall is area of marsh, with constant elevation and little meaningful to build models of a species’ suitable habitat and distribution, climatic variation."
3,"most of the marsh is dense and inaccessible which can then be used to plan data collection or prioritize and cannot be surveyed by boat, making remote sensing the interventions."
3,habitat models are usually correlative (guisan only logistically feasible source of information.
3,"although land- & zimmermann 2000) and quantify the relationship between cover classiﬁcations have been performed for wetlands with ﬁeld observations and a set of environmental variables that are satellite imagery, a process which is generally diﬃcult for this expected to reﬂect some key aspects of the species-habitat asso- habitat (ozesmi & bauer 2002), in alaotra the ground-truthing ciation (hirzel et al. 2006), which is then used to create spatial data currently do not exist, and their collection would be a predictions of the suitability of the habitat for that species. lengthy and costly process."
