page,p
1,"remote sensing article a new method for long-term river discharge estimation of small- and medium-scale rivers by using multisource remote sensing and rshs: application and validation hezhen lou 1,2 , yujia zhang 1 , shengtian yang 1,2, *, xuelei wang 3 , zihao pan 1 and ya luo 4 1 college of water sciences, beijing normal university, beijing 100875, china; louhezhen@bnu.edu.cn (h.l.); 202021470034@mail.bnu.edu.cn (y.z.); 202031470004@mail.bnu.edu.cn (z.p.)"
1,"2 beijing key laboratory of urban hydrological cycle and sponge city technology, beijing 100875, china 3 ministry of ecology and environment center for satellite application on ecology and environment, beijing 100094, china; wxuelei@bnu.edu.cn 4 school of geographic and environmental science, guizhou normal university, guiyang 550001, china; 100542600@gznu.edu.cn * correspondence: yangshengtian@bnu.edu.cn abstract: river discharge is an important hydrological parameter of river water resources."
1,"especially in small- and medium-scale rivers, data deficiency is the biggest problem for studies of river discharge."
1,"in recent years, remote sensing has become a rapid and convenient method to estimate river discharge."
1,"however, remote sensing images still have some difficulty generating continuous long-term river discharge."
1,"to address this problem, we developed a new method coupling the remote sensing hydrology station method (rshs) with statistical regression downscaling, using data from optical  satellites (landsat-8, sentinel-2), radar satellites (sentinel-1), and un-manned aerial vehicles (uavs)."
1," we applied this method to monitor monthly river discharge for small- and medium-scale rivers from citation: lou, h."
1,"; zhang, y."
1,"; yang, s.; 2016 to 2020 on yunnan-guizhou plateau and evaluated the accuracy of the results."
1,"the results show wang, x."
1,"; pan, z."
1,"; luo, y."
1,"a new that (1) by applying the newly constructed method, the water body continuity index obtained by method for long-term river landsat-8 increased by 7% and the average river length percentage in the channel reached 90.7%, discharge estimation of small- and a 40% increase; (2) there were only 10 river flow data points, on average, in the 5-year period obtained medium-scale rivers by using before this method was applied; after this method was applied, more than 50 river flow data points multisource remote sensing and could be obtained, on average, extending the quantity of data fivefold; in addition, improper extreme rshs: application and validation."
1,remote sens.
1,"2022, 14, 1798. https:// values could also be avoided; (3) with better continuity of water body distribution, the images doi.org/10.3390/rs14081798 provided steadier river widths."
1,the relative error of daily flow estimation from landsat-8 images was reduced by 60% and the mean percentage error was reduced by one-fourth.
1,"the relative error academic editor: sang-eun park of the multisource remote sensing composited flow was reduced by 37% with a reduction in the received: 21 february 2022 mean percentage error of over a half; (4) in addition, we found that when the threshold difference accepted: 6 april 2022 between water bodies and land in remote sensing images is more than 0.2, the impact of water body published: 8 april 2022 recognition error on flow accuracy can be ignored."
1,"this method helps to overcome the absence of publisher’s note: mdpi stays neutral remote sensing methods for the long-term estimation of flow series in small- and medium-scale with regard to jurisdictional claims in rivers, improves the accuracy of remote sensing methods for calculating flow, and provides ideas for published maps and institutional affil- regional water resource management and utilization. iations."
1,keywords: long-term discharge; multisource remote sensing; rshs; downscaling; water continuity copyright: © 2022 by the authors.
1,"licensee mdpi, basel, switzerland."
1,introduction this article is an open access article river discharge is an important index of river water resources.
1,"long-term and continu- distributed under the terms and ous river discharge data are of great significance for watershed water resource management conditions of the creative commons attribution (cc by) license (https:// and utilization, and the economic development of ecosystem services [1,2]."
1,"at present, creativecommons.org/licenses/by/ there are three principal ways of monitoring long-term river discharge: hydrologic station 4.0/). measurement, hydrologic models, and estimation using remote sensing data."
1,traditional remote sens.
1,"2022, 14, 1798. https://doi.org/10.3390/rs14081798 https://www.mdpi.com/journal/remotesensing"
2,"remote sens. 2022, 14, 1798 2 of 19 hydrologic station field measurements rely on artificial stations on the ground."
2,"limited by natural and economic conditions, the station network is sparse and uneven, and it is difficult to obtain discharge data in many areas [3,4]."
2,"in addition, station data are often not shared and publicized, so the measured long sequence flow is difficult to utilize [5]."
2,"hydrological models, including empirical models, physical conceptual models, and dis- tributed and semi-distributed models, can be used for the long-term simulation of river flow in study areas [6,7]."
2,"meanwhile, a large amount of hydrological data, such as pre- cipitation, evaporation and runoff, must be used as input, adjustment and verification data [8]."
2,"for complex models, such as physics-based distributed hydrological models, the uncertainty of input data will have a great impact on the accuracy of model results and the length of time series [9,10]."
2,"therefore, in many regions it is often difficult to carry out long-term accurate flow calculations by using hydrological models."
2,the development of remote sensing technology provides a new way to monitor river flow [10].
2,"remote sensing satellites are able to continuously observe channel flow under all weather conditions and provide long-term continuous satellite images, which provide sufficient data sources for channel flow estimation."
2,"immerzeel and droogers [9] used precipitation and evaporation data from satellites as input and correction parameters in hydrological models, which traditionally rely on limited in situ data."
2,this improved spatial heterogeneity with equal effect for different parameters of the traditional hydrological model.
