page,p
1,"eye in the sky eye in the sky earth observation from space in support of the renewable energy sector one of the major challenges faced by the re industry today is to focus on the solar, wind and hydropower industry."
1,a portfolio of eo-based services manage the uncertainties related to the fluctuations and inter- has been developed and is currently being mittency of the energy source.
1,"meeting this challenge requires tested on re power plant sites (existing or accurate and timely information on the present and future avail- planned) by leading industry players, ability of the re energy resources as well as ancillary data on including edisun power, enercity stadtwerke hannover ag, s.a.g. environmental parameters and weather conditions affecting the solarstrom ag, tecsol s.a, enel, statkraft, energy yield."
1,"pierre-philippe mathieu, european space agency hydro québec, vestas, airtricity, elsam describes how remote sensing via satellites can help."
1,"engineering, 3e, tractebel, total fina, sway and weom."
1,some of the eo-based services t he traditional approach to gather sector remains severely limited.
1,further for re are described below.
1,more informa- these data is through in-situ measure- steps are therefore required to convince re tion on eomd projects and the full spec- ments which is very costly and managers of the quality and utility of eo trum of eo services (including other servic- resource intensive.
1,"one important limita- and to overcome the various barriers - tech- es related to re applications such as moni- tion of this approach is that it relies on local nical, communication, financial and institu- toring of wave, biomass and stability of data (point or survey), which can under- tional - preventing the effective transfer of dams) is available from the eomd web site. sample spatially varying fields and lead to eo-based information services into opera- serious error in estimating the energy tions (e.g. lack of awareness about satellite estimating offshore wind resources. potential, wrong perception of cost, benefits resources by contrast, remote sensing from satel- not demonstrated)."
1,"quantifying the amount of energy that can lites, referred to as earth observation (eo), be expected from a prospective offshore offers an attractive approach to deliver glob- integrating eo wind farm site is of vital importance to opti- al and frequent measurements of a variety of in order to foster the operational use of eo mize its siting, design and financial yield. geophysical and weather parameters needed within business practises, the european the traditional approach to obtain this by re managers to optimise power produc- space agency (esa) set-up the ""earth information is to measure coastal wind with tion (e.g. wind speed, snow water equiva- observation market development"" an offshore meteorological mast for at least lent, ground irradiance, reservoir height, (eomd) programme in 2000 (see one year."
1,"this approach is however very cloud cover, topography, terrain roughness, www.esa.int/eomd)."
1,"the eomd pro- expensive (it costs about euro 1m for a mast land cover, met-ocean conditions)."
1,"by gramme supports demonstration projects, of 100 m height) and lacks objectivity for a exploiting the unique vantage point of whereby small value adding companies spatially varying wind field."
1,"in contrast, space, eo satellites are able to provide syn- (vac) specialised in eo team-up with large satellite measurements of ocean wind optic measurements capturing the spatial downstream companies requiring geo-infor- (figure 1) provide an alternative and cost- variability of the observed field and also to mation in order to develop eo-based infor- effective approach to build a synoptic pic- monitor remote regions being physically or mation services tailored to user's needs and ture of wind climatology, which helps re politically inaccessible to traditional survey. assess their value on real test cases."
1,"critical managers to have a quick and easy check of these unique characteristics of eo data to the success of the project is the data-to- the potential energy yield (ranchin et al., make them particularly useful to comple- information conversion process performed ment and even enhance traditional local in- by vacs . situ measurements, which are still needed about 30 eomd projects, involving further information for validation of eo products and compen- more than 60 vacs and 130 end-users, have contact: pierre-philippe mathieu, sate for their technical limitations (e.g. lim- been performed to support decision-making european space agency, ited spatial resolution and sampling capabil- in various industry sectors and demonstrate esa/esrin, via galileo galilei, ity, inability of optical sensors to see through the performances, accuracy, and economic 00044 frascati, italy."
1,e-mail: clouds). benefits of the eo technology.
1,"among eomd@esa.int ; web: despite the enormous potential of satel- them, three demonstration projects address www.esa.int/eomd lite measurements, their use within the re the needs of the re sector with a particular 52 refocus july/august 2005 1471 0846/05 © 2005 elsevier ltd."
1,all rights reserved.
2,eye in the sky 2005).
2,"an eo-based information service for eye in the sky taking the pulse of the planet. coastal wind mapping has been developed earth observation (eo) is a technique by and integrated within the widely used which information about the earth's envi- ""wind atlas analysis and application ronment is remotely sensed from orbiting program"" (wasp) software."
2,the service is satellites.
2,"the technique relies upon meas- currently being tested at several offshore urement of electromagnetic radiation, which is either (i) emitted by or reflected from nat- wind farms (e.g."
2,"horns rev, arklow bank, ural sources such as the earth (passive egmond, hellisoy)."
2,"according to jan van remote sensing) or (ii) backscattered from an der tempel, wind farm designer at the delft emission source (active remote sensing)."
2,"the university of technology: ""the satellite- envisat satellite of the european space based wind and wave data is the ideal basis agency (illustrated above) is the world biggest earth-watching satellite (weighing monitoring the state of the planet by provid- for offshore wind farm design."
2,"the easy-to- 10t) equipped with 10 sensors (including ing timely information on the forest, ocean, use interface, world-wide coverage and high earthquakes, atmospheric composition, and 8 passive optical and infrared instruments level of detail enable quick site comparison and 2 active radar instruments) constantly weather and climate conditions. and fast preliminary design."""
2,"onshore wind farms the long-term time series and statistics of when building and operating systems, espe- the topography and terrain roughness of a direct/diffused solar illumination necessary cially with regard to the future markets like prospective wind farm site can be measured to quantify solar resources (wald et al., spain, where we need solid information for accurately from space."
2,such information is 2004).
2,an eo-based information service for investment decisions.
