page,p
1,"applied sciences article the use of innovative techniques for management of high-risk coastal areas, mitigation of earthquake-triggered landslide risk and responsible coastal development spyridon mavroulis 1, * , emmanuel vassilakis 2 , michalis diakakis 1 , aliki konsolaki 2 , george kaviris 3 , evangelia kotsi 1 , vasilis kapetanidis 3 , vassilis sakkas 3 , john d."
1,"alexopoulos 3 , efthymis lekkas 1 and nicholas voulgaris 3 1 department of dynamic tectonic applied geology, faculty of geology and geoenvironment, school of sciences, national and kapodistrian university of athens, panepistimiopolis zografou, 15784 athens, greece; diakakism@geol.uoa.gr (m.d.); ekotsi@geol.uoa.gr (e.k.); elekkas@geol.uoa.gr (e.l.)"
1,"2 department of geography and climatology, faculty of geology and geoenvironment, school of sciences, national and kapodistrian university of athens, panepistimiopolis zografou, 15784 athens, greece; evasilak@geol.uoa.gr (e.v.); alikikons@geol.uoa.gr (a.k.)"
1,"3 department of geophysics and geothermy, faculty of geology and geoenvironment, school of sciences, national and kapodistrian university of athens, panepistimiopolis zografou, 15784 athens, greece; gkaviris@geol.uoa.gr (g.k.); vkapetan@geol.uoa.gr (v.k.); vsakkas@geol.uoa.gr (v.s.); jalexopoulos@geol.uoa.gr (j.d.a.); voulgaris@geol.uoa.gr (n.v.)"
1,"* correspondence: smavroulis@geol.uoa.gr abstract: coastal areas constitute a very dynamic environment, balancing between numerous natural  and anthropogenic processes liable to sometimes hazardous geomorphic phenomena."
1,"especially in  tectonically active coastal regions and areas of high economic value, slope failures can have significant citation: mavroulis, s."
1,"; vassilakis, e.; impacts and therefore need careful and detailed examination."
1,"this work uses unmanned aerial diakakis, m."
1,"; konsolaki, a."
1,"; kaviris, system (uas)-aided photogrammetry and terrestrial laser scanning (tls) in tectonically active g."
1,"; kotsi, e."
1,"; kapetanidis, v."
1,"; sakkas, v."
1,"; alexopoulos, j.d."
1,"; lekkas, e.; et al. segments of the coastal zone of the ionian islands in greece, to explore how their capabilities can the use of innovative techniques for help to improve our understanding of the structural integrity of the slopes."
1,"results show that the two management of high-risk coastal areas, approaches are able to extract large numbers of discontinuity facets, in a more practical, rapid and mitigation of earthquake-triggered safe way than conventional methods of rock slope stability analysis extending to unreachable yet landslide risk and responsible coastal important parts of the slope."
1,through this holistic record of the structural condition of the slope the development.
1,"2022, 12, 2193. two applications allow the identification of segments that are more prone to instability and failure."
1,"in https://doi.org/10.3390/app12042193 this way, they improve our understanding of the prioritization of interventions aiming to enhance academic editor: hyung-sup jung the prevention of slope failures, mitigating the associated risk and improving local development in these high-value locations."
1,received: 18 january 2022 accepted: 18 february 2022 keywords: coastal areas; landslides; lidar; uas; remote sensing; coastal development; tls; ionian published: 20 february 2022 publisher’s note: mdpi stays neutral with regard to jurisdictional claims in published maps and institutional affil- 1.
1,introduction iations.
1,globally coastal areas balance in a highly dynamic regime formed by a variety of com- plex natural processes [1] and human intervention [2].
1,"the evolution of these constantly changing environments is affected by numerous natural geomorphic mechanisms such as copyright: © 2022 by the authors. erosion, mass wasting, deposition, wave action, as well as tectonic and volcanic activity [3]."
1,"licensee mdpi, basel, switzerland."
1,"despite these processes and the risks associated with them, coastal areas contain a large this article is an open access article part of the world’s population [4] and an important portion of socio-economic activities [5], distributed under the terms and including trade, tourism, transportation and others."
1,this activity heavily influences [6] conditions of the creative commons some segments of the coastline.
1,"coastal zones are home to many interests including eco- attribution (cc by) license (https:// nomic (ports, fishing, navigation), recreation, water quality and nature conservation."
1,assets creativecommons.org/licenses/by/ developed in coastal areas can be very valuable [7] and the disruption of some of the 4.0/). activities can be very costly [8].
1,there are examples where the interests and exploitation appl.
1,"2022, 12, 2193. https://doi.org/10.3390/app12042193 https://www.mdpi.com/journal/applsci"
2,"sci. 2022, 12, 2193 2 of 24 schemes of these areas are conflicting with each other or lead to expansion into areas of high risk [9–11]."
2,"thus, coastal zones are often characterized by both high exposure of valuable assets [8], as well as high hazard levels as a result of the various dynamic processes that take place."
2,"particularly, in seismically active areas, high inclination, deformation of geological formations and strong earthquakes lead to instability phenomena [12–14] that are often associated with significant damage to property and infrastructure [15,16] and loss of human lives [17,18]."
2,"on many occasions, these failures can become a very significant threat in coastal areas."
2,the complexity of the processes together with the high risk caused by such mass-movement events create a demand for in-depth knowledge and understanding of the mechanisms (both natural and anthropogenic) that drive them [19].
2,"for example, it is crucial to understand the role of discontinuities in geological formations that affect their integrity and stability, acting as catalysts in various geomorphic processes, including landslides."
2,monitoring this and other structural properties of rock formations is important to predict slope behavior in coastal areas.
2,coastal slope failures are a significant source of hazard and a constraint for human activities in rocky coastal areas [20].
2,the most prevalent process responsible for the high risk of coastal cliffs is slope mass movements [21].
2,"the extent and economic impact of this problem tend to increase over time, due to the general increasing trend in the use of coastal areas, especially steep and rocky coastlines, which correspond to one-third of the coasts worldwide [22,23]."
2,"the value of land in these locations is constantly increasing due to the high demand for exploitation, especially beaches of special beauty, which are often formed at the base of cliffs and are a tourism product of high value."
2,"there are also issues related to the presence of urban areas and archaeological and historical heritage sites close to the top of the cliffs [24,25]."
2,"in this context, coastal evolution and its processes have been examined through a variety of techniques, some of which belong to the field of remote sensing [26]."
2,"new tech- niques, such as photogrammetry and laser scanning, have shown interesting capabilities in studying changing terrain and particularly geomorphic processes, including slope stability and structural integrity [27,28]."
2,"for example, unmanned aerial systems (uass) and uas-aided photogrammetry have been used before in applications in coastal areas including surveying topographical changes [29], cliff erosion [30], coastline changes [31], and coastal floods [32–34]."
2,"in the field of mass movement, previous studies [35,36] have demonstrated that uas, with the proper processing of data, can provide fairly accurate results [37,38]."
2,"similarly, terrestrial laser scanning (tls) has demonstrated its capabilities in slope stabil- ity [39] including applications in coastal zones [40,41]."
2,"tls has been used in numerous works to study landslides [42–44], cliff erosion [45–47] and rock formation discontinuities [48–50]."
2,"despite the demonstrated capabilities of these technologies and their high-resolution imaging aptitude, there are very limited applications in highly visited areas or areas of high value that combine active tectonics and frequent instability phenomena."
2,"in addition, there are few applications that exploit outcomes of these techniques regarding slope stability to improve risk mitigation and enhance development."
2,"given that, in many cases, decisions on the exploitation of coastal zones are made with a poor understanding of the evolutionary processes and functioning of the coastal environments, in the case of high-value and highly active areas, it is considered crucial to gain an improved understanding of dangerous instability phenomena."
2,"any sustainable and responsible effort of development on these types of zones requires a deep understanding of the complexity of geomorphic processes and the roles of influencing and instability- triggering factors [51–53], including tectonic and earthquake dynamics, mass wasting, erosion, deposition, land-use changes, human intervention, and others."
2,"in this context, the aim of this work is to exploit innovative techniques such as uas- aided photogrammetry and tls to improve our understanding of the processes taking place, segments of the coastal zone of the ionian islands in greece and, in particular, the"
3,"sci. 2022, 12, 2193 3 of 24 island of lefkada."
3,"the two study sites are situated in an earthquake-prone area, with frequent strong earthquakes leading to various mass-movement and slope failure phe- nomena, enhanced by active tectonics, but also subject to high-intensity storms (including medicanes) that have also contributed to the high landslide risk."
3,"the present study aims to apply the two techniques at the egremnoi and porto katsiki beaches, two highly visited tourist attractions both characterized by noteworthy economic and ecological value."
3,"the study aims to determine the zones of higher risk through the two applications and discuss the outcomes in relation to local development, considering that lefkada is a typical example of a mediterranean busy coastal zone, home to hundreds of thousands of visitors each year."
3,the study is organized as follows.
3,"first, we present the broader area and the study site, in terms of its geodynamic characteristics, then we describe the methodology for the uas and the tls applications, followed by the results."
3,then we discuss the practical implications of the findings and describe the most important conclusions in the last section.
3,study area 2.1.
3,"geological and seismotectonic setting lefkada island is located in the southern ionian islands (western greece), in the front of the hellenides orogenic belt, in a region dominated by the presence of the cephalonia transform fault zone (ctfz) [54,55]; (figure 1)."
3,"the latter is a 140-km long right-lateral fault zone, as evidenced by a large number of focal mechanisms [56–59]."
3,the study area lies in the transition zone between the subduction of tethys beneath the aegean microplate to the south and the continental collision to the north (figure 1).
