page,p
1,"remote sensing article sar and lidar temporal data fusion approaches to boreal wetland ecosystem monitoring joshua montgomery 1,2, *, brian brisco 3 , laura chasmer 2 , kevin devito 4 , danielle cobbaert 1 and chris hopkinson 2 1 alberta environment and parks, government of alberta, 9920 108 street, edmonton, ab t5k 2m4, canada; danielle.cobbaert@gov.ab.ca 2 department of geography, university of lethbridge, 4401 university dr."
1,"w, lethbridge, ab t1k6t5, canada; laura.chasmer@uleth.ca (l.c.); c.hopkinson@uleth.ca (c.h.)"
1,"3 natural resources canada, government of canada, 560 rochester st., ottawa, on k1a 0e4, canada; brian.brisco@canada.ca 4 department of biological sciences, university of alberta, edmonton, ab t6g 2e9, canada; kdevito@ualberta.ca * correspondence: joshua.montgomery@gov.ab.ca; tel.: +1-403-382-7820  received: 25 october 2018; accepted: 4 january 2019; published: 16 january 2019  abstract: the objective of this study was to develop a decision-based methodology, focused on data fusion for wetland classification based on surface water hydroperiod and associated riparian (transitional area between aquatic and upland zones) vegetation community attributes."
1,"multi-temporal, multi-mode data were examined from airborne lidar (teledyne optech, inc., toronto, on, canada, titan), synthetic aperture radar (radarsat-2, single and quad polarization), and optical (spot) sensors with near-coincident acquisition dates."
1,results were compared with 31 field measurement points for six wetlands at riparian transition zones and surface water extents in the utikuma regional study area (ursa).
1,the methodology was repeated in the peace-athabasca delta (pad) to determine the transferability of the methods to other boreal environments.
1,"water mask frequency analysis showed accuracies of 93% to 97%, and kappa values of 0.8–0.9 when compared to optical data."
1,"concordance results comparing the semi-permanent/permanent hydroperiod between 2015 and 2016 were found to be 98% similar, suggesting little change in wetland surface water extent between these two years."
1,"the results illustrate that the decision-based methodology and data fusion could be applied to a wide range of boreal wetland types and, so far, is not geographically limited."
1,"this provides a platform for land use permitting, reclamation monitoring, and wetland regulation in a region of rapid development and uncertainty due to climate change."
1,the methodology offers an innovative time series-based boreal wetland classification approach using data fusion of multiple remote sensing data sources.
1,keywords: sar; lidar; boreal wetlands; data fusion; decision-based methodology; time series 1.
1,introduction 1.1.
1,boreal wetlands and remote sensing wetlands in canadian boreal regions come in many sizes and forms.
1,"these wetlands typically develop where the water table is at or near the surface, allowing water to settle, promoting development of soil conditions for hydrophytic vegetation [1]."
1,"the majority of canada’s 150 million hectares of wetlands are found in the boreal region, where rates of forest disturbance in 2008 were found to be approximately 78%, among the highest in the world [2]."
1,"natural resources development, agricultural land cover change, and drying from warmer climate conditions are all contributing to disturbances in remote sens. 2019, 11, 161; doi:10.3390/rs11020161 www.mdpi.com/journal/remotesensing"
2,"remote sens. 2019, 11, 161 2 of 24 the boreal zone."
2,"with increasing disturbance and changes to local hydrology, accurate, high resolution spatiotemporal classification of these boreal wetlands is required for understanding rates of boreal wetland change, many of which have yet to be accurately identified or mapped."
2,"moreover, drying trends in many northern regions of canada and the united states have been observed in recent decades, where changes in ground and surface water hydrology have been observed."
2,"in addition, natural cycles, vegetation type, and flooding lack comprehensive understanding through ineffective monitoring and/or documentation."
2,"lowering of the water table results in increasing shrub succession into wetlands in some years, and altering of the carbon balance [3–6]."
2,"wetland succession has been observed within localized plots and sampling areas, however, it is logistically difficult to measure these processes across broad regions."
2,"due to these changes, there is a need to develop remote sensing classification procedures that provide a high-resolution baseline of contemporary wetland characteristics and the potential for automated mapping of temporal changes."
2,"remote sensing offers the potential to continuously map wetland and water extents [7,8] inundated vegetation, and associated water permanencies at regional scales."
2,"for boreal wetland studies, early remote sensing applications commonly utilized passive multispectral optical imagery as a foundational data source from which identify and map wetland features and extents."
2,"the capture of optical information across multiple wavelengths provides the spectral separation of distinguishing features common in wetland ecosystems, such as water and different vegetation conditions and species [9,10]."
2,"however, the passive nature of such systems (i.e., detection of (typically solar) radiation reflected from the target) make them ineffective during cloudy conditions and/or under low-light conditions [11]."
2,"more recently, active sensors such as light detection and ranging (lidar) and synthetic aperture radar (sar) have been recognized as valuable tools for wetland mapping by remote sensing."
2,lidar is commonly employed for high resolution three-dimensional mapping of terrain and terrestrial ecosystems.
2,"lidar has been commonly utilized for the identification of terrain depressions, to identify probabilistic wetland locations (given gravitational gradients remain unaffected by external mechanisms)."
2,"moreover, lidar data have recently been applied in wetland classification techniques with reasonable success [7]."
