page,p
1,"forests 2014, 5, 1481-1507; doi:10.3390/f5061481 open access forests issn 1999-4907 www.mdpi.com/journal/forests article small drones for community-based forest monitoring: an assessment of their feasibility and potential in tropical areas jaime paneque-gálvez 1,2,*, michael k."
1,"mccall 1, brian m."
1,"napoletano 1, serge a."
1,"wich 3,4 and lian pin koh 5 1 centro de investigaciones en geografía ambiental (ciga), universidad nacional autónoma de méxico (unam), antigua carretera a pátzcuaro no 8701, col."
1,"ex-hacienda de san josé de la huerta, morelia 58190, michoacan, mexico; e-mails: mccall@ciga.unam.mx (m.k.m.); b.napoletano@gmail.com (b.m.n.)"
1,"2 institut de ciència i tecnologia ambientals (icta), universitat autònoma de barcelona (uab), bellaterra 08193, barcelona, spain 3 school of natural sciences & psychology, liverpool john moores university, james parsons building, byrom street, liverpool l3 3af, uk; e-mail: s.a.wich@ljmu.ac.uk 4 institute for biodiversity and ecosystem dynamics, university of amsterdam, science park 904, amsterdam 1098 xh, the netherlands 5 environment institute and school of earth and environmental sciences, university of adelaide, adelaide, sa 5005, australia; e-mail: lianpinkoh@gmail.com * author to whom correspondence should be addressed; e-mail: jpanequegalvez@gmail.com; tel.: +52-443-222-777; fax: +52-443-322-38-80."
1,"received: 11 february 2014; in revised form: 6 june 2014 / accepted: 16 june 2014 / published: 24 june 2014 abstract: data gathered through community-based forest monitoring (cbfm) programs may be as accurate as those gathered by professional scientists, but acquired at a much lower cost and capable of providing more detailed data about the occurrence, extent and drivers of forest loss, degradation and regrowth at the community scale."
1,"in addition, cbfm enables greater survey repeatability."
1,"therefore, cbfm should be a fundamental component of national forest monitoring systems and programs to measure, report and verify (mrv) redd+ activities."
1,"to contribute to the development of more effective approaches to cbfm, in this paper we assess: (1) the feasibility of using small, low-cost drones (i.e., remotely piloted aerial vehicles) in cbfm programs; (2) their potential advantages and disadvantages for communities, partner organizations and forest data end-users; and (3) to what extent their utilization, coupled with ground surveys and local ecological knowledge,"
2,"forests 2014, 5 1482 would improve tropical forest monitoring."
2,"to do so, we reviewed the existing literature regarding environmental applications of drones, including forest monitoring, and drew on our own firsthand experience flying small drones to map and monitor tropical forests and training people to operate them."
2,we believe that the utilization of small drones can enhance cbfm and that this approach is feasible in many locations throughout the tropics if some degree of external assistance and funding is provided to communities.
2,"we suggest that the use of small drones can help tropical communities to better manage and conserve their forests whilst benefiting partner organizations, governments and forest data end-users, particularly those engaged in forestry, biodiversity conservation and climate change mitigation projects such as redd+."
2,keywords: unmanned aircraft systems; unmanned aerial vehicle; remote sensing; tropical forests; community-based forest management; redd+; mrv; national forest monitoring and safeguard information systems; deforestation and degradation; conservation 1.
2,introduction tropical forests play a critical role in the global carbon cycle [1] and harbor around two-thirds of all known species [2].
2,"large tracts of tropical forests have long been inhabited by humans, thus leading to a significant overlap between linguistic, cultural and biological diversities [3]."
2,"presently, tropical forests are also home to a significant proportion of the world’s poor [4], and therefore synergies between poverty alleviation and forest conservation strategies are essential for successful conservation [5]."
2,"in tropical regions, it is claimed that community-based forest management has the potential to both alleviate poverty [6] and be more effective for forest conservation than protected areas [7,8]."
2,"though such claims are not clearly supported by quantitative evidence [9], community-based forestry continues to be central to many development and conservation projects worldwide."
