page,p
1,geophysical research letters research letter beneﬁts of seasonal climate prediction and satellite data 10.1029/2018gl079291 for forecasting u.s.
1,"maize yield key points: bin peng1,2 , kaiyu guan1,2, ming pan3 , and yan li1 • incorporating remote sensing observations signiﬁcantly improves 1 department of natural resources and environmental sciences, university of illinois at urbana-champaign, urbana, il, usa, maize yield forecasting skill 2 • bias-corrected seasonal climate national center for supercomputing applications, university of illinois at urbana-champaign, urbana, il, usa, 3 prediction performs better than the department of civil and environmental engineering, princeton university, princeton, nj, usa historical climate ensemble in maize yield forecasting • the “climate + remote sensing” abstract seasonal agricultural production forecasting is essential for agricultural supply chain and approach achieves high economic prediction."
1,"however, to what extent seasonal climate prediction and remote sensing within-season yield forecasting performance observations can improve crop yield forecasting at regional scale remains unknown."
1,"using a statistical seasonal forecasting framework for u.s. county-level maize yield, we demonstrated that (1) incorporating supporting information: satellite-based enhanced vegetation index (evi) signiﬁcantly improved the yield forecasting performance, • supporting information s1 compared with other climate-only models using monthly air temperature (t), precipitation (p), and vapor pressure deﬁcit (vpd)."
1,(2) the bias-corrected climate prediction from the coupled forecast system model correspondence to: version 2 (cfsv2) showed better yield forecasting performance than the historical climate ensemble.
1,peng and k.
1,"guan, binpeng@illinois.edu; (3) using the “t + p + vpd + evi” model with climate prediction from bias-corrected climate prediction from kaiyug@illinois.edu cfsv2 outperformed the yield forecast in the world agricultural supply and demand estimates reports released by the united states department of agriculture, with root-mean-square error of 4.37 bushels per citation: acre (2.79% of multiyear averaged yield) by early august."
1,"peng, b., guan, k., pan, m., & li, y."
1,(2018).
1,"beneﬁts of seasonal climate prediction plain language summary given the signiﬁcant advances in both seasonal climate prediction and and satellite data for forecasting u.s. satellite remote sensing, these data have not been fully used in crop yield forecasting at regional scale, and maize yield."
1,geophysical research their beneﬁts are to be quantiﬁed compared to survey-based approaches.
1,"here we evaluated the beneﬁts letters, 45, 9662–9671. https://doi.org/ 10.1029/2018gl079291 of using seasonal climate prediction and satellite remote sensing data in forecasting u.s. maize yield at both national and county levels."
1,"to achieve this goal, we built a seasonal forecasting system for u.s. maize yield by received 22 jun 2018 bridging the most advanced seasonal climate prediction products from national centers for environmental accepted 24 aug 2018 prediction (ncep) with a statistical crop modeling framework."
1,we found we could not achieve a better accepted article online 4 sep 2018 published online 27 sep 2018 forecasting performance than the ofﬁcial survey-based forecast from united states department of agriculture until we used both climate and remote sensing observations in our model.
1,"compared with using historical climate information for the unknown future in each growing season, using climate prediction from ncep gave better forecasting performance once we corrected the bias in the seasonal climate prediction products."
1,"using our climate-remote sensing combined model and bias-corrected climate prediction from ncep, we achieved a better forecasting performance than the united states department of agriculture forecast."
1,our system will be useful for the stakeholders in the agriculture industry and commodity market.
1,"introduction more frequent extreme events and ongoing climate change put food production at a higher risk (lesk et al., 2016; lobell et al., 2013; rosenzweig et al., 2014; schlenker & roberts, 2009)."
1,"seasonal forecast of agricultural production thus becomes increasingly more important for early warning of food security, supply chain planning of agriculture industry, and market prediction (everingham et al., 2002; hansen & indeje, 2004; isengildina-massa et al., 2008)."
1,"though many countries and regions around the world have their own opera- tional crop yield forecasting systems with varied modeling and data conﬁgurations (see table s1 in the sup- porting information for a brief review), rigorous evaluation and benchmarking is lacking on the performance of crop yield forecasting methods."
1,"there are four types of crop yield forecasting systems: survey based, climate based, remote sensing based, and climate-remote sensing combined (table s1)."
1,though the traditional survey-based yield forecast is not ©2018.
1,"american geophysical union. labor and ﬁnancially efﬁcient, it has a relatively higher accuracy, thus offering a benchmark for other forecast- all rights reserved. ing methods."
1,climate information is involved within crop yield forecasting systems through either sampling peng et al.
2,"19448007, 2018, 18, downloaded from https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2018gl079291 by university of california, wiley online library on [04/10/2024]."
2,"see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license geophysical research letters 10.1029/2018gl079291 from historical climate observations (hochman et al., 2009; newlands et al., 2014; soler et al., 2007) or using the seasonal climate prediction (scp) produced by dynamic weather models with months of lead time."
2,"efforts to integrate scp with agricultural production prediction date back from 1990s (cane et al., 1994; hansen et al., 2006)."
2,"however, most previous studies focus on using historic weather classiﬁcation or analog methods that are based on the categorical el niño–southern oscillation or other empirical climate indices to prepare daily weather forcing and drive crop models to predict yield at a local scale (cane et al., 1994; hammer et al., 2001; hansen et al., 2006; hansen & indeje, 2004; nelson et al., 2002)."
2,"although the modeling system for scp has been continuously improved over the last two decades (doblas-reyes francisco et al., 2013; saha et al., 2006, 2014), the prediction skill always degrades beyond a short lead time (2 weeks to 1 month) and direct use of scp products in agricultural domain still gains less attention, especially in regional crop yield forecasting systems (cantelaube & terres, 2005; capa-morocho et al., 2016; challinor et al., 2005; iizumi et al., 2013; sivakumar et al., 2000)."
2,it is thus unknown to what extent scp can improve yield forecast at regional scales.
2,"intuitively, compared with crop yield forecasting models that only use climate variables, the inclusion of satel- lite observations should improve crop yield prediction, as such data provide real-time monitoring of crop growth status."
2,"though many studies have used remote sensing data for crop yield estimation (bolton & friedl, 2013; chaparro et al., 2018; guan et al., 2016, 2017; jin et al., 2017; johnson, 2014; lobell et al., 2015; lópez-lozano et al., 2015; sakamoto et al., 2013, 2014), the exact added value of satellite remote sensing for within-season forecasting of crop yield needs to be demonstrated and quantiﬁed."
2,"in this study, we built a seasonal forecasting system for u.s. maize yield by bridging the national centers for environmental prediction (ncep) coupled forecast system model version 2 (cfsv2) hindcast/forecast pro- ducts with a statistical crop modeling framework."
2,"speciﬁcally, we aimed to address the following research questions: (1) does cfsv2 provide useful information for the maize yield forecasting when benchmarked with historical climate ensembles?"
2,(2) will the maize yield forecasting performance be improved by adding remo- tely sensed variables as predictors in the model?
2,(3) how is the performance of the statistical maize yield sea- sonal forecasting system compared with yield forecast in the world agricultural supply and demand estimates (wasde) report of united states department of agriculture (usda)?
2,"it is worth noting that wasde forecast is primarily survey based (schnepf, 2017) and has been widely used for both policy-makers, industry, and ﬁnancial markets."
2,"we focused on u.s. maize yield forecasting, as the united states produces about 40% of the global maize production and is the world’s biggest maize exporter, and more than 80% of maize production in the united states are rainfed and thus is prone to climate variability (anderson et al., 2017; handler, 1984; iizumi et al., 2013; legler et al., 1999; lobell et al., 2014; phillips et al., 1999; schlenker & roberts, 2009)."
2,data set 2.1.
2,data set from usda we obtained the county-level harvested maize yield and area data during 1981 to 2016 from the usda national agricultural statistics service (nass) quick stats database.
2,"we selected all the “corn, grain” data items for all the states, including both irrigated and rainfed items."
2,the national maize yield forecast in the monthly usda wasde reports (see more details in text s1) was used as a benchmark for our yield hindcast.
2,the nass cropland data layer (cdl) was used to mask out the corn ﬁelds.
2,the cdl data have a 30-m spatial resolution during 2000 to 2016.
2,"however, we note that temporal coverage of cdl data differs for different states (table s2)."
2,"ncep cfsv2 seasonal climate hindcast/forecast data we used the 1° × 1°, monthly ncep cfsv2 hindcast from january 1982 to march 2011 and forecast from april 2011 to december 2016, archived by the north american multi-model ensemble project (saha et al., 2014)."
2,both monthly mean air temperature (t) and precipitation (p) were used.
2,the cfsv2 uses different initializa- tions for ensemble forecasting up to 9 months.
2,"the monthly cfsv2 hindcast/forecast data has an ensemble size of 24 forecasts for each month, except 28 forecasts in november (table s3)."
2,"in this study, we used a lead time of 0.5 month for the ﬁrst month in each 9-month cfsv2 product."
2,peng et al.
3,"19448007, 2018, 18, downloaded from https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2018gl079291 by university of california, wiley online library on [04/10/2024]."
3,see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license geophysical research letters 10.1029/2018gl079291 2.3.
3,"historical climate data historical climate data were obtained from the parameter-elevation relationships on independent slopes model (prism; daly et al., 2008), which have a 4-km spatial resolution."
3,"we selected monthly mean vapor pres- sure deﬁcit (vpd), temperature, and precipitation as climate variables in yield prediction model."
3,the original 4-km data from 1981 to 2016 is aggregated to the county level.
3,"remote sensing data we used the 16-day enhanced vegetation index (evi, mod13q1) from the moderate resolution imaging spectroradiometer (modis, collection 6) with a spatial resolution of 250 m."
3,the cdl were used to mask the corn pixels and the original 16-day and 250-m evi from 2001 to 2016 over identiﬁed corn pixels were aggregated to monthly and county levels.
3,methods 3.1.
3,"bias correction and forecasting skill assessment of cfsv2 data the raw cfsv2 data (cfsv2_raw) was bias corrected and spatially downscaled to 4 km (cfsv2_bc) using percentile mapping method (wood et al., 2002; text s2), and then aggregated to county level."
3,"we assessed the performance of both cfsv2_raw and cfsv2_bc forecasts at monthly and county scales over the contiguous united states with a focus on the midwest, benchmarked with prism observations during 1982 to 2016."
3,"two deterministic metrics, that is, correlation coefﬁcient and root-mean-square error (rmse), were used to quantify the forecasting skill of cfsv2."
3,statistical yield prediction model we built a statistical modeling framework for u.s. maize yield prediction.
3,a global linear trend model was used to quantify the steady increase of yield from technology innovations.
3,two types of statistical models were used for yield anomaly prediction: the “climate-only” model and “climate + remote sensing” model.
3,"for “climate-only” model, we used the monthly mean temperature of june, july, and august, precipitation during june to september, and vpd from june up to the yield forecasting time as predictors."
3,"in the “climate + remote sensing” model, we included monthly evi data as an extra predictor besides those used in the “climate-only” model."
3,we updated the model monthly from june to september to include the latest available vpd/evi observations (table s4).
3,"a county-speciﬁc ﬁxed effect was included in all models to account for the local and time-invariant effects from different soils, management practices, seed varieties, etc."
3,"we used spline ﬁtting with speciﬁed knots for temperature, precipitation, and vpd, and second-order polynomial ﬁtting for evi."
3,more details about the yield prediction model can be found in text s3.
3,"model training and yield forecasting performance assessment we trained the models separately for rainfed and irrigated maize yield over the 12 midwest states, which account for 85% of total harvest corn area and 87% of total corn production in the united states during 1982 to 2016 (figure s1)."
3,"we used the forwarding out-of-sample method (i.e., using all the prior years data to train the model and then applying the model to predict yield of the next year), which is closer to opera- tional settings to assess the yield forecasting performance."
3,"as cdl data start to have full coverage of the midwest since 2007 (table s2), we showed the forwarding prediction results during 2010 to 2016 to ensure sufﬁcient training data."
3,"we also tested the leave-one-year-out method (i.e., using all years data during 1982 to 2016 except the target year to train the model and then make prediction for the target year) and found that the results were similar to the forwarding method."
3,"to demonstrate the added value of climate prediction from scp, we conducted forecasting experiments with the same model using the forecasted monthly mean temperature and precipitation from different scp data sets (cfsv2_raw and cfsv2_bc) and then compared the prediction results with that using monthly mean temperature and precipitation from the historical climate ensembles (hist_climate)."
3,the hist_climate ensem- bles were created by treating the observed climate in each year during 1981 to 2016 as an independent ensemble member.
3,"the same hist_climate ensembles were used for each year, assuming no prior knowledge about the climate pattern in the growing season."
3,"in this way, the hist_climate ensembles offered a benchmark for the scp-driven approach."
3,"to demonstrate the added value of remote sensing observations, we compared the yield forecasting performances of both “climate-only” and “climate + remote sensing” peng et al."
4,"19448007, 2018, 18, downloaded from https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2018gl079291 by university of california, wiley online library on [04/10/2024]."
4,see the terms and conditions (https://onlinelibrary.wiley.com/terms-and-conditions) on wiley online library for rules of use; oa articles are governed by the applicable creative commons license geophysical research letters 10.1029/2018gl079291 models driven by the same forcing data set.
4,"in all the forecasting experiments, the observed monthly mean temperature and precipitation prior the yield forecasting month were combined with climate prediction from either cfsv2_raw, cfsv2_bc, or hist_climate till end of the growing season."
4,"the forecasted maize yield at county level was derived as the harvest-area-weighted average of the fore- casted rainfed and irrigated maize yield within a speciﬁc county, and the midwest yield was derived by aver- aging yield of each county within the midwest weighted by harvest area."
4,the midwest yield was then postcalibrated to national yield using a linear regression relationship between nass-reported historical midwestern and national yields.
4,the relationship was ﬁtted at one time using data from 1982 to 2016 and was ﬁxed as a constant for all the yield forecasting experiments (figure s2).
4,we then assessed the forecasting performance at both county and national levels.
4,all national yield forecasts were benchmarked with the wasde forecast.
4,"we used rmse to quantify the yield forecasting performance, and standard deviation of ensemble yield forecast or ensemble rmses to quantify the forecasting uncertainty."
4,"as the last ensemble in the monthly cfsv2 data is produced before eighth of each month (table s3), we set the yield forecasting time as eighth of each month."
4,results 4.1.
4,performance of cfsv2 over the contiguous united states and the midwest we evaluated the prediction performance of cfsv2 over the contiguous united states and compared the performances within and outside the 12 states of the midwest.
4,"generally, the prediction skill for temperature is better than that for precipitation."
4,"when the lead time is 0.5 month, cfsv2 shows better prediction perfor- mance with relatively higher correlation coefﬁcients (figure 1) and lower rmses (figure s3) for both tempera- ture and precipitation than other longer lead time."
4,"after bias correction, the correlation coefﬁcient does not change (figure 1 and figure s4), while rmse does signiﬁcantly decrease for both temperature and precipita- tion (figures s3 and s5)."
4,the performance of cfsv2 also varies spatially.
4,"speciﬁcally, the performance within the midwest shows signiﬁcant difference with that outside the midwest."
4,"the cfsv2_raw temperature shows lower averaged correlation coefﬁcients within the midwest than that outside the midwest, except for the 0.5-month lead time forecast made in may, july, and september (figure 1a), and consistently higher rmses within the midwest than those outside the midwest (figure s3a)."
