page,p
1,field crops research 134 (2012) 158–164 contents lists available at sciverse sciencedirect field crops research journal homepage: www.elsevier.com/locate/fcr rapid estimation of canopy nitrogen of cereal crops at paddock scale using a canopy chlorophyll content index eileen m.
1,"perry a,∗ , glenn j."
1,"fitzgerald a , james g."
1,"nuttall a , garry j."
1,"o’leary a , urs schulthess b , andrew whitlock c a department of primary industries, pb 260 horsham, vic 3401, australia b 4dmaps, woerther str."
1,"33, 10405 berlin, germany c precisionagriculture.com.au, 15 dawson st south, ballarat, vic 3350, australia a r t i c l e i n f o a b s t r a c t article history: rising nitrogen (n) fertiliser costs and concerns over environmental impacts have emphasized the need received 2 april 2012 for rapid, non-destructive, paddock-scale tools to support optimal management of n fertiliser in cereal received in revised form 1 june 2012 crops."
1,remote sensing of canopy reﬂectance is one approach to address the information needed to accepted 4 june 2012 guide n applications.
1,"one remote sensing vegetation index, the canopy chlorophyll content index (ccci) was developed to address issues of confounding effects of biomass and chlorophyll concentration, and keywords: fitzgerald et al. (2010) linked the ccci to the canopy nitrogen index (cni), a scaled index of the plant n."
1,"in canopy nitrogen the research presented here, we extend the work by fitzgerald et al. (2010) and cammarano et al."
1,"(2011) remote sensing canopy nitrogen index to whole paddocks with ground-based, airborne and satellite imagery."
1,"the methodology was applied wheat to 11 datasets using multispectral cameras deployed on ground-based and airborne platforms, and to vegetation index satellite imagery."
1,the previously published relationship between cni and ccci was applied to the ccci and biomass measurements from these new datasets to estimate cni.
1,regression of the measured on estimated plant n values resulted in r2 values for individual datasets ranging from 0 to 0.70.
1,"a regression using the means from each dataset produced an r2 of 0.60, and a standard error of 0.82 (%n)."
1,exclusion of the airborne platform data increased the r2 to 0.87 and reduced the standard error to 0.45 (%n).
1,"a crop model (apsim v7) was used to simulate above ground dry matter to substitute for measured biomass, and plant n was determined from the measured ccci and simulated biomass."
1,regression of the mea- sured on estimated plant n values resulted in r2 values for individual datasets ranging from 0 to 0.49.
1,"the regression using the averages from each dataset was not signiﬁcant (fpr > 0.10); however, exclusion of the airborne platform data increased the r2 to 0.89 and reduced the standard error to 0.42 (%n)."
1,"to demon- strate the utility of the methods, simulated biomass values coupled with cni estimated from rapideye imagery were used to generate paddock maps of plant n."
1,"while the agreement between measured and estimated plant n at the paddock scales is not as close as the previous work done at small plot scales, the method shows promise, particularly if biomass can be estimated through modeling or non-destructive measures."
1,crown copyright © 2012 published by elsevier b.v.
1,all rights reserved.
1,introduction the current drivers for estimating plant n is presented in kitchen et al.
1,(2008).
1,"the need for tailored n application has underpinned the motivation for remote sensing of crop nitrogen (n) sta- substantial research to develop new methods for real-time, non- tus is driven by several factors including rising costs associated destructive estimation of crop n with a variety of approaches. with n fertilization of crops (black and dyson, 2008) combined one of the approaches utilizes sensor measurements of the nor- with the desire to support target applications of n through variable malized difference vegetation index (ndvi; rouse et al., 1973) rate and in-season applications (walker, 2004)."
1,an assessment of for both the growing crop and in situ nitrogen reference strips.
1,desta et al. (2009) provide a summary of the development and use of these reference strips in the central united states.
1,"in this approach, the reference strips provide a guide to optimal n requirements for that crop, and a relative response index that ∗ corresponding author at: future farming systems research, department of pri- relates the crop ndvi to the reference strip ndvi values (e.g., mary industries, po box 3100, bendigo delivery centre 3554, australia."
1,tel.: +61 3 5430 4464; fax: +61 3 5430 4304; mobile: +61 04 5889 0601.
1,"raun et al., 2001, 2002, 2008)."
1,another approach is to relate e-mail address: eileen.perry@dpi.vic.gov.au (e.m.
1,perry). non-destructive reﬂectance measurements to the in-season n 0378-4290/$ – see front matter.
1,crown copyright © 2012 published by elsevier b.v.
1,all rights reserved. http://dx.doi.org/10.1016/j.fcr.2012.06.003
2,perry et al.
2,/ field crops research 134 (2012) 158–164 159 fertiliser requirements through the use of critical n values (mistele 2.
2,"materials and methods and schmidhalter, 2008)."
2,the nitrogen nutrition index (nni) is deﬁned as the ratio between the actual nitrogen content of the 2.1.
2,"datasets crop and the critical n content indicating the minimum n con- tent required for the maximum biomass (lemaire et al., 1992; eleven datasets were used, representing a range of sites, cli- greenwood et al., 1991)."
2,"mistele and schmidhalter (2008) demon- mates, and zadoks (z) crop growth stages (zadoks et al., 1974). strated a strong relationship between the red-edge inﬂection point the individual datasets are labeled ‘a’ to ‘k’ and are summarized (reip) and the nni, and later (mistele and schmidhalter, 2010), in table 1. the ability to relate in-season spectral measurements of ndvi and reip to canopy biomass (dry matter in kg ha−1 ) and canopy n 2.1.1."
2,datasets ‘a’ and ‘b’ (kg n ha−1 ).
2,"these datasets were acquired as part of a 2009 and 2010 n trial similar methods to mistele and schmidhalter (2008) were on wheat (triticum aestivum l., cv."
2,"derrimut) located near lubeck, developed for wheat under chronic water stress and incomplete vic (142◦ 30 33 w longitude, 36◦ 46 42 s latitude)."
2,the site canopy cover by rodriguez et al. (2006) and fitzgerald et al.
2,(2010). is characterized by self mulching wimmera black clay soils.
2,"the their methodology also relates reﬂectance measurements in the crop was rain-fed with 360 mm rainfall during the growing season red, red-edge and near infrared wavelengths to an index of canopy from may to november measured at the bureau of meteorology n based on the canopy n dilution effect (justes et al., 1994)."
2,"drung drung, vic station #079010 (australian bureau of meteorol- the spectral reﬂectance measurements are used to determine the ogy, climate data online; http://www.bom.gov.au/climate/data)."
2,"canopy chlorophyll content index (ccci), which was originally a the experimental layout was a randomized complete block (rcb) method to differentiate n deﬁciency from water stress, and also design with treatments of n fertiliser rates and timing."
2,"for these separate the confounding effects of canopy density (barnes et al., datasets, 20 plots 12 m × 30 m were used, with ﬁve urea rates 2000)."
2,"the ccci describes the deviation of the normalized differ- (applied before planting) of 0, 25, 50, 75, and 100 kg n ha−1 and ence red edge (ndre; clarke et al., 2001) from the ndvi for a four reps."
2,rapideye satellite imagery was acquired corresponding given dataset.
2,the development and utility of ccci is described in to z 32 (dataset a) and z 39 (dataset b) with 5 m resolution.
2,the fitzgerald et al.
2,"(2006, 2010)."
2,"by combining ndvi and ndre, the imagery was corrected to top of atmosphere reﬂectance (described ccci accounts for biomass when estimating canopy chlorophyll. at http://www.rapideye.net/products/faq.htm), and the satellites the ccci was then related to an index of the canopy nitrogen. pixels falling within each plot were averaged to produce a sin- the nitrogen stress index (nsi) was developed by rodriguez et al. gle set of reﬂectance values."
2,"the red (630–685 nm), red-edge (2006) to normalize plant n content for plant growth differences (690–730 nm), and near infrared (760–850 nm) bands were used to due to water stress (or other factors that would affect plant growth compute ndvi and ndre."
2,whole plant biomass cuts were made at and morphology).
2,"fitzgerald et al. (2010) inverted nni and rede- z 32 and z 90 using two samples per plot, each 1 m length along two ﬁned the index so that the intent of measuring canopy n, rather adjacent rows."
2,"dry matter (kg ha−1 ) and whole plant %n (␮g n g−1 than stress, was emphasized."
2,the index was renamed the canopy plant dry matter × 100) were determined from the biomass cuts.
2,nitrogen index (cni) to account for the changes.
