page,p
1,"water article design of terrace drainage networks using uav-based high-resolution topographic data anton pijl 1, * , michele tosoni 1,† , giulia roder 1,‡ , giulia sofia 2 and paolo tarolli 1 1 department of land, environment, agriculture and forestry, university of padova, 35020 legnaro (pd), italy; michele.tosoni@comabcoop.it (m.t.); roder@unu.edu (g.r.); paolo.tarolli@unipd.it (p.t.)"
1,"2 department of civil & environmental engineering, university of connecticut, storrs, ct 06269, usa; giulia.sofia@uconn.edu * correspondence: anton.pijl@phd.unipd.it † current address: comab—cooperative society, via santellone 37, 25018 montichiari (bs), italy."
1,"‡ current address: institute for the advanced study of sustainability, united nations university, tokyo 150-8925, japan."
1," received: 14 march 2019; accepted: 9 april 2019; published: 18 april 2019  abstract: hillslope viticulture has a long history in mediterranean europe, and still holds important cultural and economic value."
1,"steep hillsides have widely been levelled by terraces, in order to control surface water flow and facilitate cultivation."
1,"however, under unsustainable management and growing rainfall aggressiveness, terraced vineyards have become one of the most erosion-prone agricultural landscapes."
1,the valcamonica valley in lombardy (italy) presents a typical example of an ancient wine production region where rural land abandonment has previously caused widespread degradation of the traditional terracing systems.
1,"recently, a local revival of wine production led to restoration plans of the terraces and their drainage functioning, to safeguard productivity and hydrogeologic safety."
1,"in this study, an unmanned aerial vehicle (uav) survey was carried out to reconstruct an accurate and precise 3d terrain model of a valcamonica vineyard through photogrammetry."
1,the resulting high-resolution topographic data allowed insights of surface flow-induced soil erosion patterns based on the relative path impact index (rpii).
1,"three diverse drainage networks were designed and digitally implemented, allowing scenario analysis of the costs and benefits in terms of potential erosion mitigation."
1,the presented methodology could likely improve the time-efficiency and cost-effectiveness of similar restoration plans in degraded landscapes.
1,keywords: terraces; drainage design; unmanned aerial vehicle (uav); high-resolution topography; remote sensing survey; water erosion; vineyards; italy 1.
1,"introduction agricultural terraces are among the most evident anthropogenic signatures and dominant drivers of the geomorphology of our time [1,2]."
1,"designed to control water flow and infiltration for facilitating hillslope agriculture, the construction of terraces is an ancient practice still found all over the world [3]."
1,"however, terrace degradation is worsening due to modern developments, such as the abandonment of rural areas and consequent lack of maintenance [4,5], increased pressure from machinery traffic [6], unsuitable terrace design and expansions [1] and changing rainfall patterns [7]."
1,"these factors contribute to hydrogeologic risks, such as soil erosion and nutrient loss or even terrace collapse, landslides and debris flows [8–11]."
1,"in mediterranean europe, vineyard terraces represent one of the most severely degrading landscape types [12–14], with high potential for cultural and economic losses (e.g., tourism, landscape services, water 2019, 11, 814; doi:10.3390/w11040814 www.mdpi.com/journal/water"
2,"water 2019, 11, 814 2 of 11 productivity and employment)."
2,"the intricate landscape pattern of vineyards, farms, villages and small towns provide a cultural heritage, the quality and management of which have been recently promoted by several international initiatives."
2,"most notable among these are the united nations educational, scientific and cultural organization (unesco) world heritage sites or the globally important agricultural heritage systems (giahs) by the food and agriculture organization (fao) [15]."
2,the valcamonica valley at the foothills of the italian alps represents a typical example of an ancient terraced vineyard production system.
2,"currently, the wine production industry is being restored after a period of widespread abandonment [16]."
2,"land degradation is evident as the old terraced systems have been widely overgrown, eroded and collapsed [17]."
2,"precise and accurate topographic information is of key importance for a structural design of terrace systems, in order to safeguard their drainage functioning and mitigating hydrogeologic risks in the face of increasing high-intensity rainstorms [18]."
2,"developments in computational power and the use of image-based structure-from-motion (sfm) complementing multi-view stereo (mvs) photogrammetry [19] allow for the survey of 3d topography from unmanned aerial vehicle (uavs) imagery [20] or even smartphone imagery [21,22]."
2,"compared to laser altimetry (lidar), this provides a more affordable opportunity for the construction of high-resolution digital elevation models (dems) for relatively small-scale applications, such as agricultural plots [23]."
2,"consequently, uavs and sfm-mvs approaches have been used for terrace management in recent studies, for example, [24–26]."
2,"the purpose of this paper is to apply such technology to digitally reconstruct terrace morphology and to allow the design and evaluation of several drainage networks, in support of vineyard terrace maintenance in valcamonica."
2,the work considers the relative path impact index (rpii) [27] to indicate runoff-induced erosion patterns and to provide an evaluation of the drainage design.
2,materials and methods 2.1.
2,"study area the study area is a terraced vineyard of ~3 ha located in the valcamonica valley, brescia province, in the northern italian region of lombardy (figure 1a, 45◦ 52’28.75” n; 10◦ 9’18.45” e)."
2,"this valley has a long tradition of viticulture on levelled hillslopes, dating back for centuries [28]."
2,"however, the 1950s showed a rural exodus from this area causing degradation of the abandoned terraces [16], which was slightly countered over last decade with the establishment of the valcamonica wine consortium and geographical quality designation [17]."
2,"the studied site is located on a relatively steep hillside close to the valley bottom, with an average slope of 48% and elevations ranging between 304 m and 384 m a.s.l. (based on a topographic survey described in section 2.2)."
2,"it contains a series of heavily degraded dry-stone wall terraces, which have recently undergone clearing and reconstruction work by landowners, although terrace failure remains evident (figure 1b,c)."
2,"at the time of the survey, the lower central part consisted mostly of newly constructed terraces with low soil cover, situated just upstream of a large commercial zone, emphasising the importance of hydrogeologic safety (figure 1a)."
2,"the eastern and western sections of the study area, on the other hand, consist mostly of established vineyard terraces with inter-row grass cover."
2,"dominant soil types found in the area are endoleptic cambisols [29], and the lithology is characterised by a sandstone sedimentary rock layer up to 600 m depth, as well as quartziferous ignimbrites from volcanic source with a depth up to 70 m [30]."
2,"the climate of the valley is relatively wet, with annual precipitation sums ranging between 1200 mm and 1400 mm [31]."
2,"according to climate projections for the next century, valcamonica is situated in a climate change hotspot with expected winter precipitation of +5% to +30% through global multi-model ensembles [32] or even exceeding +40% in regional projections [18]."
2,"with this prospect, it is crucial to map the current state of valcamonica terraces in order to understand their hydrologic functioning and risks and to develop a suitable drainage design."
3,"water 2019, 11, 814 3 of 11 figure 1. (a) study area as situated in the valcamonica valley (google earth snapshot, yellow outline), and its location in italy (inset map); (b,c) examples of field-observed terrace failure present in the study area (photographs by m."
3,tosoni).
3,"unmanned aerial vehicle survey and structure-from-motion photogrammetry the aerial survey in this study was carried out using a 3-kg quadcopter (mesodrone srl., san gillio, italy; figure 2a), equipped with a sony® rx 100 mark 3 camera (sony® , tokyo, japan) with zeiss lens of 20 mp (fixed focal length of 8.8 mm, sensor size 23.2 × 15.4 mm; zeiss, oberkochen, germany)."
3,the flight was operated manually following a conventional overlapping pattern while capturing ~700 pictures (maintaining a >80% front overlap and >60% side overlap).
3,"flight altitude ranged between 50 m and 70 m, resulting in a ground sampling distance (gsd) of 0.027–0.038 m."
3,"sixteen ground control points (gcps, 0.8 × 0.8 m panels with contrasting colours) were distributed over the study area, of which differential global positioning system (dgps) coordinates were recorded using a topcon hiper v station (synergy positioning systems ltd., auckland, new zealand; figure 2b) in the wgs84-utm32n spatial reference system (espg 32632)."
3,the imagery was processed with an sfm-mvs approach using photogrammetric software (agisoft photoscan v1.2.4.2336).
3,"briefly, this process comprises five main steps: (i) camera precalibration using agisoft lens v0.4.2 in order to minimise image distortion; (ii) image alignment, by identification of images with common features, and reconstruction of a 3d scene without a spatial scale information; (iii) adding absolute gcp positions to the image processing in order to improve the accuracy of the model and georeferencing it; (iv) optimisation of image alignment; (v) dense cloud reconstruction."
3,the photogrammetric process provided an orthophoto for visual inspection and a 3d point cloud for further terrain analysis.
3,"finally, vegetation points were removed where possible (using cloudcompare gpl v2.7 freeware) and a digital terrain model (dtm) of the study area was created (figure 2c) with a cell size of 0.2 m and a vertical accuracy of 0.044 m (root mean square error of dtm and dgps measurements)."
3,"the accuracy and the precision of this dataset were suitable for the application of the relative path impact index when compared to the developers original work [27,33] based on several dtms derived by airborne and terrestrial laser scanning (als and tls) with respective horizontal resolutions of 0.5–1.0 m and 0.2 m, and related vertical accuracies of 0.15–0.3 m and 0.01–0.1 m."
3,"in addition, any residual error related to the photogrammetric processing was inherently consistent throughout the drainage scenarios that are presented in this study."
4,"water 2019, 11, 814 4 of 11 figure 2. (a) mesodrone quadcopter unmanned aerial vehicle (uav) used for aerial surveying; (b) topcon hiper v differential global positioning system (dgps) device for the registration of ground control point (gcp) positions; (c) digital terrain model (dtm) derived through sfm-mvs based photogrammetry."
4,"relative path impact index the relative path impact index (rpii) indicates preferential runoff pathways created by artificial landscape features (e.g., hillside roads or terraces) through a comparison of contributing drainage areas including or excluding those morphologic features [27]."
4,"the logarithmic form of the index highlights the areas with strong drainage alterations, which indicate concentration points of potential surface water runoff and subsequent soil erosion: rpii = ln((ar − asm )/asm ) (1) where ar represents the drainage area of the hillslope in its current, artificially modified state, while asm represents the drainage area on a smoothed hillslope, without artificial terraces."
4,"the methodology of tarolli et al. [33] was adopted, in which the drainage areas were calculated in gis software using the d∞ flow direction algorithm [34]."
4,"the original dtm was smoothed using a quadratic approximation proposed by evans [35]: z = ax2 + by2 + cxy + dx + ey + f (2) where z, x and y represent the local coordinates, while a to f are the quadratic coefficients, here solved by a moving window of 71 m following the approach by wood [36]."
4,"drainage networks designs three drainage networks were designed for the valcamonica study area with varying ditch types, dimensions, spatial designs and resulting costs (figure 3)."
4,the design and placement were based on the generated dtm and a feasibility assessment from field observations.
4,"primarily, two rectangular cross-sectional dimensions were used: a minor ditch type of 0.2 × 0.2 m and a major ditch type of 0.4 × 0.4 m (based on the dimensions of existing networks in the surroundings, while respecting dtm grid size)."
4,"furthermore, we simulated different spatial designs (figure 3): network i consisted of roughly 1200 m of minor ditches placed along the terrace dry-stone wall fronts recurring every ~10 m of elevation difference (vertical drainage densities in figure 3), fitted to the existing terrace morphology."
4,"network ii consisted of an identical network with major cross-sectional dimensions, which was alternated with an additional network of minor dimensions, resulting in a terrace drain every ~5 m of elevation difference."
4,"in this scenario, step-drains were placed across sloping paths with a ~2 m interval (minor dimensions) to intercept accumulated runoff along the paths."
4,"network iii was identical to network ii, but with added roadside ditches (major dimensions) that aim to collect intercepted runoff from the step-drains."
4,"additionally, in network iii, the minor terrace ditches were roughly doubled in density, resulting in a terrace drain every ~3 m of elevation difference."
4,all drainage network
5,"water 2019, 11, 814 5 of 11 scenarios were designed and carved into the original dtm following the procedure of tarolli et al."
5,sample transect profiles after the carving are displayed in figure 3.
5,figure 3.
5,technical specifications of the proposed drainage networks.
5,"spatial designs, transects, dimensions and estimated costs are compared for each network."
5,based on spatial analysis by the authors and labour rates provided by provincia di brescia [37].
5,"the cost-analysis in this study was based on a fixed price indication for manual excavation of €173.30/m3 as provided by local authorities [37], serving as a relative approximation to add an exploratory economic component to the evaluation of the drainage networks."
5,evaluation of the drainage impact was done both visually (supported by field-observations and the orthophoto) and quantitatively.
5,"two approaches were used for numerical comparison across scenarios: (i) zonal sums of positive rpii values, reflecting the overall runoff potential and (ii) the zonal number of cells with critical rpii values, based on the threshold of >σrpii found by tarolli et al."
5,"in the latter, the standard deviation from the original rpii map was used as a reference for further comparison."
5,results and discussion figure 4 shows the rpii calculated for the valcamonica study area in its current state.
5,"critical zones (>σrpii , reddish colours) are typically related to flow concentration by roads and terraces, and subsequent release at topographic interruptions, increasing the risk of soil erosion."
5,"three critical zones (figure 4, zones a–c) are highlighted for comparison of potential flow concentration and the effect of the different drainage network scenarios."
5,the selection of these zones was based on the presence of critical patterns and field evidence of terrace damages (not considering the central part for possible disturbance by remaining vegetation).
6,"water 2019, 11, 814 6 of 11 figure 4."
6,"study area relative path impact index (rpii) map computed for current conditions (original terrain), highlighting three critical zones that were selected for detailed analysis of preferential surface flow and drainage network evaluation (zones a–c)."
6,visual analysis zone a is characterised by established grape cultivation on relatively gentle slopes and wide terraces.
6,"typically, such circumstances can enhance infiltration, which, however, with poor maintenance or design may threaten the structural integrity of terrace walls and cause collapse."
6,"rpii patterns found indicate an upstream concentration of potential surface flow, draining to the location of a field-observed terrace failure (figure 1c, situated at the white arrow in figure 5a)."
6,"a minor drainage ditch, such as that of network i, successfully intercepts this preferential flow path, although the ditch spills in a local depression a few meters eastwards, hence merely shifting the problem (figure 5a, second panel)."
6,"the major drainage dimensions of network ii are also not sufficient to prevent this release (figure 5a, third panel), suggesting that the terrace morphology is such that water flow stagnates at this point (i.e., even after 0.4 m of carving)."
6,"the improved drainage density of network iii partly mitigates this problem by intercepting the flow pathway at the next terrace step downstream (figure 5a, fourth panel)."
6,"however, a closer analysis and possibly a field inspection are recommended to guarantee the safeguarding of this point."
6,"zone b is situated at the downstream part of the study area and is, therefore, naturally more exposed to upstream flow concentration."
